Unnamed: 0,UK,EN,TRANSLATION,bertscore
107,"Ти що, знущаєшся з мене?!",Are you freaking kidding me?!,Are you kidding me?!,0.9628733992576599
108,"Ти з мене знущаєшся, чи що?!",Are you freaking kidding me?!,Are you kidding me?,0.9628733992576599
109,"Це найбільша нісенітниця, яку я коли-небудь казав.",That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever said.,0.9145933985710144
110,"Я не хочу бути жалюгідним, я хочу бути крутим!",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool!",0.9560930728912354
111,"Я не хочу бути жалюгідним, я хочу бути крутим.",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool.",0.9560930728912354
112,"Я хочу стати королем, як виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9539201855659485
113,"Я хочу стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9539201855659485
114,"Я мрію стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9539201855659485
115,"Америка, чудове місце залишатися, якщо ти тут щоб заробити грощі.","America is a lovely place to be, if you are here to earn money.",America is a great place to stay if you're here to make money.,0.9420267939567566
116,Я такий гладкий.,I'm so fat.,I'm so fat.,1.000000238418579
117,Я дуже гладкий.,I'm so fat.,I'm very fat.,0.9500831365585327
118,Ну то що?,So what?,So what?,1.0
119,І що?,So what?,So what?,1.0
120,Ну і що?,So what?,So what?,1.0
121,Ну й що?,So what?,So what?,1.0
122,Я його застрелю.,I'm gonna shoot him.,I'll shoot him.,0.952295184135437
123,"Я не справжня риба, я лишень плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.9551413655281067
124,"Я не справжня риба, я лише плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.9551413655281067
125,Я просто кажу!,I'm just saying!,I'm just saying!,0.9999999403953552
126,"Скоріш за все, це й вплинуло на їхнє рішення.",That was probably what influenced their decision.,"Likely, this affected their decision.",0.8392911553382874
127,Мені завжди було цікаво як це - мати братів та сестер.,I've always wondered what it'd be like to have siblings.,I've always wondered what it was like to have brothers and sisters.,0.9365012645721436
128,Я би так і сказав.,This is what I would have said.,That's what I'd say.,0.8579181432723999
129,"Мені знадобиться вічність, щоб все пояснити.",It would take forever for me to explain everything.,I'll need eternity to explain everything.,0.8301711678504944
130,"Це через те, що ти дівчина.",That's because you're a girl.,It's because you're a girl.,0.9798657894134521
131,"Це тому, що ти дівчинка.",That's because you're a girl.,That's because you're a girl.,1.0
132,Часом я не в змозі стримати емоцій.,Sometimes I can't help showing emotions.,Sometimes I can't contain my emotions.,0.9217316508293152
133,"Це і є те слово, для якого я хотів би знайти заміну.",It's a word I'd like to find a substitute for.,That's the word I'd like to substitute for.,0.9439200758934021
134,Я не хочу бути егоїстичним.,I don't intend to be selfish.,I don't want to be selfish.,0.9618327617645264
135,Не маю наміру бути егоїстом.,I don't intend to be selfish.,I don't intend to be selfish.,0.9999998807907104
136,Давай розгляднемо найгірший із варіантів.,Let's consider the worst that could happen.,Let's consider the worst possible.,0.9218422770500183
137,"Давайте розгляднемо найгірший варіант з того, що могло би трапитися.",Let's consider the worst that could happen.,Let's consider the worst that could happen.,1.0
138,Скільки у тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,1.0
139,Скільки в тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,1.0
140,"Можливо, я антисоціальний, але це не означає, що я не спілкуюся з людьми.","I may be antisocial, but it doesn't mean I don't talk to people.","I may be antisocial, but that doesn't mean I don't communicate with people.",0.9766711592674255
141,Так було завжди.,This is always the way it has been.,It's always been this way.,0.8312495350837708
142,Так завжди було.,This is always the way it has been.,It's always been this way.,0.8312495350837708
143,"Гадаю, краще поводитись виховано.",I think it is best not to be impolite.,I think it's better to be brought up.,0.8389153480529785
144,"Гадаю, краще не бути нечемним.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.9742494821548462
145,"Гадаю, краще не бути нечемною.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.9742494821548462
146,Час завжди можна знайти.,One can always find time.,Time is always available.,0.8521124124526978
147,Завжди можна знайти час.,One can always find time.,You can always find time.,0.9518318176269531
148,"Коли я вчився у школі, я вставав о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in school, I got up at six every morning.",0.9322086572647095
149,"Коли я вчилася у середній школі, я вставала о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in high school, I got up at six every morning.",0.9426257014274597
150,"Коли я прокинувся, мені було сумно.","When I woke up, I was sad.","When I woke up, I felt sad.",0.9758346080780029
151,"Я думав, тобі подобається вивчати нові речі.",I thought you liked to learn new things.,I thought you liked learning new things.,0.9731829762458801
152,"Я думала, тобі подобається дізнаватися нового.",I thought you liked to learn new things.,I thought you liked learning new things.,0.9731829762458801
153,Більшість людей робить щоденні нотатки про життя.,Most people write about their daily life.,Most people take notes every day about life.,0.868413507938385
154,"Якщо б я міг надіслати тобі зефір, Чанг, я б це зробив.","If I could send you a marshmallow, Trang, I would.","If I could send you a Zafir, Chang, I'd do it.",0.8596773147583008
155,"Ти повинен ризикнути, щоб зробити це.","In order to do that, you have to take risks.",You've got to risk doing that.,0.8252934813499451
156,"Усі самотні люди самотні через те, що бояться інших.",Every person who is alone is alone because they are afraid of others.,All lonely people are alone because they fear others.,0.9241824150085449
157,А чому Ви питаєте?,Why do you ask?,Why do you ask?,0.9999998807907104
158,А чому ти питаєш?,Why do you ask?,Why do you ask?,0.9999998807907104
159,А нащо ти питаєш?,Why do you ask?,Why do you ask?,0.9999998807907104
160,Чому ти питаєш?,Why do you ask?,Why do you ask?,0.9999998807907104
161,Чому ви питаєте?,Why do you ask?,Why do you ask?,0.9999998807907104
162,Навіщо ви питаєте?,Why do you ask?,Why do you ask?,0.9999998807907104
163,"Завжди, коли я знаходжу щось, що мені подобається, воно занадто дороге.","Whenever I find something I like, it's too expensive.","Whenever I find something I like, it's too expensive.",1.0
164,Скільки ти там пробув?,How long did you stay?,How long have you been there?,0.8990426659584045
165,Чи довго ви там були?,How long did you stay?,How long have you been there?,0.8990426659584045
166,Може для нього це буде те ж саме.,Maybe it will be exactly the same for him.,Maybe it'll be the same for him.,0.9582898020744324
167,Невинність - чудова річ.,Innocence is a beautiful thing.,Integrity is a wonderful thing.,0.9384985566139221
168,Люди не можуть жити вічно.,Humans were never meant to live forever.,Humans cannot live forever.,0.893265426158905
169,"Я не хочу змінювати свої погляди, навіть якщо вони дещо екстремальні.","I don't want to lose my ideas, even though some of them are a bit extreme.","I don't want to change my views, even if they're somewhat extreme.",0.9234239459037781
170,Це інтригує.,That is intriguing.,That's intriguing.,0.9205788373947144
171,Я не маю облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.973315954208374
172,Я не зареєстрований на цих форумах.,I do not have an account in these forums.,I'm not registered in these forums.,0.8984530568122864
173,У мене немає облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.973315954208374
174,"Я не знав, звідки це взялося.",I didn't know where it came from.,I didn't know where this came from.,0.9750546216964722
175,Це не важливо.,This is not important.,It doesn't matter.,0.7713645100593567
176,Це неважливо.,This is not important.,It doesn't matter.,0.7713645100593567
177,Мені це не подобалось.,I didn't like it.,I didn't like it.,0.9999999403953552
178,Мені це не сподобалося.,I didn't like it.,I didn't like it.,0.9999999403953552
179,"Вона питає, як це можливо.",She's asking how that's possible.,She asks how it can be done.,0.8053497672080994
180,Ти просто тікаєш від життєвих проблем.,You're just running away from life's problems.,You're just running away from life's problems.,0.9999999403953552
181,"Є проблема, якої ти не розумієш.",There's a problem there that you don't see.,There's a problem that you don't understand.,0.9526010751724243
182,"Тут є проблема, якої ти не бачиш.",There's a problem there that you don't see.,There's a problem here that you can't see.,0.9652761220932007
183,Ти це можеш!,You can do it.,You can do it!,0.9999999403953552
184,Ти зможеш!,You can do it.,You can do it!,0.9999999403953552
185,Ти подужаєш!,You can do it.,You can do it!,0.9999999403953552
186,Ви це можете!,You can do it.,You can do it!,0.9999999403953552
187,Ви зможете!,You can do it.,You can do it!,0.9999999403953552
188,Ви подужаєте!,You can do it.,You can do it!,0.9999999403953552
189,У вас вийде.,You can do it.,You can do it.,0.9999999403953552
190,"Моєму вчителеві фізики байдуже, чи пропущу я заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,1.0000001192092896
191,"Моєму викладачу фізики байдуже, чи я пропускаю заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,1.0000001192092896
192,Я хотіла б мати можливість поїхати до Японії.,I wish I could go to Japan.,I'd like to be able to go to Japan.,0.8769608736038208
193,Я хотів би мати можливість поїхати до Японії.,I wish I could go to Japan.,I wish I could go to Japan.,1.0000001192092896
194,"Я не люблю, коли навколо багато людей.",I hate it when there are a lot of people.,I don't like it when there are a lot of people around.,0.9375159740447998
195,"Я ненавиджу, коли навколо багато людей.",I hate it when there are a lot of people.,I hate it when there are a lot of people around.,0.9763040542602539
196,Маю піти спати.,I have to go to bed.,I have to go to bed.,0.9999998807907104
197,Я маю йти спати.,I have to go to bed.,I have to go to bed.,0.9999998807907104
198,Мені час йти спати.,I have to go to bed.,I have to go to bed.,0.9999998807907104
199,Я повинен лягати спати.,I have to go to bed.,I have to go to bed.,0.9999998807907104
200,"Потім я пішов звідти, але зрозумів, що забув сумку.","After that, I left, but then I realized that I forgot my backpack at their house.","Then I left, but I realized I had forgotten my bag.",0.8891810178756714
201,Я сьогодні не запитаю тебе більше ні про що.,I won't ask you anything else today.,I won't ask you anything else today.,1.000000238418579
202,Наступного тижня очікуються заморозки.,It may freeze next week.,Next week freezes are expected.,0.8391660451889038
203,"Хоч він і вибачився, я все ще розлючений.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.9811288118362427
204,"Хоч він і вибачився, я все ще розлючена.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.9811288118362427
205,"Дякую, що ви мені нарешті пояснили, чому мене приймають за ідіота.",Thanks for having explained to me at last why people take me for an idiot.,Thank you for finally explaining to me why I'm being taken for an idiot.,0.8890708684921265
206,Я не мав такого наміру.,That wasn't my intention.,That wasn't my intention.,1.0
207,Я не мала такого наміру.,That wasn't my intention.,That wasn't my intention.,1.0
208,Дякую за пояснення.,Thanks for your explanation.,Thank you for explaining.,0.9010536670684814
209,"Теоретично, я займаюся математикою.","Theoretically, I'm doing math.","In theory, I'm doing math.",0.9384196996688843
210,"Якщо ти не знав мене з цього боку, ти взагалі мене не знав.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.9367876052856445
211,"Якщо ви не знали мене з цього боку, ви взагалі мене не знали.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.9367876052856445
212,"Я не знаю, що ти маєш на увазі.",I don't know what you mean.,I don't know what you mean.,1.0000001192092896
213,Ти хотів розказати мені про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,1.0
214,Ти хотів мені розказати про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,1.0
215,"Гм, а тепер це дійсно дивно...","Uh, now it's really weird...","Uh, now it's really weird...",1.0000001192092896
216,"Якби я хотів тебе налякати, я би розповів тобі, що мені снилося кілька тижнів тому.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","If I wanted to scare you, I'd tell you what I dreamt a few weeks ago.",0.9813302159309387
217,"Є багато слів, яких я не розумію.",There are many words that I don't understand.,There's a lot of words I don't understand.,0.9259772300720215
218,Мені потрібно поставити тобі дурне питання.,I need to ask you a silly question.,I need to ask you a stupid question.,0.984765887260437
219,Чи можна це перефразувати якось інакше?,Can it be phrased in another way?,Can it be rephrased in any other way?,0.8773384690284729
220,Ніхто не дізнається.,No one will know.,No one will know.,0.9999998807907104
221,"Я знайшов рішення, але я зробив це так швидко, що воно не може бути вірним.","I found a solution, but I found it so fast that it can't be the right solution.","I found a solution, but I did it so fast that it can't be faithful.",0.9420518279075623
222,Це здається мені цікавим.,It seems interesting to me.,That seems interesting to me.,0.9694661498069763
223,"Це не так просто, за винятком оцього.","Except that here, it's not so simple.","It's not that easy, except for this one.",0.8489950299263
224,Мені подобається світло свічок.,I like candlelight.,I like candlelight.,0.9999999403953552
225,Що ти відповів?,What did you answer?,What did you say?,0.92819744348526
226,Що ти відповіла?,What did you answer?,What did you say?,0.92819744348526
227,Що ви відповіли?,What did you answer?,What Did You Answer?,0.9999998807907104
228,"Ні, це не мій новий хлопець.","No, he's not my new boyfriend.","No, that's not my new boyfriend.",0.9453523755073547
229,Ти ніколи не займався чи що?,You never have class or what?!,You've never studied or what?,0.9054694771766663
230,У чому проблема?,Where is the problem?,What's the problem?,0.8904150724411011
231,Я можу тільки чекати.,I can only wait.,I can only wait.,0.9999997615814209
232,Я можу лише чекати.,I can only wait.,I can only wait.,0.9999997615814209
233,"Це зовсім не дивно, чи не так?","It's not much of a surprise, is it?","That's not surprising, is it?",0.9008733630180359
234,Я люблю тебе.,I love you.,I love you.,1.0000001192092896
235,Я кохаю тебе.,I love you.,I love you.,1.0000001192092896
236,Я тебе кохаю.,I love you.,I love you.,1.0000001192092896
237,Я кохаю тебе!,I love you.,I love you!,1.0000001192092896
238,Я тебе люблю.,I love you.,I love you.,1.0000001192092896
239,Я люблю вaс.,I love you.,I love you.,1.0000001192092896
240,Я вaс кохаю.,I love you.,I love you.,1.0000001192092896
241,Я кохаю вaс.,I love you.,I love you.,1.0000001192092896
242,Я вaс люблю.,I love you.,I love you.,1.0000001192092896
243,Я вас люблю.,I love you.,I love you.,1.0000001192092896
244,Я вас кохаю.,I love you.,I love you.,1.0000001192092896
245,Ти мені вже не подобаєшся.,I don't like you anymore.,I don't like you anymore.,1.0
246,Ти мені більше не подобаєшся.,I don't like you anymore.,I don't like you anymore.,1.0
247,Мені цікаво.,I am curious.,I'm curious.,0.9146158695220947
248,Хочу знати.,I am curious.,I want to know.,0.7976688742637634
249,Хочу дізнатися.,I am curious.,I want to know.,0.7976688742637634
250,Я допитливий.,I am curious.,I'm curious.,0.9146158695220947
251,Вітаю!,Congratulations!,Congratulations!,1.000000238418579
252,Вiтаємо.,Congratulations!,Let's see.,0.6341173052787781
253,Поздоровляю!,Congratulations!,Congratulations!,1.000000238418579
254,Мої привітання!,Congratulations!,Congratulations!,1.000000238418579
255,Вітаємо!,Congratulations!,Congratulations!,1.000000238418579
256,Вітаю.,Congratulations!,Congratulations.,1.000000238418579
257,Не хочу чекати так довго.,I don't want to wait that long.,I don't want to wait that long.,0.9999999403953552
258,Я не хочу так довго чекати.,I don't want to wait that long.,I don't want to wait that long.,0.9999999403953552
259,Чого ти до нас приходиш?,Why don't you come visit us?,Why are you visiting us?,0.8948215246200562
260,Але ймовірність невелика.,But the possibility seems unlikely.,But there's not a lot of chance.,0.7647405862808228
261,Мені не слід було виходити з системи.,I shouldn't have logged off.,I shouldn't have left the system.,0.9000934958457947
262,"Я не знаю, що ще можна зробити.",I don't know what to do anymore.,I don't know what else we can do.,0.881513774394989
263,"Я не знаю більше, що робити.",I don't know what to do anymore.,I don't know what to do anymore.,1.0000001192092896
264,"Я більш не знаю, що мені робить.",I don't know what to do anymore.,I don't know what I'm doing anymore.,0.918165385723114
265,"Я неодмінно колись поїду у Францію, але ще не знаю, коли саме.","It is inevitable that I go to France someday, I just don't know when.","I'm sure I'll go to France someday, but I don't know when.",0.889788031578064
266,Я не люблю хімію.,I hate chemistry.,I don't like chemistry.,0.893090009689331
267,Я ненавиджу хімію.,I hate chemistry.,I hate chemistry.,0.9999999403953552
268,"Я не бажав, щоб так трапилось.",I didn't want this to happen.,I didn't want that to happen.,0.9777997732162476
269,Які в мене є ще варіанти?,What other options do I have?,What other options do I have?,0.9999999403953552
270,Я - невеликий мандрiвник.,I am not much of a traveller.,I'm a little wanderer.,0.8101972937583923
271,Я не занадто сильно люблю подорожувати.,I am not much of a traveller.,I don't like traveling too much.,0.7710108160972595
272,Мені більше нема чим зайнятися.,I have nothing better to do.,I don't have anything else to do.,0.8696072697639465
273,Я теж не можу це пояснити.,I can't explain it either.,I can't explain it either.,0.9999999403953552
274,Я теж не знаходжу пояснення цьому.,I can't explain it either.,I don't find any explanation for it either.,0.9094321727752686
275,Кожен має сильні та слабкі сторони.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,0.9999998807907104
276,"Це лише показує, що ти не робот.",It only shows you're not a robot.,It just shows that you're not a robot.,0.9677325487136841
277,Як я можу бути роботом? Роботи не бачать снів.,How could I be a robot? Robots don't dream.,How can I be a robot? Robots can't dream.,0.9767590761184692
278,Як я можу бути роботом? Роботи не мріють.,How could I be a robot? Robots don't dream.,How can I be a robot? Robots don't dream.,0.9889068603515625
279,"Це не те, що може зробити кожен.",It's not something anyone can do.,That's not something anyone can do.,0.9759420156478882
280,"Я не знаю, чи я все ще це маю.",I don't know if I still have it.,I don't know if I still have it.,1.0
281,"Як ти гадаєш, що я робив?",What do you think I've been doing?,What do you think I was doing?,0.9479638338088989
282,"А що, на твою думку, я робив?",What do you think I've been doing?,What do you think I did?,0.9229840040206909
283,"А що, на твою думку, я роблю?",What do you think I've been doing?,What do you think I'm doing?,0.9622706770896912
284,Не недооцінюй моєї сили.,Don't underestimate my power.,Don't underestimate my power.,1.0
285,Не недооцінюй моєї влади.,Don't underestimate my power.,Don't underestimate my power.,1.0
286,Мама не дуже добре говорить англійською.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,0.9906101822853088
287,Я недостатньо добре говорю французькою!,I don't speak French well enough!,I don't speak French well enough!,1.0000001192092896
288,Саме в цьому й полягає проблема.,Therein lies the problem.,That's the problem.,0.7607126832008362
289,У цьому і є проблема.,Therein lies the problem.,That's the problem.,0.7607126832008362
290,Як ти знайдеш їжу в космосі?,How do you find food in outer space?,How do you find food in space?,0.9782485961914062
291,Як можна знайти їжу в космосі?,How do you find food in outer space?,How can we find food in space?,0.927883505821228
292,"Все, що ви можете робити, — це довіряти один одному.",All you can do is trust one another.,All you can do is trust each other.,0.9822882413864136
