Unnamed: 0,UK,EN,TRANSLATION,BLEURT_Score
111.0,"Я не хочу бути жалюгідним, я хочу бути крутим.",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool.",0.27210402488708496
112.0,"Я хочу стати королем, як виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.6814562082290649
113.0,"Я хочу стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.6814562082290649
114.0,"Я мрію стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.6814562082290649
115.0,"Америка, чудове місце залишатися, якщо ти тут щоб заробити грощі.","America is a lovely place to be, if you are here to earn money.",America is a great place to stay if you're here to make money.,0.601418673992157
116.0,Я такий гладкий.,I'm so fat.,I'm so fat.,1.0746204853057861
117.0,Я дуже гладкий.,I'm so fat.,I'm very fat.,0.7760495543479919
118.0,Ну то що?,So what?,So what?,1.0795984268188477
119.0,І що?,So what?,So what?,1.0795984268188477
120.0,Ну і що?,So what?,So what?,1.0795984268188477
121.0,Ну й що?,So what?,So what?,1.0795984268188477
122.0,Я його застрелю.,I'm gonna shoot him.,I'll shoot him.,0.9148573279380798
123.0,"Я не справжня риба, я лишень плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.2723194360733032
124.0,"Я не справжня риба, я лише плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.2723194360733032
125.0,Я просто кажу!,I'm just saying!,I'm just saying!,1.0305836200714111
126.0,"Скоріш за все, це й вплинуло на їхнє рішення.",That was probably what influenced their decision.,"Likely, this affected their decision.",0.6427250504493713
127.0,Мені завжди було цікаво як це - мати братів та сестер.,I've always wondered what it'd be like to have siblings.,I've always wondered what it was like to have brothers and sisters.,0.5908377766609192
128.0,Я би так і сказав.,This is what I would have said.,That's what I'd say.,0.6328650712966919
129.0,"Мені знадобиться вічність, щоб все пояснити.",It would take forever for me to explain everything.,I'll need eternity to explain everything.,0.5219501852989197
130.0,"Це через те, що ти дівчина.",That's because you're a girl.,It's because you're a girl.,0.7977562546730042
131.0,"Це тому, що ти дівчинка.",That's because you're a girl.,That's because you're a girl.,0.9564141035079956
132.0,Часом я не в змозі стримати емоцій.,Sometimes I can't help showing emotions.,Sometimes I can't contain my emotions.,0.4232705235481262
133.0,"Це і є те слово, для якого я хотів би знайти заміну.",It's a word I'd like to find a substitute for.,That's the word I'd like to substitute for.,0.574834406375885
134.0,Я не хочу бути егоїстичним.,I don't intend to be selfish.,I don't want to be selfish.,0.8246071934700012
135.0,Не маю наміру бути егоїстом.,I don't intend to be selfish.,I don't intend to be selfish.,0.9573720097541809
136.0,Давай розгляднемо найгірший із варіантів.,Let's consider the worst that could happen.,Let's consider the worst possible.,0.6409339904785156
137.0,"Давайте розгляднемо найгірший варіант з того, що могло би трапитися.",Let's consider the worst that could happen.,Let's consider the worst that could happen.,0.9497112035751343
138.0,Скільки у тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,1.0137821435928345
139.0,Скільки в тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,1.0137821435928345
140.0,"Можливо, я антисоціальний, але це не означає, що я не спілкуюся з людьми.","I may be antisocial, but it doesn't mean I don't talk to people.","I may be antisocial, but that doesn't mean I don't communicate with people.",0.7160559296607971
141.0,Так було завжди.,This is always the way it has been.,It's always been this way.,0.4742414653301239
142.0,Так завжди було.,This is always the way it has been.,It's always been this way.,0.4742414653301239
143.0,"Гадаю, краще поводитись виховано.",I think it is best not to be impolite.,I think it's better to be brought up.,-0.5654898285865784
144.0,"Гадаю, краще не бути нечемним.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.9069913029670715
145.0,"Гадаю, краще не бути нечемною.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.9069913029670715
146.0,Час завжди можна знайти.,One can always find time.,Time is always available.,0.4543668329715729
147.0,Завжди можна знайти час.,One can always find time.,You can always find time.,0.494324266910553
148.0,"Коли я вчився у школі, я вставав о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in school, I got up at six every morning.",0.2965106964111328
149.0,"Коли я вчилася у середній школі, я вставала о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in high school, I got up at six every morning.",0.40353113412857056
150.0,"Коли я прокинувся, мені було сумно.","When I woke up, I was sad.","When I woke up, I felt sad.",0.8978285789489746
151.0,"Я думав, тобі подобається вивчати нові речі.",I thought you liked to learn new things.,I thought you liked learning new things.,0.8228073716163635
152.0,"Я думала, тобі подобається дізнаватися нового.",I thought you liked to learn new things.,I thought you liked learning new things.,0.8228073716163635
153.0,Більшість людей робить щоденні нотатки про життя.,Most people write about their daily life.,Most people take notes every day about life.,0.5396094918251038
154.0,"Якщо б я міг надіслати тобі зефір, Чанг, я б це зробив.","If I could send you a marshmallow, Trang, I would.","If I could send you a Zafir, Chang, I'd do it.",-0.8572320938110352
155.0,"Ти повинен ризикнути, щоб зробити це.","In order to do that, you have to take risks.",You've got to risk doing that.,0.46074217557907104
156.0,"Усі самотні люди самотні через те, що бояться інших.",Every person who is alone is alone because they are afraid of others.,All lonely people are alone because they fear others.,0.43031758069992065
157.0,А чому Ви питаєте?,Why do you ask?,Why do you ask?,1.002763271331787
158.0,А чому ти питаєш?,Why do you ask?,Why do you ask?,1.002763271331787
159.0,А нащо ти питаєш?,Why do you ask?,Why do you ask?,1.002763271331787
160.0,Чому ти питаєш?,Why do you ask?,Why do you ask?,1.002763271331787
161.0,Чому ви питаєте?,Why do you ask?,Why do you ask?,1.002763271331787
162.0,Навіщо ви питаєте?,Why do you ask?,Why do you ask?,1.002763271331787
163.0,"Завжди, коли я знаходжу щось, що мені подобається, воно занадто дороге.","Whenever I find something I like, it's too expensive.","Whenever I find something I like, it's too expensive.",1.0009150505065918
164.0,Скільки ти там пробув?,How long did you stay?,How long have you been there?,0.4706500172615051
165.0,Чи довго ви там були?,How long did you stay?,How long have you been there?,0.4706500172615051
166.0,Може для нього це буде те ж саме.,Maybe it will be exactly the same for him.,Maybe it'll be the same for him.,0.874112606048584
167.0,Невинність - чудова річ.,Innocence is a beautiful thing.,Integrity is a wonderful thing.,0.28945720195770264
168.0,Люди не можуть жити вічно.,Humans were never meant to live forever.,Humans cannot live forever.,0.5118125677108765
169.0,"Я не хочу змінювати свої погляди, навіть якщо вони дещо екстремальні.","I don't want to lose my ideas, even though some of them are a bit extreme.","I don't want to change my views, even if they're somewhat extreme.",0.5265083312988281
170.0,Це інтригує.,That is intriguing.,That's intriguing.,1.0098302364349365
171.0,Я не маю облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.8831747174263
172.0,Я не зареєстрований на цих форумах.,I do not have an account in these forums.,I'm not registered in these forums.,0.4506618082523346
173.0,У мене немає облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.8831747174263
174.0,"Я не знав, звідки це взялося.",I didn't know where it came from.,I didn't know where this came from.,0.8284220099449158
175.0,Це не важливо.,This is not important.,It doesn't matter.,0.5200179219245911
176.0,Це неважливо.,This is not important.,It doesn't matter.,0.5200179219245911
177.0,Мені це не подобалось.,I didn't like it.,I didn't like it.,0.9643062353134155
178.0,Мені це не сподобалося.,I didn't like it.,I didn't like it.,0.9643062353134155
179.0,"Вона питає, як це можливо.",She's asking how that's possible.,She asks how it can be done.,0.4733055830001831
180.0,Ти просто тікаєш від життєвих проблем.,You're just running away from life's problems.,You're just running away from life's problems.,0.9453885555267334
181.0,"Є проблема, якої ти не розумієш.",There's a problem there that you don't see.,There's a problem that you don't understand.,0.5895922780036926
182.0,"Тут є проблема, якої ти не бачиш.",There's a problem there that you don't see.,There's a problem here that you can't see.,0.8117193579673767
183.0,Ти це можеш!,You can do it.,You can do it!,0.7435930371284485
184.0,Ти зможеш!,You can do it.,You can do it!,0.7435930371284485
185.0,Ти подужаєш!,You can do it.,You can do it!,0.7435930371284485
186.0,Ви це можете!,You can do it.,You can do it!,0.7435930371284485
187.0,Ви зможете!,You can do it.,You can do it!,0.7435930371284485
188.0,Ви подужаєте!,You can do it.,You can do it!,0.7435930371284485
189.0,У вас вийде.,You can do it.,You can do it.,1.0221850872039795
190.0,"Моєму вчителеві фізики байдуже, чи пропущу я заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,0.9507066011428833
191.0,"Моєму викладачу фізики байдуже, чи я пропускаю заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,0.9507066011428833
192.0,Я хотіла б мати можливість поїхати до Японії.,I wish I could go to Japan.,I'd like to be able to go to Japan.,0.570378839969635
193.0,Я хотів би мати можливість поїхати до Японії.,I wish I could go to Japan.,I wish I could go to Japan.,1.0026575326919556
194.0,"Я не люблю, коли навколо багато людей.",I hate it when there are a lot of people.,I don't like it when there are a lot of people around.,0.6147142052650452
195.0,"Я ненавиджу, коли навколо багато людей.",I hate it when there are a lot of people.,I hate it when there are a lot of people around.,0.8211192488670349
196.0,Маю піти спати.,I have to go to bed.,I have to go to bed.,1.0253442525863647
197.0,Я маю йти спати.,I have to go to bed.,I have to go to bed.,1.0253442525863647
198.0,Мені час йти спати.,I have to go to bed.,I have to go to bed.,1.0253442525863647
199.0,Я повинен лягати спати.,I have to go to bed.,I have to go to bed.,1.0253442525863647
200.0,"Потім я пішов звідти, але зрозумів, що забув сумку.","After that, I left, but then I realized that I forgot my backpack at their house.","Then I left, but I realized I had forgotten my bag.",0.21370434761047363
201.0,Я сьогодні не запитаю тебе більше ні про що.,I won't ask you anything else today.,I won't ask you anything else today.,0.9505168199539185
202.0,Наступного тижня очікуються заморозки.,It may freeze next week.,Next week freezes are expected.,0.16080674529075623
203.0,"Хоч він і вибачився, я все ще розлючений.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.7634506821632385
204.0,"Хоч він і вибачився, я все ще розлючена.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.7634506821632385
205.0,"Дякую, що ви мені нарешті пояснили, чому мене приймають за ідіота.",Thanks for having explained to me at last why people take me for an idiot.,Thank you for finally explaining to me why I'm being taken for an idiot.,0.16649866104125977
206.0,Я не мав такого наміру.,That wasn't my intention.,That wasn't my intention.,0.9218055605888367
207.0,Я не мала такого наміру.,That wasn't my intention.,That wasn't my intention.,0.9218055605888367
208.0,Дякую за пояснення.,Thanks for your explanation.,Thank you for explaining.,0.6396694779396057
209.0,"Теоретично, я займаюся математикою.","Theoretically, I'm doing math.","In theory, I'm doing math.",0.155197873711586
210.0,"Якщо ти не знав мене з цього боку, ти взагалі мене не знав.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.6134077906608582
211.0,"Якщо ви не знали мене з цього боку, ви взагалі мене не знали.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.6134077906608582
212.0,"Я не знаю, що ти маєш на увазі.",I don't know what you mean.,I don't know what you mean.,0.961100161075592
213.0,Ти хотів розказати мені про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,1.0012089014053345
214.0,Ти хотів мені розказати про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,1.0012089014053345
215.0,"Гм, а тепер це дійсно дивно...","Uh, now it's really weird...","Uh, now it's really weird...",0.9989355206489563
216.0,"Якби я хотів тебе налякати, я би розповів тобі, що мені снилося кілька тижнів тому.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","If I wanted to scare you, I'd tell you what I dreamt a few weeks ago.",0.8014249205589294
217.0,"Є багато слів, яких я не розумію.",There are many words that I don't understand.,There's a lot of words I don't understand.,0.713775098323822
218.0,Мені потрібно поставити тобі дурне питання.,I need to ask you a silly question.,I need to ask you a stupid question.,0.7656226754188538
219.0,Чи можна це перефразувати якось інакше?,Can it be phrased in another way?,Can it be rephrased in any other way?,-0.003918010741472244
220.0,Ніхто не дізнається.,No one will know.,No one will know.,1.0035172700881958
221.0,"Я знайшов рішення, але я зробив це так швидко, що воно не може бути вірним.","I found a solution, but I found it so fast that it can't be the right solution.","I found a solution, but I did it so fast that it can't be faithful.",-0.44165176153182983
222.0,Це здається мені цікавим.,It seems interesting to me.,That seems interesting to me.,0.8020855188369751
223.0,"Це не так просто, за винятком оцього.","Except that here, it's not so simple.","It's not that easy, except for this one.",0.27913808822631836
224.0,Мені подобається світло свічок.,I like candlelight.,I like candlelight.,1.0554468631744385
225.0,Що ти відповів?,What did you answer?,What did you say?,0.4592466652393341
226.0,Що ти відповіла?,What did you answer?,What did you say?,0.4592466652393341
227.0,Що ви відповіли?,What did you answer?,What Did You Answer?,0.974851131439209
228.0,"Ні, це не мій новий хлопець.","No, he's not my new boyfriend.","No, that's not my new boyfriend.",0.45212000608444214
229.0,Ти ніколи не займався чи що?,You never have class or what?!,You've never studied or what?,0.25112012028694153
230.0,У чому проблема?,Where is the problem?,What's the problem?,-0.10938066244125366
231.0,Я можу тільки чекати.,I can only wait.,I can only wait.,1.0084893703460693
232.0,Я можу лише чекати.,I can only wait.,I can only wait.,1.0084893703460693
233.0,"Це зовсім не дивно, чи не так?","It's not much of a surprise, is it?","That's not surprising, is it?",0.5903531908988953
234.0,Я люблю тебе.,I love you.,I love you.,1.0597853660583496
235.0,Я кохаю тебе.,I love you.,I love you.,1.0597853660583496
236.0,Я тебе кохаю.,I love you.,I love you.,1.0597853660583496
237.0,Я кохаю тебе!,I love you.,I love you!,0.6652275919914246
238.0,Я тебе люблю.,I love you.,I love you.,1.0597853660583496
239.0,Я люблю вaс.,I love you.,I love you.,1.0597853660583496
240.0,Я вaс кохаю.,I love you.,I love you.,1.0597853660583496
241.0,Я кохаю вaс.,I love you.,I love you.,1.0597853660583496
242.0,Я вaс люблю.,I love you.,I love you.,1.0597853660583496
243.0,Я вас люблю.,I love you.,I love you.,1.0597853660583496
244.0,Я вас кохаю.,I love you.,I love you.,1.0597853660583496
245.0,Ти мені вже не подобаєшся.,I don't like you anymore.,I don't like you anymore.,0.9769458174705505
246.0,Ти мені більше не подобаєшся.,I don't like you anymore.,I don't like you anymore.,0.9769458174705505
247.0,Мені цікаво.,I am curious.,I'm curious.,1.0948385000228882
248.0,Хочу знати.,I am curious.,I want to know.,0.17656032741069794
249.0,Хочу дізнатися.,I am curious.,I want to know.,0.17656032741069794
250.0,Я допитливий.,I am curious.,I'm curious.,1.0948385000228882
251.0,Вітаю!,Congratulations!,Congratulations!,1.0163238048553467
252.0,Вiтаємо.,Congratulations!,Let's see.,-0.8388214707374573
253.0,Поздоровляю!,Congratulations!,Congratulations!,1.0163238048553467
254.0,Мої привітання!,Congratulations!,Congratulations!,1.0163238048553467
255.0,Вітаємо!,Congratulations!,Congratulations!,1.0163238048553467
256.0,Вітаю.,Congratulations!,Congratulations.,0.8289234638214111
257.0,Не хочу чекати так довго.,I don't want to wait that long.,I don't want to wait that long.,0.9591554403305054
258.0,Я не хочу так довго чекати.,I don't want to wait that long.,I don't want to wait that long.,0.9591554403305054
259.0,Чого ти до нас приходиш?,Why don't you come visit us?,Why are you visiting us?,0.5086750984191895
260.0,Але ймовірність невелика.,But the possibility seems unlikely.,But there's not a lot of chance.,0.36868399381637573
261.0,Мені не слід було виходити з системи.,I shouldn't have logged off.,I shouldn't have left the system.,-0.08787280321121216
262.0,"Я не знаю, що ще можна зробити.",I don't know what to do anymore.,I don't know what else we can do.,0.4331444799900055
263.0,"Я не знаю більше, що робити.",I don't know what to do anymore.,I don't know what to do anymore.,0.9778273701667786
264.0,"Я більш не знаю, що мені робить.",I don't know what to do anymore.,I don't know what I'm doing anymore.,0.600051760673523
265.0,"Я неодмінно колись поїду у Францію, але ще не знаю, коли саме.","It is inevitable that I go to France someday, I just don't know when.","I'm sure I'll go to France someday, but I don't know when.",0.4539119005203247
266.0,Я не люблю хімію.,I hate chemistry.,I don't like chemistry.,0.6781623959541321
267.0,Я ненавиджу хімію.,I hate chemistry.,I hate chemistry.,1.065476655960083
268.0,"Я не бажав, щоб так трапилось.",I didn't want this to happen.,I didn't want that to happen.,0.8716607689857483
269.0,Які в мене є ще варіанти?,What other options do I have?,What other options do I have?,1.021962285041809
270.0,Я - невеликий мандрiвник.,I am not much of a traveller.,I'm a little wanderer.,-0.2234751582145691
271.0,Я не занадто сильно люблю подорожувати.,I am not much of a traveller.,I don't like traveling too much.,0.20116618275642395
272.0,Мені більше нема чим зайнятися.,I have nothing better to do.,I don't have anything else to do.,0.6776776313781738
273.0,Я теж не можу це пояснити.,I can't explain it either.,I can't explain it either.,0.9741983413696289
274.0,Я теж не знаходжу пояснення цьому.,I can't explain it either.,I don't find any explanation for it either.,0.7144501805305481
275.0,Кожен має сильні та слабкі сторони.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,1.0040562152862549
276.0,"Це лише показує, що ти не робот.",It only shows you're not a robot.,It just shows that you're not a robot.,0.7728472352027893
277.0,Як я можу бути роботом? Роботи не бачать снів.,How could I be a robot? Robots don't dream.,How can I be a robot? Robots can't dream.,0.8235670328140259
