Unnamed: 0,UK,EN,TRANSLATION,meteor_score
47,"Це тому, що ти не хочеш бути самотнім.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9995
48,"Це тому, що ти не хочеш бути один.",It's because you don't want to be alone.,It's because you don't want to be alone.,0.9995
49,Цього не трапиться.,That won't happen.,That won't happen.,0.9921875
50,Цього не станеться.,That won't happen.,It won't happen.,0.7361111111111112
51,Цього не буде.,That won't happen.,That's not going to happen.,0.2380952380952381
52,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to interfere with your study.,0.8861997310842195
53,"Я зроблю все, що в моїх силах, щоб не заважати вам навчатися.",I'll do my best not to disturb your studying.,I'll do my best not to disturb your study.,0.9995
54,"Я можу тільки здогадуватися, чи так це і для всіх інших.",I can only wonder if this is the same for everyone else.,I can only guess if it's the same for everyone else.,0.7361111111111112
55,Сумую без тебе.,I miss you.,I miss you.,0.9814814814814815
56,Я сумую за тобою.,I miss you.,I miss you.,0.9814814814814815
57,Мені тебе бракує.,I miss you.,I miss you.,0.9814814814814815
58,"Я подзвоню їм завтра, коли повернусь.",I'll call them tomorrow when I come back.,I'll call them tomorrow when I get back.,0.9993141289437586
59,Мені завжди більше подобалися загадкові персонажі.,I always liked mysterious characters more.,I've always liked mysterious characters more.,0.9653916211293262
60,Таємничі персонажі мені завжди більше подобалися.,I always liked mysterious characters more.,I've always liked secret characters better.,0.5174180327868853
61,Тобі краще поспати.,You should sleep.,You'd better sleep.,0.32258064516129037
62,Тобі треба поспати.,You should sleep.,You need to sleep.,0.32258064516129037
63,Я піду.,I'm going to go.,I'll go.,0.20833333333333331
64,Я буду йти.,I'm going to go.,I'll go.,0.20833333333333331
65,Я вже йду.,I'm going to go.,I'm on my way.,0.37500000000000006
66,Я збираюся йти.,I'm going to go.,I'm gonna go.,0.5111111111111111
67,Я сказав їм відправити мені ще один квиток.,I told them to send me another ticket.,I told them to send me another ticket.,0.9990234375
68,У тебе бракує терпцю на мене.,You're so impatient with me.,You don't have the patience for me.,0.16129032258064518
69,Ти такий нетерплячий зі мною.,You're so impatient with me.,You're so impatient with me.,0.9976851851851852
70,Я не можу так жити.,I can't live that kind of life.,I can't live like this.,0.5088141025641026
71,Колись я хотів бути астрофізиком.,I once wanted to be an astrophysicist.,I used to want to be an astrophysicist.,0.8294209702660407
72,Я ніколи не любив біології.,I never liked biology.,I never liked biology.,0.9921875
73,Мені ніколи не подобалася біологія.,I never liked biology.,I never liked biology.,0.9921875
74,Мені ніколи не подобалась біологія.,I never liked biology.,I never liked biology.,0.9921875
75,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний.",The last person I told my idea to thought I was nuts.,The last person I told my idea to decided I was crazy.,0.8300000000000002
76,"Остання особа, кому я розповіла про свою ідею, вирішила, що я божевільна.",The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was crazy.,0.9163223140495868
77,"На жаль, це правда.",It is unfortunately true.,"Unfortunately, it's true.",0.375
78,"На жаль, це так.",It is unfortunately true.,"Unfortunately, it is.",0.6552706552706553
79,Вони занадто зайняті взаємною боротьбою щоб перейматися спільними ідеалами.,They are too busy fighting against each other to care for common ideals.,They're too busy fighting each other to be concerned about common ideals.,0.7211538461538461
80,Більшість людей вважає мене божевільним.,Most people think I'm crazy.,Most people think I'm crazy.,0.9976851851851852
81,Більшість людей вважає мене божевільною.,Most people think I'm crazy.,Most people think I'm crazy.,0.9976851851851852
82,"Ні, не я, а ти!",No I'm not; you are!,"No, not me, but you!",0.22058823529411764
83,Він б'є мене ногами!,He's kicking me!,He's kicking me!,0.9921875
84,Ти впевнена?,Are you sure?,Are you sure?,0.9921875
85,Ти впевнений?,Are you sure?,Are you sure?,0.9921875
86,Ви впевнені?,Are you sure?,Are you sure?,0.9921875
87,Ти певен?,Are you sure?,Are you sure?,0.9921875
88,Ти певна?,Are you sure?,Are you sure?,0.9921875
89,Тоді ми маємо проблему...,Then there is a problem...,Then we have a problem...,0.5111111111111111
90,"О, тут метелик!","Oh, there's a butterfly!","Oh, there's a butterfly!",0.996
91,"Дивись, метелик!","Oh, there's a butterfly!","Look, a butterfly!",0.39062499999999994
92,Поспішай!,Hurry up.,Hurry!,0.2631578947368421
93,Швидше!,Hurry up.,Hurry up!,0.9375
94,Хутчіш!,Hurry up.,Hurry up!,0.9375
95,Поквапся!,Hurry up.,Hurry up!,0.9375
96,Ворушіться!,Hurry up.,Let's move!,0.0
97,Хутко!,Hurry up.,Hurry!,0.2631578947368421
98,Швидко!,Hurry up.,Quickly!,0.0
99,Хутко.,Hurry up.,Come on.,0.0
100,Це і не дивно.,It doesn't surprise me.,That's not surprising.,0.10204081632653061
101,Це мене не дивує.,It doesn't surprise me.,That doesn't surprise me.,0.7937500000000002
102,Чомусь я більш жвавий вночі.,For some reason I feel more alive at night.,Somehow I'm more alive at night.,0.5499999999999999
103,Це залежить від контексту.,It depends on the context.,That depends on the context.,0.7937500000000002
104,Залижить від контексту.,It depends on the context.,It's coming from the context.,0.5010893246187365
105,"Це що, такий жарт?",Are you freaking kidding me?!,Is that a joke?,0.0847457627118644
106,Це в тебе такі жарти?!,Are you freaking kidding me?!,Are you kidding me?,0.8203389830508474
107,"Ти що, знущаєшся з мене?!",Are you freaking kidding me?!,Are you kidding me?!,0.8203389830508474
108,"Ти з мене знущаєшся, чи що?!",Are you freaking kidding me?!,Are you kidding me?,0.8203389830508474
109,"Це найбільша нісенітниця, яку я коли-небудь казав.",That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever said.,0.5377777777777778
110,"Я не хочу бути жалюгідним, я хочу бути крутим!",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool!",0.8501505541674674
111,"Я не хочу бути жалюгідним, я хочу бути крутим.",I don't want to be lame; I want to be cool!!,"I don't want to be pathetic, I want to be cool.",0.8501505541674674
112,"Я хочу стати королем, як виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9375
113,"Я хочу стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9375
114,"Я мрію стати королем, коли виросту.","When I grow up, I want to be a king.",I want to be a king when I grow up.,0.9375
115,"Америка, чудове місце залишатися, якщо ти тут щоб заробити грощі.","America is a lovely place to be, if you are here to earn money.",America is a great place to stay if you're here to make money.,0.7668240850059032
116,Я такий гладкий.,I'm so fat.,I'm so fat.,0.9921875
117,Я дуже гладкий.,I'm so fat.,I'm very fat.,0.6388888888888888
118,Ну то що?,So what?,So what?,0.9814814814814815
119,І що?,So what?,So what?,0.9814814814814815
120,Ну і що?,So what?,So what?,0.9814814814814815
121,Ну й що?,So what?,So what?,0.9814814814814815
122,Я його застрелю.,I'm gonna shoot him.,I'll shoot him.,0.4406130268199233
123,"Я не справжня риба, я лишень плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.8329166666666669
124,"Я не справжня риба, я лише плюшева іграшка.","I'm not a real fish, I'm just a mere plushy.","I'm not a real fish, I'm just a stuffed toy.",0.8329166666666669
125,Я просто кажу!,I'm just saying!,I'm just saying!,0.9921875
126,"Скоріш за все, це й вплинуло на їхнє рішення.",That was probably what influenced their decision.,"Likely, this affected their decision.",0.275735294117647
127,Мені завжди було цікаво як це - мати братів та сестер.,I've always wondered what it'd be like to have siblings.,I've always wondered what it was like to have brothers and sisters.,0.7397204366901335
128,Я би так і сказав.,This is what I would have said.,That's what I'd say.,0.2717391304347826
129,"Мені знадобиться вічність, щоб все пояснити.",It would take forever for me to explain everything.,I'll need eternity to explain everything.,0.42613636363636365
130,"Це через те, що ти дівчина.",That's because you're a girl.,It's because you're a girl.,0.8551587301587302
131,"Це тому, що ти дівчинка.",That's because you're a girl.,That's because you're a girl.,0.9985422740524781
132,Часом я не в змозі стримати емоцій.,Sometimes I can't help showing emotions.,Sometimes I can't contain my emotions.,0.6914285714285714
133,"Це і є те слово, для якого я хотів би знайти заміну.",It's a word I'd like to find a substitute for.,That's the word I'd like to substitute for.,0.6600900423728814
134,Я не хочу бути егоїстичним.,I don't intend to be selfish.,I don't want to be selfish.,0.8412698412698414
135,Не маю наміру бути егоїстом.,I don't intend to be selfish.,I don't intend to be selfish.,0.9985422740524781
136,Давай розгляднемо найгірший із варіантів.,Let's consider the worst that could happen.,Let's consider the worst possible.,0.6384615384615385
137,"Давайте розгляднемо найгірший варіант з того, що могло би трапитися.",Let's consider the worst that could happen.,Let's consider the worst that could happen.,0.9990234375
138,Скільки у тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,0.9990234375
139,Скільки в тебе близьких друзів?,How many close friends do you have?,How many close friends do you have?,0.9990234375
140,"Можливо, я антисоціальний, але це не означає, що я не спілкуюся з людьми.","I may be antisocial, but it doesn't mean I don't talk to people.","I may be antisocial, but that doesn't mean I don't communicate with people.",0.7937500000000002
141,Так було завжди.,This is always the way it has been.,It's always been this way.,0.32051282051282054
142,Так завжди було.,This is always the way it has been.,It's always been this way.,0.32051282051282054
143,"Гадаю, краще поводитись виховано.",I think it is best not to be impolite.,I think it's better to be brought up.,0.625
144,"Гадаю, краще не бути нечемним.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.8819444444444444
145,"Гадаю, краще не бути нечемною.",I think it is best not to be impolite.,I think it's best not to be impolite.,0.8819444444444444
146,Час завжди можна знайти.,One can always find time.,Time is always available.,0.20408163265306123
147,Завжди можна знайти час.,One can always find time.,You can always find time.,0.7937500000000002
148,"Коли я вчився у школі, я вставав о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in school, I got up at six every morning.",0.7361111111111112
149,"Коли я вчилася у середній школі, я вставала о шостій кожного ранку.","Back in high school, I got up at 6 a.m. every morning.","When I was in high school, I got up at six every morning.",0.8231404958677685
150,"Коли я прокинувся, мені було сумно.","When I woke up, I was sad.","When I woke up, I felt sad.",0.8412698412698414
151,"Я думав, тобі подобається вивчати нові речі.",I thought you liked to learn new things.,I thought you liked learning new things.,0.8757427021441488
152,"Я думала, тобі подобається дізнаватися нового.",I thought you liked to learn new things.,I thought you liked learning new things.,0.8757427021441488
153,Більшість людей робить щоденні нотатки про життя.,Most people write about their daily life.,Most people take notes every day about life.,0.4445422535211268
154,"Якщо б я міг надіслати тобі зефір, Чанг, я б це зробив.","If I could send you a marshmallow, Trang, I would.","If I could send you a Zafir, Chang, I'd do it.",0.6782713085234094
155,"Ти повинен ризикнути, щоб зробити це.","In order to do that, you have to take risks.",You've got to risk doing that.,0.4395761741122566
156,"Усі самотні люди самотні через те, що бояться інших.",Every person who is alone is alone because they are afraid of others.,All lonely people are alone because they fear others.,0.353968253968254
157,А чому Ви питаєте?,Why do you ask?,Why do you ask?,0.996
158,А чому ти питаєш?,Why do you ask?,Why do you ask?,0.996
159,А нащо ти питаєш?,Why do you ask?,Why do you ask?,0.996
160,Чому ти питаєш?,Why do you ask?,Why do you ask?,0.996
161,Чому ви питаєте?,Why do you ask?,Why do you ask?,0.996
162,Навіщо ви питаєте?,Why do you ask?,Why do you ask?,0.996
163,"Завжди, коли я знаходжу щось, що мені подобається, воно занадто дороге.","Whenever I find something I like, it's too expensive.","Whenever I find something I like, it's too expensive.",0.9995
164,Скільки ти там пробув?,How long did you stay?,How long have you been there?,0.5174180327868853
165,Чи довго ви там були?,How long did you stay?,How long have you been there?,0.5174180327868853
166,Може для нього це буде те ж саме.,Maybe it will be exactly the same for him.,Maybe it'll be the same for him.,0.755560651226783
167,Невинність - чудова річ.,Innocence is a beautiful thing.,Integrity is a wonderful thing.,0.5111111111111111
168,Люди не можуть жити вічно.,Humans were never meant to live forever.,Humans cannot live forever.,0.3758169934640523
169,"Я не хочу змінювати свої погляди, навіть якщо вони дещо екстремальні.","I don't want to lose my ideas, even though some of them are a bit extreme.","I don't want to change my views, even if they're somewhat extreme.",0.44910179640718567
170,Це інтригує.,That is intriguing.,That's intriguing.,0.3333333333333333
171,Я не маю облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.8819444444444444
172,Я не зареєстрований на цих форумах.,I do not have an account in these forums.,I'm not registered in these forums.,0.5068181818181817
173,У мене немає облікового запису на цих форумах.,I do not have an account in these forums.,I don't have an account in these forums.,0.8819444444444444
174,"Я не знав, звідки це взялося.",I didn't know where it came from.,I didn't know where this came from.,0.864795918367347
175,Це не важливо.,This is not important.,It doesn't matter.,0.0
176,Це неважливо.,This is not important.,It doesn't matter.,0.0
177,Мені це не подобалось.,I didn't like it.,I didn't like it.,0.996
178,Мені це не сподобалося.,I didn't like it.,I didn't like it.,0.996
179,"Вона питає, як це можливо.",She's asking how that's possible.,She asks how it can be done.,0.3650793650793651
180,Ти просто тікаєш від життєвих проблем.,You're just running away from life's problems.,You're just running away from life's problems.,0.9993141289437586
181,"Є проблема, якої ти не розумієш.",There's a problem there that you don't see.,There's a problem that you don't understand.,0.8922558922558924
182,"Тут є проблема, якої ти не бачиш.",There's a problem there that you don't see.,There's a problem here that you can't see.,0.7500000000000001
183,Ти це можеш!,You can do it.,You can do it!,0.9921875
184,Ти зможеш!,You can do it.,You can do it!,0.9921875
185,Ти подужаєш!,You can do it.,You can do it!,0.9921875
186,Ви це можете!,You can do it.,You can do it!,0.9921875
187,Ви зможете!,You can do it.,You can do it!,0.9921875
188,Ви подужаєте!,You can do it.,You can do it!,0.9921875
189,У вас вийде.,You can do it.,You can do it.,0.9921875
190,"Моєму вчителеві фізики байдуже, чи пропущу я заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,0.9995
191,"Моєму викладачу фізики байдуже, чи я пропускаю заняття.",My physics teacher doesn't care if I skip classes.,My physics teacher doesn't care if I skip classes.,0.9995
192,Я хотіла б мати можливість поїхати до Японії.,I wish I could go to Japan.,I'd like to be able to go to Japan.,0.610958904109589
193,Я хотів би мати можливість поїхати до Японії.,I wish I could go to Japan.,I wish I could go to Japan.,0.9985422740524781
194,"Я не люблю, коли навколо багато людей.",I hate it when there are a lot of people.,I don't like it when there are a lot of people around.,0.868991969315594
195,"Я ненавиджу, коли навколо багато людей.",I hate it when there are a lot of people.,I hate it when there are a lot of people around.,0.9896039603960397
196,Маю піти спати.,I have to go to bed.,I have to go to bed.,0.9976851851851852
197,Я маю йти спати.,I have to go to bed.,I have to go to bed.,0.9976851851851852
198,Мені час йти спати.,I have to go to bed.,I have to go to bed.,0.9976851851851852
199,Я повинен лягати спати.,I have to go to bed.,I have to go to bed.,0.9976851851851852
200,"Потім я пішов звідти, але зрозумів, що забув сумку.","After that, I left, but then I realized that I forgot my backpack at their house.","Then I left, but I realized I had forgotten my bag.",0.453125
201,Я сьогодні не запитаю тебе більше ні про що.,I won't ask you anything else today.,I won't ask you anything else today.,0.9990234375
202,Наступного тижня очікуються заморозки.,It may freeze next week.,Next week freezes are expected.,0.5111111111111111
203,"Хоч він і вибачився, я все ще розлючений.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.8737244897959183
204,"Хоч він і вибачився, я все ще розлючена.","Even though he apologized, I'm still furious.","Even though he apologized, I'm still mad.",0.8737244897959183
205,"Дякую, що ви мені нарешті пояснили, чому мене приймають за ідіота.",Thanks for having explained to me at last why people take me for an idiot.,Thank you for finally explaining to me why I'm being taken for an idiot.,0.5922865013774105
206,Я не мав такого наміру.,That wasn't my intention.,That wasn't my intention.,0.996
207,Я не мала такого наміру.,That wasn't my intention.,That wasn't my intention.,0.996
208,Дякую за пояснення.,Thanks for your explanation.,Thank you for explaining.,0.25
209,"Теоретично, я займаюся математикою.","Theoretically, I'm doing math.","In theory, I'm doing math.",0.778186274509804
210,"Якщо ти не знав мене з цього боку, ти взагалі мене не знав.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.8613412228796845
211,"Якщо ви не знали мене з цього боку, ви взагалі мене не знали.",If you didn't know me that way then you simply didn't know me.,"If you didn't know me that way, you didn't know me at all.",0.8613412228796845
212,"Я не знаю, що ти маєш на увазі.",I don't know what you mean.,I don't know what you mean.,0.9985422740524781
213,Ти хотів розказати мені про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,0.9990234375
214,Ти хотів мені розказати про свободу?,You wanted to tell me about freedom?,You wanted to tell me about freedom?,0.9990234375
215,"Гм, а тепер це дійсно дивно...","Uh, now it's really weird...","Uh, now it's really weird...",0.9976851851851852
216,"Якби я хотів тебе налякати, я би розповів тобі, що мені снилося кілька тижнів тому.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","If I wanted to scare you, I'd tell you what I dreamt a few weeks ago.",0.8909086941340781
217,"Є багато слів, яких я не розумію.",There are many words that I don't understand.,There's a lot of words I don't understand.,0.618131868131868
218,Мені потрібно поставити тобі дурне питання.,I need to ask you a silly question.,I need to ask you a stupid question.,0.864795918367347
219,Чи можна це перефразувати якось інакше?,Can it be phrased in another way?,Can it be rephrased in any other way?,0.6944444444444445
220,Ніхто не дізнається.,No one will know.,No one will know.,0.9921875
221,"Я знайшов рішення, але я зробив це так швидко, що воно не може бути вірним.","I found a solution, but I found it so fast that it can't be the right solution.","I found a solution, but I did it so fast that it can't be faithful.",0.755560651226783
222,Це здається мені цікавим.,It seems interesting to me.,That seems interesting to me.,0.7937500000000002
223,"Це не так просто, за винятком оцього.","Except that here, it's not so simple.","It's not that easy, except for this one.",0.5506172839506173
224,Мені подобається світло свічок.,I like candlelight.,I like candlelight.,0.9814814814814815
225,Що ти відповів?,What did you answer?,What did you say?,0.7500000000000001
226,Що ти відповіла?,What did you answer?,What did you say?,0.7500000000000001
227,Що ви відповіли?,What did you answer?,What Did You Answer?,0.996
228,"Ні, це не мій новий хлопець.","No, he's not my new boyfriend.","No, that's not my new boyfriend.",0.8412698412698414
229,Ти ніколи не займався чи що?,You never have class or what?!,You've never studied or what?,0.6371428571428571
230,У чому проблема?,Where is the problem?,What's the problem?,0.5888888888888889
231,Я можу тільки чекати.,I can only wait.,I can only wait.,0.9921875
232,Я можу лише чекати.,I can only wait.,I can only wait.,0.9921875
233,"Це зовсім не дивно, чи не так?","It's not much of a surprise, is it?","That's not surprising, is it?",0.6071019473081329
234,Я люблю тебе.,I love you.,I love you.,0.9814814814814815
235,Я кохаю тебе.,I love you.,I love you.,0.9814814814814815
236,Я тебе кохаю.,I love you.,I love you.,0.9814814814814815
237,Я кохаю тебе!,I love you.,I love you!,0.9814814814814815
238,Я тебе люблю.,I love you.,I love you.,0.9814814814814815
239,Я люблю вaс.,I love you.,I love you.,0.9814814814814815
240,Я вaс кохаю.,I love you.,I love you.,0.9814814814814815
241,Я кохаю вaс.,I love you.,I love you.,0.9814814814814815
242,Я вaс люблю.,I love you.,I love you.,0.9814814814814815
243,Я вас люблю.,I love you.,I love you.,0.9814814814814815
244,Я вас кохаю.,I love you.,I love you.,0.9814814814814815
245,Ти мені вже не подобаєшся.,I don't like you anymore.,I don't like you anymore.,0.9976851851851852
246,Ти мені більше не подобаєшся.,I don't like you anymore.,I don't like you anymore.,0.9976851851851852
247,Мені цікаво.,I am curious.,I'm curious.,0.3333333333333333
248,Хочу знати.,I am curious.,I want to know.,0.16129032258064518
249,Хочу дізнатися.,I am curious.,I want to know.,0.16129032258064518
250,Я допитливий.,I am curious.,I'm curious.,0.3333333333333333
251,Вітаю!,Congratulations!,Congratulations!,0.5
252,Вiтаємо.,Congratulations!,Let's see.,0.0
253,Поздоровляю!,Congratulations!,Congratulations!,0.5
254,Мої привітання!,Congratulations!,Congratulations!,0.5
255,Вітаємо!,Congratulations!,Congratulations!,0.5
256,Вітаю.,Congratulations!,Congratulations.,0.5
257,Не хочу чекати так довго.,I don't want to wait that long.,I don't want to wait that long.,0.9990234375
258,Я не хочу так довго чекати.,I don't want to wait that long.,I don't want to wait that long.,0.9990234375
259,Чого ти до нас приходиш?,Why don't you come visit us?,Why are you visiting us?,0.5717948717948719
260,Але ймовірність невелика.,But the possibility seems unlikely.,But there's not a lot of chance.,0.09433962264150944
261,Мені не слід було виходити з системи.,I shouldn't have logged off.,I shouldn't have left the system.,0.6506147540983607
262,"Я не знаю, що ще можна зробити.",I don't know what to do anymore.,I don't know what else we can do.,0.7270233196159123
263,"Я не знаю більше, що робити.",I don't know what to do anymore.,I don't know what to do anymore.,0.9990234375
264,"Я більш не знаю, що мені робить.",I don't know what to do anymore.,I don't know what I'm doing anymore.,0.7067271352985638
265,"Я неодмінно колись поїду у Францію, але ще не знаю, коли саме.","It is inevitable that I go to France someday, I just don't know when.","I'm sure I'll go to France someday, but I don't know when.",0.6988980716253445
266,Я не люблю хімію.,I hate chemistry.,I don't like chemistry.,0.3125
267,Я ненавиджу хімію.,I hate chemistry.,I hate chemistry.,0.9814814814814815
268,"Я не бажав, щоб так трапилось.",I didn't want this to happen.,I didn't want that to happen.,0.8412698412698414
269,Які в мене є ще варіанти?,What other options do I have?,What other options do I have?,0.9985422740524781
270,Я - невеликий мандрiвник.,I am not much of a traveller.,I'm a little wanderer.,0.14705882352941174
271,Я не занадто сильно люблю подорожувати.,I am not much of a traveller.,I don't like traveling too much.,0.2142857142857143
272,Мені більше нема чим зайнятися.,I have nothing better to do.,I don't have anything else to do.,0.5090725806451614
273,Я теж не можу це пояснити.,I can't explain it either.,I can't explain it either.,0.9976851851851852
274,Я теж не знаходжу пояснення цьому.,I can't explain it either.,I don't find any explanation for it either.,0.5009920634920636
275,Кожен має сильні та слабкі сторони.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,0.996
276,"Це лише показує, що ти не робот.",It only shows you're not a robot.,It just shows that you're not a robot.,0.8301839254220206
277,Як я можу бути роботом? Роботи не бачать снів.,How could I be a robot? Robots don't dream.,How can I be a robot? Robots can't dream.,0.8030303030303031
278,Як я можу бути роботом? Роботи не мріють.,How could I be a robot? Robots don't dream.,How can I be a robot? Robots don't dream.,0.9054545454545455
279,"Це не те, що може зробити кожен.",It's not something anyone can do.,That's not something anyone can do.,0.8551587301587302
280,"Я не знаю, чи я все ще це маю.",I don't know if I still have it.,I don't know if I still have it.,0.9993141289437586
281,"Як ти гадаєш, що я робив?",What do you think I've been doing?,What do you think I was doing?,0.7773446457234581
282,"А що, на твою думку, я робив?",What do you think I've been doing?,What do you think I did?,0.7861781076066792
283,"А що, на твою думку, я роблю?",What do you think I've been doing?,What do you think I'm doing?,0.7773446457234581
284,Не недооцінюй моєї сили.,Don't underestimate my power.,Don't underestimate my power.,0.996
285,Не недооцінюй моєї влади.,Don't underestimate my power.,Don't underestimate my power.,0.996
286,Мама не дуже добре говорить англійською.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,0.864795918367347
287,Я недостатньо добре говорю французькою!,I don't speak French well enough!,I don't speak French well enough!,0.9985422740524781
288,Саме в цьому й полягає проблема.,Therein lies the problem.,That's the problem.,0.46875
289,У цьому і є проблема.,Therein lies the problem.,That's the problem.,0.46875
290,Як ти знайдеш їжу в космосі?,How do you find food in outer space?,How do you find food in space?,0.8918539325842695
291,Як можна знайти їжу в космосі?,How do you find food in outer space?,How can we find food in space?,0.6320224719101123
292,"Все, що ви можете робити, — це довіряти один одному.",All you can do is trust one another.,All you can do is trust each other.,0.748263888888889
293,Усі хочуть зустрітись з вами. Ви знаменитий!,Everyone wants to meet you. You're famous!,Everybody wants to meet you. You're famous!,0.8737244897959183
294,"Всі хочуть з тобою познайомитися, ти знаменитий!",Everyone wants to meet you. You're famous!,"Everybody wants to meet you, you're famous!",0.8737244897959183
