Unnamed: 0,de,uk,TRANSLATION,meteor_score
35,Alle Hunde sind lebendig.,Всі собаки живі.,Всі собаки живі.,0.9814814814814815
36,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Усі собаки - тварини, але це не означає, що всі тварини - це собаки.",0.7314995899312345
37,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Усі їхні зусилля були даремними.,0.5888888888888889
38,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Усі хлопці люблять грати в бейсбол.,0.25
39,Alle Jungen tanzten.,Усі хлопці танцювали.,Усі хлопці танцювали.,0.9814814814814815
40,Alle kannten das.,Усі це знали.,Всі знали це.,0.3333333333333333
41,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Усі діти отримали подарунок.,0.7361111111111112
42,Alle lächelten.,Всі посміхнулися.,Всі усміхнулися.,0.25
43,Alle lachten über ihn.,Всі сміялися з нього.,Усі сміялися з нього.,0.7361111111111112
44,Alle lieben ihn.,Його всі люблять.,Усі люблять його.,0.3333333333333333
45,Alle lieben mich.,Усі люблять мене.,Усі люблять мене.,0.9814814814814815
46,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Всі мої друзі люблять американський футбол.,0.9976851851851852
47,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Усі мої друзі люблять футбол.,0.7937500000000002
48,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Усі мої друзі люблять комп'ютерні ігри.,0.8300000000000002
49,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Там будуть усі мої друзі.,0.996
50,Alle Menschen müssen sterben.,Всі люди повинні померти.,Усі люди мусять померти.,0.25
51,Alle Menschen sind gleich.,Всі люди рівні.,Усі люди однакові.,0.16666666666666666
52,Alle mögen große Pizzas.,Усі люблять великі піци.,Всі люблять велику піцу.,0.125
53,Alle müssen es wissen.,Усі мають знати.,Всі повинні знати.,0.16666666666666666
54,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Всім потрібно було вивчити французьку.,0.45731707317073167
55,Alle nennen ihn Mac.,Усі називають його Маком.,Усі називають його Мак.,0.7361111111111112
56,Alle reden über Tom.,Усі говорять про Тома.,Усі говорять про Тома.,0.9921875
57,Aller guten Dinge sind drei.,Бог любить трійцю.,Все добре - це три речі.,0.0
58,Alle schlafen.,Всі сплять.,Всі сплять.,0.9375
59,Alle schlafen.,Усі сплять.,Всі сплять.,0.25
60,Alles gut bei euch?,У всіх усе гаразд?,З вами все гаразд?,0.37500000000000006
61,Alles Gute zum Geburtstag!,З днем народження!,З днем народження!,0.9814814814814815
62,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Все залежить від твого вибору.,0.5888888888888889
63,Alles hier gehört mir.,Тут все моє.,Все це моє.,0.3333333333333333
64,Alle sind bereit.,Усі готові.,Усі готові.,0.9375
65,Alle sind geschockt.,Всі в шоці.,Всі були шоковані.,0.16666666666666666
66,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Усі дуже зайняті.,0.9814814814814815
67,Alles in Ordnung?,Все добре?,Ти в порядку?,0.16129032258064518
68,Alles ist gut.,Все в порядку.,Все добре.,0.17241379310344826
69,Alles ist gut.,Все гаразд.,Все добре.,0.25
70,Alles ist gut.,Усе гаразд.,Все добре.,0.0
71,Alles ist in Butter.,Все в шоколаді.,Все в маслі.,0.625
72,Alles ist möglich.,Можливо все.,Все можливо.,0.5
73,Alles ist vorbei.,Все скінчилося.,Все скінчилося.,0.9375
74,Alles oder nichts.,Все чи нічого.,Все або нічого.,0.3333333333333333
75,Alles war nur ein Scherz.,Усе було лише жартом.,Все було просто жартома.,0.125
76,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Все, що тобі потрібно, це натиснути цю червону кнопку.",0.6226379440665155
77,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Все, що має початок, теж має кінець.",0.8035714285714286
78,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Все, що в мене є, це книга.",0.3650793650793651
79,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Все, що Том сказав, правда.",0.6305084745762711
80,Alles wird gut sein.,Все буде в порядку.,Все буде добре.,0.48076923076923084
81,Alles wird gut werden.,Все буде в порядку.,Все буде добре.,0.48076923076923084
82,Alles wird gut.,Все буде добре.,Все буде добре.,0.9814814814814815
83,Alle überlebten.,Всі вижили.,Усі пережили.,0.0
84,Alle Vögel haben Federn.,Всі птахи мають пір'я.,У всіх птахів пір'я.,0.49074074074074076
85,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Усі заздрили моєму успіху.,0.9921875
86,Alle waren zufrieden.,Усі були задоволені.,Усі були задоволені.,0.9814814814814815
87,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Всі шляхи ведуть до Риму.,0.7500000000000001
88,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Всі шляхи ведуть до Риму.,0.7937500000000002
89,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Алмати - моє улюблене місто!,0.996
90,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Прокинувшись, впав сніг.",0.10416666666666666
91,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.",У підлітковому віці Том любив писати вірші.,0.14285714285714285
92,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.",У підлітковому віці Том любив писати вірші.,0.4746835443037974
93,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?","Ну що, з роботи?",0.10000000000000002
94,Also sprach Zarathustra.,Так казав Заратустра.,"Отже, царська атмостра говорила.",0.0
95,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Старі килими цінніші за нові.,0.7500000000000001
96,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Старі килими цінніші за нові.,0.996
97,Aluminium ist ein Metall.,Алюміній - метал.,Алюміній - це метал.,0.8243727598566307
98,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,24 грудня - Різдво.,0.600907029478458
99,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,На початку Бог створив небо і землю.,0.8412698412698414
100,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Американці дуже добрі люди.,0.3061224489795918
101,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,У день весілля всі наречені гарні.,0.8300000000000002
102,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Я ніколи не працюю на вихідних.,0.6614583333333333
103,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,На палубі — 48 моряків.,0.20000000000000004
104,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,На твоєму місці я негайно пішов додому.,0.7454289732770746
105,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,На твоєму місці я б цього не зробив.,0.6320224719101123
106,An der Wand hängt eine Karte.,На стіні висить географічна карта.,На стіні висить карта.,0.7653061224489797
107,An der Wand hängt eine Karte.,На стіні висить мапа.,На стіні висить карта.,0.7361111111111112
108,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Анжеліка Пікс дуже егоїстка.,0.25
109,Angenehm!,Приємно познайомитися!,Як приємно!,0.25
110,Anja lebt in Danzig.,Аня живе у Гданьску.,Аня живе в Данці.,0.46875
111,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,Анкара — столиця Туреччини.,0.6388888888888888
112,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,На моє пальто вийшла кнопка.,0.07352941176470587
113,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Анна Аматова, Максим Ґоркі, Аркаді Ґайдар, Марк Твен, О. Генрі, Джордж Сандель, Мір'є, Вольтер, вони всі носять не свої справжні імена, а псевдоніми.",0.39762010904975825
114,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Енн дуже любить шоколад.,0.7361111111111112
115,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Замість ходити до школи, він залишився вдома.",0.5068181818181817
116,Antworte mir.,Дай мені відповідь.,Відповідай мені.,0.17241379310344826
117,Antworten Sie auf Englisch.,Відповідайте англійською.,Відповідайте на англійську.,0.2380952380952381
118,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Відповідайте на англійську.,0.0
119,Antwortet auf Englisch.,Відповідайте англійською.,Відповісте англійською.,0.25
120,Äpfel sind rot.,Яблука червоні.,Яблука червоні.,0.9375
121,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Яблуки ростуть на деревах.,0.7361111111111112
122,Araber verfolgen mich.,Араби мене переслідують.,Араби переслідують мене.,0.5
123,Arbeit adelt.,Праця облагороджує.,Працюйте.,0.0
124,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Працюй швидко, їж повільно!",0.9921875
125,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Ти працюєш у готелі завтра вранці?,0.6914285714285714
126,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Аргентина, Чілі, Уругваю, Парагваю та південна Бразилія є частиною південного узбережжя Бразилії.",0.6232763375620519
127,Ärgere dich nicht.,Не злостися!,Не засмучуйся.,0.25
128,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Аскана — столиця Казахстану.,0.46875
129,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Глибоко вдихніть і розслабтеся.,0.6388888888888888
130,Atmen Sie tief ein.,Глибоко вдихніть.,Глибоко вдихніть.,0.9375
131,Atmet ein.,Вдихніть.,Дихай.,0.0
132,Atmet sie?,Вона дихає?,Вона дихає?,0.9814814814814815
133,Auch das noch!,Лише цього не вистачало!,І це теж!,0.0
134,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Також найкрихіша корова дає тільки біле молоко.,0.5357142857142857
135,Auch er ist Schriftsteller.,Він теж письменник.,Він також письменник.,0.3333333333333333
136,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Бог також розуміє Есперанто.,0.6388888888888888
137,Auch ich liebe euch.,Я вас теж кохаю.,Я теж вас люблю.,0.375
138,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Я теж люблю солодощі.,0.0
139,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Моя мати також є вчителькою.,0.45731707317073167
140,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Вона теж любить шоколад.,0.6388888888888888
141,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Америка — це розвинена країна, але там живуть бідні люди.",0.37796610169491524
142,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,На цьому документі був підпис.,0.3
143,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,На Місяці немає повітря.,0.9921875
144,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,На столі є квітка.,0.8243727598566307
145,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,На столі лежить яблуко.,0.6388888888888888
146,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,На столі лежить кавун.,0.7361111111111112
147,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,На столі стоїть ваза.,0.9921875
148,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,По дорозі до школи я втратив гаманець.,0.8035714285714286
149,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,На острові тепло цілий рік.,0.8203389830508474
150,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,На острові тепло цілий рік.,0.8203389830508474
151,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,На вулиці нікого немає.,0.600907029478458
152,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,У світі існує понад сім тисяч мов.,0.3650793650793651
153,Auf die Knie!,На коліна!,На коліна!,0.9375
154,Auf was warten wir?,На що ми чекаємо?,Чого ми чекаємо?,0.600907029478458
155,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,На якому коні ти з'їхав?,0.25
156,Auf wen wartest du?,На кого ти чекаєш?,Кого ти чекаєш?,0.8099489795918368
157,Auf wen wartet ihr?,На кого ви чекаєте?,На кого чекаєте?,0.7653061224489797
158,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","До побачення, Сайоко.",0.9814814814814815
159,Auf Wiedersehen!,До побачення!,До побачення.,0.9375
160,Auf Wiedersehen!,Побачимося!,До побачення.,0.0
161,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,На скільки концертів ти був минулого року?,0.8294209702660407
162,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Скільки концертів було минулого року?,0.7014492753623188
163,Augenblick...,Хвилиночку...,Хвилинку.,0.0
164,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Очі - це вікна душі.,0.996
165,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ця маленька дівчинка стала чарівною жінкою.,0.3125
166,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Винятки підтверджують правило.,0.625
167,Aus persönlichen Gründen.,З особистих причин.,З особистих причин.,0.9814814814814815
168,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.","Окрім мене, у нього немає друзів.",0.9814814814814815
169,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.","Ніхто, крім батьків, не знає його правильно.",0.5068181818181817
170,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Австралія експортує велику кількість вовни.,0.6233062330623306
171,Australien ist nicht Österreich.,Австралія - це не Австрія.,Австралія не є Австрія.,0.3061224489795918
172,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Скільки островів складається з Індонезії?,0.29411764705882354
173,Babys fallen oft um.,Діти часто падають.,Діти часто гинуть.,0.625
174,Babys fallen oft.,Діти часто падають.,Малюки часто падають.,0.625
175,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Баку — столиця Азербайджану.,0.6388888888888888
176,Bald ist es Frühling.,Скоро весна.,Уже настала весна.,0.2380952380952381
177,Bald ist Neujahr.,Скоро Новий Рік.,Скоро Новий рік.,0.9814814814814815
178,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Незабаром у нас буде сімдесят п'ять тисяч російських речень.,0.37878787878787884
179,Bananen schmecken gut.,Банани смачні.,Банани смачні.,0.9375
180,Barack Obama ist Christ.,Барак Обама християнин.,Барак Обама - християнин.,0.8243727598566307
181,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,"Барселона — столиця Каталонії, друга за величиною столиця Іспанії.",0.2314814814814815
182,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,"Барселона — столиця Каталонії, а друге друге — Іспанії.",0.3444444444444445
183,Bären mögen Honig.,Ведмеді люблять мед.,Ведмеді люблять мед.,0.9814814814814815
184,Bäume leben.,Дерева живі.,Дерева живуть.,0.25
185,Beantworten Sie die Frage!,Відповідайте на запитання!,Відповідайте на питання!,0.625
186,Beantworten Sie die Frage!,Дайте відповідь на питання!,Відповідайте на питання!,0.48076923076923084
187,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.","Швидше, бо втратиш поїзд.",0.08620689655172413
188,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.","Поспішайте, бо ще не пропустите поїзд.",0.16666666666666666
189,Beeilen wir uns lieber!,Нам краще поспiшити.,Поспішаймо!,0.0
190,"Beeilt euch, Leute!","Покваптеся, хлопці.","Хутчіш, хлопці!",0.25
191,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Поспішайте, інакше пропустите поїзд.",0.0
192,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.","Поспішайте, інакше пропустите поїзд.",0.0
193,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,« Радість » Бетеговена є офіційним гімном Європейського Союзу.,0.29224537037037035
194,Befreit Bolivien!,Свободу Болівії!,Очистити Болівію!,0.0
195,Beginnen Sie noch einmal.,Почніть знову.,Почніть ще раз.,0.2380952380952381
196,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Поблизу густого туману не було видно.,0.0
197,Beide sind am Leben.,Вони обидва живі.,Вони обоє живі.,0.3333333333333333
198,Beide sind am Leben.,Обидва живі.,Вони обоє живі.,0.2380952380952381
199,Beide sind tot.,Вони обидва мертві.,Вони обидва мертві.,0.9814814814814815
200,Beide sind tot.,Вони обидві мертві.,Вони обидва мертві.,0.3333333333333333
201,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.","Під час пожежі, будь ласка, використовуйте сходи.",0.09615384615384616
202,Beißt dein Hund?,Твій собака кусається?,Укусив собаку?,0.12820512820512822
203,Bei uns ist alles in Ordnung.,У нас все гаразд.,З нами все гаразд.,0.46875
204,Beleidigen Sie mich nicht!,Не ображайте мене.,Не звинувачуй мене!,0.3333333333333333
205,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Бельгія менша за Францію.,0.08620689655172413
206,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,Белград — столиця Сербії.,0.6388888888888888
207,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Белград — столиця Сербії.,0.5215419501133786
208,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Не поводься як дитина!,0.6388888888888888
209,Benimm dich anständig.,Поводься чемно.,Поводься пристойно.,0.25
210,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Не поводься як дитина!,0.9921875
211,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Берлін - німецьке місто.,0.9921875
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.","Краще пташка в руках, ніж десять в повітрі.",0.25
213,Besser.,Так ліпше.,Краще.,0.0
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Чи ви займаєтесь якимись видами спорту?,0.4826958105646631
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Бетті - серійна вбивця.,0.9921875
216,Betty kam als letzte.,Беті прийшла останньою.,Бетті прийшла останнім.,0.16666666666666666
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Бетті дуже добре розмовляє з Есперанто.,0.625
218,Beweise es.,Доведи це.,Доведи.,0.2631578947368421
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Заплати, що хочеш.",0.25641025641025644
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Зніміться на перехресті праворуч.,0.6388888888888888
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Білл часто йде до парку.,0.7500000000000001
222,Billig ist teuer.,Скупий платить двічі.,Це дорого.,0.0
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Білл повернеться наступного тижня.,0.7361111111111112
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Білл живе біля моря.,0.20408163265306123
225,Bill raucht nicht mehr.,Білл більше не палить.,Білл більше не курить.,0.7361111111111112
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Білл, подзвони мені сьогодні ввечері.",0.5888888888888889
227,Bill war in Japan.,Біл був у Японії.,Білл був в Японії.,0.25
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Білл живе біля моря.,0.20408163265306123
229,Bin ich bereit?,Я готова?,Я готовий?,0.3333333333333333
230,Bin ich bereit?,Я готовий?,Я готовий?,0.9814814814814815
231,Bin ich gefeuert?,Я звільнена?,Мене звільнено?,0.16666666666666666
232,Bin ich in London?,Чи я в Лондоні?,Я в Лондоні?,0.8099489795918368
233,Bin ich in London?,Я в Лондоні?,Я в Лондоні?,0.9921875
234,Bis bald!,Побачимося!,Бувай!,0.0
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,До п'ятої години він повернеться.,0.635593220338983
236,Bis morgen!,До завтра!,До завтра.,0.9375
237,Bis nächste Woche!,Побачимося наступного тижня.,Побачимося наступного тижня!,0.9814814814814815
238,Bis später!,Побачимось пізніше!,Побачимося пізніше!,0.25
239,Bist du am Arbeiten?,Ти на роботі?,Ти працюєш?,0.25641025641025644
240,Bist du Amerikaner?,Ти американець?,Ти ж американець?,0.8243727598566307
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Чи ти цікавишся музикою?,0.12195121951219512
242,Bist du Atheist?,Ти атеїст?,Ти атеїст?,0.9814814814814815
243,Bist du Atheist?,Ти атеїстка?,Ти атеїст?,0.3333333333333333
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Ти зі Сполучених Штатів?,0.996
245,Bist du Ausländer?,Ти іноземець?,Ти іноземець?,0.9814814814814815
246,Bist du bei mir?,Ти зі мною?,Ти зі мною?,0.9921875
247,Bist du bereit anzufangen?,Готовий починати?,Готовий почати?,0.3333333333333333
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,Ти готовий вийти з дому?,0.2380952380952381
249,Bist du Deutscher?,Ти німець?,Ти німець?,0.9814814814814815
250,Bist du dick?,Ти гладкий?,Ти товста?,0.3333333333333333
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Ти гарна танцівниця?,0.25
252,Bist du ein Einzelkind?,Ти єдина дитина?,Ти одинока дитина?,0.6388888888888888
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Ти хороший танцюрист?,0.25
254,Bist du ein Mensch?,Ти людина?,Ти людина?,0.9814814814814815
255,Bist du ein Vampir?,Ти вампір?,Ти вампір?,0.9814814814814815
256,Bist du Engländer?,Ти англієць?,Ти англієць?,0.9814814814814815
257,Bist du enttäuscht?,Ти розчарована?,Чи ви розчаровані?,0.16129032258064518
258,Bist du es?,Це ти?,Це ти?,0.9814814814814815
259,Bist du fertig?,Ти готова?,Готовий?,0.17241379310344826
260,Bist du fertig?,Ти готовий?,Готовий?,0.6465517241379309
261,Bist du gesund?,Ти здорова?,Ти здоровий?,0.3333333333333333
262,Bist du gesund?,Ти здоровий?,Ти здоровий?,0.9814814814814815
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,"Якщо ти попереджений, ти готовий.",0.12195121951219512
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Ти зайнятий сьогодні?,0.5
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Ти пішов до школи сьогодні?,0.6200000000000001
