Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,Normalized_BLEURT_Score,Percentage_BLEURT_Score,UK
23.0,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Усі листя дерева стали жовтими.,0.9303412437438965,0.9855138028806354,98.55138028806354,
24.0,Alle blieben.,Всі залишилися.,Усі залишилися.,0.8965376615524292,0.9695857602349462,96.95857602349463,
25.0,Alle Frauen sind schön.,Всі жінки гарні.,Всі жінки прекрасні.,0.9153594374656677,0.9784544667440849,97.84544667440849,
26.0,Alle haben geschlafen.,Усі спали.,Всі спали.,0.8166319131851196,0.9319346568571666,93.19346568571666,
27.0,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Усі ми зацікавлені в історії, і в певному розумінні всі ми є істориками.",0.8824837803840637,0.962963656775045,96.2963656775045,
28.0,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Усі вважають Том божевільним.,0.7412220239639282,0.896401975006513,89.6401975006513,
29.0,Alle hassen mich.,Усі мене ненавидять.,Всі мене ненавидять.,0.9100427627563477,0.9759492819082398,97.59492819082398,
30.0,Alle hassen Tom.,Всі ненавидять Тома.,Усі ненавидять Тома.,0.921594500541687,0.9813923906011152,98.13923906011152,
31.0,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,У всіх був гарний рік.,0.9029258489608765,0.9725958353475208,97.25958353475208,
32.0,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,У всіх був гарний рік.,0.8926751613616943,0.9677657736013244,96.77657736013245,
33.0,Alle hatten Hunger.,Усі хотіли їсти.,Усі голодували.,0.3665723502635956,0.7198693239373993,71.98693239373993,
34.0,Alle Hunde sind am Leben.,Всі собаки живі.,Усі собаки живі.,0.9357442259788513,0.9880596552984299,98.805965529843,
35.0,Alle Hunde sind lebendig.,Всі собаки живі.,Всі собаки живі.,0.9533791542053223,0.996369126385071,99.6369126385071,
36.0,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Усі собаки - тварини, але це не означає, що всі тварини - це собаки.",0.90840744972229,0.9751787323375468,97.51787323375468,
37.0,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Усі їхні зусилля були даремними.,0.812686026096344,0.9300753788235813,93.00753788235812,
38.0,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Усі хлопці люблять грати в бейсбол.,0.8572224378585815,0.9510606655845195,95.10606655845196,
39.0,Alle Jungen tanzten.,Усі хлопці танцювали.,Усі хлопці танцювали.,0.9534497261047363,0.9964023794355048,99.64023794355047,
40.0,Alle kannten das.,Усі це знали.,Всі знали це.,0.6472914814949036,0.8521424738179972,85.21424738179972,
41.0,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Усі діти отримали подарунок.,0.9222865104675293,0.9817184614757232,98.17184614757231,
42.0,Alle lächelten.,Всі посміхнулися.,Всі усміхнулися.,0.9602129459381104,0.9995891675492019,99.9589167549202,
43.0,Alle lachten über ihn.,Всі сміялися з нього.,Усі сміялися з нього.,0.9256224036216736,0.9832903140716911,98.32903140716911,
44.0,Alle lieben ihn.,Його всі люблять.,Усі люблять його.,0.8849968910217285,0.9641478192458545,96.41478192458544,
45.0,Alle lieben mich.,Усі люблять мене.,Усі люблять мене.,0.9377748966217041,0.9890164949734531,98.90164949734532,
46.0,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Всі мої друзі люблять американський футбол.,0.9427027702331543,0.9913384790930995,99.13384790930995,
47.0,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Усі мої друзі люблять футбол.,0.9164406061172485,0.9789639068469715,97.89639068469715,
48.0,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Усі мої друзі люблять комп'ютерні ігри.,0.9127203226089478,0.977210931850457,97.7210931850457,
49.0,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Там будуть усі мої друзі.,0.9462706446647644,0.9930196398582297,99.30196398582297,
50.0,Alle Menschen müssen sterben.,Всі люди повинні померти.,Усі люди мусять померти.,0.6056705713272095,0.8325309537031035,83.25309537031035,
51.0,Alle Menschen sind gleich.,Всі люди рівні.,Усі люди однакові.,0.5707274675369263,0.8160659754001572,81.60659754001573,
52.0,Alle mögen große Pizzas.,Усі люблять великі піци.,Всі люблять велику піцу.,0.9384464621543884,0.9893329325741602,98.93329325741603,
53.0,Alle müssen es wissen.,Усі мають знати.,Всі повинні знати.,0.39628762006759644,0.7338709786136826,73.38709786136826,
54.0,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Всім потрібно було вивчити французьку.,0.8690101504325867,0.9566149641647828,95.66149641647827,
55.0,Alle nennen ihn Mac.,Усі називають його Маком.,Усі називають його Мак.,0.9336553812026978,0.987075404325076,98.7075404325076,
56.0,Alle reden über Tom.,Усі говорять про Тома.,Усі говорять про Тома.,0.9415854215621948,0.9908119911847961,99.08119911847962,
57.0,Aller guten Dinge sind drei.,Бог любить трійцю.,Все добре - це три речі.,0.15427979826927185,0.6198383626512523,61.98383626512523,
58.0,Alle schlafen.,Всі сплять.,Всі сплять.,0.9425251483917236,0.991254784760082,99.1254784760082,
59.0,Alle schlafen.,Усі сплять.,Всі сплять.,0.8380292057991028,0.9420169311950574,94.20169311950573,
60.0,Alles gut bei euch?,У всіх усе гаразд?,З вами все гаразд?,0.4453060030937195,0.7569681430159775,75.69681430159775,
61.0,Alles Gute zum Geburtstag!,З днем народження!,З днем народження!,0.9419097900390625,0.9909648316412661,99.09648316412661,
62.0,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Все залежить від твого вибору.,0.48995864391326904,0.7780081962028836,77.80081962028837,
63.0,Alles hier gehört mir.,Тут все моє.,Все це моє.,0.48838502168655396,0.7772667149659734,77.72667149659735,
64.0,Alle sind bereit.,Усі готові.,Усі готові.,0.9491745233535767,0.9943879298616775,99.43879298616774,
65.0,Alle sind geschockt.,Всі в шоці.,Всі були шоковані.,0.7749840021133423,0.9123104140802403,91.23104140802403,
66.0,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Усі дуже зайняті.,0.9520218968391418,0.9957295949565008,99.57295949565008,
67.0,Alles in Ordnung?,Все добре?,Ти в порядку?,0.20055405795574188,0.6416425128004585,64.16425128004585,
68.0,Alles ist gut.,Все в порядку.,Все добре.,0.1898806393146515,0.6366132627544827,63.661326275448275,
69.0,Alles ist gut.,Все гаразд.,Все добре.,0.12987321615219116,0.6083381293743629,60.83381293743629,
70.0,Alles ist gut.,Усе гаразд.,Все добре.,0.00127410888671875,0.5477430109895715,54.774301098957146,
71.0,Alles ist in Butter.,Все в шоколаді.,Все в маслі.,0.2673836350440979,0.6731322036807756,67.31322036807757,
72.0,Alles ist möglich.,Можливо все.,Все можливо.,0.9456144571304321,0.9927104482769583,99.27104482769583,
73.0,Alles ist vorbei.,Все скінчилося.,Все скінчилося.,0.9510622024536133,0.9952773927900871,99.52773927900871,
74.0,Alles oder nichts.,Все чи нічого.,Все або нічого.,0.9082784056663513,0.9751179275620493,97.51179275620493,
75.0,Alles war nur ein Scherz.,Усе було лише жартом.,Все було просто жартома.,0.7630496025085449,0.9066869974618711,90.66869974618712,
76.0,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Все, що тобі потрібно, це натиснути цю червону кнопку.",0.8075388073921204,0.9276500406282625,92.76500406282625,
77.0,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Все, що має початок, теж має кінець.",0.9133609533309937,0.9775127931562526,97.75127931562525,
78.0,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Все, що в мене є, це книга.",0.4518764019012451,0.7600640750332615,76.00640750332614,
79.0,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Все, що Том сказав, правда.",0.8825496435165405,0.9629946910830934,96.29946910830934,
80.0,Alles wird gut sein.,Все буде в порядку.,Все буде добре.,0.3998051583766937,0.7355284213035668,73.55284213035668,
81.0,Alles wird gut werden.,Все буде в порядку.,Все буде добре.,0.3998051583766937,0.7355284213035668,73.55284213035668,
82.0,Alles wird gut.,Все буде добре.,Все буде добре.,0.9430625438690186,0.9915080022454796,99.15080022454796,
83.0,Alle überlebten.,Всі вижили.,Усі пережили.,0.4052831530570984,0.7381096191301204,73.81096191301204,
84.0,Alle Vögel haben Federn.,Всі птахи мають пір'я.,У всіх птахів пір'я.,0.6939034461975098,0.8741057485199865,87.41057485199865,
85.0,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Усі заздрили моєму успіху.,0.9526639580726624,0.9960321303106161,99.60321303106161,
86.0,Alle waren zufrieden.,Усі були задоволені.,Усі були задоволені.,0.9602904319763184,0.9996256784998471,99.96256784998471,
87.0,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Всі шляхи ведуть до Риму.,0.8777376413345337,0.960727304877335,96.07273048773351,
88.0,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Всі шляхи ведуть до Риму.,0.9341972470283508,0.9873307282114723,98.73307282114723,
89.0,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Алмати - моє улюблене місто!,0.9365112781524658,0.9884210856244704,98.84210856244704,
90.0,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Прокинувшись, впав сніг.",0.39223408699035645,0.7319609784440471,73.1960978444047,
91.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.",У підлітковому віці Том любив писати вірші.,0.8301079869270325,0.9382845009666415,93.82845009666416,
92.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.",У підлітковому віці Том любив писати вірші.,0.8650320172309875,0.9547404919586597,95.47404919586597,
93.0,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?","Ну що, з роботи?",-0.12390829622745514,0.4887578219094688,48.87578219094688,
94.0,Also sprach Zarathustra.,Так казав Заратустра.,"Отже, царська атмостра говорила.",0.2549196481704712,0.66725924875742,66.72592487574201,
95.0,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Старі килими цінніші за нові.,0.9608268141746521,0.9998784185343516,99.98784185343516,
96.0,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Старі килими цінніші за нові.,0.9586872458457947,0.9988702669309985,99.88702669309984,
97.0,Aluminium ist ein Metall.,Алюміній - метал.,Алюміній - це метал.,0.9479511976242065,0.9938115062070301,99.38115062070301,
98.0,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,24 грудня - Різдво.,0.6637922525405884,0.8599175369285798,85.99175369285797,
99.0,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,На початку Бог створив небо і землю.,0.9061015844345093,0.9740922226170398,97.40922226170397,
100.0,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Американці дуже добрі люди.,0.6670836210250854,0.8614684097706,86.14684097706001,
101.0,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,У день весілля всі наречені гарні.,0.8828290700912476,0.9631263551881892,96.31263551881892,
102.0,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Я ніколи не працюю на вихідних.,0.9418235421180725,0.9909241921446633,99.09241921446633,
103.0,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,На палубі — 48 моряків.,0.32422688603401184,0.6999163983486265,69.99163983486265,
104.0,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,На твоєму місці я негайно пішов додому.,0.8017990589141846,0.9249455060018947,92.49455060018947,
105.0,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,На твоєму місці я б цього не зробив.,0.5045839548110962,0.7848995538811196,78.48995538811197,
106.0,An der Wand hängt eine Karte.,На стіні висить географічна карта.,На стіні висить карта.,0.4384205937385559,0.7537237799416476,75.37237799416476,
107.0,An der Wand hängt eine Karte.,На стіні висить мапа.,На стіні висить карта.,0.8328444957733154,0.9395739273166956,93.95739273166956,
108.0,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Анжеліка Пікс дуже егоїстка.,0.8004577159881592,0.9243134733608802,92.43134733608802,
109.0,Angenehm!,Приємно познайомитися!,Як приємно!,-0.018911167979240417,0.5382318311118012,53.823183111180114,
110.0,Anja lebt in Danzig.,Аня живе у Гданьску.,Аня живе в Данці.,0.4642994999885559,0.7659177634088151,76.59177634088151,
111.0,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,Анкара — столиця Туреччини.,0.9236010313034058,0.9823378557107452,98.23378557107452,
112.0,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,На моє пальто вийшла кнопка.,0.121505968272686,0.6043955329862958,60.439553298629576,
113.0,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Анна Аматова, Максим Ґоркі, Аркаді Ґайдар, Марк Твен, О. Генрі, Джордж Сандель, Мір'є, Вольтер, вони всі носять не свої справжні імена, а псевдоніми.",0.6920214295387268,0.8732189536995086,87.32189536995087,
114.0,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Енн дуже любить шоколад.,0.7991083860397339,0.9236776772834145,92.36776772834145,
115.0,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Замість ходити до школи, він залишився вдома.",0.8468450307846069,0.946170894391345,94.6170894391345,
116.0,Antworte mir.,Дай мені відповідь.,Відповідай мені.,0.7368636727333069,0.8943483463741088,89.43483463741087,
117.0,Antworten Sie auf Englisch.,Відповідайте англійською.,Відповідайте на англійську.,0.9555697441101074,0.9974013190451566,99.74013190451566,
118.0,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Відповідайте на англійську.,0.9025235772132874,0.9724062873429791,97.2406287342979,
119.0,Antwortet auf Englisch.,Відповідайте англійською.,Відповісте англійською.,0.952203631401062,0.9958152271784371,99.58152271784371,
120.0,Äpfel sind rot.,Яблука червоні.,Яблука червоні.,0.9421130418777466,0.9910606026733431,99.1060602673343,
121.0,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Яблуки ростуть на деревах.,0.941193699836731,0.9906274142866114,99.06274142866114,
122.0,Araber verfolgen mich.,Араби мене переслідують.,Араби переслідують мене.,0.9458206295967102,0.9928075954910212,99.28075954910211,
123.0,Arbeit adelt.,Праця облагороджує.,Працюйте.,-0.10851259529590607,0.49601218269315783,49.60121826931578,
124.0,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Працюй швидко, їж повільно!",0.9247527122497559,0.982880520778719,98.2880520778719,
125.0,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Ти працюєш у готелі завтра вранці?,0.8316748738288879,0.9390228085593801,93.90228085593802,
126.0,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Аргентина, Чілі, Уругваю, Парагваю та південна Бразилія є частиною південного узбережжя Бразилії.",0.8161605596542358,0.9317125579358574,93.17125579358574,
127.0,Ärgere dich nicht.,Не злостися!,Не засмучуйся.,0.6962862014770508,0.8752284883376722,87.52284883376721,
128.0,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Аскана — столиця Казахстану.,0.7948352098464966,0.9216641826113733,92.16641826113732,
129.0,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Глибоко вдихніть і розслабтеся.,0.9430084228515625,0.9914825007507213,99.14825007507213,
130.0,Atmen Sie tief ein.,Глибоко вдихніть.,Глибоко вдихніть.,0.9452522993087769,0.9925398017107122,99.25398017107122,
131.0,Atmet ein.,Вдихніть.,Дихай.,-0.3724077343940735,0.3716663957366893,37.16663957366893,
132.0,Atmet sie?,Вона дихає?,Вона дихає?,0.943550705909729,0.9917380212345442,99.17380212345442,
133.0,Auch das noch!,Лише цього не вистачало!,І це теж!,-0.4102737307548523,0.35382416820471385,35.382416820471384,
134.0,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Також найкрихіша корова дає тільки біле молоко.,0.9044291973114014,0.9733042039607304,97.33042039607304,
135.0,Auch er ist Schriftsteller.,Він теж письменник.,Він також письменник.,0.942336916923523,0.9911660912353609,99.1166091235361,
136.0,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Бог також розуміє Есперанто.,0.9406059980392456,0.9903504927686411,99.0350492768641,
137.0,Auch ich liebe euch.,Я вас теж кохаю.,Я теж вас люблю.,0.8984435796737671,0.9704838172794309,97.0483817279431,
138.0,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Я теж люблю солодощі.,-0.039173588156700134,0.5286843017741288,52.86843017741288,
139.0,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Моя мати також є вчителькою.,0.6716970205307007,0.8636422156013202,86.36422156013201,
140.0,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Вона теж любить шоколад.,0.9181300401687622,0.9797599579124229,97.97599579124228,
141.0,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Америка — це розвинена країна, але там живуть бідні люди.",0.30882561206817627,0.6926594115850258,69.26594115850257,
142.0,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,На цьому документі був підпис.,0.8777977228164673,0.9607556149067583,96.07556149067584,
143.0,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,На Місяці немає повітря.,0.9493777751922607,0.9944837008937544,99.44837008937543,
144.0,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,На столі є квітка.,0.9461283683776855,0.9929526001357758,99.29526001357758,
145.0,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,На столі лежить яблуко.,0.8766240477561951,0.9602025863458706,96.02025863458707,
146.0,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,На столі лежить кавун.,0.7081289291381836,0.8808087096928935,88.08087096928935,
147.0,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,На столі стоїть ваза.,0.9399155378341675,0.990025152113046,99.0025152113046,
148.0,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,По дорозі до школи я втратив гаманець.,0.6318434476852417,0.8448634540999495,84.48634540999494,
149.0,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,На острові тепло цілий рік.,0.6274641156196594,0.8427999394255243,84.27999394255244,
150.0,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,На острові тепло цілий рік.,0.6274641156196594,0.8427999394255243,84.27999394255244,
151.0,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,На вулиці нікого немає.,0.777116596698761,0.9133152796980354,91.33152796980355,
152.0,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,У світі існує понад сім тисяч мов.,0.2067916989326477,0.6445816513487314,64.45816513487314,
153.0,Auf die Knie!,На коліна!,На коліна!,0.947029709815979,0.9933773067478191,99.33773067478191,
154.0,Auf was warten wir?,На що ми чекаємо?,Чого ми чекаємо?,0.9059504866600037,0.9740210262632817,97.40210262632817,
155.0,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,На якому коні ти з'їхав?,0.6474299430847168,0.8522077160782655,85.22077160782655,
156.0,Auf wen wartest du?,На кого ти чекаєш?,Кого ти чекаєш?,0.8906677961349487,0.9668199152968413,96.68199152968413,
157.0,Auf wen wartet ihr?,На кого ви чекаєте?,На кого чекаєте?,0.8182018995285034,0.9326744248879311,93.26744248879311,
158.0,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","До побачення, Сайоко.",0.939749002456665,0.9899466816545055,98.99466816545055,
159.0,Auf Wiedersehen!,До побачення!,До побачення.,0.9052642583847046,0.9736976796672987,97.36976796672987,
160.0,Auf Wiedersehen!,Побачимося!,До побачення.,0.606720507144928,0.8330256770843456,83.30256770843457,
161.0,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,На скільки концертів ти був минулого року?,0.8493213057518005,0.9473377001179247,94.73377001179247,
162.0,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Скільки концертів було минулого року?,0.5350522994995117,0.799256052869654,79.92560528696539,
163.0,Augenblick...,Хвилиночку...,Хвилинку.,0.8994747400283813,0.9709696937764781,97.09696937764781,
164.0,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Очі - це вікна душі.,0.9468263983726501,0.9932815076303955,99.32815076303955,
165.0,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ця маленька дівчинка стала чарівною жінкою.,0.8032238483428955,0.9256168581282195,92.56168581282195,
166.0,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Винятки підтверджують правило.,0.9529209733009338,0.9961532343253714,99.61532343253714,
167.0,Aus persönlichen Gründen.,З особистих причин.,З особистих причин.,0.952660083770752,0.9960303047630839,99.60303047630839,
168.0,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.","Окрім мене, у нього немає друзів.",0.9314126372337341,0.9860186369866715,98.60186369866715,
169.0,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.","Ніхто, крім батьків, не знає його правильно.",0.42636168003082275,0.7480416930341263,74.80416930341262,
170.0,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Австралія експортує велику кількість вовни.,0.8398219347000122,0.9428616541662533,94.28616541662534,
171.0,Australien ist nicht Österreich.,Австралія - це не Австрія.,Австралія не є Австрія.,0.8339312672615051,0.9400860074421675,94.00860074421675,
172.0,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Скільки островів складається з Індонезії?,0.9411463737487793,0.9906051145213712,99.06051145213712,
173.0,Babys fallen oft um.,Діти часто падають.,Діти часто гинуть.,0.9266424179077148,0.9837709386089148,98.37709386089148,
174.0,Babys fallen oft.,Діти часто падають.,Малюки часто падають.,0.740176260471344,0.8959092175995365,89.59092175995364,
175.0,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Баку — столиця Азербайджану.,0.914878249168396,0.9782277337405784,97.82277337405783,
176.0,Bald ist es Frühling.,Скоро весна.,Уже настала весна.,0.10529838502407074,0.596758618185217,59.6758618185217,
177.0,Bald ist Neujahr.,Скоро Новий Рік.,Скоро Новий рік.,0.9468626976013184,0.9932986116065055,99.32986116065055,
178.0,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Незабаром у нас буде сімдесят п'ять тисяч російських речень.,0.7774808406829834,0.9134869092514143,91.34869092514143,
179.0,Bananen schmecken gut.,Банани смачні.,Банани смачні.,0.9560406804084778,0.9976232213690394,99.76232213690393,
180.0,Barack Obama ist Christ.,Барак Обама християнин.,Барак Обама - християнин.,0.9360108375549316,0.9881852810539958,98.81852810539958,
181.0,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,"Барселона — столиця Каталонії, друга за величиною столиця Іспанії.",0.7415761947631836,0.896568858136308,89.65688581363081,
182.0,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,"Барселона — столиця Каталонії, а друге друге — Іспанії.",0.4175793528556824,0.743903513802656,74.3903513802656,
