Unnamed: 0,EN,UK,TRANSLATION,BLEU_Score,avg
60,Next LaTeX Warning,Наступне попередження LaTeX,Наступне попередження LaTeX,1.2213386697554703e-77,0.1350462239206423
61,I like that you get to see the same people every day... bring 'em that check they've been waiting for... and presents for Christmas...,"Мені подобається, що ти можеш бачити одних і тих же людей щодня. Давати їм те, що вони чекали. Подарунки на Різдво.","Мне нравится, что каждый день ты встречаешься с теми же людьми, которые приносят им, чтобы проверить, что они ждут... и подарки на Рождество...",9.893133360884868e-232,0.1350462239206423
62,Installation,Встановлення,Встановлення,1.821831989445342e-231,0.1350462239206423
63,"Easy, pal.","Легше, друзяко.","Полегче, приятель.",0.0,0.1350462239206423
64,Show Size In,Показувати розмір в,Показувати розмір в,1.2213386697554703e-77,0.1350462239206423
65,Has he told you?,Він тобі казав?,Он сказал тебе?,1.2882297539194154e-231,0.1350462239206423
66,I hit a snag.,﻿Я знаю.,Я попала в захват.,0.0,0.1350462239206423
67,"Step away, Tal Hajus.",Відійди. Таль Аджас.,"Уйди, Талл Хаджус.",0.0,0.1350462239206423
68,And she says to the other...,І вона йому говорить...,И она говорит другую...,0.0,0.1350462239206423
69,None but the king of Gondor may command me.,Я вимагаю від вас виконати вашу присягу!,"Ніхто, крім короля Гондору може мені наказувати.",0.0,0.1350462239206423
70,If true this tense is selected for learning.,"Якщо « так », цей час буде вибрано для тестування.","Якщо істина, цей час вибрано для навчання.",6.787872662925505e-155,0.1350462239206423
71,I want to buy it.,Я хочу купити її.,Я хочу купити його.,8.636168555094496e-78,0.1350462239206423
72,"Okay, give it to me.",Давай я помогу.,"Ладно, дай его мне.",0.0,0.1350462239206423
73,It was one of those instant best friend things.,"Це були почуття, які можливі тільки у справжніх друзів.",Це був один з тих моментальних кращих друзів.,1.1368587676511996e-231,0.1350462239206423
74,Please check your permissions to create it.,"Будь ласка, переконайтеся, що ви маєте право на створення цього елемента.","Будь ласка, перевірте ваші права доступу для створення цього файла.",7.369781921840033e-155,0.1350462239206423
75,The first word of a game should cover the central position.,Перше слово гри слід розміщувати по центру.,Перше слово гри має займати центральну позицію.,5.021333847570327e-78,0.1350462239206423
76,Cursor & Selection,Курсор та вибір,Курсор та вибір,1.2213386697554703e-77,0.1350462239206423
77,Our sons will take over the company.,Наші сини будуть керувати компанією.,Наші сини заволодіють компанією.,8.214546595247418e-155,0.1350462239206423
78,Has he said anything?,Він щось сказав?,Він щось сказав?,1.0,0.1350462239206423
79,This home will be your home.,Цей дім буде вашим домом.,Цей дім буде твоїм домом.,7.380245217279165e-78,0.1350462239206423
80,The ones that aren't healing.,"Ті, які не гояться.","Ті, що не виліковуються.",1.5319719891192393e-231,0.1350462239206423
81,"- His mouse, wifey, gargles brandy...","- Його мишка, жіночка, глушить бренді...","- Його миша, жіночна, гарбуз бренді...",8.38826642100846e-155,0.1350462239206423
82,"Yes, it still stands at 74%.","Так, як і раніше зупинилося на 74%.","Так, він все ще стоїть на 74%.",4.797597231912944e-78,0.1350462239206423
83,"Isn't Job crying the same cry as Ginsberg's ""Howl""?","Чи Йов не плаче так само, як Ґінзберґ у ""Плачі""?","Хіба Йов не плаче так само, як Ґінзберґ ""Плач""?",0.5390594848489677,0.1350462239206423
84,"I mean, that shouldn't be your reference.",Не це повинно бути мірилом твоїх зусиль.,"Я маю на увазі, це не повинно бути вашим посиланням.",6.8489908526642754e-155,0.1350462239206423
85,"& kiten; can also help you refine your searches by allowing you to search for new text in the results generated by a previous search. To do this, just choose Search Search in Results to perform your search.","& kiten; також надає вам змогу уточнити результат пошуку за допомогою пошуку нового тексту у результатах, які є наслідком попереднього пошук. Щоб виконати такий пошук, просто оберіть пункт меню Пошук Шукати у результатах.","Крім того, & kiten; може допомогти вам покращити результати пошуку, надавши вам змогу шукати новий текст у результатах, створених попереднім пошуком. Щоб виконати цей пошук, просто скористайтеся пунктом меню Пошук Шукати у результатах.",0.18696425994936555,0.1350462239206423
86,"Get out there and find your little girlfriend, bring her and Julia Shumway back here, pronto.","Вимітайся звідси і знайди свою малу подружку, привези її та Джулію Шамвей сюди, швидко.","Іди і знайди свою подружку, приведи її та Джулію Шамвей сюди.",0.3679134727458049,0.1350462239206423
87,"No, no, no.","Ні, ні, ні.","Ні, ні, ні.",1.2213386697554703e-77,0.1350462239206423
88,Now you have a military dictatorship.,Тепер у вас військова диктатура.,Тепер у вас є військова диктатура.,7.262123179505913e-78,0.1350462239206423
89,You can do it.,Ви подужаєте!,Ти зможеш.,0.0,0.1350462239206423
90,I hate to think where that puts me.,Я не хочу думати скільки тоді мені.,"Я ненавижу думать, куда меня это заставляет.",1.1200407237786664e-231,0.1350462239206423
91,- Business purposes only.,- Тільки для роботи.,- Тільки для ділових цілей.,6.86809206056511e-78,0.1350462239206423
92,"Okay, bye-bye.","Добре, бувай.","гаразд, бувай.",1.5319719891192393e-231,0.1350462239206423
93,"Not knowing what to do, I asked for his advice.","Не знаючи, що робити, я попрохав його поради.","Не знаючи, що робити, я попросив у нього поради.",0.4671379777282001,0.1350462239206423
94,This schedule is baselined. Do you want to remove the baseline?,Цей розклад належить до базового плану. Ви бажаєте вилучити базовий план?,Цей розклад є базовим. Ви бажаєте вилучити базову лінію?,3.976144999995337e-78,0.1350462239206423
95,"Yeah, I remember.","Так, я пам'ятаю.","Так, я пам'ятаю.",1.2213386697554703e-77,0.1350462239206423
96,This is where I buried it.,Ось тут я його закопав.,Ось де я його закопав.,7.380245217279165e-78,0.1350462239206423
97,There's no oil in it.,Паливо закінчилось.,У ній немає нафти.,0.0,0.1350462239206423
98,Site Policy,Правила поведінки для сайтів,Правила веб- сайтів,1.1795617510369435e-231,0.1350462239206423
99,A little bit further.,І раз! І два! І три!,Ще трохи.,0.0,0.1350462239206423
100,"The Heaviside Step Function. Returns 1 if x is positive, 0.5 if x is zero, or 0 if x is negative.","Ступінчаста функція Хевісайда. Повертає 1, якщо x додатне, 0. 5, якщо x рівне нулеві, і 0, якщо x від’ ємне.","Крок Хеавіда. Повертає 1, якщо x додатнє, 0, 5, якщо x дорівнює нулю, або 0, якщо x від' ємне.",0.34895836374229405,0.1350462239206423
101,A land where nothing grew.,"Землі, на якій ніщо не росло. Тепер тут є рослини.","Земля, де ніщо не росло.",2.5266298691547124e-78,0.1350462239206423
102,a neat analog clock,лаконічний аналоговий годинник,акуратний аналоговий годинник,1.133422688662942e-154,0.1350462239206423
103,"Doomed to wait upon an old man, who should have loved her as a father.","Проклята піклуватися про старого чоловіка, що мав би її любити як батько.","Засуджений чекати на старого чоловіка, який повинен був любити її, як батька.",6.5806869883189804e-155,0.1350462239206423
104,Where did you get it?,Звідки вона у вас?,Де ти його взяв?,1.2183324802375697e-231,0.1350462239206423
105,"When you have selected a cell, pressing the Enter key will move the cell cursor one cell left, right, up or down, as determined by this setting.","Цей параметр визначає напрямок переміщення у наступну комірку, якщо натиснути клавішу Enter. Можливе переміщення на одну комірку ліворуч, праворуч, вгору або вниз.","Після вибору комірки, натискання клавіші Enter переведе курсор на одну комірку ліворуч, праворуч, вгору або вниз, згідно до значення цього параметра.",0.3229355915238444,0.1350462239206423
106,Fax file(s) to show,Показати файли факсів,Показувати файли факсів,1.133422688662942e-154,0.1350462239206423
107,What do you want to do?,Що збираєшся робити?,Що ти хочеш зробити?,1.4488496539373276e-231,0.1350462239206423
108,"- Well, bravo!",- Молодця!,"- Ну, браво!",1.384292958842266e-231,0.1350462239206423
109,Nadia.,Надю!,Надя.,0.0,0.1350462239206423
110,"- Twins, my lord.","- Двійнята, мій пане.","- Близнюки, милорд.",9.918892480173173e-232,0.1350462239206423
111,"A few years after World War II, The world plunged into Cold War.",КІЛЬКА РОКІВ ПО ЗАКІНЧЕННЮ ІІ СВІТОВОЇ ВІЙНИ СВІТ ПОРИНУВ У ХОЛОДНУ ВІЙНУ.,"Через кілька років після другої світової війни, світова війна вступила в Холодну війну.",8.693790938244096e-155,0.1350462239206423
112,You very nearly were.,Так воно майже і було.,Ти майже була.,7.107197028258987e-232,0.1350462239206423
113,"Default is Number but you can set the WBS code to be Roman Numbers or Letters, either upper case or lower case.","Типовим значенням є Число, але ви можете вказати, що коди СРР слід визначати як римські цифри або літери (верхнього або нижнього регістрів).","Типовим значенням є Число, але ви можете вказати код СРР як римські номери або літери, верхній або нижній регістр.",0.3450930205801313,0.1350462239206423
114,Don't put off the work till tomorrow.,Не відкладайте роботу на завтра.,Не відкладайте роботу на завтра.,1.0,0.1350462239206423
115,But this is my house.,Але це мій будинок.,Но это мой дом.,0.0,0.1350462239206423
116,Even though you don't want to.,Навіть якщо не хочеш.,Навіть якщо не хочеш.,1.0,0.1350462239206423
117,"Ben, check the outhouse.","Бене, перевір сортир.","Бене, перевір будинок.",1.133422688662942e-154,0.1350462239206423
118,"To create a new email alarm to send a copy of an existing email message, drag the email from & kmail; onto & kalarm; 's main window or system tray icon. Then select the Email option. The Alarm Edit dialog is preset with the entire email message except sender.","Щоб створити нагадування електронною поштою, за якого буде надіслано копію існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до вікна або піктограми системного лотка & kalarm;. Після цього оберіть пункт Нагадування ел. поштою. У діалоговому вікні редагування нагадування буде використано дані повідомлення електронної пошти, окрім відправника.","Щоб створити нагадування електронною поштою для надсилання копії існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до головного вікна або піктограми системного лотка & kalarm;. Після цього позначте пункт Адреса ел. пошти. Діалогове вікно редагування нагадування буде використано для всього повідомлення електронної пошти, окрім відправника.",0.6016653444300838,0.1350462239206423
119,- I think I'll have οne.,А я б випив.,"- Думаю, я з'їм.",1.2882297539194154e-231,0.1350462239206423
120,Save logins in a wallet,Зберігати реєстраційні дані у торбинці,Зберігати реєстраційні дані у торбинці,1.0,0.1350462239206423
121,Flake device definition,Визначення інструмента елементаComment,Визначення пристрою Flake,1.384292958842266e-231,0.1350462239206423
122,Use own default charset when replying,Використовувати власне кодування у відповідях,Використовувати власне кодування під час відповіді,5.775353993361614e-78,0.1350462239206423
123,Want a doughnut?,- Хочеш пампуха? - Ні.,Хочеш пончик?,6.056071959384271e-232,0.1350462239206423
124,"Kuopio, Finland","Куопіо, ФінляндіяName","Куопіо, Фінляндія",1.5319719891192393e-231,0.1350462239206423
125,Structures tool,Інструмент структур@ title: menu,Інструмент структур,2.018753310664318e-155,0.1350462239206423
126,"Brutes, do you think that I wouldn't do it if I wanted to ? !","Скоти, думаєте якби я хотіла, то не зробила б цього?","Брутс, ты думаешь, я бы этого не сделал, если бы хотел?",1.2882297539194154e-231,0.1350462239206423
127,"Neck, I'm gonna need you to stay here and get this motor runnin'.","Неку, ти повинен тут залишитися і завести двигун.","Нэк, мне нужно, чтобы ты осталась здесь и запустила этот мотор.",0.0,0.1350462239206423
128,"I used to think rich people were cursed, and that only garrets, sour soup and potatoes can bring people joy.","Раніше я думав, що багаті - прокляті люди. І що тільки халупи і коморки, і кисла капуста з картоплею, дають людям щастя і благість.","Я думав, що багаті люди прокляті, і що тільки гаррети, кислий суп і картопля приносять людям радість.",0.15358429084235478,0.1350462239206423
129,She'd have told you She was like you,"Якби хотіла, то передала. Вона була така ж як і ти.","Вона б тобі сказала, що вона така ж, як ти.",3.793792167347796e-78,0.1350462239206423
130,"When you are done setting up your screen saver, click OK.",Після завершення налаштування вашого зберігача екрана вам слід натиснути кнопку Гаразд.,Після завершення налаштування вашого зберігача екрана натисніть кнопку Гаразд.,0.528993443482769,0.1350462239206423
131,Full CD,Повний КД,Повний КД,1.491668146240062e-154,0.1350462239206423
132,I wonder what they're serving at the domestic dealerships.,я вражений вони обслуговують як в уповноважених сервісах.,"Цікаво, що вони служать на внутрішньому дільниці.",9.709385502639237e-232,0.1350462239206423
133,Alice?,Алісо!,Еліс?,0.0,0.1350462239206423
134,What's the matter with you?,Що з тобою?,Що з тобою?,1.0,0.1350462239206423
135,- Rub water all over yourself.,- Намочіть шкіру.,- Витирайте воду звідусіль.,1.2882297539194154e-231,0.1350462239206423
136,Enable window dragging,Дозволити перетягнення вікон,Увімкнути перетягування вікон,1.384292958842266e-231,0.1350462239206423
137,And I'm Jody.,А я - Джоді.,А я Джоди.,8.121328445417258e-155,0.1350462239206423
138,You know Dr. Melnick?,ти знаєш дохтора Мельника?,Ви знайомі з доктором Мельником?,1.1640469867513693e-231,0.1350462239206423
139,- Do you understand?,- ﻿Ти розумієш?,- Ти розумієш?,1.0547686614863434e-154,0.1350462239206423
140,Nicholas Flamel.,Ніколас Фламел.,Ніколас Фламел.,1.491668146240062e-154,0.1350462239206423
141,And they know about your brother.,І вони знають про твого брата.,І вони знають про твого брата.,1.0,0.1350462239206423
142,That's right.,Верно.,Саме так.,0.0,0.1350462239206423
143,Why do you keep calling me Charlie?,чому ви продовжуєте звати мене Чарлі?,Почему ты продолжаешь называть меня Чарли?,1.1200407237786664e-231,0.1350462239206423
144,"I'm so glad you get to meet my friends, Johnny.","Я такий радий що ти зустрінеш моїх друзів, Джонні.","Я так рада, что ты познакомишься с моими друзьями, Джонни.",1.0244914152188952e-231,0.1350462239206423
145,You can find a quick introduction to the Identities page in the Getting Started section.,Короткий вступ до параметрів сторінки Профілі можна знайти у розділі Початок роботи.,Короткий вступ до сторінки Профілі можна знайти у розділі Початок роботи.,0.7426141117870939,0.1350462239206423
146,- In Japan?,– В Японії?,- В Японії?,8.636168555094496e-78,0.1350462239206423
147,I'll tell them.,Пepeкaжу.,Я скажу їм.,0.0,0.1350462239206423
148,You think we might be stuck in here a while.,"Гадаєш, ми застрягнемо тут ненадовго?","Думаєш, ми застрягли тут якийсь час?",1.4740564900137075e-231,0.1350462239206423
149,Exchange Card 3,Замінити третю карту,Замінити третю карту,1.2213386697554703e-77,0.1350462239206423
150,Merry Christmas.,- Веселого Різдва ...,Веселих свят.,0.0,0.1350462239206423
151,Fuck this. Fuck this.,До біса.,До біса це.,1.133422688662942e-154,0.1350462239206423
152,I am no one's servant.,Я не служу нікому.,Я не служу нікому.,1.0,0.1350462239206423
153,"I remember how ""different"" became dangerous.","Я ще пам'ятаю, як 'інший' перетворилося на 'небезпечний'.","Я пам'ятаю, як ""різний"" став небезпечним.",5.588971591971542e-155,0.1350462239206423
154,Number (Integer),Число (Ціле),Число (Integer),1.0547686614863434e-154,0.1350462239206423
155,I know you're busy.,"Знаю, що Ви зайняті.","Я знаю, що ти зайнятий.",8.38826642100846e-155,0.1350462239206423
156,"Yes, and it's a pretty small list.","Так, і список досить малий.","Так, і це доволі маленький список.",8.38826642100846e-155,0.1350462239206423
157,- Good morning.,- ﻿Доброго ранку.,- Доброго ранку.,1.646211035903463e-231,0.1350462239206423
158,Slug him.,вмаж йому.,Ударь его.,0.0,0.1350462239206423
159,"Uh, it's just a temporary house guest.",Це тимчасовий гість.,Це тимчасовий гість.,1.2213386697554703e-77,0.1350462239206423
160,There must be a reason.,Є якась причина?,Має бути якась причина.,9.53091075863908e-155,0.1350462239206423
161,"I'm the fastest gun north, south, east and west of the Pecos!","я найкращий стрілок на північ, південь, на схід і на захід від Пекосу!","Я самый быстрый пистолет на севере, юга, восточной и западной от пекоса!",1.0709749285266912e-231,0.1350462239206423
162,Vertical (Y-)Shift (in dots),Вертикальний (Y -) зсув (в точках),Вертикальний (Y -) зсув (у точках),0.7071067811865475,0.1350462239206423
163,Just wanted to say good luck.,"Гей, хлопче. Просто хотів сказати удачі.",Просто хотел сказать удачи.,7.813508425061864e-232,0.1350462239206423
164,Entirely disables the use of LDAP for S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.,1.0,0.1350462239206423
165,Reverse SeaWorld where dolphins are allowed to pet people.,де дельфіни за хатніх тваринок мають людей.,"BackseWorld, де дельфіни можуть погладити людей.",7.100514228897259e-155,0.1350462239206423
166,"Between the breakup, and then her acting career isn't going that well...","Мабуть поміж розлученнями, і до того ж, її акторська кар'єра не дуже складається...","Между разрывом, а потом её актерская карьера не так уж и хорошо...",9.005789782247613e-232,0.1350462239206423
167,& Center Environments,& Центровані середовища,& Центрувати середовища,1.646211035903463e-231,0.1350462239206423
168,You expect me to joust with this beast night after night until I die?,"Чому ти думаєш, що я стану щоночі Битися з демоном до самої смерті?","Ты ждешь, что я буду тусуться с этим зверем ночью, пока я не умру?",1.1008876702055895e-231,0.1350462239206423
169,But how did you know?,Але як ти дiзнався?,Але як ти дізнався?,7.380245217279165e-78,0.1350462239206423
170,♪ Wind blowing free ♪,♪ Вільний дме вітер ♪,♪ Вітер розвіває ♪,1.3203832882211142e-231,0.1350462239206423
171,What did you steal?,І що ти вкрав?,Що ти вкрала?,8.214546595247418e-155,0.1350462239206423
172,Of course you are.,Та звісно що.,"Звичайно, що так.",1.384292958842266e-231,0.1350462239206423
173,"If you say yes, we'll send you back down to Boston, your home turf.","Якщо погодитеся, ми відправимо вас назад у Бостон, додому.","Якщо ти скажеш ""так,"" ми відішлемо тебе назад до Бостона, додому.",1.3568676344828118e-231,0.1350462239206423
174,"Uh, I'll get back to you.",Я перезвоню.,Я к тебе вернусь.,1.2882297539194154e-231,0.1350462239206423
175,Nothing happened.,Нічого не трапилось.,Нічого не сталося.,1.133422688662942e-154,0.1350462239206423
176,file to open,"файл, що відкривається","файл, який слід відкрити",1.2882297539194154e-231,0.1350462239206423
177,"Details (visiblility, secrecy, etc.)","Подробиці (видимість, секретність, і т. п.)","Подробиці (біблійність, секретність і т. д.)",5.87583260478785e-78,0.1350462239206423
178,I heard Snape telling Dumbledore.,"Я чула, як Снейп казав Дамбльдорові.","Я чув, як Снейп розповідав Дамбльдору.",8.38826642100846e-155,0.1350462239206423
179,That was the agreement.,Була умова.,Це була угода.,1.384292958842266e-231,0.1350462239206423
180,I have poor eyesight.,У мене поганий зір.,У мене поганий зір.,1.0,0.1350462239206423
181,New host,Новий вузол,Новий вузол,1.491668146240062e-154,0.1350462239206423
182,You can't throw them out on their first day.,Ви не можете їх відчислити у перший же день.,Ви не можете викинути їх у перший же день.,0.4463236137853328,0.1350462239206423
183,Let's find a place to stop.,Де б тут зупинитись.,"Давайте знайдемо місце, де можна зупинитися.",1.1640469867513693e-231,0.1350462239206423
184,Enable direct rendering,Увімкнути відображення напряму,Увімкнути відображення напряму,1.2213386697554703e-77,0.1350462239206423
185,"""We are Groot""?","Ми є Ґрут""?","""Ми - Ґрут""?",6.206021746903507e-78,0.1350462239206423
186,"What I do, I do for my family.","Все, що я робив, я робив для моєї сім`ї.","Що я роблю, я роблю для своєї сім'ї.",6.858354866987037e-155,0.1350462239206423
187,I had a really good time last night.,Я відмінно провела час минулої ночі,Вчора ввечері я дуже добре провела час.,7.711523862191631e-155,0.1350462239206423
188,Skip the build process.,Пропустити процес збирання.,Пропустити процес збирання.,1.2213386697554703e-77,0.1350462239206423
189,compile without NDEBUG and NO_DEBUG being defined (makes kDebug calls work),компілювати без визначення NDEBUG і NO_ DEBUG (робить можливими виклики kDebug),Компілювати без визначення NDEBUG і NO_ DEBUG (працює виклики kDebug),0.676130446299448,0.1350462239206423
190,I shouldn't be doing this.,"Сам не знаю, чому я на це погодився.",Я не должен этого делать.,7.951455490316087e-232,0.1350462239206423
