Unnamed: 0,EN,UK,TRANSLATION,BLEURT_Score
21.0,You have to enter the name of the new identity into the New Identity edit field. This will be the name shown in the identity list.,Вам слід ввести назву нового профілю до поля Новий профіль. Введену назву буде показано у списку профілів.,Вам слід ввести назву нового профілю до поля Новий профіль. Це буде вказано у списку профілів.,0.6429716944694519
22.0,No.,"- Ні, не треба.",Ні.,-0.5636703372001648
23.0,Sharp turns,Різкі повороти,Різкі повороти,0.9440702199935913
24.0,I'll work something out.,Я щось вирішу.,Я щось придумаю.,0.6373507976531982
25.0,"And how many years did it take to build-- my grandfather and Uncle were murdered here, weren't they?","І скільки років пішло на будівництво Тут вбили мого діда і дядька, правда?","І скільки років пішло на будівництво-- тут вбили мого дідуся й дядька, чи не так?",0.852629542350769
26.0,"I want you to steal the diamonds. - No, that's...","я хочу, щоб ви вкрали діаманти.","Я хочу, щоб ти вкрала діаманти.",0.937716007232666
27.0,She can speak not only English but also French.,"Вона може говорити не тільки англійською, але й французькою.","Вона говорить не лише англійською, але й французькою.",0.8333867788314819
28.0,Oh I told him...,- Що ви йому сказали?,"О, я сказав йому...",-0.09918643534183502
29.0,Delete the current profile,Вилучити поточний профіль,Вилучити поточний профіль,0.9468579888343811
30.0,"It's an Earth-shaking discovery, and it's forcing us to radically reassess our place in the Universe and even our eventual fate.",Це відкриття всесвітнього масштабу і воно змушує нас радикально переоцінити наше місце у всесвіті і навіть нашу можливу долю.,"Це відкриття Землі, яке змушує нас радикально переосмислити своє місце у всесвіті і навіть нашу можливу долю.",0.544428288936615
31.0,- It's great.,- Це просто божевілля.,- Чудово.,-0.39999598264694214
32.0,"Whoa, excuse me.",вибачте мені.,Вибачте.,0.07619665563106537
33.0,"Okay, you really gotta help me out here.","гаразд, ви дійсно маєте допомогти мені тут.","Ладно, ты действительно должен помочь мне здесь.",0.5287877321243286
34.0,Hit me.,Здай мені.,Вдар мене.,0.3783034086227417
35.0,We can shake hands with Russian guests and wish them a safe return home.,Ми можемо потиснути руки російським гостям і побажати їм безпечно повернутися додому.,Ми можемо потиснути руку російським гостям і побажати їм безпечно повернутися додому.,0.8859477043151855
36.0,The SUMSQ() function calculates the sum of all the squares of values given as parameters. You can calculate the sum of a range SUMSQ(A1: B5) or a list of values like SUMSQ(12; 5; 12.5).,"Функція SUMSQ () підраховує суму квадратів значень, переданих у параметрах. Ви можете підрахувати суму діапазону, SUMSQ( A1: B5) або списку значень, SUMSQ( 12; 5; 12. 5).","Функція SUMSQ}) обчислює суму всіх квадратів значень, заданих як параметри. Ви можете обчислити суму діапазону SUMSQA1: B5 або списку значень на зразок SUMSQ12; 5; 12. 5).",0.6660169363021851
37.0,1971?,У 1971-му році?,1971?,-0.7100815773010254
38.0,So is there anything I should know about?,є ще щось що я маю знати про це?,"Так есть что-нибудь, о чем я должен знать?",0.4484308362007141
39.0,"Oh, what the hell is this?",Якого біса?,Що це в біса таке?,0.33787328004837036
40.0,It's the last thing he'll expect.,На таке він не сподіватиметься.,"Это последнее, на что он будет ожидать.",0.36478179693222046
41.0,-What's the matter?,- У чому справа?,- Що сталося?,0.25910133123397827
42.0,Konqueror is a combined web- and filebrowser.,Konqueror є комбінацією переглядача Тенет і програми для роботи з файлами.,Konqueror - це комбінований веб- і файловий навігатор.,0.08681811392307281
43.0,Delete the selected task.,Вилучити вибране завдання.,Вилучити вибране завдання.,0.9562023282051086
44.0,- Mm-hmm.,- Угу.,- Угу.,0.9368221759796143
45.0,My dental plan doesn't kick in for another six months.,Нехай усі його зуби будуть цілі.,Мій стоматолог не планує працювати ще шість місяців.,0.5001468658447266
46.0,Color Roles,Ролі кольорів,Ролі кольорів,0.9455496072769165
47.0,Arwen's life is now tied to the fate of the Ring.,Життя Арвен тепер прив'язане до Персня.,Життя Арвена тепер пов'язане з долею Персня.,0.9355142712593079
48.0,"Yes, yes, yes. I gotta go now, ol' fever Sal.","Так, так, так, чоловіче, час.","Так, так, так, мені треба йти, ой лихоманка Сал.",0.7972385883331299
49.0,"Mr. Fifield, let's get a grid of the structure.","Пане Файфілд, визначте структуру цієї споруди.","Мистер Файфілд, давайте найдем решетку здания.",0.532213568687439
50.0,(CROWD MURMURING),РОПТАННЯ У НАТОВПІ,(Звучить натовп),0.3444445729255676
51.0,- Do not!,- Зовсім ні!,- Не треба!,0.0010168254375457764
52.0,"This will be your room, Mr. Bond.","Це ваша кімната, містере Бонд.","Це ваша кімната, містере Бонд.",0.9421883821487427
53.0,Play the original Quake III Arena,Грати у початкову версію Quake III Arena,Грати у початкову Quake III Arena,0.4110165238380432
54.0,It's mad in here.,"Діти, тут можна з глузду з'їхати.",Тут це божевілля.,-0.15317176282405853
55.0,If we don't freeze to death first.,Якщо спершу не загинемо від холоду.,Якщо ми не замерзнемо до смерті спочатку.,0.7122547626495361
56.0,Right.,Вірно.,Так.,-0.756956934928894
57.0,System Administration,Керування системою,Адміністрування системи,0.877449631690979
58.0,I think we should talk about it.,"Тому я вважаю, нам є про що поговорити.","Думаю, нам стоит поговорить об этом.",0.4490091800689697
59.0,Dust Devils,Пилові завихренняweather condition,Пилові дияволи,0.061902016401290894
60.0,Next LaTeX Warning,Наступне попередження LaTeX,Наступне попередження LaTeX,0.9420722126960754
61.0,I like that you get to see the same people every day... bring 'em that check they've been waiting for... and presents for Christmas...,"Мені подобається, що ти можеш бачити одних і тих же людей щодня. Давати їм те, що вони чекали. Подарунки на Різдво.","Мне нравится, что каждый день ты встречаешься с теми же людьми, которые приносят им, чтобы проверить, что они ждут... и подарки на Рождество...",0.48019635677337646
62.0,Installation,Встановлення,Встановлення,0.9418729543685913
63.0,"Easy, pal.","Легше, друзяко.","Полегче, приятель.",0.3641856908798218
64.0,Show Size In,Показувати розмір в,Показувати розмір в,0.9390689134597778
65.0,Has he told you?,Він тобі казав?,Он сказал тебе?,0.1746717393398285
66.0,I hit a snag.,﻿Я знаю.,Я попала в захват.,-0.7639114260673523
67.0,"Step away, Tal Hajus.",Відійди. Таль Аджас.,"Уйди, Талл Хаджус.",0.4211221933364868
68.0,And she says to the other...,І вона йому говорить...,И она говорит другую...,0.454006552696228
69.0,None but the king of Gondor may command me.,Я вимагаю від вас виконати вашу присягу!,"Ніхто, крім короля Гондору може мені наказувати.",0.14661024510860443
70.0,If true this tense is selected for learning.,"Якщо « так », цей час буде вибрано для тестування.","Якщо істина, цей час вибрано для навчання.",0.4589347243309021
71.0,I want to buy it.,Я хочу купити її.,Я хочу купити його.,0.6326529383659363
72.0,"Okay, give it to me.",Давай я помогу.,"Ладно, дай его мне.",0.433246374130249
73.0,It was one of those instant best friend things.,"Це були почуття, які можливі тільки у справжніх друзів.",Це був один з тих моментальних кращих друзів.,0.30948466062545776
74.0,Please check your permissions to create it.,"Будь ласка, переконайтеся, що ви маєте право на створення цього елемента.","Будь ласка, перевірте ваші права доступу для створення цього файла.",0.8558382987976074
75.0,The first word of a game should cover the central position.,Перше слово гри слід розміщувати по центру.,Перше слово гри має займати центральну позицію.,0.8908292055130005
76.0,Cursor & Selection,Курсор та вибір,Курсор та вибір,0.9465705752372742
77.0,Our sons will take over the company.,Наші сини будуть керувати компанією.,Наші сини заволодіють компанією.,0.9067912697792053
78.0,Has he said anything?,Він щось сказав?,Він щось сказав?,0.9350742101669312
79.0,This home will be your home.,Цей дім буде вашим домом.,Цей дім буде твоїм домом.,0.7030990719795227
80.0,The ones that aren't healing.,"Ті, які не гояться.","Ті, що не виліковуються.",0.7569470405578613
81.0,"- His mouse, wifey, gargles brandy...","- Його мишка, жіночка, глушить бренді...","- Його миша, жіночна, гарбуз бренді...",0.6859452724456787
82.0,"Yes, it still stands at 74%.","Так, як і раніше зупинилося на 74%.","Так, він все ще стоїть на 74%.",0.42684298753738403
83.0,"Isn't Job crying the same cry as Ginsberg's ""Howl""?","Чи Йов не плаче так само, як Ґінзберґ у ""Плачі""?","Хіба Йов не плаче так само, як Ґінзберґ ""Плач""?",0.9174318313598633
84.0,"I mean, that shouldn't be your reference.",Не це повинно бути мірилом твоїх зусиль.,"Я маю на увазі, це не повинно бути вашим посиланням.",0.507840096950531
85.0,"& kiten; can also help you refine your searches by allowing you to search for new text in the results generated by a previous search. To do this, just choose Search Search in Results to perform your search.","& kiten; також надає вам змогу уточнити результат пошуку за допомогою пошуку нового тексту у результатах, які є наслідком попереднього пошук. Щоб виконати такий пошук, просто оберіть пункт меню Пошук Шукати у результатах.","Крім того, & kiten; може допомогти вам покращити результати пошуку, надавши вам змогу шукати новий текст у результатах, створених попереднім пошуком. Щоб виконати цей пошук, просто скористайтеся пунктом меню Пошук Шукати у результатах.",0.3411549925804138
86.0,"Get out there and find your little girlfriend, bring her and Julia Shumway back here, pronto.","Вимітайся звідси і знайди свою малу подружку, привези її та Джулію Шамвей сюди, швидко.","Іди і знайди свою подружку, приведи її та Джулію Шамвей сюди.",0.3204383850097656
87.0,"No, no, no.","Ні, ні, ні.","Ні, ні, ні.",0.9309850931167603
88.0,Now you have a military dictatorship.,Тепер у вас військова диктатура.,Тепер у вас є військова диктатура.,0.9498773813247681
89.0,You can do it.,Ви подужаєте!,Ти зможеш.,-0.002278044819831848
90.0,I hate to think where that puts me.,Я не хочу думати скільки тоді мені.,"Я ненавижу думать, куда меня это заставляет.",0.3904019594192505
91.0,- Business purposes only.,- Тільки для роботи.,- Тільки для ділових цілей.,0.8747146129608154
92.0,"Okay, bye-bye.","Добре, бувай.","гаразд, бувай.",0.8155556917190552
93.0,"Not knowing what to do, I asked for his advice.","Не знаючи, що робити, я попрохав його поради.","Не знаючи, що робити, я попросив у нього поради.",0.9284723997116089
94.0,This schedule is baselined. Do you want to remove the baseline?,Цей розклад належить до базового плану. Ви бажаєте вилучити базовий план?,Цей розклад є базовим. Ви бажаєте вилучити базову лінію?,0.4189870357513428
95.0,"Yeah, I remember.","Так, я пам'ятаю.","Так, я пам'ятаю.",0.909642219543457
96.0,This is where I buried it.,Ось тут я його закопав.,Ось де я його закопав.,0.8666152954101562
97.0,There's no oil in it.,Паливо закінчилось.,У ній немає нафти.,0.12562669813632965
98.0,Site Policy,Правила поведінки для сайтів,Правила веб- сайтів,0.2768428921699524
99.0,A little bit further.,І раз! І два! І три!,Ще трохи.,-0.5623260736465454
100.0,"The Heaviside Step Function. Returns 1 if x is positive, 0.5 if x is zero, or 0 if x is negative.","Ступінчаста функція Хевісайда. Повертає 1, якщо x додатне, 0. 5, якщо x рівне нулеві, і 0, якщо x від’ ємне.","Крок Хеавіда. Повертає 1, якщо x додатнє, 0, 5, якщо x дорівнює нулю, або 0, якщо x від' ємне.",0.2787034213542938
101.0,A land where nothing grew.,"Землі, на якій ніщо не росло. Тепер тут є рослини.","Земля, де ніщо не росло.",-0.1327303797006607
102.0,a neat analog clock,лаконічний аналоговий годинник,акуратний аналоговий годинник,0.8321577906608582
103.0,"Doomed to wait upon an old man, who should have loved her as a father.","Проклята піклуватися про старого чоловіка, що мав би її любити як батько.","Засуджений чекати на старого чоловіка, який повинен був любити її, як батька.",0.6619670391082764
104.0,Where did you get it?,Звідки вона у вас?,Де ти його взяв?,0.3005830645561218
105.0,"When you have selected a cell, pressing the Enter key will move the cell cursor one cell left, right, up or down, as determined by this setting.","Цей параметр визначає напрямок переміщення у наступну комірку, якщо натиснути клавішу Enter. Можливе переміщення на одну комірку ліворуч, праворуч, вгору або вниз.","Після вибору комірки, натискання клавіші Enter переведе курсор на одну комірку ліворуч, праворуч, вгору або вниз, згідно до значення цього параметра.",0.6487165093421936
106.0,Fax file(s) to show,Показати файли факсів,Показувати файли факсів,0.9524462819099426
107.0,What do you want to do?,Що збираєшся робити?,Що ти хочеш зробити?,0.6670997142791748
108.0,"- Well, bravo!",- Молодця!,"- Ну, браво!",0.011464908719062805
109.0,Nadia.,Надю!,Надя.,0.29046517610549927
110.0,"- Twins, my lord.","- Двійнята, мій пане.","- Близнюки, милорд.",0.21872368454933167
111.0,"A few years after World War II, The world plunged into Cold War.",КІЛЬКА РОКІВ ПО ЗАКІНЧЕННЮ ІІ СВІТОВОЇ ВІЙНИ СВІТ ПОРИНУВ У ХОЛОДНУ ВІЙНУ.,"Через кілька років після другої світової війни, світова війна вступила в Холодну війну.",0.9394950270652771
112.0,You very nearly were.,Так воно майже і було.,Ти майже була.,0.07890847325325012
113.0,"Default is Number but you can set the WBS code to be Roman Numbers or Letters, either upper case or lower case.","Типовим значенням є Число, але ви можете вказати, що коди СРР слід визначати як римські цифри або літери (верхнього або нижнього регістрів).","Типовим значенням є Число, але ви можете вказати код СРР як римські номери або літери, верхній або нижній регістр.",0.4447312355041504
114.0,Don't put off the work till tomorrow.,Не відкладайте роботу на завтра.,Не відкладайте роботу на завтра.,0.9504222869873047
115.0,But this is my house.,Але це мій будинок.,Но это мой дом.,0.11912146210670471
116.0,Even though you don't want to.,Навіть якщо не хочеш.,Навіть якщо не хочеш.,0.941914975643158
117.0,"Ben, check the outhouse.","Бене, перевір сортир.","Бене, перевір будинок.",0.8927037715911865
118.0,"To create a new email alarm to send a copy of an existing email message, drag the email from & kmail; onto & kalarm; 's main window or system tray icon. Then select the Email option. The Alarm Edit dialog is preset with the entire email message except sender.","Щоб створити нагадування електронною поштою, за якого буде надіслано копію існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до вікна або піктограми системного лотка & kalarm;. Після цього оберіть пункт Нагадування ел. поштою. У діалоговому вікні редагування нагадування буде використано дані повідомлення електронної пошти, окрім відправника.","Щоб створити нагадування електронною поштою для надсилання копії існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до головного вікна або піктограми системного лотка & kalarm;. Після цього позначте пункт Адреса ел. пошти. Діалогове вікно редагування нагадування буде використано для всього повідомлення електронної пошти, окрім відправника.",0.3624098300933838
119.0,- I think I'll have οne.,А я б випив.,"- Думаю, я з'їм.",-0.008947864174842834
120.0,Save logins in a wallet,Зберігати реєстраційні дані у торбинці,Зберігати реєстраційні дані у торбинці,0.9474529027938843
121.0,Flake device definition,Визначення інструмента елементаComment,Визначення пристрою Flake,0.10493012517690659
122.0,Use own default charset when replying,Використовувати власне кодування у відповідях,Використовувати власне кодування під час відповіді,0.9520659446716309
123.0,Want a doughnut?,- Хочеш пампуха? - Ні.,Хочеш пончик?,0.07431959360837936
124.0,"Kuopio, Finland","Куопіо, ФінляндіяName","Куопіо, Фінляндія",0.7140154838562012
125.0,Structures tool,Інструмент структур@ title: menu,Інструмент структур,-0.06888730823993683
126.0,"Brutes, do you think that I wouldn't do it if I wanted to ? !","Скоти, думаєте якби я хотіла, то не зробила б цього?","Брутс, ты думаешь, я бы этого не сделал, если бы хотел?",0.5868648290634155
127.0,"Neck, I'm gonna need you to stay here and get this motor runnin'.","Неку, ти повинен тут залишитися і завести двигун.","Нэк, мне нужно, чтобы ты осталась здесь и запустила этот мотор.",0.43238377571105957
128.0,"I used to think rich people were cursed, and that only garrets, sour soup and potatoes can bring people joy.","Раніше я думав, що багаті - прокляті люди. І що тільки халупи і коморки, і кисла капуста з картоплею, дають людям щастя і благість.","Я думав, що багаті люди прокляті, і що тільки гаррети, кислий суп і картопля приносять людям радість.",0.3388465642929077
129.0,She'd have told you She was like you,"Якби хотіла, то передала. Вона була така ж як і ти.","Вона б тобі сказала, що вона така ж, як ти.",0.2857465147972107
130.0,"When you are done setting up your screen saver, click OK.",Після завершення налаштування вашого зберігача екрана вам слід натиснути кнопку Гаразд.,Після завершення налаштування вашого зберігача екрана натисніть кнопку Гаразд.,0.8886827230453491
131.0,Full CD,Повний КД,Повний КД,0.9332576394081116
132.0,I wonder what they're serving at the domestic dealerships.,я вражений вони обслуговують як в уповноважених сервісах.,"Цікаво, що вони служать на внутрішньому дільниці.",0.3863487243652344
133.0,Alice?,Алісо!,Еліс?,0.3289150595664978
134.0,What's the matter with you?,Що з тобою?,Що з тобою?,0.9081977605819702
135.0,- Rub water all over yourself.,- Намочіть шкіру.,- Витирайте воду звідусіль.,0.3723068833351135
136.0,Enable window dragging,Дозволити перетягнення вікон,Увімкнути перетягування вікон,0.9107978343963623
137.0,And I'm Jody.,А я - Джоді.,А я Джоди.,0.5405424237251282
138.0,You know Dr. Melnick?,ти знаєш дохтора Мельника?,Ви знайомі з доктором Мельником?,0.6291490197181702
139.0,- Do you understand?,- ﻿Ти розумієш?,- Ти розумієш?,0.9437462687492371
140.0,Nicholas Flamel.,Ніколас Фламел.,Ніколас Фламел.,0.9560611248016357
141.0,And they know about your brother.,І вони знають про твого брата.,І вони знають про твого брата.,0.9333399534225464
142.0,That's right.,Верно.,Саме так.,-0.40422171354293823
143.0,Why do you keep calling me Charlie?,чому ви продовжуєте звати мене Чарлі?,Почему ты продолжаешь называть меня Чарли?,0.7206284403800964
144.0,"I'm so glad you get to meet my friends, Johnny.","Я такий радий що ти зустрінеш моїх друзів, Джонні.","Я так рада, что ты познакомишься с моими друзьями, Джонни.",0.6418876647949219
145.0,You can find a quick introduction to the Identities page in the Getting Started section.,Короткий вступ до параметрів сторінки Профілі можна знайти у розділі Початок роботи.,Короткий вступ до сторінки Профілі можна знайти у розділі Початок роботи.,0.8934435248374939
146.0,- In Japan?,– В Японії?,- В Японії?,0.9299057722091675
147.0,I'll tell them.,Пepeкaжу.,Я скажу їм.,-0.33258235454559326
148.0,You think we might be stuck in here a while.,"Гадаєш, ми застрягнемо тут ненадовго?","Думаєш, ми застрягли тут якийсь час?",0.524030327796936
149.0,Exchange Card 3,Замінити третю карту,Замінити третю карту,0.9458572864532471
150.0,Merry Christmas.,- Веселого Різдва ...,Веселих свят.,0.2153826355934143
151.0,Fuck this. Fuck this.,До біса.,До біса це.,0.8935936689376831
152.0,I am no one's servant.,Я не служу нікому.,Я не служу нікому.,0.9441165924072266
153.0,"I remember how ""different"" became dangerous.","Я ще пам'ятаю, як 'інший' перетворилося на 'небезпечний'.","Я пам'ятаю, як ""різний"" став небезпечним.",0.3566134572029114
154.0,Number (Integer),Число (Ціле),Число (Integer),-0.18660424649715424
155.0,I know you're busy.,"Знаю, що Ви зайняті.","Я знаю, що ти зайнятий.",0.6937068700790405
156.0,"Yes, and it's a pretty small list.","Так, і список досить малий.","Так, і це доволі маленький список.",0.9116804599761963
157.0,- Good morning.,- ﻿Доброго ранку.,- Доброго ранку.,0.9422448873519897
158.0,Slug him.,вмаж йому.,Ударь его.,0.19462385773658752
159.0,"Uh, it's just a temporary house guest.",Це тимчасовий гість.,Це тимчасовий гість.,0.9442505836486816
160.0,There must be a reason.,Є якась причина?,Має бути якась причина.,0.5048403739929199
161.0,"I'm the fastest gun north, south, east and west of the Pecos!","я найкращий стрілок на північ, південь, на схід і на захід від Пекосу!","Я самый быстрый пистолет на севере, юга, восточной и западной от пекоса!",0.32719987630844116
162.0,Vertical (Y-)Shift (in dots),Вертикальний (Y -) зсув (в точках),Вертикальний (Y -) зсув (у точках),0.9214641451835632
163.0,Just wanted to say good luck.,"Гей, хлопче. Просто хотів сказати удачі.",Просто хотел сказать удачи.,0.2041342854499817
164.0,Entirely disables the use of LDAP for S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.,0.9423688650131226
165.0,Reverse SeaWorld where dolphins are allowed to pet people.,де дельфіни за хатніх тваринок мають людей.,"BackseWorld, де дельфіни можуть погладити людей.",0.295770525932312
166.0,"Between the breakup, and then her acting career isn't going that well...","Мабуть поміж розлученнями, і до того ж, її акторська кар'єра не дуже складається...","Между разрывом, а потом её актерская карьера не так уж и хорошо...",0.37479865550994873
167.0,& Center Environments,& Центровані середовища,& Центрувати середовища,0.9417126774787903
168.0,You expect me to joust with this beast night after night until I die?,"Чому ти думаєш, що я стану щоночі Битися з демоном до самої смерті?","Ты ждешь, что я буду тусуться с этим зверем ночью, пока я не умру?",0.4109429121017456
169.0,But how did you know?,Але як ти дiзнався?,Але як ти дізнався?,0.9185941219329834
170.0,♪ Wind blowing free ♪,♪ Вільний дме вітер ♪,♪ Вітер розвіває ♪,0.32363730669021606
171.0,What did you steal?,І що ти вкрав?,Що ти вкрала?,0.7856432199478149
172.0,Of course you are.,Та звісно що.,"Звичайно, що так.",0.8230407238006592
173.0,"If you say yes, we'll send you back down to Boston, your home turf.","Якщо погодитеся, ми відправимо вас назад у Бостон, додому.","Якщо ти скажеш ""так,"" ми відішлемо тебе назад до Бостона, додому.",0.6019237041473389
174.0,"Uh, I'll get back to you.",Я перезвоню.,Я к тебе вернусь.,0.5399029850959778
175.0,Nothing happened.,Нічого не трапилось.,Нічого не сталося.,0.6293964385986328
176.0,file to open,"файл, що відкривається","файл, який слід відкрити",0.6141971349716187
177.0,"Details (visiblility, secrecy, etc.)","Подробиці (видимість, секретність, і т. п.)","Подробиці (біблійність, секретність і т. д.)",0.9248351454734802
178.0,I heard Snape telling Dumbledore.,"Я чула, як Снейп казав Дамбльдорові.","Я чув, як Снейп розповідав Дамбльдору.",0.9000698328018188
179.0,That was the agreement.,Була умова.,Це була угода.,0.8212591409683228
180.0,I have poor eyesight.,У мене поганий зір.,У мене поганий зір.,0.9441342949867249
181.0,New host,Новий вузол,Новий вузол,0.9303783178329468
182.0,You can't throw them out on their first day.,Ви не можете їх відчислити у перший же день.,Ви не можете викинути їх у перший же день.,0.937038242816925
183.0,Let's find a place to stop.,Де б тут зупинитись.,"Давайте знайдемо місце, де можна зупинитися.",0.16535057127475739
184.0,Enable direct rendering,Увімкнути відображення напряму,Увімкнути відображення напряму,0.9484516382217407
185.0,"""We are Groot""?","Ми є Ґрут""?","""Ми - Ґрут""?",-0.24863474071025848
186.0,"What I do, I do for my family.","Все, що я робив, я робив для моєї сім`ї.","Що я роблю, я роблю для своєї сім'ї.",0.45450347661972046
187.0,I had a really good time last night.,Я відмінно провела час минулої ночі,Вчора ввечері я дуже добре провела час.,0.486596941947937
188.0,Skip the build process.,Пропустити процес збирання.,Пропустити процес збирання.,0.9551887512207031
189.0,compile without NDEBUG and NO_DEBUG being defined (makes kDebug calls work),компілювати без визначення NDEBUG і NO_ DEBUG (робить можливими виклики kDebug),Компілювати без визначення NDEBUG і NO_ DEBUG (працює виклики kDebug),0.5825772285461426
190.0,I shouldn't be doing this.,"Сам не знаю, чому я на це погодився.",Я не должен этого делать.,0.02294035255908966
191.0,My sun and stars is wounded.,Моє сонце і зірки поранений.,Моє сонце і зірки поранені.,0.8643147945404053
192.0,Some place dark and dusty.,Там страшна темрява і пилюка.,У якомусь місці темно і порошно.,0.1605389267206192
193.0,"People thought we lost the first game, we're going to lose the second game.","Усі думали, якщо ми програли першу гру, то програємо й наступну.","Люди думали, що ми програли першу гру, ми програємо другу.",0.4980769753456116
194.0,And I know I saw a flash of her yesterday.,"І я знаю, що я бачив відблиск цієї лихості учора","І я знаю, що бачив її вчора спалах.",0.1824256032705307
195.0,What happened?,Що тут було?,Что случилось?,0.8069659471511841
196.0,- You're 15 years old.,"- Емілько, тобі п'ятнадцять років!",- Тобі 15 років.,-0.33035504817962646
197.0,The file you are about to add to the project is an ISO9660 image. As such it can be burned to a medium directly since it already contains a file system. Are you sure you want to add this file to the project?,"Файл, який ви хочете додати до проекту, є штампом ISO9660. Його можна безпосередньо записати на носій, бо він вже містить файлову систему. Ви справді хочете додати цей файл до проекту?","Файл, який ви збираєтеся додати до проекту, є штампом ISO9660. Таким чином його можна записати напряму, оскільки він вже містить файлову систему. Ви впевнені, що хочете додати цей файл до проекту?",0.5314577221870422
198.0,standardDeviation,Стандартне відхилення,Стандартне відхилення,0.9487715363502502
199.0,The MySQL server log file '%1 'does not contain any errors or warnings.,У файлі журналу помилок сервера MySQL «% 1 » немає записів про помилки або попередження.,"Файл журналу помилок сервера MySQL ""% 1 "" не містить ніяких помилок або попереджень.",0.6744769811630249
200.0,Each control center module can be executed individually,Кожен з модулів центру керування можна виконувати окремо,Кожен з модулів центру керування можна виконувати окремо,0.9134020805358887
201.0,I can't go back there.,Я не могу вернуться.,Я не можу туди повернутися.,0.8001251220703125
202.0,Like a frozen blanket.,Як і замороженому ковдру.,Как замороженное одеяло.,0.4530566334724426
203.0,"Download of ""%1"" from %2 failed. Reason: %3.","Спроба звантаження «% 1 » від% 2 зазнала невдачі. Причина:% 3.% 1 = file name,% 2 = nickname of recipient","Звантаження ""% 1 "" від% 2 зазнало невдачі. Причина:% 3.",0.14994551241397858
204.0,"Jesus, Mary and Joseph...","Ісус, Марія та Йосип...","Ісус, Марія і Йосип...",0.9208698272705078
205.0,Right click on the system tray icon and choose New Alarm from the context menu.,"Наведіть вказівник миші на піктограму у системному лотку, клацніть правою кнопкою миші і оберіть з контекстного меню пункт Нове нагадування.","Наведіть вказівник миші на піктограму системного лотка, клацніть правою кнопкою миші і оберіть у контекстному меню пункт Нове нагадування.",0.8711424469947815
206.0,west & central Borneo,захід і центральна частина Борнео,захід і центральна частина Борнео,0.9315369129180908
207.0,Opens a dialog where you can enter a variable and a new value for it.,"Відкрити діалогове вікно, у якому ви зможете ввести змінну, а також її нове значення.","Відкриває діалогове вікно, у якому ви можете ввести змінну і її нове значення.",0.8853076696395874
208.0,- About the size of a bird's egg?,- А розмір такий як яйце? - Так.,- Как размером с яйцо птицы?,0.2775503396987915
