Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,UK
35.0,Heiß!,Hot!,Heiß!,0.9203319549560547,
36.0,Aber jetzt nicht mehr.,But not any more,Aber nicht mehr,-0.08179990947246552,
37.0,- Das stimmt.,- That's true.,- Das stimmt.,0.9228186011314392,
38.0,"Pink für dich, Blau für Luke.","Pink for you, blue for Luke.","Rosa für dich, blau für Luke.",0.02671612799167633,
39.0,- Ganz ruhig bleiben.,That's right.,Genau.,-1.1229236125946045,
40.0,"Weißt du, wer Remy Danton ist?",Do you know who Remy Danton is?,"Weißt du, wer Remy Danton ist?",0.893476128578186,
41.0,Ich möchte jetzt gehen.,I want to go.,Ich will gehen.,-0.7256388068199158,
42.0,- Sicher.,Sure.,Sicher.,0.5711334943771362,
43.0,Ich darf mich für eure Geduld bedanken.,Thank you for your patience.,Danke für Ihre Geduld.,-0.9661939144134521,
44.0,"Bob, Sie haben da was am Anzug.","Yeah. Bob, you got something on your suit.","Bob, du hast was an deinem Anzug.",-0.43163174390792847,
45.0,Sieht gut aus.,Looks good.,Sieht gut aus.,0.9201692342758179,
46.0,- Sid.,- Sid.,"- Sid. - Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein. nein, nein, nein, nein, nein. nein, nein, nein, nein. nein, nein, nein, nein, nein, nein. nein, nein, nein. nein, nein.",-0.8040656447410583,
47.0,- Ein Bündnis mit wem?,- Klaus.,"- Klaus. - Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein. nein, nein, nein, nein. nein, nein, nein, nein, nein. nein, nein, nein, nein, nein. nein, nein, nein. nein, nein, nein. nein, nein. nein.",-1.1105659008026123,
48.0,- Hast du das gesehen? - Was?,- Did you see that?,- Hast du das gesehen?,0.265529066324234,
49.0,Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol,Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,0.9072489738464355,
50.0,Wir fahren.,We're leaving.,Wir gehen.,-0.5730357766151428,
51.0,Drücken!,Push! Push!,Drück!,0.16514067351818085,
52.0,Geht schon.,You'll do.,Du wirst es tun.,-1.0282278060913086,
53.0,Wissen Sie Bescheid über Manfredi und den Pakt?,Do you know about Manfredi and the covenant...?,Wissen Sie von Manfredi und dem Bund?,-0.0947050005197525,
54.0,Länge des GGB,Length of SCI,Länge des GGB,0.8954732418060303,
55.0,- Ja. Genau so.,Something like that.,So etwas in der Art.,-1.1784560680389404,
56.0,"Nein, das ist unmöglich.",It's just not possible.,Das ist einfach nicht möglich.,-0.14948208630084991,
57.0,"Sei willkommen, Bruder.","Welcome, brother.","Willkommen, Bruder.",0.26923057436943054,
58.0,Wer sind diese Männer?,who are those men?,Wer sind diese Männer?,0.9059014916419983,
59.0,Hört zu...,Listen!,Hör zu!,0.2497875690460205,
60.0,So. Ihr müsst den Rhythmus finden.,You guys got to get a rhythm going.,Ihr müsst einen Rhythmus haben.,-0.3946434259414673,
61.0,Artikel 14 und möglichst,Article 14,Diese Verordnung tritt am zwanzigsten Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Union in Kraft.,-1.3443081378936768,
62.0,Durst!,Durst!,Durst!,0.9163089990615845,
63.0,Weiter!,Okay.,In Ordnung.,-1.40464186668396,
64.0,Erweitert,Toggle Present Windows (Current desktop),Windows anzeigen (aktueller Desktop) umschalten,-0.797330379486084,
65.0,Legen Sie die Endzeit fest.@option:check,Set the end time,Stellen Sie die Endzeit ein,-0.8525474071502686,
66.0,"Oh, Sie armes Ding.","Oh, you poor thing.","Oh, du armes Ding.",-0.04024495184421539,
67.0,"Sie würden herausfinden wollen: ,Bin ich allein?""","You're attempting to find, ""Am I alone?""","Du versuchst zu finden: ""Bin ich allein?""",-0.39617323875427246,
68.0,"Ich habe keinen Hunger, Dad.","God, Dad. I'm not hungry.",Ich habe keinen Hunger.,0.04253436625003815,
69.0,"Schaden entsteht vor allem dann, wenn in der Türkei Hoffnungen auf einen Beitritt erweckt wurden, diese angesichts der politischen Lage aber nicht erfüllt werden können.",It will have done more harm if Turkey's expectations of accession have been raised and cannot be met because of the political situation.,"Es wird mehr Schaden angerichtet haben, wenn die Beitrittserwartungen der Türkei angehoben wurden und wegen der politischen Situation nicht erfüllt werden können.",-0.07120905816555023,
70.0,Ich meine es ernst!,I'm serious.,Ich meine es ernst.,0.7340186834335327,
71.0,Du hast angefangen.,You are there begun.,Du bist da und hast begonnen.,0.024760156869888306,
72.0,Zur subkutanen Anwendung,Subcutaneous use,Subkutane Anwendung,0.5841167569160461,
73.0,(Lois) Es geht mir gut. - Was tun Sie hier?,- So he's alive?,- Also lebt er?,-1.1148368120193481,
74.0,"Er sagte, er kennt die Leute, die damit zu tun hatten.","Well, he said that he knew the people that were involved.","Nun, er sagte, dass er die Leute kannte, die involviert waren.",-0.28498828411102295,
75.0,Zum Anfang,Home,Zum Anfang,0.9165728688240051,
76.0,Du bist doch verrückt!,You're insane!,Du bist verrückt!,0.16856367886066437,
77.0,"Der Rat vertritt bezüglich des Westsaharakonflikts die allgemeine politische Linie der uneingeschränkten Unterstützung der UN und des Sonderbeauftragten des UN-Generalsekretärs, James Baker, in seinem Bestreben, eine Lösung des Konfliktes herbeizuführen.",The general political stance of the Council with regard to the conflict in Western Sahara is to fully support the United Nations and the UN Secretary General' s personal envoy James Baker in their work on finding a solution to the conflict.,"Die allgemeine politische Haltung des Rates in Bezug auf den Konflikt in der Westsahara besteht darin, die Vereinten Nationen und den persönlichen Gesandten des UN-Generalsekretärs James Baker bei der Suche nach einer Lösung des Konflikts uneingeschränkt zu unterstützen.",0.10579092800617218,
78.0,Was zum Teufel hab ich hier vor mir?,What the hell am I looking at?,Was zum Teufel schaue ich mir an?,-0.0019485801458358765,
79.0,Seht ihr?,"- The museum's only interested in the collection... if you're in it, Woody.","- Das Museum interessiert sich nur für die Sammlung, wenn Sie daran interessiert sind, Woody.",-1.5292565822601318,
80.0,Geh nach Hause!,Home!,Nach Hause!,0.1753993034362793,
81.0,"Wie sehend und hörend werden sie sein, wenn sie zu Uns kommen! Doch die Unrecht- Begehenden sind heute im offenkundigen Irrtum.","How keenly would they hear and see when they come before Us then, even though today the evil-doers are lost in palpable error.","Wie wollen sie denn hören und sehen, wenn sie zu Uns kommen, auch wenn die Frevler heute im offenkundigen Irrtum verloren sind?",0.11945255100727081,
82.0,Hören Sie auf.,Stop it!,Hör auf!,-0.5682574510574341,
83.0,Das versprech ich dir.,I promise you that.,Das verspreche ich dir.,0.806999683380127,
84.0,Wie lautet er?,What is it?,Was ist los?,-1.3126988410949707,
85.0,Gothisch,Gothic,Gotisch,-0.9478131532669067,
86.0,"Hier geht es nicht um eine Zombie- Mahlzeit, das ist Organdiebstahl.",This isn't zombie lunch. This is organ theft.,"Das ist kein Zombie-Mittagessen, das ist Organdiebstahl.",-0.24334703385829926,
87.0,"Wenn das Gebet beendet ist, dann breitet euch im Land aus und strebt nach etwas von der Huld Gottes. Und gedenkt Gottes viel, auf daß es euch wohl ergehe.","But when the prayer is ended, then disperse abroad in the land and seek of Allah's grace, and remember Allah much, that you may be successful.","Wenn aber das Gebet beendet ist, dann zerstreut euch auf der Erde und trachtet nach Allahs Huld und gedenkt Allahs viel, auf daß es euch wohl ergehe.",0.027447566390037537,
88.0,Haltet den Dieb!,Thief! Thief!,Dieb!,-0.5561716556549072,
89.0,"ABl. L 257 vom 27.10.1995, S. 1.","OJ L 257, 27.10.1995, p. 1.","ABl. L 257 vom 27.10.1995, S. 1.",0.8830366134643555,
90.0,- Merkur. - GroßerZeus?,- Mercury...,- Merkur...,-0.6875588893890381,
91.0,- Ich komme gleich.,- Lucy? - I'm coming.,- Lucy? - Ich komme.,-0.6731578707695007,
92.0,Nicht umdrehen!,Don't look back.,Schau nicht zurück.,-0.5732135772705078,
93.0,"Was machst du hier, meine süße Blutorange?","What are you doing, my sweet little blood orange?","Was machst du da, meine süße kleine Blutorange?",0.6811731457710266,
94.0,Entschuldigen Sie bitte.,Pardon me.,Entschuldigen Sie.,0.31343430280685425,
95.0,"Aber dann machte ich einen falschen Pinselstrich, und es ist mir wieder entglitten.",But then one wrong brushstroke and it got away once again.,Aber dann ein falscher Pinselstrich und es kam wieder davon.,0.025767698884010315,
96.0,Beschluss des Europäischen Parlaments,Decision of the European Parliament,Beschluss des Europäischen Parlaments,0.9007198214530945,
97.0,Und Kalzium.,Of course. Cool.,Natürlich.,-0.6780955195426941,
98.0,Bleib bei mir.,Stay with..,Bleiben Sie bei..,-0.8420061469078064,
99.0,Das war gemein.,It was mean.,Es war gemein.,0.1312868893146515,
100.0,"Ja, das ist in Ordnung.",That's fair enough.,Das ist fair genug.,-0.9739161729812622,
101.0,- Bestimmt.,- I think so.,- Ich glaube schon.,-1.1635088920593262,
102.0,- Es war ein tolles Spiel.,That was a great game.,Das war ein tolles Spiel.,0.35878467559814453,
103.0,"Also etwas Respekt, sonst setzt es was.",So show me some respect or I'll give you a personal tour.,"Zeigen Sie mir etwas Respekt, oder ich begleite Sie persönlich.",-1.2741565704345703,
104.0,"Komm, du freches Früchtchen.",Come on now.,Komm schon.,-1.0617080926895142,
105.0,Dass du zurückkommst.,For you to come back.,Damit du zurückkommst.,0.0078089237213134766,
106.0,- Furchtbar.,- The worst.,- Das Schlimmste.,-1.1026792526245117,
107.0,Es sollte eigentlich eine englische Kopie im Ordner sein. Es ist in Ordnung.,There was supposed to be an English copy in the folder.,Es sollte eine englische Kopie im Ordner sein.,-0.20305900275707245,
108.0,"Aber wir werden uns unsere Leben nicht von diesen kleinen Kristallen diktieren lassen, oder?",We're not gonna let our lives be dictated by these little crystals?,Wir lassen unser Leben nicht von diesen kleinen Kristallen diktieren?,0.026641622185707092,
109.0,Pass nur auf.,Just watch.,Pass einfach auf.,0.25501877069473267,
110.0,- Da runter?,This way?,Hier entlang?,-1.24924898147583,
111.0,Ich hab noch einen.,I have another.,Ich habe noch einen.,0.7731085419654846,
112.0,Quatsch!,That's no good!,Das ist nicht gut!,-0.9961636066436768,
113.0,Folge dem Geld.,Follow the money.,Folgen Sie dem Geld.,0.6189578771591187,
114.0,Da ist bereits jemand drin.,Somebody's already in there.,Da ist schon jemand drin.,-0.11064837872982025,
115.0,Die Ätiologie ist nicht definiert worden.,The aetiology has not been defined.,Die Ätiologie wurde nicht definiert.,0.036969318985939026,
116.0,Griechenland,Greece,Griechenland,0.9109688997268677,
117.0,Steh auf!,Get up.,Steh auf.,0.6852487921714783,
118.0,Bringen Sie sich in Ordnung.,Get cleaned up.,Mach dich sauber.,-1.328021764755249,
119.0,Ich verstehe nicht.,I don't understand.,Ich verstehe nicht.,0.9242537021636963,
120.0,Was ist mit Max?,What about Max?,Was ist mit Max?,0.9217778444290161,
121.0,- Guten Abend.,"- Good evening,",- Guten Abend.,0.9177136421203613,
122.0,Er braucht Dich.,He needs you.,Er braucht dich.,0.9225454926490784,
123.0,Ist hier irgend jemand?,Anybody here?,Ist jemand hier?,-0.1834925264120102,
124.0,Ich werde es selbst herausfinden.,I'll figure it out myself.,Ich werde es selbst herausfinden.,0.9102000594139099,
125.0,Im Kühlschrank lagern.,Store in a refrigerator.,Im Kühlschrank lagern.,0.9204455614089966,
126.0,"Genau das, was du gesagt hast!",Exactly what you said!,"Genau das, was du gesagt hast!",0.9297401905059814,
127.0,- Warten Sie. - Carrie...,- Carrie...,"- Carrie... - Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.",-1.0800471305847168,
128.0,Ich war ein Arschloch.,I was a pig.,Ich war ein Schwein.,-0.20512880384922028,
129.0,Er ist nicht hier.,He's not here.,Er ist nicht hier.,0.9221574068069458,
130.0,Da ist mehr... darüber hinaus.,There is more beyond.,Es gibt noch mehr darüber hinaus.,0.22358600795269012,
131.0,"du kannst sie eine Zeit ausschließen, aber sie wird nie verschwinden"".","you can shut it out for a time but it ain't going away"".","Man kann es für eine Weile ausschalten, aber es geht nicht weg"".",-0.5611795783042908,
132.0,Das ist Blut.,That's blood.,Das ist Blut.,0.9307996034622192,
133.0,"Nein, hör zu.","No, listen.","Nein, hör zu.",0.90569669008255,
134.0,Über uns,Contact us,Kontaktieren Sie uns,-1.5645614862442017,
135.0,"Ich sehe nur noch eine Lösung, mein Colonel. Sie liegt an Ihnen, birgt aber große Risiken.","I see only one possible solution, colonel, it depends on you, and it's very risky.","Ich sehe nur eine mögliche Lösung, Colonel, es hängt von Ihnen ab, und es ist sehr riskant.",-0.19702301919460297,
136.0,Das ist nicht witzig.,That ain't funny.,Das ist nicht witzig.,0.9219709634780884,
137.0,Mein Name ist Barry Allen. Ich bin der schnellste Mensch der Welt.,"My name is Barry Allen, and I am the fastest man alive.","Mein Name ist Barry Allen, und ich bin der schnellste Mann der Welt.",0.5448626279830933,
138.0,- Es fängt an und hört wieder auf.,"On and off, off and on.","An und ab, ab und an.",-1.1601454019546509,
139.0,Deshalb habe ich dir etwas von meinem Vater mitgebracht. Wo ist Jake?,Where's Jake?,Wo ist Jake?,-0.9901766777038574,
140.0,"- Ich habe ihm gesagt, er soll zur Hölle fahren.",- I told him to go to hell.,"- Ich sagte ihm, er soll zur Hölle gehen.",0.046046316623687744,
141.0,Ich bin unglücklich.,- I'm not happy.,- Ich bin nicht glücklich.,-0.2899097204208374,
142.0,Wir haben es verbraucht.,We burned through it.,Wir haben es durchgebrannt.,-0.2090083509683609,
143.0,Willkommen. Das trifft sich gut.,"Hello, Colonel.","Guten Tag, Colonel.",-1.0030204057693481,
144.0,"Komm doch am Nachmittag zu uns, dann würden wir was Besonderes für dich kochen. - Ja?",Mm-Hmm.,"Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein. nein, nein, nein, nein, nein, nein, nein, nein, nein. nein, nein, nein.",-1.423508644104004,
145.0,Fahr hier ran.,Pull over here.,Halten Sie hier an.,-0.8350819945335388,
146.0,- Spiele.,"Play the game, Harding.","Spiel das Spiel, Harding.",-0.4541546106338501,
147.0,"Nein, es stehen nur ein paar Dinge an.","Oh, no, just got a few things on.","Oh, nein, ich habe nur ein paar Sachen an.",0.007144823670387268,
148.0,6.3 Dauer der Haltbarkeit,6.3 Shelf-life,6.3 Dauer der Haltbarkeit,0.9201711416244507,
149.0,Bubbs...,Bubs...,"Bubs... - Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.",-0.8569917678833008,
150.0,Bei einem Schätzwert von 300 000 Dollar.,"At a $300,000 valuation.",Bei einer Bewertung von 300.000 Dollar.,0.024364709854125977,
151.0,- Warte auf uns!,- Wait for us!,- Warte auf uns!,0.9068737030029297,
152.0,Das verrate ich Ihnen.,I tell you.,Ich sag's dir.,-1.0199896097183228,
153.0,Wie fühlen Sie sich?,- Just fine.,- Ganz gut.,-1.296905517578125,
154.0,Bei Ratten ging ein minimaler bis leichter Abfall der Erythrozytenwerte mit Knochenmarkveränderungen einher; ähnliche Veränderungen wurden mit geringerer Häufigkeit bei Affen beobachtet.,"In rats, minimal to mild decreases in erythrocyte parameters were accompanied by bone marrow changes; similar changes occurred in monkeys at a lower incidence.",Bei Ratten war eine minimale bis leichte Abnahme der Erythrozytenparameter mit Knochenmarkveränderungen verbunden; ähnliche Veränderungen traten bei Affen bei geringerer Inzidenz auf.,0.2292519509792328,
155.0,Ich habe gar nichts. Wirklich.,I have nothing.,Ich habe nichts.,-0.19361113011837006,
156.0,Garden (116),Garden,Garten,-1.3139503002166748,
157.0,Wir hatten Kontakt.,We made contact.,Wir haben Kontakt aufgenommen.,-0.661038875579834,
158.0,DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:,DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,0.8956117630004883,
159.0,- Logisch!,Word.,Wort.,-1.3806159496307373,
160.0,"He, du bist der aufgetaute Typ aus dem 20. Jahrhundert, nicht?","Hey, you're the unfrozen guy from the 20th century, right?","Hey, du bist der ungefrorene Typ aus dem 20. Jahrhundert, richtig?",-0.008006468415260315,
161.0,"Mann, du bist krank.","You're insane, man.","Du bist verrückt, Mann.",-0.3017602562904358,
162.0,Es scheint Euch gut zu gehen.,You seem well.,Du scheinst gut zu sein.,-0.1581331044435501,
163.0,Gruppe als & ungelesen markieren,Show folder quick search line edit,Ordner anzeigen schnell suchen Zeile bearbeiten,-0.822002649307251,
164.0,"Wann immer er sich öffentlich zeigte, wurde er von Autogramm- und Souvenirjägern umlagert.",'Everytime he appeared in public 'the crowds clamoured for his autograph and souvenirs.',"Jedes Mal, wenn er in der Öffentlichkeit auftauchte, riefen die Massen nach seinem Autogramm und seinen Souvenirs.",-0.22170104086399078,
165.0,Das wollen Sie vor den Kindern nicht hören.,"Ma'am, you're not gonna wanna hear this in front of your kids.","Ma'am, Sie werden das nicht vor Ihren Kindern hören wollen.",0.28584396839141846,
166.0,DER RAT DER EUROPÄISCHEN UNION —,"THE COUNCIL OF THE EUROPEAN UNION,",DER RAT DER EUROPÄISCHEN UNION —,0.8426505327224731,
167.0,Behalte den Rest.,Keep it.,Behalten Sie es.,-0.7718712687492371,
168.0,- Nehmen Sie doch Platz.,"Uh, won't you sit down, please?",Setzen Sie sich bitte.,-1.1866873502731323,
169.0,"Ich bring euch um, verdammt.",I'm gonna fucking kill you.,Ich werde dich umbringen.,-0.975753903388977,
170.0,Ich brauche Hilfe!,I need help!,Ich brauche Hilfe!,0.9217954874038696,
171.0,Ich schwimme.,- Swimming.,- Schwimmen.,-0.389316201210022,
172.0,Jetzt im TEMPLE THEATER DANTE,Now Playing TEMPLE THEATRE DANTE,Jetzt spielen TEMPLE THEATRE DANTE,0.0044070035219192505,
173.0,Ein Lehrer.,A teacher.,Ein Lehrer.,0.8963806629180908,
174.0,Was macht der hier?,What 's he doing here?,Was macht er hier?,0.537860631942749,
175.0,4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,4.5 Interaction with other medicinal products and other forms of interaction,4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,0.8907922506332397,
176.0,Entschuldigen Sie!,- Excuse me.,- Entschuldigung.,-0.7179268002510071,
177.0,"Gut, ich werde gehen.",I'm leaving.,Ich gehe.,-0.5738359689712524,
178.0,Seekartenunterlagen für schiffseigenen Radar,Chart facilities for shipborne radar,Karteneinrichtungen für Schiffsradar,-0.634937047958374,
179.0,Hübsches Mädchen.,Clever girl.,Cleveres Mädchen.,-0.3633383512496948,
180.0,Mir macht das alles nichts aus.,I'm totally cool with the situation.,Ich bin total cool mit der Situation.,-0.9116194248199463,
181.0,Hier ist das Geld.,Here's some money.,Hier ist etwas Geld.,0.2093549221754074,
182.0,Das ist jetzt alles vorbei.,That's all over.,Das ist alles vorbei.,-0.009480908513069153,
183.0,"Sind Sie sicher, dass wir das tun sollten?",Are you sure we should be doing this?,"Sind Sie sicher, dass wir das tun sollten?",0.8990408182144165,
184.0,Der Präsident,The President,Der Präsident,0.9107549786567688,
185.0,"Die Mitgliedstaaten, in denen gemäß Nummer 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende eines Zeitraums von sieben Jahren nach dem Beitritt die in den folgenden Absätzen beschriebenen Verfahren anwenden.","Those Member States in which, by virtue of paragraph 3, 4 or 5, Articles 1 to 6 of Regulation (EEC) No 1612/68 apply as regards Romanian nationals, may resort to the procedures set out in the subparagraphs below until the end of the seven year period following the date of accession.","Die Mitgliedstaaten, in denen gemäß den Absätzen 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende des Zeitraums von sieben Jahren nach dem Beitritt auf die in den nachstehenden Unterabsätzen genannten Verfahren zurückgreifen.",0.37426096200942993,
186.0,Sind Sie noch da?,Are you still there?,Bist du noch da?,-0.3789241313934326,
187.0,- Warum nicht?,Why not?,Warum nicht?,0.8074770569801331,
188.0,Würden Sie mich kurz entschuldigen?,- Would you excuse me for just a moment? - Sure.,- Würdest du mich einen Moment entschuldigen?,-0.2577579617500305,
189.0,Wofür?,For what?,Wofür?,0.9246865510940552,
190.0,"- Sag den Männern, sie sollen zurück.","- Order the men to move back, Joshua.","- Befiehl den Männern, zurückzuziehen, Joshua.",-0.5889689326286316,
191.0,Ein Mann soll ein Bollwerk der Stärke sein.,You expect a man to be a tower of strength.,"Sie erwarten, dass ein Mann ein Turm der Stärke ist.",0.08215053379535675,
192.0,"- Er ist es! - Sir, wie geht's Ihnen?",_,_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________,-0.9171023368835449,
193.0,"Der militärische Orden ist streng mit jenen, die ihre Grenzen überschreiten.",The Faith Militant are very stern with those who overstep their bounds.,"Die Faith Militant sind sehr streng mit denen, die ihre Grenzen überschreiten.",-0.07193751633167267,
194.0,Warenbezeichnung,CCT heading,Warenbezeichnung,0.9114285111427307,
195.0,Der Arsch hat mir das hier angetan.,"Yeah, I'm gonna beat his fucking ass.","Ja, ich werde ihm den Arsch versohlen.",-0.696147084236145,
196.0,Ich könnte etwas essen.,I could eat.,Ich könnte essen.,0.15401506423950195,
197.0,- Es geht ihr gut.,- She's fine.,- Es geht ihr gut.,0.9136266708374023,
198.0,"- Mir gefällt es hier, Sir.","This place okay, for you? Oh, it's just fine, sir.",- Ist das hier okay für Sie?,-1.015741229057312,
