Unnamed: 0,de,uk,TRANSLATION,bertscore
118,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Lassen Sie uns die Antwort auf Englisch geben.,0.9183900356292725
119,Antwortet auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.9599258899688721
120,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.,1.0000001192092896
121,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.,1.0
122,Araber verfolgen mich.,Араби мене переслідують.,Die Araber verfolgen mich.,0.9699108004570007
123,Arbeit adelt.,Праця облагороджує.,Arbeit wird organisiert.,0.8831350207328796
124,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam.",0.9999999403953552
125,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?,1.0
126,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Argentinien, Chile, Uruguay, Paraguay und Südbrasilien gehören zum südlichen Konsus.",0.911677896976471
127,Ärgere dich nicht.,Не злостися!,Sei nicht böse!,0.8516519069671631
128,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Die Hauptstadt von Kasachstan (Asträdische Hauptstadt Kasachstan),0.8789563179016113
129,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Erledigen Sie tief Luft und entspannen Sie sich.,0.9535868167877197
130,Atmen Sie tief ein.,Глибоко вдихніть.,Tief durchatmen.,0.8272921442985535
131,Atmet ein.,Вдихніть.,Einatmen.,0.8241435289382935
132,Atmet sie?,Вона дихає?,Atmen sie?,0.9641076922416687
133,Auch das noch!,Лише цього не вистачало!,Das allein genügte!,0.8238697648048401
134,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Selbst die dunkelste Kuh liefert nur die weiße Milch.,0.9104130864143372
135,Auch er ist Schriftsteller.,Він теж письменник.,Er ist auch Schriftsteller.,0.9844817519187927
136,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Gott versteht auch den Esperanto.,0.9727640748023987
137,Auch ich liebe euch.,Я вас теж кохаю.,Ich liebe dich auch.,0.9534417986869812
138,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Ich mag auch Süßigkeiten.,0.9807184934616089
139,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Meine Mutter ist auch Lehrerin.,0.9820153713226318
140,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.,0.9999999403953552
141,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Die Vereinigten Staaten sind zwar ein fortschrittliches Land, aber die Menschen dort sind sehr arm.",0.85386723279953
142,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Signatur.,0.9170313477516174
143,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Es gibt keine Luft auf dem Mond.,0.9540557861328125
144,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch ist eine Blume.,0.9378979802131653
145,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Da ist ein Apfel auf dem Tisch.,0.928532600402832
146,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Dinoflagella.,0.9279654622077942
147,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Eine Vase steht auf dem Tisch.,0.944338858127594
148,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Ich habe auf dem Weg zur Schule meine Brieftasche verloren.,0.9443390965461731
149,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,0.9417102336883545
150,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,0.8987034559249878
151,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Niemand ist auf der Straße zu sehen.,0.9715543985366821
152,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Es gibt mehr als 10.000 Sprachen in diesem Land.,0.8801884651184082
153,Auf die Knie!,На коліна!,Auf die Knie!,1.0
154,Auf was warten wir?,На що ми чекаємо?,Worauf warten wir?,0.9354814887046814
155,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gesetzt?,0.9753287434577942
156,Auf wen wartest du?,На кого ти чекаєш?,Auf wen freust du dich?,0.9160475134849548
157,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen warten Sie?,0.949917197227478
158,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Saico.",0.9338291883468628
159,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!,1.0
160,Auf Wiedersehen!,Побачимося!,Wir sehen uns!,0.7788412570953369
161,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Wie viele Konzerte hast du letztes Jahr gesehen?,0.9592264890670776
162,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Wie viele Konzerte haben Sie letztes Jahr besucht?,0.9467658996582031
163,Augenblick...,Хвилиночку...,Einen Moment.,0.7318480014801025
164,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Die Augen sind die Fenster der Seele.,0.9875781536102295
165,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ein kleines Mädchen wurde zu einer schönen Frau.,0.9510601162910461
166,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regeln.,0.9813690781593323
167,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.,1.0
168,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Er hat keine Freunde außer mir.,0.9585679173469543
169,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.,1.0000001192092896
170,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Australien exportiert viele Wolle.,0.9878970384597778
171,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.,1.0
172,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Wie viele Inseln hat Indonesien?,0.9540363550186157
173,Babys fallen oft um.,Діти часто падають.,Kinder fallen oft hin.,0.8691855072975159
174,Babys fallen oft.,Діти часто падають.,Kinder fallen oft hin.,0.8550799489021301
175,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt von Aserbaidschan.,0.9630716443061829
176,Bald ist es Frühling.,Скоро весна.,Im Frühjahr.,0.8507897853851318
177,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist das neue Jahr.,0.8556563854217529
178,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,1.0
179,Bananen schmecken gut.,Банани смачні.,Bananen sind köstlich.,0.8462159633636475
180,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist ein Christ.,0.9191104769706726
181,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.981023907661438
182,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,1.0
183,Bären mögen Honig.,Ведмеді люблять мед.,Bären lieben Honig.,0.9262739419937134
184,Bäume leben.,Дерева живі.,Bäume sind am Leben.,0.9160388112068176
185,Beantworten Sie die Frage!,Відповідайте на запитання!,Antworten auf Fragen!,0.8992757201194763
186,Beantworten Sie die Frage!,Дайте відповідь на питання!,Wie lautet die Antwort?,0.8610972166061401
187,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.","Schnell, sonst schaffen Sie's nicht.",0.813020646572113
188,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",0.8367156386375427
189,Beeilen wir uns lieber!,Нам краще поспiшити.,Wir sollten besser pinkeln.,0.8633299469947815
190,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Jungs.",0.9389764666557312
191,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, denn ihr kommt zum Zug.",0.9353150129318237
192,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",0.8256014585494995
193,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,„ Zum Glück “ist Beethovens offizielle Nationalhymne der Europäischen Union.,0.8658760190010071
194,Befreit Bolivien!,Свободу Болівії!,Boliviens Freiheit!,0.846110999584198
195,Beginnen Sie noch einmal.,Почніть знову.,Fangen Sie wieder an.,0.8792293667793274
196,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Der dichte Nebel auf dem Weg führte zu schlechten Sichtverhältnissen.,0.876695454120636
197,Beide sind am Leben.,Вони обидва живі.,Sie sind beide am Leben.,0.9675286412239075
198,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.,1.0000001192092896
199,Beide sind tot.,Вони обидва мертві.,Beide sind tot.,0.9999998807907104
200,Beide sind tot.,Вони обидві мертві.,Beide sind tot.,0.9999998807907104
201,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.","Wenn es brennt, verwendet man Treppen.",0.8315351009368896
202,Beißt dein Hund?,Твій собака кусається?,Ist dein Hund beißend?,0.955936074256897
203,Bei uns ist alles in Ordnung.,У нас все гаразд.,Es geht uns gut.,0.8723723888397217
204,Beleidigen Sie mich nicht!,Не ображайте мене.,Verletzen Sie mich nicht.,0.9327240586280823
205,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.,1.0
206,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,"Belgrad, die Hauptstadt Serbiens",0.9399169087409973
207,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt Serbiens.,0.9655907154083252
208,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Nicht wie ein Kind handeln.,0.8963859677314758
209,Benimm dich anständig.,Поводься чемно.,Sei nett.,0.7681801319122314
210,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind.,0.9999999403953552
211,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.,1.0
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Junge in einer Handvoll als ein Kranich im Himmel.,0.8777230978012085
213,Besser.,Так ліпше.,So ist es besser.,0.8213744759559631
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Machst du irgendeine Art von Sport?,0.9026225805282593
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist ein Serienmörder.,0.9548377990722656
216,Betty kam als letzte.,Беті прийшла останньою.,Betty ist zuletzt gekommen.,0.8329928517341614
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut bei Esperanto.,0.983085572719574
218,Beweise es.,Доведи це.,Beweise es.,0.9999998807907104
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahle so viel, wie du willst.",0.8606677055358887
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Dreht nach rechts auf der Kreuzung.,0.9142892956733704
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,1.0000001192092896
222,Billig ist teuer.,Скупий платить двічі.,Der Käufer zahlt zweimal.,0.8107138872146606
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,0.9999998807907104
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,0.8629401922225952
225,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.,1.0
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an.",1.0
227,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.,0.9999998807907104
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,0.8675156235694885
229,Bin ich bereit?,Я готова?,Bin ich bereit?,1.0
230,Bin ich bereit?,Я готовий?,Bin ich bereit?,1.0
231,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?,1.0000001192092896
232,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?,0.9999999403953552
233,Bin ich in London?,Я в Лондоні?,Bin ich in London?,0.9999999403953552
234,Bis bald!,Побачимося!,Wir sehen uns!,0.5773577094078064
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Er kommt von der Schule zurück auf Freitag.,0.8500320911407471
236,Bis morgen!,До завтра!,Bis morgen!,1.0
237,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche.,1.0
238,Bis später!,Побачимось пізніше!,Bis später!,1.0000001192092896
239,Bist du am Arbeiten?,Ти на роботі?,Bist du auf der Arbeit?,0.9636009931564331
240,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?,1.0
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Interessierst du dich für Musik?,0.9094265699386597
242,Bist du Atheist?,Ти атеїст?,Bist du ein Atheist?,0.9411779046058655
