Unnamed: 0,de,uk,TRANSLATION,meteor_score
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter am Baum wurden gelb.,0.4574275362318841
24,Alle blieben.,Всі залишилися.,Alle blieben.,0.9375
25,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind wunderschön.,0.7361111111111112
26,Alle haben geschlafen.,Усі спали.,Alle schliefen.,0.17241379310344826
27,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Wir alle interessieren uns für Geschichte, und in gewisser Weise sind wir alle Historiker.",0.5016741071428571
28,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Jeder hält Tom für verrückt.,0.43314500941619577
29,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.,0.9814814814814815
30,Alle hassen Tom.,Всі ненавидять Тома.,Jeder hasst Tom.,0.16666666666666666
31,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Jeder hatte ein gutes Jahr.,0.5888888888888889
32,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Sie alle hatten ein schönes Jahr.,0.7352941176470589
33,Alle hatten Hunger.,Усі хотіли їсти.,Alle wollten essen.,0.16666666666666666
34,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.,0.996
35,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind am Leben.,0.7181571815718157
36,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere, aber das bedeutet nicht, daß alle Tiere Hunde sind.",0.8064208518753975
37,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Ihre Bemühungen waren vergeblich.,0.600907029478458
38,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Jeder spielt gern Baseball.,0.38265306122448983
39,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Männer tanzten.,0.3333333333333333
40,Alle kannten das.,Усі це знали.,Das wusste jeder.,0.16666666666666666
41,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder bekamen ein Geschenk.,0.7500000000000001
42,Alle lächelten.,Всі посміхнулися.,Alle lächelten.,0.9375
43,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten ihn aus.,0.6388888888888888
44,Alle lieben ihn.,Його всі люблять.,Jeder liebt ihn.,0.16666666666666666
45,Alle lieben mich.,Усі люблять мене.,Jeder liebt mich.,0.16666666666666666
46,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben amerikanische Football.,0.8066666666666668
47,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.,0.996
48,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde lieben Computerspiele.,0.7500000000000001
49,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden dort sein.,0.8066666666666668
50,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.,0.9921875
51,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.,0.9921875
52,Alle mögen große Pizzas.,Усі люблять великі піци.,Jeder mag große Pizza.,0.46875
53,Alle müssen es wissen.,Усі мають знати.,Jeder muss es wissen.,0.46875
54,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Jeder sollte Französisch lernen.,0.46875
55,Alle nennen ihn Mac.,Усі називають його Маком.,Jeder nennt ihn Mac.,0.46875
56,Alle reden über Tom.,Усі говорять про Тома.,Jeder redet über Tom.,0.46875
57,Aller guten Dinge sind drei.,Бог любить трійцю.,Gott liebt Dreiheiten.,0.0
58,Alle schlafen.,Всі сплять.,Alle schlafen.,0.9375
59,Alle schlafen.,Усі сплять.,Alle schlafen.,0.9375
60,Alles gut bei euch?,У всіх усе гаразд?,Geht es allen gut?,0.20000000000000004
61,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!,0.9921875
62,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.,0.9976851851851852
63,Alles hier gehört mir.,Тут все моє.,Das ist alles meins.,0.125
64,Alle sind bereit.,Усі готові.,Alle sind bereit.,0.9814814814814815
65,Alle sind geschockt.,Всі в шоці.,Alle sind schockiert.,0.625
66,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.,0.9921875
67,Alles in Ordnung?,Все добре?,Alles in Ordnung?,0.9921875
68,Alles ist gut.,Все в порядку.,Ist schon gut.,0.3333333333333333
69,Alles ist gut.,Все гаразд.,Ist schon gut.,0.3333333333333333
70,Alles ist gut.,Усе гаразд.,Schon gut.,0.17241379310344826
71,Alles ist in Butter.,Все в шоколаді.,Es ist in der Schokolade.,0.45731707317073167
72,Alles ist möglich.,Можливо все.,Vielleicht ist das alles.,0.32258064516129037
73,Alles ist vorbei.,Все скінчилося.,Es ist vorbei.,0.625
74,Alles oder nichts.,Все чи нічого.,Alles oder nichts.,0.9814814814814815
75,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.,0.996
76,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist auf den roten Knopf zu klicken.",0.8063619174730285
77,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch das Ende.",0.8819444444444444
78,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch.",0.9985422740524781
79,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Tom sagte nur, dass es wahr ist.",0.0819672131147541
80,Alles wird gut sein.,Все буде в порядку.,Alles wird gut.,0.754985754985755
81,Alles wird gut werden.,Все буде в порядку.,Alles wird gut.,0.754985754985755
82,Alles wird gut.,Все буде добре.,Alles wird gut.,0.9814814814814815
83,Alle überlebten.,Всі вижили.,Jeder überlebte.,0.0
84,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.,0.9921875
85,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle neidisch auf meinen Erfolg.,0.7559322033898305
86,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.,0.9814814814814815
87,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.,0.996
88,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.,0.996
89,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!,0.9921875
90,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, schnee ich.",0.4000000000000001
91,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.","Als Teenager sprach Tom gern über das, was er sagte.",0.3993055555555556
92,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.","Als Teenager liebte er es, Gedichte zu schreiben.",0.16129032258064518
93,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?",Also genug für heute?,0.20000000000000004
94,Also sprach Zarathustra.,Так казав Заратустра.,Das hat Zachäus gesagt.,0.0
95,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind teurer als neue.,0.8066666666666668
96,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.,0.9976851851851852
97,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist Metall.,0.6552706552706553
98,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Dezember Weihnachten.,0.10638297872340426
99,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Im Anfang erschuf Gott die Himmel und die Erde.,0.5166666666666667
100,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind sehr freundliche Menschen.,0.5111111111111111
101,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tag der Hochzeit sind alle Brautjungfern schön.,0.5575
102,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Ich arbeite nie am Wochenende.,0.744
103,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,Achtundvierzig Seeleute sind an Bord.,0.3
104,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,Ich würde sofort nach Hause gehen.,0.48076923076923084
105,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,Das würde ich an deiner Stelle nicht tun.,0.7933673469387754
106,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine geographische Karte.,0.9653916211293262
107,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.,0.9976851851851852
108,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Picles ist sehr egoistisch.,0.7500000000000001
109,Angenehm!,Приємно познайомитися!,"Freut mich, Sie kennenzulernen.",0.0
110,Anja lebt in Danzig.,Аня живе у Гданьску.,Ana lebt in Gännsk.,0.46875
111,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,"Ankara, die Hauptstadt der Türkei",0.8203389830508474
112,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,Auf meinem Umhang hat sich ein Gummiseil abgerissen.,0.14084507042253522
113,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Henry, Georges Sand, Stund, Molyer, Volter... sie haben nicht einen richtigen Namen, sondern Spitznamen.",0.20609318996415774
114,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Anna mag Schokolade sehr.,0.7361111111111112
115,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Statt zur Schule zu gehen, blieb er zu Hause.",0.6944444444444445
116,Antworte mir.,Дай мені відповідь.,Gib mir eine Antwort.,0.45454545454545453
117,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.9921875
118,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Lassen Sie uns die Antwort auf Englisch geben.,0.5808080808080809
119,Antwortet auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.6048387096774195
120,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.,0.9814814814814815
121,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.,0.9921875
122,Araber verfolgen mich.,Араби мене переслідують.,Die Araber verfolgen mich.,0.9498207885304659
123,Arbeit adelt.,Праця облагороджує.,Arbeit wird organisiert.,0.2380952380952381
124,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam.",0.9921875
125,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?,0.9985422740524781
126,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Argentinien, Chile, Uruguay, Paraguay und Südbrasilien gehören zum südlichen Konsus.",0.5986111111111111
127,Ärgere dich nicht.,Не злостися!,Sei nicht böse!,0.16666666666666666
128,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Die Hauptstadt von Kasachstan (Asträdische Hauptstadt Kasachstan),0.3174603174603175
129,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Erledigen Sie tief Luft und entspannen Sie sich.,0.7361111111111112
130,Atmen Sie tief ein.,Глибоко вдихніть.,Tief durchatmen.,0.13157894736842105
131,Atmet ein.,Вдихніть.,Einatmen.,0.0
132,Atmet sie?,Вона дихає?,Atmen sie?,0.625
133,Auch das noch!,Лише цього не вистачало!,Das allein genügte!,0.16666666666666666
134,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Selbst die dunkelste Kuh liefert nur die weiße Milch.,0.45925925925925926
135,Auch er ist Schriftsteller.,Він теж письменник.,Er ist auch Schriftsteller.,0.7890625
136,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Gott versteht auch den Esperanto.,0.7698170731707317
137,Auch ich liebe euch.,Я вас теж кохаю.,Ich liebe dich auch.,0.6388888888888888
138,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Ich mag auch Süßigkeiten.,0.7890625
139,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Meine Mutter ist auch Lehrerin.,0.892
140,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.,0.9921875
141,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Die Vereinigten Staaten sind zwar ein fortschrittliches Land, aber die Menschen dort sind sehr arm.",0.2842592592592593
142,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Signatur.,0.8300000000000002
143,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Es gibt keine Luft auf dem Mond.,0.9067055393586005
144,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch ist eine Blume.,0.7014492753623188
145,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Da ist ein Apfel auf dem Tisch.,0.7934426229508196
146,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Dinoflagella.,0.8300000000000002
147,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Eine Vase steht auf dem Tisch.,0.9375
148,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Ich habe auf dem Weg zur Schule meine Brieftasche verloren.,0.8228395061728395
149,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,0.5215419501133786
150,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,0.2112676056338028
151,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Niemand ist auf der Straße zu sehen.,0.9067055393586005
152,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Es gibt mehr als 10.000 Sprachen in diesem Land.,0.41333333333333333
153,Auf die Knie!,На коліна!,Auf die Knie!,0.9814814814814815
154,Auf was warten wir?,На що ми чекаємо?,Worauf warten wir?,0.600907029478458
155,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gesetzt?,0.8412698412698414
156,Auf wen wartest du?,На кого ти чекаєш?,Auf wen freust du dich?,0.618872549019608
157,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen warten Sie?,0.5111111111111111
158,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Saico.",0.625
159,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!,0.9375
160,Auf Wiedersehen!,Побачимося!,Wir sehen uns!,0.0
161,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Wie viele Konzerte hast du letztes Jahr gesehen?,0.4955555555555556
162,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Wie viele Konzerte haben Sie letztes Jahr besucht?,0.3506944444444444
163,Augenblick...,Хвилиночку...,Einen Moment.,0.0
164,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Die Augen sind die Fenster der Seele.,0.981329690346084
165,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ein kleines Mädchen wurde zu einer schönen Frau.,0.39453125
166,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regeln.,0.7361111111111112
167,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.,0.9814814814814815
168,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Er hat keine Freunde außer mir.,0.8518518518518519
169,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.,0.9985422740524781
170,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Australien exportiert viele Wolle.,0.9921875
171,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.,0.9921875
172,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Wie viele Inseln hat Indonesien?,0.4574275362318841
173,Babys fallen oft um.,Діти часто падають.,Kinder fallen oft hin.,0.46875
174,Babys fallen oft.,Діти часто падають.,Kinder fallen oft hin.,0.6048387096774195
175,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt von Aserbaidschan.,0.9490196078431373
176,Bald ist es Frühling.,Скоро весна.,Im Frühjahr.,0.0
177,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist das neue Jahr.,0.5859375
178,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,0.9985422740524781
179,Bananen schmecken gut.,Банани смачні.,Bananen sind köstlich.,0.16666666666666666
180,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist ein Christ.,0.9146341463414633
181,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.8943907675791735
182,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.9996243425995492
183,Bären mögen Honig.,Ведмеді люблять мед.,Bären lieben Honig.,0.3333333333333333
184,Bäume leben.,Дерева живі.,Bäume sind am Leben.,0.45454545454545453
185,Beantworten Sie die Frage!,Відповідайте на запитання!,Antworten auf Fragen!,0.0
186,Beantworten Sie die Frage!,Дайте відповідь на питання!,Wie lautet die Antwort?,0.12195121951219512
187,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.","Schnell, sonst schaffen Sie's nicht.",0.06410256410256411
188,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",0.1149425287356322
189,Beeilen wir uns lieber!,Нам краще поспiшити.,Wir sollten besser pinkeln.,0.125
190,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Jungs.",0.625
191,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, denn ihr kommt zum Zug.",0.4508928571428571
192,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",0.06410256410256411
193,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,„ Zum Glück “ist Beethovens offizielle Nationalhymne der Europäischen Union.,0.4632802025919856
194,Befreit Bolivien!,Свободу Болівії!,Boliviens Freiheit!,0.25
195,Beginnen Sie noch einmal.,Почніть знову.,Fangen Sie wieder an.,0.125
196,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Der dichte Nebel auf dem Weg führte zu schlechten Sichtverhältnissen.,0.15
197,Beide sind am Leben.,Вони обидва живі.,Sie sind beide am Leben.,0.7698170731707317
198,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.,0.9921875
199,Beide sind tot.,Вони обидва мертві.,Beide sind tot.,0.9814814814814815
200,Beide sind tot.,Вони обидві мертві.,Beide sind tot.,0.9814814814814815
201,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.","Wenn es brennt, verwendet man Treppen.",0.0
202,Beißt dein Hund?,Твій собака кусається?,Ist dein Hund beißend?,0.6233062330623306
203,Bei uns ist alles in Ordnung.,У нас все гаразд.,Es geht uns gut.,0.08620689655172413
204,Beleidigen Sie mich nicht!,Не ображайте мене.,Verletzen Sie mich nicht.,0.7361111111111112
205,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.,0.9985422740524781
206,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,"Belgrad, die Hauptstadt Serbiens",0.5441810344827586
207,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt Serbiens.,0.8203389830508474
208,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Nicht wie ein Kind handeln.,0.5836397058823528
209,Benimm dich anständig.,Поводься чемно.,Sei nett.,0.0
210,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind.,0.9976851851851852
211,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.,0.996
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Junge in einer Handvoll als ein Kranich im Himmel.,0.18181818181818182
213,Besser.,Так ліпше.,So ist es besser.,0.3846153846153847
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Machst du irgendeine Art von Sport?,0.19230769230769232
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist ein Serienmörder.,0.7361111111111112
216,Betty kam als letzte.,Беті прийшла останньою.,Betty ist zuletzt gekommen.,0.125
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut bei Esperanto.,0.9490196078431373
218,Beweise es.,Доведи це.,Beweise es.,0.9375
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahle so viel, wie du willst.",0.2380952380952381
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Dreht nach rechts auf der Kreuzung.,0.3703703703703703
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,0.9976851851851852
222,Billig ist teuer.,Скупий платить двічі.,Der Käufer zahlt zweimal.,0.0
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,0.996
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,0.19230769230769232
225,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.,0.9921875
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an.",0.9976851851851852
227,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.,0.9921875
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,0.3650793650793651
229,Bin ich bereit?,Я готова?,Bin ich bereit?,0.9921875
230,Bin ich bereit?,Я готовий?,Bin ich bereit?,0.9921875
231,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?,0.9921875
232,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?,0.996
233,Bin ich in London?,Я в Лондоні?,Bin ich in London?,0.996
234,Bis bald!,Побачимося!,Wir sehen uns!,0.0
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Er kommt von der Schule zurück auf Freitag.,0.125
236,Bis morgen!,До завтра!,Bis morgen!,0.9375
237,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche.,0.9814814814814815
238,Bis später!,Побачимось пізніше!,Bis später!,0.9375
239,Bist du am Arbeiten?,Ти на роботі?,Bist du auf der Arbeit?,0.5010893246187365
240,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?,0.9921875
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Interessierst du dich für Musik?,0.25
242,Bist du Atheist?,Ти атеїст?,Bist du ein Atheist?,0.9146341463414633
243,Bist du Atheist?,Ти атеїстка?,Bist du Atheistin?,0.6388888888888888
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist du aus den USA?,0.7014492753623188
245,Bist du Ausländer?,Ти іноземець?,Bist du ein Ausländer?,0.9146341463414633
246,Bist du bei mir?,Ти зі мною?,Kommst du mit?,0.20408163265306123
