Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,UK
52.0,Alle mögen große Pizzas.,Усі люблять великі піци.,Jeder mag große Pizza.,-0.4346137046813965,
53.0,Alle müssen es wissen.,Усі мають знати.,Jeder muss es wissen.,0.16002535820007324,
54.0,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Jeder sollte Französisch lernen.,0.0011260062456130981,
55.0,Alle nennen ihn Mac.,Усі називають його Маком.,Jeder nennt ihn Mac.,-0.1133476048707962,
56.0,Alle reden über Tom.,Усі говорять про Тома.,Jeder redet über Tom.,0.1105155348777771,
57.0,Aller guten Dinge sind drei.,Бог любить трійцю.,Gott liebt Dreiheiten.,-1.042220950126648,
58.0,Alle schlafen.,Всі сплять.,Alle schlafen.,0.9139956831932068,
59.0,Alle schlafen.,Усі сплять.,Alle schlafen.,0.9139956831932068,
60.0,Alles gut bei euch?,У всіх усе гаразд?,Geht es allen gut?,-0.8682702779769897,
61.0,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!,0.9137085676193237,
62.0,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.,0.9221926331520081,
63.0,Alles hier gehört mir.,Тут все моє.,Das ist alles meins.,-0.890526294708252,
64.0,Alle sind bereit.,Усі готові.,Alle sind bereit.,0.9276270866394043,
65.0,Alle sind geschockt.,Всі в шоці.,Alle sind schockiert.,-0.3285863399505615,
66.0,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.,0.9157922267913818,
67.0,Alles in Ordnung?,Все добре?,Alles in Ordnung?,0.9109944105148315,
68.0,Alles ist gut.,Все в порядку.,Ist schon gut.,-0.5132879614830017,
69.0,Alles ist gut.,Все гаразд.,Ist schon gut.,-0.5132879614830017,
70.0,Alles ist gut.,Усе гаразд.,Schon gut.,-1.0214004516601562,
71.0,Alles ist in Butter.,Все в шоколаді.,Es ist in der Schokolade.,-1.259113073348999,
72.0,Alles ist möglich.,Можливо все.,Vielleicht ist das alles.,-0.5552506446838379,
73.0,Alles ist vorbei.,Все скінчилося.,Es ist vorbei.,0.19729265570640564,
74.0,Alles oder nichts.,Все чи нічого.,Alles oder nichts.,0.9096440076828003,
75.0,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.,0.9162331819534302,
76.0,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist auf den roten Knopf zu klicken.",0.15984417498111725,
77.0,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch das Ende.",0.8527411222457886,
78.0,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch.",0.9281203746795654,
79.0,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Tom sagte nur, dass es wahr ist.",-0.8277347087860107,
80.0,Alles wird gut sein.,Все буде в порядку.,Alles wird gut.,-0.055850908160209656,
81.0,Alles wird gut werden.,Все буде в порядку.,Alles wird gut.,-0.05727444589138031,
82.0,Alles wird gut.,Все буде добре.,Alles wird gut.,0.9243518114089966,
83.0,Alle überlebten.,Всі вижили.,Jeder überlebte.,0.18739189207553864,
84.0,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.,0.9027690291404724,
85.0,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle neidisch auf meinen Erfolg.,0.4324539303779602,
86.0,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.,0.920183539390564,
87.0,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.,0.9178326725959778,
88.0,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.,0.9178326725959778,
89.0,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!,0.9067948460578918,
90.0,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, schnee ich.",0.3266727328300476,
91.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.","Als Teenager sprach Tom gern über das, was er sagte.",-0.1472204178571701,
92.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.","Als Teenager liebte er es, Gedichte zu schreiben.",-0.2845383286476135,
93.0,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?",Also genug für heute?,-1.1782121658325195,
94.0,Also sprach Zarathustra.,Так казав Заратустра.,Das hat Zachäus gesagt.,-1.3859509229660034,
95.0,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind teurer als neue.,0.08784900605678558,
96.0,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.,0.8945057988166809,
97.0,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist Metall.,0.7037521600723267,
98.0,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Dezember Weihnachten.,-1.1319773197174072,
99.0,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Im Anfang erschuf Gott die Himmel und die Erde.,0.19382092356681824,
100.0,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind sehr freundliche Menschen.,0.19107234477996826,
101.0,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tag der Hochzeit sind alle Brautjungfern schön.,0.1801092028617859,
102.0,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Ich arbeite nie am Wochenende.,0.920793890953064,
103.0,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,Achtundvierzig Seeleute sind an Bord.,-0.9384362697601318,
104.0,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,Ich würde sofort nach Hause gehen.,-0.4718419313430786,
105.0,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,Das würde ich an deiner Stelle nicht tun.,0.3881281018257141,
106.0,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine geographische Karte.,0.6693628430366516,
107.0,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.,0.9180088043212891,
108.0,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Picles ist sehr egoistisch.,0.33487123250961304,
109.0,Angenehm!,Приємно познайомитися!,"Freut mich, Sie kennenzulernen.",-1.2302544116973877,
110.0,Anja lebt in Danzig.,Аня живе у Гданьску.,Ana lebt in Gännsk.,-0.6467561721801758,
111.0,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,"Ankara, die Hauptstadt der Türkei",0.881880521774292,
112.0,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,Auf meinem Umhang hat sich ein Gummiseil abgerissen.,-0.6342505812644958,
113.0,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Henry, Georges Sand, Stund, Molyer, Volter... sie haben nicht einen richtigen Namen, sondern Spitznamen.",-0.5992348194122314,
114.0,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Anna mag Schokolade sehr.,0.7903774976730347,
115.0,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Statt zur Schule zu gehen, blieb er zu Hause.",0.143470898270607,
116.0,Antworte mir.,Дай мені відповідь.,Gib mir eine Antwort.,-0.21678893268108368,
117.0,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.9079993367195129,
118.0,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Lassen Sie uns die Antwort auf Englisch geben.,0.18113400042057037,
119.0,Antwortet auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.43538063764572144,
120.0,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.,0.9235437512397766,
121.0,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.,0.909195065498352,
122.0,Araber verfolgen mich.,Араби мене переслідують.,Die Araber verfolgen mich.,0.6695411205291748,
123.0,Arbeit adelt.,Праця облагороджує.,Arbeit wird organisiert.,-0.3654298782348633,
124.0,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam.",0.8413249254226685,
125.0,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?,0.9027453660964966,
126.0,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Argentinien, Chile, Uruguay, Paraguay und Südbrasilien gehören zum südlichen Konsus.",0.010328173637390137,
127.0,Ärgere dich nicht.,Не злостися!,Sei nicht böse!,-0.35224276781082153,
128.0,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Die Hauptstadt von Kasachstan (Asträdische Hauptstadt Kasachstan),0.5310832858085632,
129.0,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Erledigen Sie tief Luft und entspannen Sie sich.,0.5764157772064209,
130.0,Atmen Sie tief ein.,Глибоко вдихніть.,Tief durchatmen.,-1.0261168479919434,
131.0,Atmet ein.,Вдихніть.,Einatmen.,-0.23507516086101532,
132.0,Atmet sie?,Вона дихає?,Atmen sie?,0.8155868649482727,
133.0,Auch das noch!,Лише цього не вистачало!,Das allein genügte!,-1.1597799062728882,
134.0,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Selbst die dunkelste Kuh liefert nur die weiße Milch.,0.055477723479270935,
135.0,Auch er ist Schriftsteller.,Він теж письменник.,Er ist auch Schriftsteller.,0.9239552021026611,
136.0,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Gott versteht auch den Esperanto.,0.9227100610733032,
137.0,Auch ich liebe euch.,Я вас теж кохаю.,Ich liebe dich auch.,0.4168895483016968,
138.0,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Ich mag auch Süßigkeiten.,0.9186509847640991,
139.0,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Meine Mutter ist auch Lehrerin.,0.9066392183303833,
140.0,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.,0.9325268864631653,
141.0,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Die Vereinigten Staaten sind zwar ein fortschrittliches Land, aber die Menschen dort sind sehr arm.",-0.5020796656608582,
142.0,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Signatur.,-0.06548066437244415,
143.0,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Es gibt keine Luft auf dem Mond.,0.9097124338150024,
144.0,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch ist eine Blume.,-0.047160252928733826,
145.0,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Da ist ein Apfel auf dem Tisch.,0.3150259256362915,
146.0,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Dinoflagella.,-0.07686151564121246,
147.0,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Eine Vase steht auf dem Tisch.,0.8858959078788757,
148.0,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Ich habe auf dem Weg zur Schule meine Brieftasche verloren.,0.31288760900497437,
149.0,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,-0.05161650478839874,
150.0,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.,-0.1529756635427475,
151.0,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Niemand ist auf der Straße zu sehen.,0.9101386070251465,
152.0,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Es gibt mehr als 10.000 Sprachen in diesem Land.,-0.43651777505874634,
153.0,Auf die Knie!,На коліна!,Auf die Knie!,0.9015332460403442,
154.0,Auf was warten wir?,На що ми чекаємо?,Worauf warten wir?,-0.3782442808151245,
155.0,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gesetzt?,0.4642682671546936,
156.0,Auf wen wartest du?,На кого ти чекаєш?,Auf wen freust du dich?,-0.8288156390190125,
157.0,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen warten Sie?,-0.39915722608566284,
158.0,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Saico.",-0.17571406066417694,
159.0,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!,0.9144806861877441,
160.0,Auf Wiedersehen!,Побачимося!,Wir sehen uns!,-0.7496678829193115,
161.0,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Wie viele Konzerte hast du letztes Jahr gesehen?,0.23787102103233337,
162.0,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Wie viele Konzerte haben Sie letztes Jahr besucht?,0.015308573842048645,
163.0,Augenblick...,Хвилиночку...,Einen Moment.,-1.1646515130996704,
164.0,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Die Augen sind die Fenster der Seele.,0.9126714468002319,
165.0,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ein kleines Mädchen wurde zu einer schönen Frau.,0.26247358322143555,
166.0,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regeln.,0.8559843301773071,
167.0,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.,0.9021227359771729,
168.0,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Er hat keine Freunde außer mir.,0.9165886044502258,
169.0,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.,0.9054979681968689,
170.0,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Australien exportiert viele Wolle.,0.9158312678337097,
171.0,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.,0.9175187945365906,
172.0,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Wie viele Inseln hat Indonesien?,-0.196328267455101,
173.0,Babys fallen oft um.,Діти часто падають.,Kinder fallen oft hin.,-0.9080343246459961,
174.0,Babys fallen oft.,Діти часто падають.,Kinder fallen oft hin.,-0.873914361000061,
175.0,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt von Aserbaidschan.,0.7269021272659302,
176.0,Bald ist es Frühling.,Скоро весна.,Im Frühjahr.,-0.8133911490440369,
177.0,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist das neue Jahr.,-0.39482581615448,
178.0,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,0.882110595703125,
179.0,Bananen schmecken gut.,Банани смачні.,Bananen sind köstlich.,-0.6678157448768616,
180.0,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist ein Christ.,0.8270391225814819,
181.0,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.8846930265426636,
182.0,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.8817887306213379,
183.0,Bären mögen Honig.,Ведмеді люблять мед.,Bären lieben Honig.,0.0892305076122284,
184.0,Bäume leben.,Дерева живі.,Bäume sind am Leben.,0.3459959626197815,
185.0,Beantworten Sie die Frage!,Відповідайте на запитання!,Antworten auf Fragen!,-0.6671793460845947,
186.0,Beantworten Sie die Frage!,Дайте відповідь на питання!,Wie lautet die Antwort?,-0.9121274948120117,
187.0,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.","Schnell, sonst schaffen Sie's nicht.",-1.0760526657104492,
188.0,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",-0.8453995585441589,
189.0,Beeilen wir uns lieber!,Нам краще поспiшити.,Wir sollten besser pinkeln.,-1.340918779373169,
190.0,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Jungs.",-0.5355780124664307,
191.0,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, denn ihr kommt zum Zug.",-0.155689999461174,
192.0,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht.",-0.8683693408966064,
193.0,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,„ Zum Glück “ist Beethovens offizielle Nationalhymne der Europäischen Union.,-0.6829483509063721,
194.0,Befreit Bolivien!,Свободу Болівії!,Boliviens Freiheit!,-0.14142145216464996,
195.0,Beginnen Sie noch einmal.,Почніть знову.,Fangen Sie wieder an.,-0.9277622699737549,
196.0,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Der dichte Nebel auf dem Weg führte zu schlechten Sichtverhältnissen.,-0.48098552227020264,
197.0,Beide sind am Leben.,Вони обидва живі.,Sie sind beide am Leben.,0.887931227684021,
198.0,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.,0.9178433418273926,
199.0,Beide sind tot.,Вони обидва мертві.,Beide sind tot.,0.9172898530960083,
200.0,Beide sind tot.,Вони обидві мертві.,Beide sind tot.,0.9172898530960083,
201.0,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.","Wenn es brennt, verwendet man Treppen.",-0.8607107400894165,
202.0,Beißt dein Hund?,Твій собака кусається?,Ist dein Hund beißend?,0.9004096388816833,
203.0,Bei uns ist alles in Ordnung.,У нас все гаразд.,Es geht uns gut.,-1.2211629152297974,
204.0,Beleidigen Sie mich nicht!,Не ображайте мене.,Verletzen Sie mich nicht.,-0.27165478467941284,
205.0,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.,0.9052225351333618,
206.0,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,"Belgrad, die Hauptstadt Serbiens",0.21487626433372498,
207.0,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt Serbiens.,0.35161417722702026,
208.0,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Nicht wie ein Kind handeln.,-0.4756721258163452,
209.0,Benimm dich anständig.,Поводься чемно.,Sei nett.,-1.1219353675842285,
210.0,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind.,0.7723048329353333,
211.0,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.,0.8912298679351807,
212.0,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Junge in einer Handvoll als ein Kranich im Himmel.,-0.1732764095067978,
213.0,Besser.,Так ліпше.,So ist es besser.,-0.08619517087936401,
214.0,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Machst du irgendeine Art von Sport?,-0.5520364046096802,
215.0,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist ein Serienmörder.,0.6463929414749146,
216.0,Betty kam als letzte.,Беті прийшла останньою.,Betty ist zuletzt gekommen.,-0.6035460233688354,
217.0,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut bei Esperanto.,0.7359694838523865,
218.0,Beweise es.,Доведи це.,Beweise es.,0.928802490234375,
219.0,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahle so viel, wie du willst.",-0.8778812885284424,
220.0,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Dreht nach rechts auf der Kreuzung.,-0.20219145715236664,
221.0,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,0.9102617502212524,
222.0,Billig ist teuer.,Скупий платить двічі.,Der Käufer zahlt zweimal.,-0.7829504609107971,
