,EN,UK,TRANSLATION
42,Konqueror is a combined web- and filebrowser.,Konqueror є комбінацією переглядача Тенет і програми для роботи з файлами.,Konqueror - це комбінований веб- і файловий навігатор.
43,Delete the selected task.,Вилучити вибране завдання.,Вилучити вибране завдання.
44,- Mm-hmm.,- Угу.,- Угу.
45,My dental plan doesn't kick in for another six months.,Нехай усі його зуби будуть цілі.,Мій стоматолог не планує працювати ще шість місяців.
46,Color Roles,Ролі кольорів,Ролі кольорів
47,Arwen's life is now tied to the fate of the Ring.,Життя Арвен тепер прив'язане до Персня.,Життя Арвена тепер пов'язане з долею Персня.
48,"Yes, yes, yes. I gotta go now, ol' fever Sal.","Так, так, так, чоловіче, час.","Так, так, так, мені треба йти, ой лихоманка Сал."
49,"Mr. Fifield, let's get a grid of the structure.","Пане Файфілд, визначте структуру цієї споруди.","Мистер Файфілд, давайте найдем решетку здания."
50,(CROWD MURMURING),РОПТАННЯ У НАТОВПІ,(Звучить натовп)
51,- Do not!,- Зовсім ні!,- Не треба!
52,"This will be your room, Mr. Bond.","Це ваша кімната, містере Бонд.","Це ваша кімната, містере Бонд."
53,Play the original Quake III Arena,Грати у початкову версію Quake III Arena,Грати у початкову Quake III Arena
54,It's mad in here.,"Діти, тут можна з глузду з'їхати.",Тут це божевілля.
55,If we don't freeze to death first.,Якщо спершу не загинемо від холоду.,Якщо ми не замерзнемо до смерті спочатку.
56,Right.,Вірно.,Так.
57,System Administration,Керування системою,Адміністрування системи
58,I think we should talk about it.,"Тому я вважаю, нам є про що поговорити.","Думаю, нам стоит поговорить об этом."
59,Dust Devils,Пилові завихренняweather condition,Пилові дияволи
60,Next LaTeX Warning,Наступне попередження LaTeX,Наступне попередження LaTeX
61,I like that you get to see the same people every day... bring 'em that check they've been waiting for... and presents for Christmas...,"Мені подобається, що ти можеш бачити одних і тих же людей щодня. Давати їм те, що вони чекали. Подарунки на Різдво.","Мне нравится, что каждый день ты встречаешься с теми же людьми, которые приносят им, чтобы проверить, что они ждут... и подарки на Рождество..."
62,Installation,Встановлення,Встановлення
63,"Easy, pal.","Легше, друзяко.","Полегче, приятель."
64,Show Size In,Показувати розмір в,Показувати розмір в
65,Has he told you?,Він тобі казав?,Он сказал тебе?
66,I hit a snag.,﻿Я знаю.,Я попала в захват.
67,"Step away, Tal Hajus.",Відійди. Таль Аджас.,"Уйди, Талл Хаджус."
68,And she says to the other...,І вона йому говорить...,И она говорит другую...
69,None but the king of Gondor may command me.,Я вимагаю від вас виконати вашу присягу!,"Ніхто, крім короля Гондору може мені наказувати."
70,If true this tense is selected for learning.,"Якщо « так », цей час буде вибрано для тестування.","Якщо істина, цей час вибрано для навчання."
71,I want to buy it.,Я хочу купити її.,Я хочу купити його.
72,"Okay, give it to me.",Давай я помогу.,"Ладно, дай его мне."
73,It was one of those instant best friend things.,"Це були почуття, які можливі тільки у справжніх друзів.",Це був один з тих моментальних кращих друзів.
74,Please check your permissions to create it.,"Будь ласка, переконайтеся, що ви маєте право на створення цього елемента.","Будь ласка, перевірте ваші права доступу для створення цього файла."
75,The first word of a game should cover the central position.,Перше слово гри слід розміщувати по центру.,Перше слово гри має займати центральну позицію.
76,Cursor & Selection,Курсор та вибір,Курсор та вибір
77,Our sons will take over the company.,Наші сини будуть керувати компанією.,Наші сини заволодіють компанією.
78,Has he said anything?,Він щось сказав?,Він щось сказав?
79,This home will be your home.,Цей дім буде вашим домом.,Цей дім буде твоїм домом.
80,The ones that aren't healing.,"Ті, які не гояться.","Ті, що не виліковуються."
81,"- His mouse, wifey, gargles brandy...","- Його мишка, жіночка, глушить бренді...","- Його миша, жіночна, гарбуз бренді..."
82,"Yes, it still stands at 74%.","Так, як і раніше зупинилося на 74%.","Так, він все ще стоїть на 74%."
83,"Isn't Job crying the same cry as Ginsberg's ""Howl""?","Чи Йов не плаче так само, як Ґінзберґ у ""Плачі""?","Хіба Йов не плаче так само, як Ґінзберґ ""Плач""?"
84,"I mean, that shouldn't be your reference.",Не це повинно бути мірилом твоїх зусиль.,"Я маю на увазі, це не повинно бути вашим посиланням."
85,"& kiten; can also help you refine your searches by allowing you to search for new text in the results generated by a previous search. To do this, just choose Search Search in Results to perform your search.","& kiten; також надає вам змогу уточнити результат пошуку за допомогою пошуку нового тексту у результатах, які є наслідком попереднього пошук. Щоб виконати такий пошук, просто оберіть пункт меню Пошук Шукати у результатах.","Крім того, & kiten; може допомогти вам покращити результати пошуку, надавши вам змогу шукати новий текст у результатах, створених попереднім пошуком. Щоб виконати цей пошук, просто скористайтеся пунктом меню Пошук Шукати у результатах."
86,"Get out there and find your little girlfriend, bring her and Julia Shumway back here, pronto.","Вимітайся звідси і знайди свою малу подружку, привези її та Джулію Шамвей сюди, швидко.","Іди і знайди свою подружку, приведи її та Джулію Шамвей сюди."
87,"No, no, no.","Ні, ні, ні.","Ні, ні, ні."
88,Now you have a military dictatorship.,Тепер у вас військова диктатура.,Тепер у вас є військова диктатура.
89,You can do it.,Ви подужаєте!,Ти зможеш.
90,I hate to think where that puts me.,Я не хочу думати скільки тоді мені.,"Я ненавижу думать, куда меня это заставляет."
91,- Business purposes only.,- Тільки для роботи.,- Тільки для ділових цілей.
92,"Okay, bye-bye.","Добре, бувай.","гаразд, бувай."
93,"Not knowing what to do, I asked for his advice.","Не знаючи, що робити, я попрохав його поради.","Не знаючи, що робити, я попросив у нього поради."
94,This schedule is baselined. Do you want to remove the baseline?,Цей розклад належить до базового плану. Ви бажаєте вилучити базовий план?,Цей розклад є базовим. Ви бажаєте вилучити базову лінію?
95,"Yeah, I remember.","Так, я пам'ятаю.","Так, я пам'ятаю."
96,This is where I buried it.,Ось тут я його закопав.,Ось де я його закопав.
97,There's no oil in it.,Паливо закінчилось.,У ній немає нафти.
98,Site Policy,Правила поведінки для сайтів,Правила веб- сайтів
99,A little bit further.,І раз! І два! І три!,Ще трохи.
100,"The Heaviside Step Function. Returns 1 if x is positive, 0.5 if x is zero, or 0 if x is negative.","Ступінчаста функція Хевісайда. Повертає 1, якщо x додатне, 0. 5, якщо x рівне нулеві, і 0, якщо x від’ ємне.","Крок Хеавіда. Повертає 1, якщо x додатнє, 0, 5, якщо x дорівнює нулю, або 0, якщо x від' ємне."
101,A land where nothing grew.,"Землі, на якій ніщо не росло. Тепер тут є рослини.","Земля, де ніщо не росло."
102,a neat analog clock,лаконічний аналоговий годинник,акуратний аналоговий годинник
103,"Doomed to wait upon an old man, who should have loved her as a father.","Проклята піклуватися про старого чоловіка, що мав би її любити як батько.","Засуджений чекати на старого чоловіка, який повинен був любити її, як батька."
104,Where did you get it?,Звідки вона у вас?,Де ти його взяв?
105,"When you have selected a cell, pressing the Enter key will move the cell cursor one cell left, right, up or down, as determined by this setting.","Цей параметр визначає напрямок переміщення у наступну комірку, якщо натиснути клавішу Enter. Можливе переміщення на одну комірку ліворуч, праворуч, вгору або вниз.","Після вибору комірки, натискання клавіші Enter переведе курсор на одну комірку ліворуч, праворуч, вгору або вниз, згідно до значення цього параметра."
106,Fax file(s) to show,Показати файли факсів,Показувати файли факсів
107,What do you want to do?,Що збираєшся робити?,Що ти хочеш зробити?
108,"- Well, bravo!",- Молодця!,"- Ну, браво!"
109,Nadia.,Надю!,Надя.
110,"- Twins, my lord.","- Двійнята, мій пане.","- Близнюки, милорд."
111,"A few years after World War II, The world plunged into Cold War.",КІЛЬКА РОКІВ ПО ЗАКІНЧЕННЮ ІІ СВІТОВОЇ ВІЙНИ СВІТ ПОРИНУВ У ХОЛОДНУ ВІЙНУ.,"Через кілька років після другої світової війни, світова війна вступила в Холодну війну."
112,You very nearly were.,Так воно майже і було.,Ти майже була.
113,"Default is Number but you can set the WBS code to be Roman Numbers or Letters, either upper case or lower case.","Типовим значенням є Число, але ви можете вказати, що коди СРР слід визначати як римські цифри або літери (верхнього або нижнього регістрів).","Типовим значенням є Число, але ви можете вказати код СРР як римські номери або літери, верхній або нижній регістр."
114,Don't put off the work till tomorrow.,Не відкладайте роботу на завтра.,Не відкладайте роботу на завтра.
115,But this is my house.,Але це мій будинок.,Но это мой дом.
116,Even though you don't want to.,Навіть якщо не хочеш.,Навіть якщо не хочеш.
117,"Ben, check the outhouse.","Бене, перевір сортир.","Бене, перевір будинок."
118,"To create a new email alarm to send a copy of an existing email message, drag the email from & kmail; onto & kalarm; 's main window or system tray icon. Then select the Email option. The Alarm Edit dialog is preset with the entire email message except sender.","Щоб створити нагадування електронною поштою, за якого буде надіслано копію існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до вікна або піктограми системного лотка & kalarm;. Після цього оберіть пункт Нагадування ел. поштою. У діалоговому вікні редагування нагадування буде використано дані повідомлення електронної пошти, окрім відправника.","Щоб створити нагадування електронною поштою для надсилання копії існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до головного вікна або піктограми системного лотка & kalarm;. Після цього позначте пункт Адреса ел. пошти. Діалогове вікно редагування нагадування буде використано для всього повідомлення електронної пошти, окрім відправника."
119,- I think I'll have οne.,А я б випив.,"- Думаю, я з'їм."
120,Save logins in a wallet,Зберігати реєстраційні дані у торбинці,Зберігати реєстраційні дані у торбинці
121,Flake device definition,Визначення інструмента елементаComment,Визначення пристрою Flake
122,Use own default charset when replying,Використовувати власне кодування у відповідях,Використовувати власне кодування під час відповіді
123,Want a doughnut?,- Хочеш пампуха? - Ні.,Хочеш пончик?
124,"Kuopio, Finland","Куопіо, ФінляндіяName","Куопіо, Фінляндія"
125,Structures tool,Інструмент структур@ title: menu,Інструмент структур
126,"Brutes, do you think that I wouldn't do it if I wanted to ? !","Скоти, думаєте якби я хотіла, то не зробила б цього?","Брутс, ты думаешь, я бы этого не сделал, если бы хотел?"
127,"Neck, I'm gonna need you to stay here and get this motor runnin'.","Неку, ти повинен тут залишитися і завести двигун.","Нэк, мне нужно, чтобы ты осталась здесь и запустила этот мотор."
128,"I used to think rich people were cursed, and that only garrets, sour soup and potatoes can bring people joy.","Раніше я думав, що багаті - прокляті люди. І що тільки халупи і коморки, і кисла капуста з картоплею, дають людям щастя і благість.","Я думав, що багаті люди прокляті, і що тільки гаррети, кислий суп і картопля приносять людям радість."
129,She'd have told you She was like you,"Якби хотіла, то передала. Вона була така ж як і ти.","Вона б тобі сказала, що вона така ж, як ти."
130,"When you are done setting up your screen saver, click OK.",Після завершення налаштування вашого зберігача екрана вам слід натиснути кнопку Гаразд.,Після завершення налаштування вашого зберігача екрана натисніть кнопку Гаразд.
131,Full CD,Повний КД,Повний КД
132,I wonder what they're serving at the domestic dealerships.,я вражений вони обслуговують як в уповноважених сервісах.,"Цікаво, що вони служать на внутрішньому дільниці."
133,Alice?,Алісо!,Еліс?
134,What's the matter with you?,Що з тобою?,Що з тобою?
135,- Rub water all over yourself.,- Намочіть шкіру.,- Витирайте воду звідусіль.
136,Enable window dragging,Дозволити перетягнення вікон,Увімкнути перетягування вікон
137,And I'm Jody.,А я - Джоді.,А я Джоди.
138,You know Dr. Melnick?,ти знаєш дохтора Мельника?,Ви знайомі з доктором Мельником?
139,- Do you understand?,- ﻿Ти розумієш?,- Ти розумієш?
140,Nicholas Flamel.,Ніколас Фламел.,Ніколас Фламел.
141,And they know about your brother.,І вони знають про твого брата.,І вони знають про твого брата.
142,That's right.,Верно.,Саме так.
143,Why do you keep calling me Charlie?,чому ви продовжуєте звати мене Чарлі?,Почему ты продолжаешь называть меня Чарли?
144,"I'm so glad you get to meet my friends, Johnny.","Я такий радий що ти зустрінеш моїх друзів, Джонні.","Я так рада, что ты познакомишься с моими друзьями, Джонни."
145,You can find a quick introduction to the Identities page in the Getting Started section.,Короткий вступ до параметрів сторінки Профілі можна знайти у розділі Початок роботи.,Короткий вступ до сторінки Профілі можна знайти у розділі Початок роботи.
146,- In Japan?,– В Японії?,- В Японії?
147,I'll tell them.,Пepeкaжу.,Я скажу їм.
148,You think we might be stuck in here a while.,"Гадаєш, ми застрягнемо тут ненадовго?","Думаєш, ми застрягли тут якийсь час?"
149,Exchange Card 3,Замінити третю карту,Замінити третю карту
150,Merry Christmas.,- Веселого Різдва ...,Веселих свят.
151,Fuck this. Fuck this.,До біса.,До біса це.
152,I am no one's servant.,Я не служу нікому.,Я не служу нікому.
153,"I remember how ""different"" became dangerous.","Я ще пам'ятаю, як 'інший' перетворилося на 'небезпечний'.","Я пам'ятаю, як ""різний"" став небезпечним."
154,Number (Integer),Число (Ціле),Число (Integer)
155,I know you're busy.,"Знаю, що Ви зайняті.","Я знаю, що ти зайнятий."
156,"Yes, and it's a pretty small list.","Так, і список досить малий.","Так, і це доволі маленький список."
157,- Good morning.,- ﻿Доброго ранку.,- Доброго ранку.
158,Slug him.,вмаж йому.,Ударь его.
159,"Uh, it's just a temporary house guest.",Це тимчасовий гість.,Це тимчасовий гість.
160,There must be a reason.,Є якась причина?,Має бути якась причина.
161,"I'm the fastest gun north, south, east and west of the Pecos!","я найкращий стрілок на північ, південь, на схід і на захід від Пекосу!","Я самый быстрый пистолет на севере, юга, восточной и западной от пекоса!"
162,Vertical (Y-)Shift (in dots),Вертикальний (Y -) зсув (в точках),Вертикальний (Y -) зсув (у точках)
163,Just wanted to say good luck.,"Гей, хлопче. Просто хотів сказати удачі.",Просто хотел сказать удачи.
164,Entirely disables the use of LDAP for S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.
165,Reverse SeaWorld where dolphins are allowed to pet people.,де дельфіни за хатніх тваринок мають людей.,"BackseWorld, де дельфіни можуть погладити людей."
166,"Between the breakup, and then her acting career isn't going that well...","Мабуть поміж розлученнями, і до того ж, її акторська кар'єра не дуже складається...","Между разрывом, а потом её актерская карьера не так уж и хорошо..."
167,& Center Environments,& Центровані середовища,& Центрувати середовища
168,You expect me to joust with this beast night after night until I die?,"Чому ти думаєш, що я стану щоночі Битися з демоном до самої смерті?","Ты ждешь, что я буду тусуться с этим зверем ночью, пока я не умру?"
169,But how did you know?,Але як ти дiзнався?,Але як ти дізнався?
170,♪ Wind blowing free ♪,♪ Вільний дме вітер ♪,♪ Вітер розвіває ♪
171,What did you steal?,І що ти вкрав?,Що ти вкрала?
172,Of course you are.,Та звісно що.,"Звичайно, що так."
173,"If you say yes, we'll send you back down to Boston, your home turf.","Якщо погодитеся, ми відправимо вас назад у Бостон, додому.","Якщо ти скажеш ""так,"" ми відішлемо тебе назад до Бостона, додому."
174,"Uh, I'll get back to you.",Я перезвоню.,Я к тебе вернусь.
175,Nothing happened.,Нічого не трапилось.,Нічого не сталося.
176,file to open,"файл, що відкривається","файл, який слід відкрити"
177,"Details (visiblility, secrecy, etc.)","Подробиці (видимість, секретність, і т. п.)","Подробиці (біблійність, секретність і т. д.)"
178,I heard Snape telling Dumbledore.,"Я чула, як Снейп казав Дамбльдорові.","Я чув, як Снейп розповідав Дамбльдору."
179,That was the agreement.,Була умова.,Це була угода.
180,I have poor eyesight.,У мене поганий зір.,У мене поганий зір.
181,New host,Новий вузол,Новий вузол
182,You can't throw them out on their first day.,Ви не можете їх відчислити у перший же день.,Ви не можете викинути їх у перший же день.
183,Let's find a place to stop.,Де б тут зупинитись.,"Давайте знайдемо місце, де можна зупинитися."
184,Enable direct rendering,Увімкнути відображення напряму,Увімкнути відображення напряму
185,"""We are Groot""?","Ми є Ґрут""?","""Ми - Ґрут""?"
186,"What I do, I do for my family.","Все, що я робив, я робив для моєї сім`ї.","Що я роблю, я роблю для своєї сім'ї."
187,I had a really good time last night.,Я відмінно провела час минулої ночі,Вчора ввечері я дуже добре провела час.
188,Skip the build process.,Пропустити процес збирання.,Пропустити процес збирання.
189,compile without NDEBUG and NO_DEBUG being defined (makes kDebug calls work),компілювати без визначення NDEBUG і NO_ DEBUG (робить можливими виклики kDebug),Компілювати без визначення NDEBUG і NO_ DEBUG (працює виклики kDebug)
190,I shouldn't be doing this.,"Сам не знаю, чому я на це погодився.",Я не должен этого делать.
191,My sun and stars is wounded.,Моє сонце і зірки поранений.,Моє сонце і зірки поранені.
192,Some place dark and dusty.,Там страшна темрява і пилюка.,У якомусь місці темно і порошно.
193,"People thought we lost the first game, we're going to lose the second game.","Усі думали, якщо ми програли першу гру, то програємо й наступну.","Люди думали, що ми програли першу гру, ми програємо другу."
194,And I know I saw a flash of her yesterday.,"І я знаю, що я бачив відблиск цієї лихості учора","І я знаю, що бачив її вчора спалах."
195,What happened?,Що тут було?,Что случилось?
196,- You're 15 years old.,"- Емілько, тобі п'ятнадцять років!",- Тобі 15 років.
197,The file you are about to add to the project is an ISO9660 image. As such it can be burned to a medium directly since it already contains a file system. Are you sure you want to add this file to the project?,"Файл, який ви хочете додати до проекту, є штампом ISO9660. Його можна безпосередньо записати на носій, бо він вже містить файлову систему. Ви справді хочете додати цей файл до проекту?","Файл, який ви збираєтеся додати до проекту, є штампом ISO9660. Таким чином його можна записати напряму, оскільки він вже містить файлову систему. Ви впевнені, що хочете додати цей файл до проекту?"
198,standardDeviation,Стандартне відхилення,Стандартне відхилення
199,The MySQL server log file '%1 'does not contain any errors or warnings.,У файлі журналу помилок сервера MySQL «% 1 » немає записів про помилки або попередження.,"Файл журналу помилок сервера MySQL ""% 1 "" не містить ніяких помилок або попереджень."
200,Each control center module can be executed individually,Кожен з модулів центру керування можна виконувати окремо,Кожен з модулів центру керування можна виконувати окремо
201,I can't go back there.,Я не могу вернуться.,Я не можу туди повернутися.
202,Like a frozen blanket.,Як і замороженому ковдру.,Как замороженное одеяло.
203,"Download of ""%1"" from %2 failed. Reason: %3.","Спроба звантаження «% 1 » від% 2 зазнала невдачі. Причина:% 3.% 1 = file name,% 2 = nickname of recipient","Звантаження ""% 1 "" від% 2 зазнало невдачі. Причина:% 3."
204,"Jesus, Mary and Joseph...","Ісус, Марія та Йосип...","Ісус, Марія і Йосип..."
205,Right click on the system tray icon and choose New Alarm from the context menu.,"Наведіть вказівник миші на піктограму у системному лотку, клацніть правою кнопкою миші і оберіть з контекстного меню пункт Нове нагадування.","Наведіть вказівник миші на піктограму системного лотка, клацніть правою кнопкою миші і оберіть у контекстному меню пункт Нове нагадування."
206,west & central Borneo,захід і центральна частина Борнео,захід і центральна частина Борнео
207,Opens a dialog where you can enter a variable and a new value for it.,"Відкрити діалогове вікно, у якому ви зможете ввести змінну, а також її нове значення.","Відкриває діалогове вікно, у якому ви можете ввести змінну і її нове значення."
208,- About the size of a bird's egg?,- А розмір такий як яйце? - Так.,- Как размером с яйцо птицы?
209,Serial controller,Послідовний контролер,Послідовний контролер
210,He's an incredibly difficult person to travel with.,"Він людина, з якою неймовірно важко подорожувати.",З ним неймовірно важко подорожувати.
211,Are you all right?,Ви в нормі?,Ты в порядке?
212,"To be included on a toolbar, an action needs an icon that will be shown on the toolbar if the action is shown as a button. Some actions already have icons, but for others you need to choose one. The Change Icon... button opens a dialog box that allows you to choose an icon for the selected action.","Щоб кнопку дії можна було додати на панель інструментів, з нею має бути пов’ язано піктограму дії, яку буде показано на панелі. З деякими з дій вже пов’ язано певні піктограми, піктограми для інших дій вам доведеться обрати самостійно. Натискання кнопки Змінити піктограму... відкриє діалогове вікно, за допомогою якого ви зможете обрати піктограму для позначеної дії.","Щоб бути включеним до панелі інструментів, на панелі інструментів має бути показано піктограму, яку буде показано на панелі інструментів, якщо дію буде показано як кнопку. Деякі з дій вже мають піктограми, але для інших дій вам слід обрати одну з них. Натискання кнопки Змінити піктограму... відкриє діалогове вікно, за допомогою якого ви зможете обрати піктограму для обраної дії."
213,"& kicker; is the application launcher panel of the K Desktop Environment. By default, it appears along the bottom of the screen, and takes up the whole of the width of the screen, but this is configurable. & kicker; is something of a one-stop shop for (almost!) everything that you might want quick access to. Besides the & kicon; Menu, where you can start applications, & kicker; is also capable of running docked applets like the pager, the taskbar or the clock, and extensions, such as child panels. With all these options, you will probably want to configure & kicker; so that it works best for you. The next section describes some common ways to customize the panel.","& kicker; — це панель запуску програму стільничного середовища KDE. Типово, її розташовано вздовж нижньої частини екрана, вона займає всю ширину екрана, але розташування і розміри панелі, звичайно ж, можна змінити. За допомогою & kicker; ви можете отримати швидкий доступ до (майже!) будь- чого, до чого ви забажаєте мати швидкий доступ. Окрім піктограми K- меню, за допомогою якої ви можете запускати програми, на & kicker; може бути розташовано аплети на зразок пейджера, панелі задач або годинника, додатки, зокрема дочірні панелі. Ймовірно, що у вас виникне бажання налаштувати & kicker; так, щоб він найкраще відповідав вашим потребам. У наступному розділі описано декілька типових способів налаштування панелі.","& kicker; - це панель запуску програм стільничного середовища KDE. Типово, вона з' явиться уздовж нижньої частини екрана і займає всю ширину екрана, але цю панель можна налаштувати. & kicker; є чимось на зразок послідовної крамниці (майже!), до якої ви бажаєте пришвидшити доступ. Окрім меню & kicker;, де ви можете запускати програми, & kicker; також може працювати з аплетами на зразок пейджера, панелі задач або годинника, а також додатками, зокрема дочірніми панелями. Ймовірно, вам захочеться налаштувати & kicker; так, щоб програма працювала найкраще для вас. У наступному розділі описано декілька типових способів налаштування панелі."
214,Tectonic.,Тектонічний,Тектонічний.
215,"What, after all you've invested, after almost 17 years of training, of learning?","Ти ж стільки у це вклала часу і сили, після майже 17-ти років тренування, навчання?","Що, після всього, що ви інвестували, після майже 17 років тренувань, навчання?"
216,"This menu also allows you to open this help document, report bugs, learn more about & kscd; and & kde; and to quit & kscd;.","За допомогою цього меню можна також відкрити цей документ довідки, повідомити про вади, дізнатися більше про & kscd; і & kde; або завершити роботу & kscd;.","За допомогою цього меню ви також можете відкрити цей документ довідки, повідомити про вади, дізнатися більше про & kscd; і & kde; і завершити роботу & kscd;."
217,"You gave me all that time off, and I really should've-","Ти дав мені стільки відгулів, і я дійсно ..","Ти дав мені стільки відгулу, і мені дійсно треба було..."
