,de,uk,TRANSLATION
23,Alle Blätter des Baums sind gelb geworden.,Усе листя на дереві стало жовтим.,Alle Blätter am Baum wurden gelb.
24,Alle blieben.,Всі залишилися.,Alle blieben.
25,Alle Frauen sind schön.,Всі жінки гарні.,Alle Frauen sind wunderschön.
26,Alle haben geschlafen.,Усі спали.,Alle schliefen.
27,Alle haben wir ein Interesse an Geschichte. In gewissem Sinn sind wir alle Historiker.,Ми всі цікавимося історією. У певному сенсі ми всі історики.,"Wir alle interessieren uns für Geschichte, und in gewisser Weise sind wir alle Historiker."
28,Alle halten Tom für etwas verrückt.,"Усі вважають, що Том трохи божевільний.",Jeder hält Tom für verrückt.
29,Alle hassen mich.,Усі мене ненавидять.,Alle hassen mich.
30,Alle hassen Tom.,Всі ненавидять Тома.,Jeder hasst Tom.
31,Alle hatten ein gutes Jahr.,У кожного був гарний рік.,Jeder hatte ein gutes Jahr.
32,Alle hatten ein gutes Jahr.,Усі вони мали гарний рік.,Sie alle hatten ein schönes Jahr.
33,Alle hatten Hunger.,Усі хотіли їсти.,Alle wollten essen.
34,Alle Hunde sind am Leben.,Всі собаки живі.,Alle Hunde sind am Leben.
35,Alle Hunde sind lebendig.,Всі собаки живі.,Alle Hunde sind am Leben.
36,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere, aber das bedeutet nicht, daß alle Tiere Hunde sind."
37,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Ihre Bemühungen waren vergeblich.
38,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Jeder spielt gern Baseball.
39,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Männer tanzten.
40,Alle kannten das.,Усі це знали.,Das wusste jeder.
41,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder bekamen ein Geschenk.
42,Alle lächelten.,Всі посміхнулися.,Alle lächelten.
43,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten ihn aus.
44,Alle lieben ihn.,Його всі люблять.,Jeder liebt ihn.
45,Alle lieben mich.,Усі люблять мене.,Jeder liebt mich.
46,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben amerikanische Football.
47,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.
48,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde lieben Computerspiele.
49,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden dort sein.
50,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.
51,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.
52,Alle mögen große Pizzas.,Усі люблять великі піци.,Jeder mag große Pizza.
53,Alle müssen es wissen.,Усі мають знати.,Jeder muss es wissen.
54,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Jeder sollte Französisch lernen.
55,Alle nennen ihn Mac.,Усі називають його Маком.,Jeder nennt ihn Mac.
56,Alle reden über Tom.,Усі говорять про Тома.,Jeder redet über Tom.
57,Aller guten Dinge sind drei.,Бог любить трійцю.,Gott liebt Dreiheiten.
58,Alle schlafen.,Всі сплять.,Alle schlafen.
59,Alle schlafen.,Усі сплять.,Alle schlafen.
60,Alles gut bei euch?,У всіх усе гаразд?,Geht es allen gut?
61,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!
62,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.
63,Alles hier gehört mir.,Тут все моє.,Das ist alles meins.
64,Alle sind bereit.,Усі готові.,Alle sind bereit.
65,Alle sind geschockt.,Всі в шоці.,Alle sind schockiert.
66,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.
67,Alles in Ordnung?,Все добре?,Alles in Ordnung?
68,Alles ist gut.,Все в порядку.,Ist schon gut.
69,Alles ist gut.,Все гаразд.,Ist schon gut.
70,Alles ist gut.,Усе гаразд.,Schon gut.
71,Alles ist in Butter.,Все в шоколаді.,Es ist in der Schokolade.
72,Alles ist möglich.,Можливо все.,Vielleicht ist das alles.
73,Alles ist vorbei.,Все скінчилося.,Es ist vorbei.
74,Alles oder nichts.,Все чи нічого.,Alles oder nichts.
75,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.
76,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist auf den roten Knopf zu klicken."
77,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch das Ende."
78,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch."
79,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Tom sagte nur, dass es wahr ist."
80,Alles wird gut sein.,Все буде в порядку.,Alles wird gut.
81,Alles wird gut werden.,Все буде в порядку.,Alles wird gut.
82,Alles wird gut.,Все буде добре.,Alles wird gut.
83,Alle überlebten.,Всі вижили.,Jeder überlebte.
84,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.
85,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle neidisch auf meinen Erfolg.
86,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.
87,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.
88,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.
89,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!
90,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, schnee ich."
91,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.","Als Teenager sprach Tom gern über das, was er sagte."
92,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.","Als Teenager liebte er es, Gedichte zu schreiben."
93,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?",Also genug für heute?
94,Also sprach Zarathustra.,Так казав Заратустра.,Das hat Zachäus gesagt.
95,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind teurer als neue.
96,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.
97,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist Metall.
98,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Dezember Weihnachten.
99,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Im Anfang erschuf Gott die Himmel und die Erde.
100,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind sehr freundliche Menschen.
101,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tag der Hochzeit sind alle Brautjungfern schön.
102,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Ich arbeite nie am Wochenende.
103,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,Achtundvierzig Seeleute sind an Bord.
104,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,Ich würde sofort nach Hause gehen.
105,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,Das würde ich an deiner Stelle nicht tun.
106,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine geographische Karte.
107,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.
108,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Picles ist sehr egoistisch.
109,Angenehm!,Приємно познайомитися!,"Freut mich, Sie kennenzulernen."
110,Anja lebt in Danzig.,Аня живе у Гданьску.,Ana lebt in Gännsk.
111,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,"Ankara, die Hauptstadt der Türkei"
112,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,Auf meinem Umhang hat sich ein Gummiseil abgerissen.
113,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Henry, Georges Sand, Stund, Molyer, Volter... sie haben nicht einen richtigen Namen, sondern Spitznamen."
114,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Anna mag Schokolade sehr.
115,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Statt zur Schule zu gehen, blieb er zu Hause."
116,Antworte mir.,Дай мені відповідь.,Gib mir eine Antwort.
117,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.
118,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Lassen Sie uns die Antwort auf Englisch geben.
119,Antwortet auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.
120,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.
121,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.
122,Araber verfolgen mich.,Араби мене переслідують.,Die Araber verfolgen mich.
123,Arbeit adelt.,Праця облагороджує.,Arbeit wird organisiert.
124,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam."
125,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?
126,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Argentinien, Chile, Uruguay, Paraguay und Südbrasilien gehören zum südlichen Konsus."
127,Ärgere dich nicht.,Не злостися!,Sei nicht böse!
128,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Die Hauptstadt von Kasachstan (Asträdische Hauptstadt Kasachstan)
129,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Erledigen Sie tief Luft und entspannen Sie sich.
130,Atmen Sie tief ein.,Глибоко вдихніть.,Tief durchatmen.
131,Atmet ein.,Вдихніть.,Einatmen.
132,Atmet sie?,Вона дихає?,Atmen sie?
133,Auch das noch!,Лише цього не вистачало!,Das allein genügte!
134,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Selbst die dunkelste Kuh liefert nur die weiße Milch.
135,Auch er ist Schriftsteller.,Він теж письменник.,Er ist auch Schriftsteller.
136,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Gott versteht auch den Esperanto.
137,Auch ich liebe euch.,Я вас теж кохаю.,Ich liebe dich auch.
138,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Ich mag auch Süßigkeiten.
139,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Meine Mutter ist auch Lehrerin.
140,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.
141,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Die Vereinigten Staaten sind zwar ein fortschrittliches Land, aber die Menschen dort sind sehr arm."
142,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Signatur.
143,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Es gibt keine Luft auf dem Mond.
144,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch ist eine Blume.
145,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Da ist ein Apfel auf dem Tisch.
146,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Dinoflagella.
147,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Eine Vase steht auf dem Tisch.
148,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Ich habe auf dem Weg zur Schule meine Brieftasche verloren.
149,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.
150,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf dieser Insel wird das ganze Jahr warm.
151,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Niemand ist auf der Straße zu sehen.
152,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Es gibt mehr als 10.000 Sprachen in diesem Land.
153,Auf die Knie!,На коліна!,Auf die Knie!
154,Auf was warten wir?,На що ми чекаємо?,Worauf warten wir?
155,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gesetzt?
156,Auf wen wartest du?,На кого ти чекаєш?,Auf wen freust du dich?
157,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen warten Sie?
158,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Saico."
159,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!
160,Auf Wiedersehen!,Побачимося!,Wir sehen uns!
161,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Wie viele Konzerte hast du letztes Jahr gesehen?
162,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Wie viele Konzerte haben Sie letztes Jahr besucht?
163,Augenblick...,Хвилиночку...,Einen Moment.
164,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Die Augen sind die Fenster der Seele.
165,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Ein kleines Mädchen wurde zu einer schönen Frau.
166,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regeln.
167,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.
168,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Er hat keine Freunde außer mir.
169,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.
170,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Australien exportiert viele Wolle.
171,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.
172,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Wie viele Inseln hat Indonesien?
173,Babys fallen oft um.,Діти часто падають.,Kinder fallen oft hin.
174,Babys fallen oft.,Діти часто падають.,Kinder fallen oft hin.
175,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt von Aserbaidschan.
176,Bald ist es Frühling.,Скоро весна.,Im Frühjahr.
177,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist das neue Jahr.
178,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebzigtausend russische Sätze haben.
179,Bananen schmecken gut.,Банани смачні.,Bananen sind köstlich.
180,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist ein Christ.
181,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.
182,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.
183,Bären mögen Honig.,Ведмеді люблять мед.,Bären lieben Honig.
184,Bäume leben.,Дерева живі.,Bäume sind am Leben.
185,Beantworten Sie die Frage!,Відповідайте на запитання!,Antworten auf Fragen!
186,Beantworten Sie die Frage!,Дайте відповідь на питання!,Wie lautet die Antwort?
187,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.","Schnell, sonst schaffen Sie's nicht."
188,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht."
189,Beeilen wir uns lieber!,Нам краще поспiшити.,Wir sollten besser pinkeln.
190,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Jungs."
191,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, denn ihr kommt zum Zug."
192,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.","Schnell, sonst schaffen Sie's nicht."
193,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,„ Zum Glück “ist Beethovens offizielle Nationalhymne der Europäischen Union.
194,Befreit Bolivien!,Свободу Болівії!,Boliviens Freiheit!
195,Beginnen Sie noch einmal.,Почніть знову.,Fangen Sie wieder an.
196,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Der dichte Nebel auf dem Weg führte zu schlechten Sichtverhältnissen.
197,Beide sind am Leben.,Вони обидва живі.,Sie sind beide am Leben.
198,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.
199,Beide sind tot.,Вони обидва мертві.,Beide sind tot.
200,Beide sind tot.,Вони обидві мертві.,Beide sind tot.
201,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.","Wenn es brennt, verwendet man Treppen."
202,Beißt dein Hund?,Твій собака кусається?,Ist dein Hund beißend?
203,Bei uns ist alles in Ordnung.,У нас все гаразд.,Es geht uns gut.
204,Beleidigen Sie mich nicht!,Не ображайте мене.,Verletzen Sie mich nicht.
205,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.
206,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,"Belgrad, die Hauptstadt Serbiens"
207,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt Serbiens.
208,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Nicht wie ein Kind handeln.
209,Benimm dich anständig.,Поводься чемно.,Sei nett.
210,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind.
211,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Junge in einer Handvoll als ein Kranich im Himmel.
213,Besser.,Так ліпше.,So ist es besser.
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Machst du irgendeine Art von Sport?
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist ein Serienmörder.
216,Betty kam als letzte.,Беті прийшла останньою.,Betty ist zuletzt gekommen.
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut bei Esperanto.
218,Beweise es.,Доведи це.,Beweise es.
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahle so viel, wie du willst."
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Dreht nach rechts auf der Kreuzung.
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.
222,Billig ist teuer.,Скупий платить двічі.,Der Käufer zahlt zweimal.
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.
225,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an."
227,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.
229,Bin ich bereit?,Я готова?,Bin ich bereit?
230,Bin ich bereit?,Я готовий?,Bin ich bereit?
231,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?
232,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?
233,Bin ich in London?,Я в Лондоні?,Bin ich in London?
234,Bis bald!,Побачимося!,Wir sehen uns!
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Er kommt von der Schule zurück auf Freitag.
236,Bis morgen!,До завтра!,Bis morgen!
237,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche.
238,Bis später!,Побачимось пізніше!,Bis später!
239,Bist du am Arbeiten?,Ти на роботі?,Bist du auf der Arbeit?
240,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Interessierst du dich für Musik?
242,Bist du Atheist?,Ти атеїст?,Bist du ein Atheist?
243,Bist du Atheist?,Ти атеїстка?,Bist du Atheistin?
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist du aus den USA?
245,Bist du Ausländer?,Ти іноземець?,Bist du ein Ausländer?
246,Bist du bei mir?,Ти зі мною?,Kommst du mit?
247,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit?
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,Bist du bereit zu gehen?
249,Bist du Deutscher?,Ти німець?,Bist du Deutscher?
250,Bist du dick?,Ти гладкий?,Bist du glatt?
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Tanzst du gut?
252,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du das einzige Kind?
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Tanzst du gut?
254,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?
255,Bist du ein Vampir?,Ти вампір?,Bist du Vampir?
256,Bist du Engländer?,Ти англієць?,Bist du Engländer?
257,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?
258,Bist du es?,Це ти?,Bist du das?
259,Bist du fertig?,Ти готова?,Bist du bereit?
260,Bist du fertig?,Ти готовий?,Bist du bereit?
261,Bist du gesund?,Ти здорова?,Bist du gesund?
262,Bist du gesund?,Ти здоровий?,Bist du gesund?
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,Warnend bedeutet bewaffnet.
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Hast du heute zu tun?
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Warst du heute zur Schule gegangen?
266,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Warst du heute zur Schule gegangen?
267,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?
268,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?
269,Bist du in Australien?,Ти в Австралії?,Bist du in Australien?
270,Bist du in Tom verliebt?,Ти закохана у Тома?,Hast du Tom geliebt?
271,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?
272,Bist du Japaner?,Ти японець?,Bist du ein Japaner?
273,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Warst du jemals in Afrika?
274,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Warst du jemals in Afrika?
275,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Mann?
276,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?
277,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?
278,Bist du nervös?,Ти нервуєш?,Bist du nervös?
279,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?
280,Bist du nicht Tom?,Хіба ти не Том?,Du bist nicht Tom?
281,Bist du noch immer müde?,Ти все ще сонний?,Bist du immer noch schläfrig?
282,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?
283,Bist du schlechter Laune?,В тебе поганий настрій?,Hast du eine schlechte Laune?
284,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Warst du jemals in Indien?
285,Bist du sicher?,Ти впевнений?,Bist du sicher?
286,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?
287,Bist du traurig?,Тобі сумно?,Bist du traurig?
288,Bist du übelgelaunt?,В тебе поганий настрій?,Hast du eine schlechte Laune?
289,Bist du über achtzehn?,Ти старше 18?,Bist du älter als 18?
290,Bist du Übersetzer?,Ти перекладач?,Bist du Dolmetscher?
291,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?
292,Bist du verheiratet?,Ти заміжня?,Bist du verheiratet?
293,Bist du zehn Jahre alt?,Тобі десять років?,Bist du 10 Jahre alt?
294,Bist du zurückgekommen?,Ти повернувся?,Bist du wieder da?
