Unnamed: 0,DE,EN,TRANSLATION,chrf_score
72,Zur subkutanen Anwendung,Subcutaneous use,Subcutaneous use,100.0
73,(Lois) Es geht mir gut. - Was tun Sie hier?,- So he's alive?,What are you doing here?,10.589730576775825
74,"Er sagte, er kennt die Leute, die damit zu tun hatten.","Well, he said that he knew the people that were involved.",He said he knew the people who had to do with it.,41.79319833197666
75,Zum Anfang,Home,Home,100.0
76,Du bist doch verrückt!,You're insane!,You're crazy!,36.81419713558071
77,"Der Rat vertritt bezüglich des Westsaharakonflikts die allgemeine politische Linie der uneingeschränkten Unterstützung der UN und des Sonderbeauftragten des UN-Generalsekretärs, James Baker, in seinem Bestreben, eine Lösung des Konfliktes herbeizuführen.",The general political stance of the Council with regard to the conflict in Western Sahara is to fully support the United Nations and the UN Secretary General' s personal envoy James Baker in their work on finding a solution to the conflict.,"With regard to the Western Sahara conflict, the Council represents the general political line of full support for the UN and the Special Representative of the UN Secretary-General, James Baker, in his endeavour to find a solution to the conflict.",61.17280800108039
78,Was zum Teufel hab ich hier vor mir?,What the hell am I looking at?,What the hell am I doing here?,58.87072341591792
79,Seht ihr?,"- The museum's only interested in the collection... if you're in it, Woody.",See?,1.0593220338983051
80,Geh nach Hause!,Home!,Go home!,42.279411764705884
81,"Wie sehend und hörend werden sie sein, wenn sie zu Uns kommen! Doch die Unrecht- Begehenden sind heute im offenkundigen Irrtum.","How keenly would they hear and see when they come before Us then, even though today the evil-doers are lost in palpable error.","How seeing and hearing they will be when they come to Us, but the wrongdoers today are in manifest error.",32.619793697007864
82,Hören Sie auf.,Stop it!,Stop it.,100.0
83,Das versprech ich dir.,I promise you that.,I promise you that.,100.0
84,Wie lautet er?,What is it?,What's it called?,30.56214153907187
85,Gothisch,Gothic,Gothic,100.0
86,"Hier geht es nicht um eine Zombie- Mahlzeit, das ist Organdiebstahl.",This isn't zombie lunch. This is organ theft.,"This isn't about a zombie meal, it's organ theft.",54.99937501512713
87,"Wenn das Gebet beendet ist, dann breitet euch im Land aus und strebt nach etwas von der Huld Gottes. Und gedenkt Gottes viel, auf daß es euch wohl ergehe.","But when the prayer is ended, then disperse abroad in the land and seek of Allah's grace, and remember Allah much, that you may be successful.","When the prayer is finished, spread out in the land and seek the bounty of Allah, and remember Allah much that you may prosper.",58.84971848967576
88,Haltet den Dieb!,Thief! Thief!,Hold the thief!,21.15701034095559
89,"ABl. L 257 vom 27.10.1995, S. 1.","OJ L 257, 27.10.1995, p. 1.","OJ L 257, 27.10.1995, p. 1.",100.0
90,- Merkur. - GroßerZeus?,- Mercury...,- GreatZeus?,7.751937984496124
91,- Ich komme gleich.,- Lucy? - I'm coming.,- I'll be right there.,8.51073691417584
92,Nicht umdrehen!,Don't look back.,Don't turn around!,23.44825535829019
93,"Was machst du hier, meine süße Blutorange?","What are you doing, my sweet little blood orange?","What are you doing here, my sweet blood orange?",71.36338138252435
94,Entschuldigen Sie bitte.,Pardon me.,Excuse me.,6.547619047619048
95,"Aber dann machte ich einen falschen Pinselstrich, und es ist mir wieder entglitten.",But then one wrong brushstroke and it got away once again.,"But then I made a wrong brushstroke, and it slipped away from me again.",61.07613236842144
96,Beschluss des Europäischen Parlaments,Decision of the European Parliament,Decision of the European Parliament,100.0
97,Und Kalzium.,Of course. Cool.,And calcium.,4.310344827586206
98,Bleib bei mir.,Stay with..,Stay with me.,92.72100013663068
99,Das war gemein.,It was mean.,That was mean.,78.38498157172722
100,"Ja, das ist in Ordnung.",That's fair enough.,"Yeah, that's fine.",30.77771005530558
101,- Bestimmt.,- I think so.,- I'm sure.,7.818627450980391
102,- Es war ein tolles Spiel.,That was a great game.,- It was a great game.,80.13419067605854
103,"Also etwas Respekt, sonst setzt es was.",So show me some respect or I'll give you a personal tour.,"So a little respect, or it'll make a difference.",26.57984613104053
104,"Komm, du freches Früchtchen.",Come on now.,"Come on, you naughty fruit.",40.10462337637682
105,Dass du zurückkommst.,For you to come back.,That you're coming back.,25.99381556927271
106,- Furchtbar.,- The worst.,- Terrible.,9.49074074074074
107,Es sollte eigentlich eine englische Kopie im Ordner sein. Es ist in Ordnung.,There was supposed to be an English copy in the folder.,There should be an English copy in the folder. It's fine.,64.75809229856576
108,"Aber wir werden uns unsere Leben nicht von diesen kleinen Kristallen diktieren lassen, oder?",We're not gonna let our lives be dictated by these little crystals?,"But we're not gonna let these little crystals dictate our lives, are we?",72.35034655318248
109,Pass nur auf.,Just watch.,Watch it.,24.303974631105753
110,- Da runter?,This way?,- Down there?,5.813953488372093
111,Ich hab noch einen.,I have another.,I got another one.,46.43851937921451
112,Quatsch!,That's no good!,Don't do that!,16.08662351089593
113,Folge dem Geld.,Follow the money.,Follow the money.,100.0
114,Da ist bereits jemand drin.,Somebody's already in there.,Someone's already in there.,71.1670922367272
115,Die Ätiologie ist nicht definiert worden.,The aetiology has not been defined.,The aetiology has not been defined.,100.0
116,Griechenland,Greece,Greece,100.0
117,Steh auf!,Get up.,Get up!,100.0
118,Bringen Sie sich in Ordnung.,Get cleaned up.,Fix yourself.,4.23728813559322
119,Ich verstehe nicht.,I don't understand.,I don't understand.,100.0
120,Was ist mit Max?,What about Max?,What about Max?,100.0
121,- Guten Abend.,"- Good evening,",- Good evening.,100.0
122,Er braucht Dich.,He needs you.,He needs you.,100.0
123,Ist hier irgend jemand?,Anybody here?,Is anyone here?,28.927733315739673
124,Ich werde es selbst herausfinden.,I'll figure it out myself.,I'll find out for myself.,42.59631705881051
125,Im Kühlschrank lagern.,Store in a refrigerator.,Store in a refrigerator.,100.0
126,"Genau das, was du gesagt hast!",Exactly what you said!,Just what you said!,57.43320272204442
127,- Warten Sie. - Carrie...,- Carrie...,- Wait a minute.,8.333333333333332
128,Ich war ein Arschloch.,I was a pig.,I was an asshole.,33.698719364057474
129,Er ist nicht hier.,He's not here.,He's not here.,100.0
130,Da ist mehr... darüber hinaus.,There is more beyond.,There's more... beyond that.,70.27191712188812
131,"du kannst sie eine Zeit ausschließen, aber sie wird nie verschwinden"".","you can shut it out for a time but it ain't going away"".","You can rule it out for a time, but it will never disappear.""",46.7400462727801
132,Das ist Blut.,That's blood.,It's blood.,66.39407585638794
133,"Nein, hör zu.","No, listen.","No, listen.",100.0
134,Über uns,Contact us,About us,14.66510405057891
135,"Ich sehe nur noch eine Lösung, mein Colonel. Sie liegt an Ihnen, birgt aber große Risiken.","I see only one possible solution, colonel, it depends on you, and it's very risky.","All I can see is a solution, my colonel, it's up to you, but it's very risky.",43.92057114435829
136,Das ist nicht witzig.,That ain't funny.,That's not funny.,44.12124912124913
137,Mein Name ist Barry Allen. Ich bin der schnellste Mensch der Welt.,"My name is Barry Allen, and I am the fastest man alive.","My name is Barry Allen, I'm the fastest man in the world.",69.78450367663224
138,- Es fängt an und hört wieder auf.,"On and off, off and on.",- It starts and stops.,8.51073691417584
139,Deshalb habe ich dir etwas von meinem Vater mitgebracht. Wo ist Jake?,Where's Jake?,That's why I brought you something from my father.,10.590343288941616
140,"- Ich habe ihm gesagt, er soll zur Hölle fahren.",- I told him to go to hell.,- I told him to go to hell.,100.0
141,Ich bin unglücklich.,- I'm not happy.,I'm unhappy.,35.382845226341736
142,Wir haben es verbraucht.,We burned through it.,We've used it up.,11.520045307887692
143,Willkommen. Das trifft sich gut.,"Hello, Colonel.","Welcome, it's good to meet you.",8.188689809630459
144,"Komm doch am Nachmittag zu uns, dann würden wir was Besonderes für dich kochen. - Ja?",Mm-Hmm.,Why don't you join us in the afternoon and we'd cook something special for you?,0.9363295880149813
145,Fahr hier ran.,Pull over here.,Pull over here.,100.0
146,- Spiele.,"Play the game, Harding.",- Games.,6.718731936117854
147,"Nein, es stehen nur ein paar Dinge an.","Oh, no, just got a few things on.","No, it's just a few things.",50.8374123103992
148,6.3 Dauer der Haltbarkeit,6.3 Shelf-life,6.3 Shelf life,62.115979610885844
149,Bubbs...,Bubs...,Bubbs...,58.65863787375415
150,Bei einem Schätzwert von 300 000 Dollar.,"At a $300,000 valuation.","With an estimate of $300,000.",32.945491208866926
151,- Warte auf uns!,- Wait for us!,- Wait for us!,100.0
152,Das verrate ich Ihnen.,I tell you.,I'll tell you.,73.54258682144817
153,Wie fühlen Sie sich?,- Just fine.,How do you feel?,5.1020408163265305
154,Bei Ratten ging ein minimaler bis leichter Abfall der Erythrozytenwerte mit Knochenmarkveränderungen einher; ähnliche Veränderungen wurden mit geringerer Häufigkeit bei Affen beobachtet.,"In rats, minimal to mild decreases in erythrocyte parameters were accompanied by bone marrow changes; similar changes occurred in monkeys at a lower incidence.","In rats, a minimal to mild decrease in erythrocytes was associated with bone marrow changes; similar changes were observed with lower frequency in monkeys.",61.523152778058275
155,Ich habe gar nichts. Wirklich.,I have nothing.,I don't have anything.,38.88338835635374
156,Garden (116),Garden,Garden (116),75.88125502055473
157,Wir hatten Kontakt.,We made contact.,We had contact.,50.09853669384046
158,DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:,100.0
159,- Logisch!,Word.,- It's logical!,4.464285714285714
160,"He, du bist der aufgetaute Typ aus dem 20. Jahrhundert, nicht?","Hey, you're the unfrozen guy from the 20th century, right?","Hey, you're the thawed-up guy from the 20th century, aren't you?",64.47546914703481
161,"Mann, du bist krank.","You're insane, man.","Man, you're sick.",24.816620265430522
162,Es scheint Euch gut zu gehen.,You seem well.,You seem fine.,52.41221741221741
163,Gruppe als & ungelesen markieren,Show folder quick search line edit,& Mark Group as Unread,7.510955544394333
164,"Wann immer er sich öffentlich zeigte, wurde er von Autogramm- und Souvenirjägern umlagert.",'Everytime he appeared in public 'the crowds clamoured for his autograph and souvenirs.',"Whenever he showed himself in public, he was surrounded by autograph and souvenir hunters.",42.12324745847802
165,Das wollen Sie vor den Kindern nicht hören.,"Ma'am, you're not gonna wanna hear this in front of your kids.",You don't want to hear that in front of the kids.,32.051345809159635
166,DER RAT DER EUROPÄISCHEN UNION —,"THE COUNCIL OF THE EUROPEAN UNION,","THE COUNCIL OF THE EUROPEAN UNION,",100.0
167,Behalte den Rest.,Keep it.,Keep the rest.,31.18367724467316
168,- Nehmen Sie doch Platz.,"Uh, won't you sit down, please?",- Why don't you sit down?,56.68890861640645
169,"Ich bring euch um, verdammt.",I'm gonna fucking kill you.,I'll fucking kill you.,63.573540788492366
170,Ich brauche Hilfe!,I need help!,I need help!,100.0
171,Ich schwimme.,- Swimming.,I'm swimming.,62.879769601914006
172,Jetzt im TEMPLE THEATER DANTE,Now Playing TEMPLE THEATRE DANTE,Now in TEMPLE THEATER DANTE,51.0503623392562
173,Ein Lehrer.,A teacher.,A teacher.,100.0
174,Was macht der hier?,What 's he doing here?,What's he doing here?,100.0
175,4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,4.5 Interaction with other medicinal products and other forms of interaction,4.5 Interaction with other medicinal products and other forms of interaction,100.0
176,Entschuldigen Sie!,- Excuse me.,Excuse me!,86.26917130700087
177,"Gut, ich werde gehen.",I'm leaving.,"All right, I'll go.",9.416991764195927
178,Seekartenunterlagen für schiffseigenen Radar,Chart facilities for shipborne radar,Sea chart documentation for ship's own radar,32.98470625374071
179,Hübsches Mädchen.,Clever girl.,Pretty girl.,22.1031746031746
180,Mir macht das alles nichts aus.,I'm totally cool with the situation.,I don't mind.,5.154055004060458
181,Hier ist das Geld.,Here's some money.,Here's the money.,54.05718026019579
182,Das ist jetzt alles vorbei.,That's all over.,This is all over now.,52.09018856023573
183,"Sind Sie sicher, dass wir das tun sollten?",Are you sure we should be doing this?,Are you sure we should do that?,62.38269162169567
184,Der Präsident,The President,The President,100.0
185,"Die Mitgliedstaaten, in denen gemäß Nummer 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende eines Zeitraums von sieben Jahren nach dem Beitritt die in den folgenden Absätzen beschriebenen Verfahren anwenden.","Those Member States in which, by virtue of paragraph 3, 4 or 5, Articles 1 to 6 of Regulation (EEC) No 1612/68 apply as regards Romanian nationals, may resort to the procedures set out in the subparagraphs below until the end of the seven year period following the date of accession.","Member States in which Articles 1 to 6 of Regulation (EEC) No 1612/68 apply to Romanian nationals in accordance with points 3, 4 or 5 may apply the procedures described in the following paragraphs until the end of a period of seven years after accession.",62.04272846053338
186,Sind Sie noch da?,Are you still there?,Are you still there?,100.0
187,- Warum nicht?,Why not?,- Why not?,95.15349630471859
188,Würden Sie mich kurz entschuldigen?,- Would you excuse me for just a moment? - Sure.,Would you excuse me for a second?,53.49270156570248
189,Wofür?,For what?,For what?,100.0
190,"- Sag den Männern, sie sollen zurück.","- Order the men to move back, Joshua.",- Tell the men to go back.,31.341525472292766
191,Ein Mann soll ein Bollwerk der Stärke sein.,You expect a man to be a tower of strength.,A man shall be a bulwark of strength.,33.420759824741324
192,"- Er ist es! - Sir, wie geht's Ihnen?",_,"- Sir, how are you?",0.0
193,"Der militärische Orden ist streng mit jenen, die ihre Grenzen überschreiten.",The Faith Militant are very stern with those who overstep their bounds.,The military order is strict with those who cross their borders.,38.30643366798679
194,Warenbezeichnung,CCT heading,Description,4.901960784313725
195,Der Arsch hat mir das hier angetan.,"Yeah, I'm gonna beat his fucking ass.",The ass did this to me.,14.791296248986589
196,Ich könnte etwas essen.,I could eat.,I could eat something.,77.80553357915268
197,- Es geht ihr gut.,- She's fine.,- She's fine.,100.0
198,"- Mir gefällt es hier, Sir.","This place okay, for you? Oh, it's just fine, sir.","- I like it here, sir.",9.898363835445501
199,Diese Verordnung tritt am Tag ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities.,This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities.,100.0
200,"Nicht, dass Sie sich da verrechnen.",I don't want you getting any ideas.,Not that you're counting on it.,20.013300193642344
201,"Danke, Gilbert.","Thank you, Gilbert.","Thank you, Gilbert.",100.0
202,Hol dir einen Stuhl.,Pull up a chair.,Get yourself a chair.,34.06982402295806
203,Es funktioniert!,It works!,It's working!,34.022238304563814
204,Aber an Weisheit fehlt es ihr nicht.,But not without wisdom.,But she doesn't lack wisdom.,28.043521607806753
205,"Sieh es als ersten Schritt der Renovierung an, ok?","Just consider this the official start of our remodel, okay?","Think of it as the first step in the renovation, okay?",20.876527476098435
206,Ich bin noch nicht fertig.,-But I'm not done.,I'm not done yet.,66.78164069425742
207,Ich hätte es wissen müssen...,I should've known you...,I should have known...,57.76793203669687
208,Ich bin so weit.,- OK. I'm ready.,I'm ready.,68.19571389071707
209,- Ich will mein Geld zurück.,I want my money back.,- I want my money back.,98.51816410863887
210,Danke sehr.,Thank you.,Thank you.,100.0
211,Schau.,Look.,Look.,100.0
212,Nicht unbedingt.,Maybe not.,Not necessarily.,12.903370584803199
213,Die Guillotines sind ein Schandfleck.,The Guillotines are a stain,The guillotines are a blemish.,60.54882960189338
214,Das betrifft Sie nicht.,"Not you, sir.",That doesn't concern you.,15.221503943825265
215,Welche Bedingungen?,At what terms?,What conditions?,13.819619905525652
216,Zieh doch einfach Chaturs Anzug an.,Take Chatur's suit instead,Why don't you just put on Chatur's suit?,45.25388423296175
217,Es brennt!,We're on fire!,It's on fire!,41.07134106291868
218,. – Herr Präsident!,.,". – Mr President, I should like to thank the President-in-Office for his excellent report.",0.0
219,Holen Sie das Ding aus meinem Kopf.,Help me!,Get that thing out of my head.,5.319148936170213
220,"Wissen diejenigen, die Frauen zum Autofahren aufrufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption stürzen, wenn eigentlich Sicherheit, Glaube und Stabilität am dringendsten benötigt werden?!","Do those who call for women driving understand that they are serving the enemies of this country by getting it into chaos and corruption when it badly needs security, faith and stability?!","Do those who call on women to drive cars know that they are serving the enemies of this country by throwing it into chaos and corruption when security, faith and stability are needed most urgently?!",73.63087686805876
221,Ich bin der Boss.,I'm the boss.,I'm the boss.,100.0
222,Meine Mutter war Italienerin.,My mother was Italian.,My mother was Italian.,100.0
223,Bilder auf der Vorderseite der Karteikarten anzeigen.,Show images on the front of the flashcard.,Show pictures on the front of the flashcards.,78.5793058806419
224,Natürlich nicht.,Of course not.,Of course not.,100.0
225,Ich flehe dich an.,I'm really begging you right now.,I'm begging you.,38.43490824229981
226,Verlass mich nicht.,Don't leave me.,Don't leave me.,100.0
227,Das wird nicht helfen.,It won't help.,That won't help.,83.67574767000599
228,Lass mich mal sehen.,Let me see.,Let me see.,100.0
229,Ihr Mistkerle!,Screw you all!,You bastards!,7.727272727272727
230,Aber...,But...,But...,100.0
231,Jetzt komm!,Let's get out of here.,Come on!,3.3783783783783785
232,Einen Moment mal.,Wait a minute.,Wait a minute.,100.0
233,So was kann man schlecht einplanen.,It's not exactly something you can plan.,It's a bad idea.,8.899008120976255
234,"So jemandem mache ich klar, daß ich für ihn zu schade bin.","Anybody who thinks that, I'll knock over sometime.",That's how I make it clear to someone that I'm too bad for him.,22.780751693889314
235,"Ja, das tue ich und Mama auch.","Yes, I am, and Mother is too.","Yeah, I do, and Mom does.",24.31026597766111
236,"Und deine Geister, Rossella?","And your spirits, Rossella?","And your ghosts, Rossella?",63.796323195238756
237,- Passt auf!,- Look out!,- Watch out!,15.448368769401977
238,Ich bin ja nicht weit weg.,I'm just down the beach.,I'm not far away.,10.530045451676855
239,Tschüs.,Bye.,Bye.,100.0
240,"auf Vorschlag der Kommission (1),","Having regard to the proposal from the Commission (1),","Having regard to the proposal from the Commission (1),",100.0
241,SubCentral.de und TV4User.de präsentieren:,"♪ Our whole universe was in a hot, dense state ♪ ♪ Then nearly 14 billion years ago expansion started... Wait!",Presenting SubCentral.de and TV4User.de:,8.474515495603177
242,Worte fallen aus Eurem Mund wie Scheiße aus dem Arsch.,"Words fall from your mouth, as shit from ass.",Words fall out of your mouth like shit.,47.03272832276802
243,Und weißt du wie?,And do you know why?,And you know how?,45.332883372216855
244,Halt deine verdammte Klappe!,Shut the fuck up!,Shut the fuck up!,100.0
245,"Ich seh' nur noch Blonde, Brünette, Rothaarige--","All I see is blonde, brunette, redhead.","All I see is the blonde, the brunette, the redhead--",71.95891805472438
246,Bestimmung,Destination,Purpose,4.901960784313724
247,Ah. Meinst du?,He's very funny.,You think so?,3.968253968253968
248,Lieben Sie mich noch?,Do you love me?,Do you still love me?,63.008087548280535
249,"Ich und Kuby haben für den Typen einen Van gemietet, haben das Geld bei einem Lagerplatz aufgeladen, haben ihm die Schlüssel bei Goodman gegeben.","Me and Kuby rented a van for the dude, loaded his cash up in a self-storage unit, handed over the keys to him at Goodman's.","Me and Kuby rented a van for the guy, charged the money at a storage place, gave him the keys at Goodman's.",49.78479903544457
250,Hier...,Here.,Here...,100.0
251,Whistler?,Whistler?,Whistler?,100.0
252,Das ist jetzt auch mein Haus.,"This is now my house, too.",This is my house now.,54.204918543738515
253,"Was zum Teufel, man?","What the hell, man?","What the hell, man?",100.0
254,Vertraue niemandem.,Don't trust anyone.,Don't trust anyone.,100.0
255,"Okay, Kreis, Kreis, Pünktchen, Pünktchen, jetzt bekommst du ein kleines Spritzchen!","Okay,circle, circle,dot,dot, now you have a cootie shot!","Okay, circle, circle, dots, dots, now you get a little shot!",58.74539747820978
256,"Ich habe nicht gedacht, dass ich das tun müsste. Das hat dich sonst auch nicht davon abgehalten, es zu sagen.",I didn't think I had to.,"I didn't think I'd have to do that, so that didn't stop you from saying it.",49.003305814721706
257,Die Welt ist schön.,I like to walk.,The world is beautiful.,10.582010582010582
258,Es ist ein Wunder.,_,It's a miracle.,0.0
259,"- Bitte, hör mir zu.","Please, listen.","- Please, listen to me.",90.2882177395831
260,- Sie haben schon alle aufgebraucht.,- Your favours are all used up.,- They've all used up.,38.337089017981356
261,Du bist verhaftet.,You're under arrest.,You're under arrest.,100.0
262,Die in dieser Entscheidung vorgesehenen Maßnahmen entsprechen der Stellungnahme des Ständigen Veterinärausschusses -,"Whereas the measures provided for in this Decision are in accordance with the opinion of the Standing Veterinary Committee,","Whereas the measures provided for in this Decision are in accordance with the opinion of the Standing Veterinary Committee,",100.0
263,Guten Morgen.,"Good morning, Cecilie.",Good morning.,59.74156859589462
264,"I.G. Farben produzierte 84% von Deutschlands Sprengstoffen und sogar das Zyklon B, das in den Konzentrationslagern zur Tötung von Millionen von Menschen verwendet wurde.",I.G. Farben produced 84% of Germany's explosives and even the Zyklon B used in the concentration camps to kill millions.,I.G. Farben produced 84% of Germany's explosives and even the Zyklon B used in the concentration camps to kill millions of people.,98.35173575773615
265,Es war ein langer Tag.,It's been a long day.,It's been a long day.,100.0
266,"Aber Sie kamen nach L.A., um ein Schauspieler zu sein.",But you came to L.A. to be an actor.,But you came to L.A. to be an actor.,100.0
267,Neun.,Nine.,Nine.,100.0
