Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,UK
44.0,Alle lieben ihn.,Його всі люблять.,Alle lieben ihn.,0.9272374510765076,
45.0,Alle lieben mich.,Усі люблять мене.,Alle lieben mich.,0.9311813116073608,
46.0,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben American Football.,0.9155350923538208,
47.0,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.,0.9061996340751648,
48.0,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde mögen Computerspiele.,0.9131142497062683,
49.0,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden da sein.,0.9011799097061157,
50.0,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.,0.904649019241333,
51.0,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.,0.9101104140281677,
52.0,Alle mögen große Pizzas.,Усі люблять великі піци.,Alle mögen große Pizzas.,0.9082410335540771,
53.0,Alle müssen es wissen.,Усі мають знати.,Alle müssen es wissen.,0.9091488122940063,
54.0,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Alle mussten Französisch lernen.,0.9149269461631775,
55.0,Alle nennen ihn Mac.,Усі називають його Маком.,Alle nennen ihn Mac.,0.9183030128479004,
56.0,Alle reden über Tom.,Усі говорять про Тома.,Alle reden über Tom.,0.8934219479560852,
57.0,Aller guten Dinge sind drei.,Бог любить трійцю.,Aller guten Dinge sind drei.,0.9043741226196289,
58.0,Alle schlafen.,Всі сплять.,Alle schlafen.,0.9139956831932068,
59.0,Alle schlafen.,Усі сплять.,Alle schlafen.,0.9139956831932068,
60.0,Alles gut bei euch?,У всіх усе гаразд?,Alles gut bei euch?,0.9044483304023743,
61.0,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!,0.9137085676193237,
62.0,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.,0.9221926331520081,
63.0,Alles hier gehört mir.,Тут все моє.,Alles hier gehört mir.,0.9230066537857056,
64.0,Alle sind bereit.,Усі готові.,Alle sind bereit.,0.9276270866394043,
65.0,Alle sind geschockt.,Всі в шоці.,Alle sind geschockt.,0.9159349203109741,
66.0,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.,0.9157922267913818,
67.0,Alles in Ordnung?,Все добре?,Alles in Ordnung?,0.9109944105148315,
68.0,Alles ist gut.,Все в порядку.,Alles ist gut.,0.9197150468826294,
69.0,Alles ist gut.,Все гаразд.,Alles ist gut.,0.9197150468826294,
70.0,Alles ist gut.,Усе гаразд.,Alles ist gut.,0.9197150468826294,
71.0,Alles ist in Butter.,Все в шоколаді.,Alles ist in Butter.,0.9206691980361938,
72.0,Alles ist möglich.,Можливо все.,Alles ist möglich.,0.9208410978317261,
73.0,Alles ist vorbei.,Все скінчилося.,Alles ist vorbei.,0.9272513389587402,
74.0,Alles oder nichts.,Все чи нічого.,Alles oder nichts.,0.9096440076828003,
75.0,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.,0.9162331819534302,
76.0,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist diesen roten Knopf zu drücken.",0.9061594009399414,
77.0,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch ein Ende.",0.9169386625289917,
78.0,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch.",0.9281203746795654,
79.0,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Alles, was Tom gesagt hat, stimmt.",0.9237158298492432,
80.0,Alles wird gut sein.,Все буде в порядку.,Alles wird gut sein.,0.9261241555213928,
81.0,Alles wird gut werden.,Все буде в порядку.,Alles wird gut werden.,0.9106662273406982,
82.0,Alles wird gut.,Все буде добре.,Alles wird gut.,0.9243518114089966,
83.0,Alle überlebten.,Всі вижили.,Alle überlebten.,0.8974722027778625,
84.0,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.,0.9027690291404724,
85.0,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle waren auf meinen Erfolg neidisch.,0.9104150533676147,
86.0,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.,0.920183539390564,
87.0,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.,0.9178326725959778,
88.0,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.,0.9178326725959778,
89.0,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!,0.9067948460578918,
90.0,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, fiel Schnee.",0.9069092273712158,
91.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.",Als Jugendlicher schrieb Tom gerne Gedichte.,0.8989273309707642,
92.0,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.",Als Jugendlicher schrieb Tom gerne Gedichte.,0.8989273309707642,
93.0,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?","Also, sagen wir Feierabend?",0.9159162044525146,
94.0,Also sprach Zarathustra.,Так казав Заратустра.,Also sprach Zarathustra.,0.9412358999252319,
95.0,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind wertvoller als neue.,0.8945057988166809,
96.0,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.,0.8945057988166809,
97.0,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist ein Metall.,0.9269459247589111,
98.0,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Am 24. Dezember ist Heiligabend.,0.9155607223510742,
99.0,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Am Anfang schuf Gott Himmel und Erde.,0.9244285821914673,
100.0,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind überaus freundliche Leute.,0.8888809680938721,
101.0,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tage ihrer Hochzeit sind alle Bräute schön.,0.9021985530853271,
102.0,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Am Wochenende arbeite ich nie.,0.9211409687995911,
103.0,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,An Deck sind 48 Seeleute.,0.9246628284454346,
104.0,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,An deiner Stelle ginge ich sofort nach Hause.,0.919998049736023,
105.0,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,An deiner Stelle würde ich das nicht machen.,0.913108229637146,
106.0,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine Karte.,0.9180088043212891,
107.0,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.,0.9180088043212891,
108.0,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Pickles ist sehr egoistisch.,0.9146379232406616,
109.0,Angenehm!,Приємно познайомитися!,Angenehm!,0.9355979561805725,
110.0,Anja lebt in Danzig.,Аня живе у Гданьску.,Anja lebt in Danzig.,0.9251989126205444,
111.0,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,Ankara ist die Hauptstadt der Türkei.,0.9076420068740845,
112.0,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,An meinem Mantel ist ein Knopf abgegangen.,0.9085187911987305,
113.0,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Анна Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire  diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.",0.7985721230506897,
114.0,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Ann mag Schokolade sehr.,0.9185667037963867,
115.0,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Anstatt zur Schule zu gehen, blieb er zuhause.",0.9003797769546509,
116.0,Antworte mir.,Дай мені відповідь.,Antworte mir.,0.9205247163772583,
117.0,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,0.9079993367195129,
118.0,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Antworten Sie auf Englisch.,0.9079993367195129,
119.0,Antwortet auf Englisch.,Відповідайте англійською.,Antwortet auf Englisch.,0.9068671464920044,
120.0,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.,0.9235437512397766,
121.0,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.,0.909195065498352,
122.0,Araber verfolgen mich.,Араби мене переслідують.,Araber verfolgen mich.,0.9214050769805908,
123.0,Arbeit adelt.,Праця облагороджує.,Arbeit adelt.,0.9222925901412964,
124.0,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam!",0.9028419256210327,
125.0,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?,0.9027453660964966,
126.0,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Аргентини, Чилі, Уругвай, Парагвай und Südbrasilien sind Teil des Südkegels.",-1.1165285110473633,
127.0,Ärgere dich nicht.,Не злостися!,Ärgere dich nicht.,0.9177637100219727,
128.0,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Astana ist die Hauptstadt von Kasachstan.,0.9117743968963623,
129.0,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Atmen Sie tief ein und entspannen Sie sich.,0.9116073846817017,
130.0,Atmen Sie tief ein.,Глибоко вдихніть.,Atmen Sie tief ein.,0.923092246055603,
131.0,Atmet ein.,Вдихніть.,Atmet ein.,0.9123756289482117,
132.0,Atmet sie?,Вона дихає?,Atmet sie?,0.9297619462013245,
133.0,Auch das noch!,Лише цього не вистачало!,Auch das noch!,0.9260993599891663,
134.0,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Auch die schwärzeste Kuh gibt nur weiße Milch.,0.9135783910751343,
135.0,Auch er ist Schriftsteller.,Він теж письменник.,Auch er ist Schriftsteller.,0.9239490032196045,
136.0,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Auch Gott versteht Есперанто.,-0.21486540138721466,
137.0,Auch ich liebe euch.,Я вас теж кохаю.,Auch ich liebe euch.,0.9330981969833374,
138.0,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Auch ich mag Süßigkeiten.,0.9184589982032776,
139.0,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Auch meine Mutter ist Lehrerin.,0.906341552734375,
140.0,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.,0.9325268864631653,
141.0,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.",0.8928260803222656,
142.0,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Unterschrift.,0.9109504222869873,
143.0,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Auf dem Mond gibt es keine Luft.,0.9123566150665283,
144.0,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch befindet sich eine Blume.,0.9113553762435913,
145.0,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Auf dem Tisch liegt ein Apfel.,0.9118187427520752,
146.0,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Melone.,0.9087660312652588,
147.0,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Auf dem Tisch steht eine Vase.,0.9043562412261963,
148.0,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,0.8949202299118042,
149.0,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf der Insel ist es das ganze Jahr über warm.,0.8959941864013672,
150.0,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf der Insel ist es ganzjährig warm.,0.9180728197097778,
151.0,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Auf der Straße ist niemand zu sehen.,0.9092180132865906,
152.0,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Auf der Welt gibt es mehr als siebentausend Sprachen.,0.8944188952445984,
153.0,Auf die Knie!,На коліна!,Auf die Knie!,0.9015332460403442,
154.0,Auf was warten wir?,На що ми чекаємо?,Auf was warten wir?,0.9243284463882446,
155.0,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gewettet?,0.9108856916427612,
156.0,Auf wen wartest du?,На кого ти чекаєш?,Auf wen wartest ду?,0.03712400794029236,
157.0,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen wartet ihr?,0.9010774493217468,
158.0,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Sayoko.",0.916366696357727,
159.0,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!,0.9144806861877441,
160.0,Auf Wiedersehen!,Побачимося!,Auf Wiedersehen!,0.9144806861877441,
161.0,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Auf wie vielen Konzerten warst du letztes Jahr?,0.8942488431930542,
162.0,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Auf wie vielen Konzerten wart ihr letztes Jahr?,0.8942594528198242,
163.0,Augenblick...,Хвилиночку...,Augenblick...,0.8902392387390137,
164.0,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Augen sind die Fenster der Seele.,0.911320686340332,
165.0,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Aus dem kleinen Mädchen wurde eine schöne Frau.,0.897639274597168,
166.0,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regel.,0.9159008264541626,
167.0,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.,0.9021227359771729,
168.0,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Außer mir hat er keine Freunde.,0.9169209599494934,
169.0,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.,0.9054979681968689,
170.0,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Австраліан експортує viel Wolle.,-1.2409032583236694,
171.0,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.,0.9175187945365906,
172.0,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Aus wie vielen Inseln besteht Indonesien?,0.9180105328559875,
173.0,Babys fallen oft um.,Діти часто падають.,Babys fallen oft um.,0.9175227284431458,
174.0,Babys fallen oft.,Діти часто падають.,Babys fallen oft.,0.9187656044960022,
175.0,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt Aserbaidschans.,0.915378212928772,
176.0,Bald ist es Frühling.,Скоро весна.,Bald ist es Frühling.,0.9203259944915771,
177.0,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist Neujahr.,0.9281538128852844,
178.0,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebtausend russische Sätze haben.,0.8540191054344177,
179.0,Bananen schmecken gut.,Банани смачні.,Bananen schmecken gut.,0.9189033508300781,
180.0,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist Christ.,0.9061379432678223,
181.0,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,0.8847654461860657,
182.0,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,0.8817887306213379,
183.0,Bären mögen Honig.,Ведмеді люблять мед.,Bären mögen Honig.,0.9083482027053833,
184.0,Bäume leben.,Дерева живі.,Bäume leben.,0.9042418003082275,
185.0,Beantworten Sie die Frage!,Відповідайте на запитання!,Beantworten Sie die Frage!,0.9118582010269165,
186.0,Beantworten Sie die Frage!,Дайте відповідь на питання!,Beantworten Sie die Frage!,0.9118582010269165,
187.0,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.",Beeil dich! Sonst verpasst du noch den Zug.,0.910182774066925,
188.0,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.",Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,0.8993998765945435,
189.0,Beeilen wir uns lieber!,Нам краще поспiшити.,Beeilen wir uns lieber!,0.9189709424972534,
190.0,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Leute!",0.897524356842041,
191.0,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, sonst verpasst ihr den Zug.",0.9076346158981323,
192.0,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.",Beeilt euch! Sonst verpasst ihr noch den Zug.,0.9001619815826416,
193.0,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,Beethoovens Ode an die Freude ist die offizielle Hymne der Europäischen Union.,0.7415743470191956,
194.0,Befreit Bolivien!,Свободу Болівії!,Befreit Боліvien!,0.10042285174131393,
195.0,Beginnen Sie noch einmal.,Почніть знову.,Beginnen Sie noch einmal.,0.9223792552947998,
196.0,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Bei dem dichten Nebel war die Straße kaum zu sehen.,0.8999831676483154,
197.0,Beide sind am Leben.,Вони обидва живі.,Beide sind am Leben.,0.9178433418273926,
198.0,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.,0.9178433418273926,
199.0,Beide sind tot.,Вони обидва мертві.,Beide sind tot.,0.9172898530960083,
200.0,Beide sind tot.,Вони обидві мертві.,Beide sind tot.,0.9172898530960083,
201.0,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.",Bei einem Brand benutzen Sie bitte die Treppe.,0.9091405868530273,
202.0,Beißt dein Hund?,Твій собака кусається?,Beißt dein Hund?,0.9085755944252014,
203.0,Bei uns ist alles in Ordnung.,У нас все гаразд.,Bei uns ist alles in Ordnung.,0.9177554845809937,
204.0,Beleidigen Sie mich nicht!,Не ображайте мене.,Beleidigen Sie mich nicht!,0.9121875762939453,
205.0,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.,0.9052225351333618,
206.0,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,Belgrad ist die Hauptstadt von Serbien.,0.9123091697692871,
207.0,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt von Serbien.,0.9123091697692871,
208.0,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Benehmen Sie sich nicht wie ein Kind!,0.9063393473625183,
209.0,Benimm dich anständig.,Поводься чемно.,Benimm dich anständig.,0.9286944270133972,
210.0,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind!,0.9080193042755127,
211.0,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.,0.8912298679351807,
212.0,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Vogel in der Hand als zehn in der Luft.,0.9018979072570801,
213.0,Besser.,Так ліпше.,Besser.,0.9282143115997314,
214.0,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Betreibst du irgendwelche Sportarten?,0.9157905578613281,
215.0,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist eine Serienmörderin.,0.9164823293685913,
216.0,Betty kam als letzte.,Беті прийшла останньою.,Betty kam als letzte.,0.9104981422424316,
217.0,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut Есперанто.,-0.32399672269821167,
218.0,Beweise es.,Доведи це.,Beweise е.,0.15420779585838318,
219.0,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahl, was ду möchtest.",0.3883399963378906,
220.0,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Biegen Sie an der Kreuzung rechts ab.,0.923661470413208,
221.0,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,0.9102617502212524,
222.0,Billig ist teuer.,Скупий платить двічі.,Billig ist teuer.,0.9134595394134521,
223.0,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,0.9108392000198364,
