Unnamed: 0,de,uk,TRANSLATION,chrf_score
36,"Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.","Усі собаки - тварини. Але це не значить, що усі тварини - собаки.","Alle Hunde sind Tiere. Jedoch bedeutet das nicht, dass alle Tiere Hunde sind.",100.0
37,Alle ihre Bemühungen waren vergebens.,Всі їхні зусилля були марні.,Alle ihre Bemühungen waren vergebens.,100.0
38,Alle Jungen spielen gerne Baseball.,Всі хлопці полюбляють грати у бейсбол.,Alle Jungen spielen gerne Baseball.,100.0
39,Alle Jungen tanzten.,Усі хлопці танцювали.,Alle Jungen tanzten.,100.0
40,Alle kannten das.,Усі це знали.,Alle kannten das.,100.0
41,Alle Kinder erhielten ein Geschenk.,Всі діти отримали подарунок.,Alle Kinder erhielten ein Geschenk.,100.0
42,Alle lächelten.,Всі посміхнулися.,Alle lächelten.,100.0
43,Alle lachten über ihn.,Всі сміялися з нього.,Alle lachten über ihn.,100.0
44,Alle lieben ihn.,Його всі люблять.,Alle lieben ihn.,100.0
45,Alle lieben mich.,Усі люблять мене.,Alle lieben mich.,100.0
46,Alle meine Freunde lieben American Football.,Всі мої друзі люблять американський футбол.,Alle meine Freunde lieben American Football.,100.0
47,Alle meine Freunde lieben Fußball.,Всі мої друзі люблять футбол.,Alle meine Freunde lieben Fußball.,100.0
48,Alle meine Freunde mögen Computerspiele.,Всі мої друзі люблять комп'ютерні ігри.,Alle meine Freunde mögen Computerspiele.,100.0
49,Alle meine Freunde werden da sein.,Там будуть усі мої друзі.,Alle meine Freunde werden da sein.,100.0
50,Alle Menschen müssen sterben.,Всі люди повинні померти.,Alle Menschen müssen sterben.,100.0
51,Alle Menschen sind gleich.,Всі люди рівні.,Alle Menschen sind gleich.,100.0
52,Alle mögen große Pizzas.,Усі люблять великі піци.,Alle mögen große Pizzas.,100.0
53,Alle müssen es wissen.,Усі мають знати.,Alle müssen es wissen.,100.0
54,Alle mussten Französisch lernen.,Всі мали вивчити французьку.,Alle mussten Französisch lernen.,100.0
55,Alle nennen ihn Mac.,Усі називають його Маком.,Alle nennen ihn Mac.,100.0
56,Alle reden über Tom.,Усі говорять про Тома.,Alle reden über Tom.,100.0
57,Aller guten Dinge sind drei.,Бог любить трійцю.,Aller guten Dinge sind drei.,100.0
58,Alle schlafen.,Всі сплять.,Alle schlafen.,100.0
59,Alle schlafen.,Усі сплять.,Alle schlafen.,100.0
60,Alles gut bei euch?,У всіх усе гаразд?,Alles gut bei euch?,100.0
61,Alles Gute zum Geburtstag!,З днем народження!,Alles Gute zum Geburtstag!,100.0
62,Alles hängt von deiner Entscheidung ab.,Усе залежить від твого рішення.,Alles hängt von deiner Entscheidung ab.,100.0
63,Alles hier gehört mir.,Тут все моє.,Alles hier gehört mir.,100.0
64,Alle sind bereit.,Усі готові.,Alle sind bereit.,100.0
65,Alle sind geschockt.,Всі в шоці.,Alle sind geschockt.,100.0
66,Alle sind sehr beschäftigt.,Усі дуже зайняті.,Alle sind sehr beschäftigt.,100.0
67,Alles in Ordnung?,Все добре?,Alles in Ordnung?,100.0
68,Alles ist gut.,Все в порядку.,Alles ist gut.,100.0
69,Alles ist gut.,Все гаразд.,Alles ist gut.,100.0
70,Alles ist gut.,Усе гаразд.,Alles ist gut.,100.0
71,Alles ist in Butter.,Все в шоколаді.,Alles ist in Butter.,100.0
72,Alles ist möglich.,Можливо все.,Alles ist möglich.,100.0
73,Alles ist vorbei.,Все скінчилося.,Alles ist vorbei.,100.0
74,Alles oder nichts.,Все чи нічого.,Alles oder nichts.,100.0
75,Alles war nur ein Scherz.,Усе було лише жартом.,Alles war nur ein Scherz.,100.0
76,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Все, що тобі треба зробити, - це натиснути на червону кнопку.","Alles, was du tun musst, ist diesen roten Knopf zu drücken.",100.0
77,"Alles, was einen Anfang hat, hat auch ein Ende.","Все, що має початок, має і кінець.","Alles, was einen Anfang hat, hat auch ein Ende.",100.0
78,"Alles, was ich habe, ist ein Buch.","Все, що я маю, - це книжка.","Alles, was ich habe, ist ein Buch.",100.0
79,"Alles, was Tom gesagt hat, stimmt.","Все, що сказав Том, - правда.","Alles, was Tom gesagt hat, stimmt.",100.0
80,Alles wird gut sein.,Все буде в порядку.,Alles wird gut sein.,100.0
81,Alles wird gut werden.,Все буде в порядку.,Alles wird gut werden.,100.0
82,Alles wird gut.,Все буде добре.,Alles wird gut.,100.0
83,Alle überlebten.,Всі вижили.,Alle überlebten.,100.0
84,Alle Vögel haben Federn.,Всі птахи мають пір'я.,Alle Vögel haben Federn.,100.0
85,Alle waren auf meinen Erfolg neidisch.,Усі заздрили моєму успіху.,Alle waren auf meinen Erfolg neidisch.,100.0
86,Alle waren zufrieden.,Усі були задоволені.,Alle waren zufrieden.,100.0
87,Alle Wege führen nach Rom.,Всі дороги ведуть до Риму.,Alle Wege führen nach Rom.,100.0
88,Alle Wege führen nach Rom.,Усі шляхи ведуть до Риму.,Alle Wege führen nach Rom.,100.0
89,Almaty ist meine Lieblingsstadt!,Алмати - моє улюблене місто!,Almaty ist meine Lieblingsstadt!,100.0
90,"Als ich aufwachte, fiel Schnee.","Коли я прокинулася, йшов сніг.","Als ich aufwachte, fiel Schnee.",100.0
91,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив віршувати.",Als Jugendlicher schrieb Tom gerne Gedichte.,100.0
92,Als Jugendlicher schrieb Tom gerne Gedichte.,"Коли Том був підлітком, він любив писати вірші.",Als Jugendlicher schrieb Tom gerne Gedichte.,100.0
93,"Also, sagen wir Feierabend?","Отож, на сьогодні досить?","Also, sagen wir Feierabend?",100.0
94,Also sprach Zarathustra.,Так казав Заратустра.,Also sprach Zarathustra.,100.0
95,Alte Teppiche sind wertvoller als neue.,Старі килими коштовніші за нові.,Alte Teppiche sind wertvoller als neue.,100.0
96,Alte Teppiche sind wertvoller als neue.,Старі килими цінніші за нові.,Alte Teppiche sind wertvoller als neue.,100.0
97,Aluminium ist ein Metall.,Алюміній - метал.,Aluminium ist ein Metall.,100.0
98,Am 24. Dezember ist Heiligabend.,24 грудня - канун Різдва.,Am 24. Dezember ist Heiligabend.,100.0
99,Am Anfang schuf Gott Himmel und Erde.,На початку Бог створив Небо та землю.,Am Anfang schuf Gott Himmel und Erde.,100.0
100,Amerikaner sind überaus freundliche Leute.,Американці - дуже дружелюбні люди.,Amerikaner sind überaus freundliche Leute.,100.0
101,Am Tage ihrer Hochzeit sind alle Bräute schön.,У день весілля всі наречені красиві.,Am Tage ihrer Hochzeit sind alle Bräute schön.,100.0
102,Am Wochenende arbeite ich nie.,Я ніколи не працюю у вихідні.,Am Wochenende arbeite ich nie.,100.0
103,An Deck sind 48 Seeleute.,На борту сорок вісім моряків.,An Deck sind 48 Seeleute.,100.0
104,An deiner Stelle ginge ich sofort nach Hause.,На твоєму місці я би відразу пішов додому.,An deiner Stelle ginge ich sofort nach Hause.,100.0
105,An deiner Stelle würde ich das nicht machen.,На твоєму місці я би не став цього робити.,An deiner Stelle würde ich das nicht machen.,100.0
106,An der Wand hängt eine Karte.,На стіні висить географічна карта.,An der Wand hängt eine Karte.,100.0
107,An der Wand hängt eine Karte.,На стіні висить мапа.,An der Wand hängt eine Karte.,100.0
108,Angelica Pickles ist sehr egoistisch.,Анжеліка Піклз дуже егоїстична.,Angelica Pickles ist sehr egoistisch.,100.0
109,Angenehm!,Приємно познайомитися!,Angenehm!,100.0
110,Anja lebt in Danzig.,Аня живе у Гданьску.,Anja lebt in Danzig.,100.0
111,Ankara ist die Hauptstadt der Türkei.,Анкара - столиця Туреччини.,Ankara ist die Hauptstadt der Türkei.,100.0
112,An meinem Mantel ist ein Knopf abgegangen.,В мене на плащі один ґудзик відірвався.,An meinem Mantel ist ein Knopf abgegangen.,100.0
113,"Anna Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire – diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.","Анна Ахматова, Максим Горький, Аркадій Гайдар, Марк Твен, О. Генрі, Жорж Санд, Стендаль, Мольєр, Вольтер... У них у всіх не справжні прізвища, а псевдоніми.","Анна Achmatowa, Maxim Gorki, Arkadi Gaidar, Mark Twain, O. Henry, George Sand, Stendhal, Molière, Voltaire  diese alle tragen nicht ihren richtigen Familiennamen, sondern ein Pseudonym.",95.03001570656652
114,Ann mag Schokolade sehr.,Ганна дуже любить шоколад.,Ann mag Schokolade sehr.,100.0
115,"Anstatt zur Schule zu gehen, blieb er zuhause.","Замість того, щоб іти до школи, він лишився вдома.","Anstatt zur Schule zu gehen, blieb er zuhause.",100.0
116,Antworte mir.,Дай мені відповідь.,Antworte mir.,100.0
117,Antworten Sie auf Englisch.,Відповідайте англійською.,Antworten Sie auf Englisch.,100.0
118,Antworten Sie auf Englisch.,Дайте відповідь англійською.,Antworten Sie auf Englisch.,100.0
119,Antwortet auf Englisch.,Відповідайте англійською.,Antwortet auf Englisch.,100.0
120,Äpfel sind rot.,Яблука червоні.,Äpfel sind rot.,100.0
121,Äpfel wachsen auf Bäumen.,Яблука ростуть на деревах.,Äpfel wachsen auf Bäumen.,100.0
122,Araber verfolgen mich.,Араби мене переслідують.,Araber verfolgen mich.,100.0
123,Arbeit adelt.,Праця облагороджує.,Arbeit adelt.,100.0
124,"Arbeite schnell, iss langsam!","Працюй швидко, їж повільно.","Arbeite schnell, iss langsam!",100.0
125,Arbeitest du morgen früh im Hotel?,Ти працюватимеш в готелі завтра вранці?,Arbeitest du morgen früh im Hotel?,100.0
126,"Argentinien, Chile, Uruguay, Paraguay und Südbrasilien sind Teil des Südkegels.","Аргентина, Чилі, Уругвай, Парагвай та Південна Бразилія є частиною Південного Конуса.","Аргентини, Чилі, Уругвай, Парагвай und Südbrasilien sind Teil des Südkegels.",51.633655718078444
127,Ärgere dich nicht.,Не злостися!,Ärgere dich nicht.,100.0
128,Astana ist die Hauptstadt von Kasachstan.,Астана - столиця Казахстану.,Astana ist die Hauptstadt von Kasachstan.,100.0
129,Atmen Sie tief ein und entspannen Sie sich.,Глибоко зітхніть і розслабтеся.,Atmen Sie tief ein und entspannen Sie sich.,100.0
130,Atmen Sie tief ein.,Глибоко вдихніть.,Atmen Sie tief ein.,100.0
131,Atmet ein.,Вдихніть.,Atmet ein.,100.0
132,Atmet sie?,Вона дихає?,Atmet sie?,100.0
133,Auch das noch!,Лише цього не вистачало!,Auch das noch!,100.0
134,Auch die schwärzeste Kuh gibt nur weiße Milch.,Навіть найчорніша корова дає лише біле молоко.,Auch die schwärzeste Kuh gibt nur weiße Milch.,100.0
135,Auch er ist Schriftsteller.,Він теж письменник.,Auch er ist Schriftsteller.,100.0
136,Auch Gott versteht Esperanto.,Бог теж розуміє есперанто.,Auch Gott versteht Есперанто.,59.76722190852626
137,Auch ich liebe euch.,Я вас теж кохаю.,Auch ich liebe euch.,100.0
138,Auch ich mag Süßigkeiten.,Мені також подобаються цукерки.,Auch ich mag Süßigkeiten.,100.0
139,Auch meine Mutter ist Lehrerin.,Моя мати теж вчителька.,Auch meine Mutter ist Lehrerin.,100.0
140,Auch sie liebt Schokolade.,Вона теж обожнює шоколад.,Auch sie liebt Schokolade.,100.0
141,"Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.","Хоча Сполучені Штати й розвинена країна, проте там є дуже бідні люди.","Auch wenn Amerika ein entwickeltes Land ist, findet man dort nicht wenige sehr arme Menschen.",100.0
142,Auf dem Dokument stand seine Unterschrift.,На документі стояв його підпис.,Auf dem Dokument stand seine Unterschrift.,100.0
143,Auf dem Mond gibt es keine Luft.,На Місяці немає повітря.,Auf dem Mond gibt es keine Luft.,100.0
144,Auf dem Tisch befindet sich eine Blume.,На столі квітка.,Auf dem Tisch befindet sich eine Blume.,100.0
145,Auf dem Tisch liegt ein Apfel.,На столі є яблуко.,Auf dem Tisch liegt ein Apfel.,100.0
146,Auf dem Tisch liegt eine Melone.,На столі лежить диня.,Auf dem Tisch liegt eine Melone.,100.0
147,Auf dem Tisch steht eine Vase.,На столі стоїть ваза.,Auf dem Tisch steht eine Vase.,100.0
148,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,Я загубив гаманець по дорозі до школи.,Auf dem Weg zur Schule habe ich mein Portemonnaie verloren.,100.0
149,Auf der Insel ist es das ganze Jahr über warm.,На цьому острові тепло цілий рік.,Auf der Insel ist es das ganze Jahr über warm.,100.0
150,Auf der Insel ist es ganzjährig warm.,На цьому острові тепло цілий рік.,Auf der Insel ist es ganzjährig warm.,100.0
151,Auf der Straße ist niemand zu sehen.,На вулиці нікого не видно.,Auf der Straße ist niemand zu sehen.,100.0
152,Auf der Welt gibt es mehr als siebentausend Sprachen.,У свiтi бiльше нiж сiм тисяч мов.,Auf der Welt gibt es mehr als siebentausend Sprachen.,100.0
153,Auf die Knie!,На коліна!,Auf die Knie!,100.0
154,Auf was warten wir?,На що ми чекаємо?,Auf was warten wir?,100.0
155,Auf welches Pferd hast du gewettet?,На якого коня ти поставив?,Auf welches Pferd hast du gewettet?,100.0
156,Auf wen wartest du?,На кого ти чекаєш?,Auf wen wartest ду?,78.4536297036297
157,Auf wen wartet ihr?,На кого ви чекаєте?,Auf wen wartet ihr?,100.0
158,"Auf Wiedersehen, Sayoko.","До побачення, Сайоко.","Auf Wiedersehen, Sayoko.",100.0
159,Auf Wiedersehen!,До побачення!,Auf Wiedersehen!,100.0
160,Auf Wiedersehen!,Побачимося!,Auf Wiedersehen!,100.0
161,Auf wie vielen Konzerten warst du letztes Jahr?,Скільки концертів ти відвідала минулого року?,Auf wie vielen Konzerten warst du letztes Jahr?,100.0
162,Auf wie vielen Konzerten wart ihr letztes Jahr?,Скільки концертів ви відвідали минулого року?,Auf wie vielen Konzerten wart ihr letztes Jahr?,100.0
163,Augenblick...,Хвилиночку...,Augenblick...,100.0
164,Augen sind die Fenster der Seele.,Очі - це вікна душі.,Augen sind die Fenster der Seele.,100.0
165,Aus dem kleinen Mädchen wurde eine schöne Frau.,Маленька дівчинка перетворилася на гарну жінку.,Aus dem kleinen Mädchen wurde eine schöne Frau.,100.0
166,Ausnahmen bestätigen die Regel.,Винятки підтверджують правила.,Ausnahmen bestätigen die Regel.,100.0
167,Aus persönlichen Gründen.,З особистих причин.,Aus persönlichen Gründen.,100.0
168,Außer mir hat er keine Freunde.,"У нього немає друзів, окрім мене.",Außer mir hat er keine Freunde.,100.0
169,Außer seinen Eltern kennt ihn niemand richtig.,"Окрім його батьків, ніхто не знає його як слід.",Außer seinen Eltern kennt ihn niemand richtig.,100.0
170,Australien exportiert viel Wolle.,Австралія експортує багато вовни.,Австраліан експортує viel Wolle.,24.3950577998503
171,Australien ist nicht Österreich.,Австралія - це не Австрія.,Australien ist nicht Österreich.,100.0
172,Aus wie vielen Inseln besteht Indonesien?,Скільки Індонезія має островів?,Aus wie vielen Inseln besteht Indonesien?,100.0
173,Babys fallen oft um.,Діти часто падають.,Babys fallen oft um.,100.0
174,Babys fallen oft.,Діти часто падають.,Babys fallen oft.,100.0
175,Baku ist die Hauptstadt Aserbaidschans.,Баку - столиця Азербайджану.,Baku ist die Hauptstadt Aserbaidschans.,100.0
176,Bald ist es Frühling.,Скоро весна.,Bald ist es Frühling.,100.0
177,Bald ist Neujahr.,Скоро Новий Рік.,Bald ist Neujahr.,100.0
178,Bald werden wir fünfundsiebzigtausend russische Sätze haben.,Скоро ми матимемо сімдесят п’ять тисяч російських речень.,Bald werden wir fünfundsiebtausend russische Sätze haben.,90.05152561208943
179,Bananen schmecken gut.,Банани смачні.,Bananen schmecken gut.,100.0
180,Barack Obama ist Christ.,Барак Обама християнин.,Barack Obama ist Christ.,100.0
181,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt Kataloniens und zweitgrößte Stadt Spaniens.,100.0
182,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,Барселона - це столиця Каталонії та друге за розмірами місто Іспанії.,Barcelona ist die Hauptstadt von Katalonien und die zweitgrößte Stadt Spaniens.,100.0
183,Bären mögen Honig.,Ведмеді люблять мед.,Bären mögen Honig.,100.0
184,Bäume leben.,Дерева живі.,Bäume leben.,100.0
185,Beantworten Sie die Frage!,Відповідайте на запитання!,Beantworten Sie die Frage!,100.0
186,Beantworten Sie die Frage!,Дайте відповідь на питання!,Beantworten Sie die Frage!,100.0
187,Beeil dich! Sonst verpasst du noch den Zug.,"Хутко, бо не встигнеш на потяг.",Beeil dich! Sonst verpasst du noch den Zug.,100.0
188,Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,"Хутко, бо не встигнете на потяг.",Beeilen Sie sich! Sonst verpassen Sie noch den Zug.,100.0
189,Beeilen wir uns lieber!,Нам краще поспiшити.,Beeilen wir uns lieber!,100.0
190,"Beeilt euch, Leute!","Покваптеся, хлопці.","Beeilt euch, Leute!",100.0
191,"Beeilt euch, sonst verpasst ihr den Zug.","Покваптеся, бо спізнитеся на потяг.","Beeilt euch, sonst verpasst ihr den Zug.",100.0
192,Beeilt euch! Sonst verpasst ihr noch den Zug.,"Хутко, бо не встигнете на потяг.",Beeilt euch! Sonst verpasst ihr noch den Zug.,100.0
193,Beethoovens „Ode an die Freude“ ist die offizielle Hymne der Europäischen Union.,«Ода до радості» Бетховена - офіційний гімн Європейського союзу.,Beethoovens Ode an die Freude ist die offizielle Hymne der Europäischen Union.,89.71696752245919
194,Befreit Bolivien!,Свободу Болівії!,Befreit Боліvien!,46.73409923409923
195,Beginnen Sie noch einmal.,Почніть знову.,Beginnen Sie noch einmal.,100.0
196,Bei dem dichten Nebel war die Straße kaum zu sehen.,Через густий туман на дорозі була погана видимість.,Bei dem dichten Nebel war die Straße kaum zu sehen.,100.0
197,Beide sind am Leben.,Вони обидва живі.,Beide sind am Leben.,100.0
198,Beide sind am Leben.,Обидва живі.,Beide sind am Leben.,100.0
199,Beide sind tot.,Вони обидва мертві.,Beide sind tot.,100.0
200,Beide sind tot.,Вони обидві мертві.,Beide sind tot.,100.0
201,Bei einem Brand benutzen Sie bitte die Treppe.,"У разі пожежі, користуйтеся сходами.",Bei einem Brand benutzen Sie bitte die Treppe.,100.0
202,Beißt dein Hund?,Твій собака кусається?,Beißt dein Hund?,100.0
203,Bei uns ist alles in Ordnung.,У нас все гаразд.,Bei uns ist alles in Ordnung.,100.0
204,Beleidigen Sie mich nicht!,Не ображайте мене.,Beleidigen Sie mich nicht!,100.0
205,Belgien ist nicht so groß wie Frankreich.,"Бельгія не така велика, як Франція.",Belgien ist nicht so groß wie Frankreich.,100.0
206,Belgrad ist die Hauptstadt von Serbien.,Белград - столиця Сербії.,Belgrad ist die Hauptstadt von Serbien.,100.0
207,Belgrad ist die Hauptstadt von Serbien.,Белград - це столиця Сербії.,Belgrad ist die Hauptstadt von Serbien.,100.0
208,Benehmen Sie sich nicht wie ein Kind!,"Не поводьтеся, як дитина.",Benehmen Sie sich nicht wie ein Kind!,100.0
209,Benimm dich anständig.,Поводься чемно.,Benimm dich anständig.,100.0
210,Benimm dich nicht wie ein Kind!,"Не поводься, як дитина.",Benimm dich nicht wie ein Kind!,100.0
211,Berlin ist eine deutsche Stadt.,Берлін - німецьке місто.,Berlin ist eine deutsche Stadt.,100.0
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Vogel in der Hand als zehn in der Luft.,100.0
213,Besser.,Так ліпше.,Besser.,100.0
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Betreibst du irgendwelche Sportarten?,100.0
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist eine Serienmörderin.,100.0
216,Betty kam als letzte.,Беті прийшла останньою.,Betty kam als letzte.,100.0
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut Есперанто.,64.54633168763604
218,Beweise es.,Доведи це.,Beweise е.,69.0455058125195
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahl, was ду möchtest.",71.33793429652563
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Biegen Sie an der Kreuzung rechts ab.,100.0
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,100.0
222,Billig ist teuer.,Скупий платить двічі.,Billig ist teuer.,100.0
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,100.0
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill lebt nah am Meer.,100.0
225,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.,100.0
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an.",100.0
227,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.,100.0
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt in der Nähe des Meeres.,100.0
229,Bin ich bereit?,Я готова?,Bin ich bereit?,100.0
230,Bin ich bereit?,Я готовий?,Bin ich bereit?,100.0
231,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?,100.0
232,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?,100.0
233,Bin ich in London?,Я в Лондоні?,Bin ich in London?,100.0
234,Bis bald!,Побачимося!,Bis bald!,100.0
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Bis fünf Uhr wird er wieder zurück sein.,100.0
236,Bis morgen!,До завтра!,Bis morgen!,100.0
237,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche!,100.0
238,Bis später!,Побачимось пізніше!,Bis später!,100.0
239,Bist du am Arbeiten?,Ти на роботі?,Bist du am Arbeiten?,100.0
240,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?,100.0
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Bist du an Musik зацікавлений?,45.02701284223022
242,Bist du Atheist?,Ти атеїст?,Bist du Atheist?,100.0
243,Bist du Atheist?,Ти атеїстка?,Bist du Atheist?,100.0
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist ду aus den Vereinigten Staaten?,84.43316591536836
245,Bist du Ausländer?,Ти іноземець?,Bist du Ausländer?,100.0
246,Bist du bei mir?,Ти зі мною?,Bist du bei mir?,100.0
247,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit anzufangen?,100.0
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,"Bist du bereit, aus dem Haus zu gehen?",100.0
249,Bist du Deutscher?,Ти німець?,Bist du Deutscher?,100.0
250,Bist du dick?,Ти гладкий?,Bist ду дик?,18.7431723800124
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Bist du eine gute Tänzerin?,100.0
252,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du ein Einzelkind?,100.0
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Bist du ein guter Tänzer?,100.0
254,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?,100.0
255,Bist du ein Vampir?,Ти вампір?,Bist du ein Vampir?,100.0
256,Bist du Engländer?,Ти англієць?,Bist du Engländer?,100.0
257,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?,100.0
258,Bist du es?,Це ти?,Bist ду е?,23.657080810525194
259,Bist du fertig?,Ти готова?,Bist du fertig?,100.0
260,Bist du fertig?,Ти готовий?,Bist du fertig?,100.0
261,Bist du gesund?,Ти здорова?,Bist ду gesund?,55.26418026418026
262,Bist du gesund?,Ти здоровий?,Bist ду gesund?,55.26418026418026
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,"Bist ду геwarnt, bist ду gewappnet.",56.488255973763216
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Bist du heute beschäftigt?,100.0
