Unnamed: 0,DE,EN,TRANSLATION,bertscore
60,So. Ihr müsst den Rhythmus finden.,You guys got to get a rhythm going.,Ihr habt einen Rhythmus zu bekommen.,0.868730366230011
61,Artikel 14 und möglichst,Article 14,Artikel 14,0.8476603627204895
62,Durst!,Durst!,Durst! Das ist Durst!,0.8230524063110352
63,Weiter!,Okay.,- Das ist okay.,0.692208468914032
64,Erweitert,Toggle Present Windows (Current desktop),Schalt die gegenwärtigen Windows ( gegenwärtige Desktop),0.7821535468101501
65,Legen Sie die Endzeit fest.@option:check,Set the end time,Setzen Sie die Endzeit,0.8903838992118835
66,"Oh, Sie armes Ding.","Oh, you poor thing.","Oh, du arme Kerl.",0.8798604607582092
67,"Sie würden herausfinden wollen: ,Bin ich allein?""","You're attempting to find, ""Am I alone?""","Sie versuchen zu finden: "" bin ich allein?""",0.916390597820282
68,"Ich habe keinen Hunger, Dad.","God, Dad. I'm not hungry.",Ich bin nicht hungrig.,0.8483530282974243
69,"Schaden entsteht vor allem dann, wenn in der Türkei Hoffnungen auf einen Beitritt erweckt wurden, diese angesichts der politischen Lage aber nicht erfüllt werden können.",It will have done more harm if Turkey's expectations of accession have been raised and cannot be met because of the political situation.,"Es würde noch mehr Schaden verursachen, wenn die Erwartungen der Türkei an den Beitritt erhöht worden wären und aufgrund der politischen Situation nicht erfüllt werden könnten.",0.8959127068519592
70,Ich meine es ernst!,I'm serious.,Ich meine das ernst.,0.9674427509307861
71,Du hast angefangen.,You are there begun.,Sie sind da angefangen.,0.9068554639816284
72,Zur subkutanen Anwendung,Subcutaneous use,Subkutane Anwendung,0.8996047377586365
73,(Lois) Es geht mir gut. - Was tun Sie hier?,- So he's alive?,- Also ist er am Leben?,0.8386338949203491
74,"Er sagte, er kennt die Leute, die damit zu tun hatten.","Well, he said that he knew the people that were involved.","Er sagte, er kenne die Leute, die daran beteiligt waren.",0.9325070381164551
75,Zum Anfang,Home,Zuhause,0.7685279846191406
76,Du bist doch verrückt!,You're insane!,Du bist verrückt!,0.9789350628852844
77,"Der Rat vertritt bezüglich des Westsaharakonflikts die allgemeine politische Linie der uneingeschränkten Unterstützung der UN und des Sonderbeauftragten des UN-Generalsekretärs, James Baker, in seinem Bestreben, eine Lösung des Konfliktes herbeizuführen.",The general political stance of the Council with regard to the conflict in Western Sahara is to fully support the United Nations and the UN Secretary General' s personal envoy James Baker in their work on finding a solution to the conflict.,"Die allgemeine politische Haltung des Rates hinsichtlich des Konflikts in der Westsahara besteht darin, die Vereinten Nationen und den persönlichen Gesandten des UN-Generalsekretärs James Baker bei der Suche nach einer Lösung des Konflikts vollständig zu unterstützen.",0.8902251124382019
78,Was zum Teufel hab ich hier vor mir?,What the hell am I looking at?,Was zum Teufel schaue ich mir an?,0.9469380974769592
79,Seht ihr?,"- The museum's only interested in the collection... if you're in it, Woody.","Das Museum interessiert sich nur für die Sammlung, wenn du darin bist, Woody.",0.7755848169326782
80,Geh nach Hause!,Home!,Zu Hause!,0.8545932769775391
81,"Wie sehend und hörend werden sie sein, wenn sie zu Uns kommen! Doch die Unrecht- Begehenden sind heute im offenkundigen Irrtum.","How keenly would they hear and see when they come before Us then, even though today the evil-doers are lost in palpable error.","Wie gern würden sie hören und sehen, wenn sie dann zu Uns kommen, obwohl die Ungerechten heute in einem deutlichen Irrtum verloren sind.",0.92234867811203
82,Hören Sie auf.,Stop it!,Hören Sie auf!,1.0
83,Das versprech ich dir.,I promise you that.,Das verspreche ich dir.,0.988206684589386
84,Wie lautet er?,What is it?,- Was ist das?,0.7791315317153931
85,Gothisch,Gothic,Gothisch,1.0000001192092896
86,"Hier geht es nicht um eine Zombie- Mahlzeit, das ist Organdiebstahl.",This isn't zombie lunch. This is organ theft.,"Das ist kein Zombie-Lunch, sondern Orgelstall.",0.8438012003898621
87,"Wenn das Gebet beendet ist, dann breitet euch im Land aus und strebt nach etwas von der Huld Gottes. Und gedenkt Gottes viel, auf daß es euch wohl ergehe.","But when the prayer is ended, then disperse abroad in the land and seek of Allah's grace, and remember Allah much, that you may be successful.","Aber wenn das Gebet abgeschlossen ist, dann verstreut euch auf der Erde und sucht Allahs Gnade, und gedenkt Allah viel, damit ihr erfolgreich seid.",0.8867602944374084
88,Haltet den Dieb!,Thief! Thief!,"Dieb, Dieb!",0.8359805345535278
89,"ABl. L 257 vom 27.10.1995, S. 1.","OJ L 257, 27.10.1995, p. 1.","OJ L 257, 27.10.1995, S. 1.",0.9265381693840027
90,- Merkur. - GroßerZeus?,- Mercury...,- Merkur...,0.8052420616149902
91,- Ich komme gleich.,- Lucy? - I'm coming.,- Ich komme gleich.,1.0000001192092896
92,Nicht umdrehen!,Don't look back.,Schau nicht zurück.,0.8684649467468262
93,"Was machst du hier, meine süße Blutorange?","What are you doing, my sweet little blood orange?","Was machst du, meine süße kleine Blut-Orange?",0.945193350315094
94,Entschuldigen Sie bitte.,Pardon me.,Entschuldigen Sie mich.,0.9579211473464966
95,"Aber dann machte ich einen falschen Pinselstrich, und es ist mir wieder entglitten.",But then one wrong brushstroke and it got away once again.,Aber dann einen falschen Pinselschlag und es ist wieder weg.,0.9385809898376465
96,Beschluss des Europäischen Parlaments,Decision of the European Parliament,Beschluss des Europäischen Parlaments,1.0
97,Und Kalzium.,Of course. Cool.,"Natürlich, das ist cool.",0.7637555003166199
98,Bleib bei mir.,Stay with..,Bleiben Sie bei..,0.8788473606109619
99,Das war gemein.,It was mean.,Es war gemein.,0.9265596866607666
100,"Ja, das ist in Ordnung.",That's fair enough.,Das ist fair genug.,0.838241457939148
101,- Bestimmt.,- I think so.,- Das glaube ich.,0.7173910140991211
102,- Es war ein tolles Spiel.,That was a great game.,Das war ein großartiges Spiel.,0.8891189098358154
103,"Also etwas Respekt, sonst setzt es was.",So show me some respect or I'll give you a personal tour.,"Zeig mir also etwas Respekt, sonst mache ich dir eine persönliche Tournee.",0.8687365055084229
104,"Komm, du freches Früchtchen.",Come on now.,Komm schon.,0.8440194725990295
105,Dass du zurückkommst.,For you to come back.,Damit du zurückkehrst.,0.8913446068763733
106,- Furchtbar.,- The worst.,- Das Schlimmste.,0.8446919322013855
107,Es sollte eigentlich eine englische Kopie im Ordner sein. Es ist in Ordnung.,There was supposed to be an English copy in the folder.,Es sollte eine englische Kopie im Ordner sein.,0.9496129751205444
108,"Aber wir werden uns unsere Leben nicht von diesen kleinen Kristallen diktieren lassen, oder?",We're not gonna let our lives be dictated by these little crystals?,"Wir werden nicht zulassen, dass unsere Leben von diesen kleinen Kristallen diktiert werden?",0.9646238684654236
109,Pass nur auf.,Just watch.,Schau einfach.,0.7722384929656982
110,- Da runter?,This way?,- Auf diese Seite?,0.7706905007362366
111,Ich hab noch einen.,I have another.,Ich habe noch einen.,0.9877538084983826
112,Quatsch!,That's no good!,Das ist nicht gut!,0.6444929838180542
113,Folge dem Geld.,Follow the money.,Folgen Sie dem Geld.,0.9548997282981873
114,Da ist bereits jemand drin.,Somebody's already in there.,Jemand ist schon da drin.,0.9034555554389954
115,Die Ätiologie ist nicht definiert worden.,The aetiology has not been defined.,Die Aetiologie wurde nicht definiert.,0.8903305530548096
116,Griechenland,Greece,Griechenland,0.9999998807907104
117,Steh auf!,Get up.,Aufstehen Sie.,0.8042682409286499
118,Bringen Sie sich in Ordnung.,Get cleaned up.,Putzen Sie sich auf.,0.8656479716300964
119,Ich verstehe nicht.,I don't understand.,Ich verstehe es nicht.,0.9886221885681152
120,Was ist mit Max?,What about Max?,Was ist mit Max?,1.0000001192092896
121,- Guten Abend.,"- Good evening,",- Guten Abend.,1.0
122,Er braucht Dich.,He needs you.,Er braucht dich.,1.0
123,Ist hier irgend jemand?,Anybody here?,Ist hier jemand?,0.9677424430847168
124,Ich werde es selbst herausfinden.,I'll figure it out myself.,Ich werde es selbst herausfinden.,0.9999999403953552
125,Im Kühlschrank lagern.,Store in a refrigerator.,In einem Kühlschrank aufbewahren.,0.8915867209434509
126,"Genau das, was du gesagt hast!",Exactly what you said!,"Genau das, was du gesagt hast!",0.9999999403953552
127,- Warten Sie. - Carrie...,- Carrie...,- Carrie... - Was ist das?,0.8024809956550598
128,Ich war ein Arschloch.,I was a pig.,Ich war ein Schwein.,0.8771029710769653
129,Er ist nicht hier.,He's not here.,Er ist nicht hier.,1.0
130,Da ist mehr... darüber hinaus.,There is more beyond.,Es gibt noch mehr dahinter.,0.8712141513824463
131,"du kannst sie eine Zeit ausschließen, aber sie wird nie verschwinden"".","you can shut it out for a time but it ain't going away"".","Sie können es für eine Zeit ausschließen, aber es wird nicht verschwinden"".",0.9582939147949219
132,Das ist Blut.,That's blood.,Das ist Blut.,0.9999998807907104
133,"Nein, hör zu.","No, listen.","Nein, hör mal auf.",0.9520664215087891
134,Über uns,Contact us,Kontaktieren Sie uns,0.8171647787094116
135,"Ich sehe nur noch eine Lösung, mein Colonel. Sie liegt an Ihnen, birgt aber große Risiken.","I see only one possible solution, colonel, it depends on you, and it's very risky.","Ich sehe nur eine mögliche Lösung, Colonel, es hängt von Ihnen ab, und es ist sehr riskant.",0.90313321352005
136,Das ist nicht witzig.,That ain't funny.,Das ist nicht lustig.,0.9346758127212524
137,Mein Name ist Barry Allen. Ich bin der schnellste Mensch der Welt.,"My name is Barry Allen, and I am the fastest man alive.","Mein Name ist Barry Allen, und ich bin der schnellste Mann, der lebt.",0.954940676689148
138,- Es fängt an und hört wieder auf.,"On and off, off and on.","Auf und ab, ab und ab.",0.8128539323806763
139,Deshalb habe ich dir etwas von meinem Vater mitgebracht. Wo ist Jake?,Where's Jake?,Wo ist Jake?,0.788888692855835
140,"- Ich habe ihm gesagt, er soll zur Hölle fahren.",- I told him to go to hell.,"- Ich habe ihm gesagt, er soll in die Hölle gehen.",0.9728735685348511
141,Ich bin unglücklich.,- I'm not happy.,- Ich bin nicht glücklich.,0.8865689039230347
142,Wir haben es verbraucht.,We burned through it.,Wir haben es durchgebrannt.,0.9222196340560913
143,Willkommen. Das trifft sich gut.,"Hello, Colonel.","Hallo, Colonel. - Was ist los?",0.6863278150558472
144,"Komm doch am Nachmittag zu uns, dann würden wir was Besonderes für dich kochen. - Ja?",Mm-Hmm.,- Was ist das?,0.789006769657135
145,Fahr hier ran.,Pull over here.,Zwischenfahren.,0.7847117781639099
146,- Spiele.,"Play the game, Harding.","Spielen Sie das Spiel, Harding.",0.8245524764060974
147,"Nein, es stehen nur ein paar Dinge an.","Oh, no, just got a few things on.","Oh, nein, ich habe nur ein paar Sachen an.",0.9384000301361084
148,6.3 Dauer der Haltbarkeit,6.3 Shelf-life,6.3 Haltungsdauer,0.8526105880737305
149,Bubbs...,Bubs...,Die Bubben...,0.7202892303466797
150,Bei einem Schätzwert von 300 000 Dollar.,"At a $300,000 valuation.",Bei einer Bewertung von 300.000 Dollar.,0.9105691909790039
151,- Warte auf uns!,- Wait for us!,- Warte auf uns!,1.0
152,Das verrate ich Ihnen.,I tell you.,Ich sage es dir.,0.8163101077079773
153,Wie fühlen Sie sich?,- Just fine.,- Ganz in Ordnung.,0.6883459091186523
154,Bei Ratten ging ein minimaler bis leichter Abfall der Erythrozytenwerte mit Knochenmarkveränderungen einher; ähnliche Veränderungen wurden mit geringerer Häufigkeit bei Affen beobachtet.,"In rats, minimal to mild decreases in erythrocyte parameters were accompanied by bone marrow changes; similar changes occurred in monkeys at a lower incidence.",Bei Ratten begleitete eine minimale bis leichte Verringerung der Erythrozytenparameter Veränderungen im Knochenmark; ähnliche Veränderungen traten bei Affen bei einer niedrigeren Inzidenz auf.,0.9034230709075928
155,Ich habe gar nichts. Wirklich.,I have nothing.,Ich habe nichts.,0.9462977051734924
156,Garden (116),Garden,Garten,0.6394094228744507
157,Wir hatten Kontakt.,We made contact.,Wir haben Kontakt hergestellt.,0.9116666913032532
158,DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:,Der Präsident der Bundesrepublik Deutschland:,1.0
159,- Logisch!,Word.,Das Wort.,0.667350709438324
160,"He, du bist der aufgetaute Typ aus dem 20. Jahrhundert, nicht?","Hey, you're the unfrozen guy from the 20th century, right?","Hey, du bist der unfrorene Kerl aus dem 20. Jahrhundert, oder?",0.93539959192276
161,"Mann, du bist krank.","You're insane, man.","Du bist verrückt, Mann.",0.8970226645469666
162,Es scheint Euch gut zu gehen.,You seem well.,Sie sehen gut aus.,0.8747497200965881
163,Gruppe als & ungelesen markieren,Show folder quick search line edit,Schnellsuchlinie des Ordners bearbeiten,0.7853633761405945
164,"Wann immer er sich öffentlich zeigte, wurde er von Autogramm- und Souvenirjägern umlagert.",'Everytime he appeared in public 'the crowds clamoured for his autograph and souvenirs.',"Jedes Mal, wenn er in der Öffentlichkeit erschien, rief die Menschenmenge nach seinem Autogramm und seinen Souvenirs.",0.8752508163452148
165,Das wollen Sie vor den Kindern nicht hören.,"Ma'am, you're not gonna wanna hear this in front of your kids.","Ma'am, Sie wollen das nicht vor Ihren Kindern hören.",0.9523807764053345
166,DER RAT DER EUROPÄISCHEN UNION —,"THE COUNCIL OF THE EUROPEAN UNION,","Der Rat der Europäischen Union,",0.9643380641937256
167,Behalte den Rest.,Keep it.,Behalten Sie es.,0.9066802859306335
168,- Nehmen Sie doch Platz.,"Uh, won't you sit down, please?",Möchten Sie sich bitte setzen?,0.8625595569610596
169,"Ich bring euch um, verdammt.",I'm gonna fucking kill you.,Ich werde dich töten.,0.8863442540168762
170,Ich brauche Hilfe!,I need help!,Ich brauche Hilfe!,1.0
171,Ich schwimme.,- Swimming.,- Schwimmen.,0.8733125329017639
172,Jetzt im TEMPLE THEATER DANTE,Now Playing TEMPLE THEATRE DANTE,Jetzt spielt ich TEMPLE THEATRE DANTE,0.9365688562393188
173,Ein Lehrer.,A teacher.,Ein Lehrer.,0.9999999403953552
174,Was macht der hier?,What 's he doing here?,Was macht er hier?,0.9635354280471802
175,4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,4.5 Interaction with other medicinal products and other forms of interaction,4.5 Wechselwirkung mit anderen Arzneimitteln und anderen Interaktionsformen,0.9316479563713074
176,Entschuldigen Sie!,- Excuse me.,- Entschuldigen Sie mich.,0.9445854425430298
177,"Gut, ich werde gehen.",I'm leaving.,Ich gehe jetzt.,0.8989900946617126
178,Seekartenunterlagen für schiffseigenen Radar,Chart facilities for shipborne radar,Chart-Einrichtungen für Schiffsradare,0.8360568881034851
179,Hübsches Mädchen.,Clever girl.,Clever Mädchen.,0.7997192740440369
180,Mir macht das alles nichts aus.,I'm totally cool with the situation.,Ich bin völlig in Ordnung mit der Situation.,0.8305319547653198
181,Hier ist das Geld.,Here's some money.,Hier ist etwas Geld.,0.9504348635673523
182,Das ist jetzt alles vorbei.,That's all over.,Das ist alles vorbei.,0.9601994752883911
183,"Sind Sie sicher, dass wir das tun sollten?",Are you sure we should be doing this?,"Sind Sie sicher, dass wir das tun sollten?",0.9999998807907104
184,Der Präsident,The President,Der Präsident,1.0000001192092896
185,"Die Mitgliedstaaten, in denen gemäß Nummer 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende eines Zeitraums von sieben Jahren nach dem Beitritt die in den folgenden Absätzen beschriebenen Verfahren anwenden.","Those Member States in which, by virtue of paragraph 3, 4 or 5, Articles 1 to 6 of Regulation (EEC) No 1612/68 apply as regards Romanian nationals, may resort to the procedures set out in the subparagraphs below until the end of the seven year period following the date of accession.","Die Mitgliedstaaten, in denen gemäß Absatz 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EG) Nr. 166/68 für rumänische Staatsbürger gelten, können bis zum Ende des siebenjährigen Zeitraums nach dem Tag des Beitritts an die in den folgenden Unterabschnitten vorgesehenen Verfahren zurückgreifen.",0.9405715465545654
186,Sind Sie noch da?,Are you still there?,Bist du noch da?,0.9353640079498291
187,- Warum nicht?,Why not?,- Warum nicht?,0.9999999403953552
188,Würden Sie mich kurz entschuldigen?,- Would you excuse me for just a moment? - Sure.,Würden Sie mich für einen Moment entschuldigen?,0.9625843167304993
189,Wofür?,For what?,- Für was? - Für was?,0.7657177448272705
190,"- Sag den Männern, sie sollen zurück.","- Order the men to move back, Joshua.","- Befehle den Männern, zurückzugehen, Joshua.",0.8956023454666138
191,Ein Mann soll ein Bollwerk der Stärke sein.,You expect a man to be a tower of strength.,"Sie erwarten, dass ein Mann ein Turm der Stärke ist.",0.8868148922920227
192,"- Er ist es! - Sir, wie geht's Ihnen?",_,- Nein.,0.7355073094367981
193,"Der militärische Orden ist streng mit jenen, die ihre Grenzen überschreiten.",The Faith Militant are very stern with those who overstep their bounds.,"Die Faith Militant sind sehr streng gegenüber denen, die ihre Grenzen überschreiten.",0.9162105917930603
194,Warenbezeichnung,CCT heading,CCT-Stellung,0.7656081914901733
195,Der Arsch hat mir das hier angetan.,"Yeah, I'm gonna beat his fucking ass.","Ja, ich werde ihn verprügeln.",0.8282918930053711
196,Ich könnte etwas essen.,I could eat.,Ich könnte essen.,0.9668880701065063
197,- Es geht ihr gut.,- She's fine.,- Es geht ihr alles.,0.9661507606506348
198,"- Mir gefällt es hier, Sir.","This place okay, for you? Oh, it's just fine, sir.",Dieser Ort ist für Sie in Ordnung?,0.7872190475463867
199,Diese Verordnung tritt am Tag ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities.,Diese Verordnung tritt am Tag ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,1.0
200,"Nicht, dass Sie sich da verrechnen.",I don't want you getting any ideas.,"Ich will nicht, dass du irgendwelche Ideen hast.",0.8870887756347656
201,"Danke, Gilbert.","Thank you, Gilbert.","Danke, Gilbert.",1.0
202,Hol dir einen Stuhl.,Pull up a chair.,Zieh einen Stuhl auf.,0.9114336371421814
203,Es funktioniert!,It works!,Es funktioniert!,0.9999999403953552
204,Aber an Weisheit fehlt es ihr nicht.,But not without wisdom.,Aber nicht ohne Weisheit.,0.9302659630775452
205,"Sieh es als ersten Schritt der Renovierung an, ok?","Just consider this the official start of our remodel, okay?","Betrachten Sie das als den offiziellen Beginn unserer Umgestaltung, okay?",0.8674874305725098
206,Ich bin noch nicht fertig.,-But I'm not done.,- Aber ich bin noch nicht fertig.,0.9659180045127869
207,Ich hätte es wissen müssen...,I should've known you...,Ich hätte dich kennenlernen sollen...,0.8808273077011108
208,Ich bin so weit.,- OK. I'm ready.,"- Okay, ich bin bereit.",0.848718523979187
209,- Ich will mein Geld zurück.,I want my money back.,Ich will mein Geld zurück.,0.9715167284011841
210,Danke sehr.,Thank you.,Danke Ihnen. Danke.,0.9013330936431885
211,Schau.,Look.,Sieh mal.,0.6618601083755493
212,Nicht unbedingt.,Maybe not.,Vielleicht nicht.,0.8674039244651794
213,Die Guillotines sind ein Schandfleck.,The Guillotines are a stain,Die Guillotines sind ein Fleck.,0.9519718885421753
214,Das betrifft Sie nicht.,"Not you, sir.","Nicht Sie, Sir.",0.8309382796287537
215,Welche Bedingungen?,At what terms?,Unter welchen Bedingungen?,0.949635922908783
216,Zieh doch einfach Chaturs Anzug an.,Take Chatur's suit instead,Nehmen Sie stattdessen Chaturs Anzug.,0.872432291507721
217,Es brennt!,We're on fire!,Wir brennen!,0.8245000839233398
218,. – Herr Präsident!,.,Das ist es.,0.7238267064094543
219,Holen Sie das Ding aus meinem Kopf.,Help me!,Helfen Sie mir!,0.8351572155952454
220,"Wissen diejenigen, die Frauen zum Autofahren aufrufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption stürzen, wenn eigentlich Sicherheit, Glaube und Stabilität am dringendsten benötigt werden?!","Do those who call for women driving understand that they are serving the enemies of this country by getting it into chaos and corruption when it badly needs security, faith and stability?!","Verstanden diejenigen, die Frauen zum Fahren rufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption bringen, wenn es dringend Sicherheit, Glauben und Stabilität braucht?!",0.9535014629364014
221,Ich bin der Boss.,I'm the boss.,Ich bin der Boss.,1.0000001192092896
222,Meine Mutter war Italienerin.,My mother was Italian.,Meine Mutter war Italienerin.,1.0
223,Bilder auf der Vorderseite der Karteikarten anzeigen.,Show images on the front of the flashcard.,Anzeigen Sie Bilder an der Vorderseite der Flashkarte.,0.9107818007469177
224,Natürlich nicht.,Of course not.,Natürlich nicht.,1.0
225,Ich flehe dich an.,I'm really begging you right now.,Ich bitte dich jetzt wirklich um etwas.,0.8919886350631714
226,Verlass mich nicht.,Don't leave me.,Lassen Sie mich nicht zurück.,0.882717490196228
227,Das wird nicht helfen.,It won't help.,Das hilft nicht.,0.9272986650466919
228,Lass mich mal sehen.,Let me see.,Lassen Sie mich sehen.,0.9317563772201538
229,Ihr Mistkerle!,Screw you all!,Schnitten Sie alle!,0.7757109999656677
230,Aber...,But...,Aber... - Was ist das?,0.7546466588973999
231,Jetzt komm!,Let's get out of here.,Lasst uns hier raus.,0.7741899490356445
232,Einen Moment mal.,Wait a minute.,Warte eine Minute.,0.8326265811920166
