Unnamed: 0,DE,EN,TRANSLATION,bertscore
18,Wir haben ferngesehen.,We were watching the tv.,Wir schauten uns den Fernseher an.,0.861379086971283
19,Na schön.,Oh.,Ach ja.,0.7469894289970398
20,Lebt wohl.,Goodbye.,Auf Wiedersehen.,0.8086317181587219
21,Werte,Values,Unsere Werte,0.8343024253845215
22,Oder was meinst du?,What do you say Marylin?,Was sagen Sie dazu Marylin?,0.822080671787262
23,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",0.765161395072937
24,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","In klinischen Studien wurde KOGENATE Bayer zur Behandlung von Blutungsepisoden bei 37 zuvor unbehandelten Patienten (PUPs) und 23 minimal behandelten pädiatrischen Patienten (MTPs, definiert als mit gleich oder weniger als 4 Expositionstagen) angewendet.",0.901886522769928
25,Tagungswoche,The Week,Die Woche beginnt,0.6443125605583191
26,Deine Zeit wird kommen.,Your time will come.,Deine Zeit wird kommen.,1.0
27,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,"Was bestimmt das Leben, das du führst?",0.8348732590675354
28,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,"Wo zum Teufel denkst du, dass du hingehst?",0.8546616435050964
29,Keine Bewegung.,-hold it! hold it! -Jesus.,Halt es! Halt es! -Jesus.,0.6946861743927002
30,"Ja, natürlich.","Yes, sir. I'm very sorry.","Ja, Sir. Es tut mir sehr leid.",0.7699129581451416
31,Die Autoschlüssel.,Give me your car keys.,Gib mir deine Autoschlüssel.,0.8941936492919922
32,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,Wir könnten überall in der Galaxie hingeworfen werden.,0.935168445110321
33,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, du bist ein Schwein.",0.9421113729476929
34,Übrigens:,Extra tip:,Zusätzlicher Tipp:,0.7573716640472412
35,Heiß!,Hot!,Heiß ist heiß!,0.9166936874389648
36,Aber jetzt nicht mehr.,But not any more,Aber nicht mehr so,0.9483476281166077
37,- Das stimmt.,- That's true.,- Das stimmt.,1.0
38,"Pink für dich, Blau für Luke.","Pink for you, blue for Luke.","Rosa für dich, blau für Luke.",0.9609149098396301
39,- Ganz ruhig bleiben.,That's right.,Das stimmt nicht.,0.7863564491271973
40,"Weißt du, wer Remy Danton ist?",Do you know who Remy Danton is?,"Wissen Sie, wer Remy Danton ist?",0.9578410387039185
41,Ich möchte jetzt gehen.,I want to go.,Ich will nicht gehen.,0.9220280051231384
42,- Sicher.,Sure.,Sicherlich nicht.,0.8142462968826294
43,Ich darf mich für eure Geduld bedanken.,Thank you for your patience.,Vielen Dank für Ihr Verständnis.,0.8359293937683105
44,"Bob, Sie haben da was am Anzug.","Yeah. Bob, you got something on your suit.","Ja. Bob, du hast etwas auf deinem Anzug.",0.8857479095458984
45,Sieht gut aus.,Looks good.,Sieht gut aus.,1.0000001192092896
46,- Sid.,- Sid.,- Sid.,1.0
47,- Ein Bündnis mit wem?,- Klaus.,Und Klaus.,0.6997408866882324
48,- Hast du das gesehen? - Was?,- Did you see that?,- Hast du das gesehen?,0.9700368642807007
49,Mindestens 90 %; sekundäre Komponenten 4-6 % Geraniol und 1-2 % Nerol,At least 90 %; secondary components 4-6 % geraniol and 1-2 % nerol,Mindestens 90%; Nebenbestandteile 4-6% Geraniol und 1-2% Nerol,0.9437748193740845
50,Wir fahren.,We're leaving.,Wir gehen weg.,0.9172965288162231
51,Drücken!,Push! Push!,Drücken Sie!,0.8984975814819336
52,Geht schon.,You'll do.,Sie tun.,0.7002720832824707
53,Wissen Sie Bescheid über Manfredi und den Pakt?,Do you know about Manfredi and the covenant...?,Kennen Sie Manfredi und den Bund...?,0.9158667325973511
54,Länge des GGB,Length of SCI,Länge der SCI,0.8218491077423096
55,- Ja. Genau so.,Something like that.,Etwas wie das.,0.6819742918014526
56,"Nein, das ist unmöglich.",It's just not possible.,Es ist einfach nicht möglich.,0.8701919317245483
57,"Sei willkommen, Bruder.","Welcome, brother.","Willkommen, Bruder.",0.9583135843276978
58,Wer sind diese Männer?,who are those men?,Wer sind diese Männer?,0.9999998211860657
59,Hört zu...,Listen!,Hört zu!,1.0000001192092896
60,So. Ihr müsst den Rhythmus finden.,You guys got to get a rhythm going.,Ihr Jungs müsst einen Rhythmus in Gang bringen.,0.915630042552948
61,Artikel 14 und möglichst,Article 14,Artikel 14 -,0.822049081325531
62,Durst!,Durst!,Durstig sein!,0.7923589944839478
63,Weiter!,Okay.,In Ordnung.,0.7185091376304626
64,Erweitert,Toggle Present Windows (Current desktop),Aktuelle Fenster ein- / ausschalten (Aktueller Desktop),0.7646440863609314
65,Legen Sie die Endzeit fest.@option:check,Set the end time,Setzen Sie die Endzeit,0.8903838992118835
66,"Oh, Sie armes Ding.","Oh, you poor thing.","Oh, du armes Ding.",0.9361088871955872
67,"Sie würden herausfinden wollen: ,Bin ich allein?""","You're attempting to find, ""Am I alone?""","Du versuchst zu finden: ""Bin ich allein?""",0.8965329527854919
68,"Ich habe keinen Hunger, Dad.","God, Dad. I'm not hungry.","Gott, Papa. Ich bin nicht hungrig.",0.8462303876876831
69,"Schaden entsteht vor allem dann, wenn in der Türkei Hoffnungen auf einen Beitritt erweckt wurden, diese angesichts der politischen Lage aber nicht erfüllt werden können.",It will have done more harm if Turkey's expectations of accession have been raised and cannot be met because of the political situation.,"Es hätte mehr Schaden angerichtet, wenn die Beitrittserwartungen der Türkei geweckt worden wären und aufgrund der politischen Situation nicht erfüllt werden könnten.",0.904032826423645
70,Ich meine es ernst!,I'm serious.,Mein Ernst.,0.8706987500190735
71,Du hast angefangen.,You are there begun.,Sie sind dort begonnen.,0.8448128700256348
72,Zur subkutanen Anwendung,Subcutaneous use,Subkutane Anwendung,0.8996047377586365
73,(Lois) Es geht mir gut. - Was tun Sie hier?,- So he's alive?,- Also lebt er?,0.853094756603241
74,"Er sagte, er kennt die Leute, die damit zu tun hatten.","Well, he said that he knew the people that were involved.","Nun, er sagte, dass er die Leute kannte, die beteiligt waren.",0.922947108745575
75,Zum Anfang,Home,Startseite / Home,0.6881336569786072
76,Du bist doch verrückt!,You're insane!,Du bist verrückt!,0.9789350628852844
77,"Der Rat vertritt bezüglich des Westsaharakonflikts die allgemeine politische Linie der uneingeschränkten Unterstützung der UN und des Sonderbeauftragten des UN-Generalsekretärs, James Baker, in seinem Bestreben, eine Lösung des Konfliktes herbeizuführen.",The general political stance of the Council with regard to the conflict in Western Sahara is to fully support the United Nations and the UN Secretary General' s personal envoy James Baker in their work on finding a solution to the conflict.,"Die allgemeine politische Haltung des Rates im Hinblick auf den Konflikt in der Westsahara besteht darin, die Vereinten Nationen und den persönlichen Gesandten des Generalsekretärs der Vereinten Nationen, James Baker, bei ihren Bemühungen um eine Lösung des Konflikts uneingeschränkt zu unterstützen.",0.8758029341697693
78,Was zum Teufel hab ich hier vor mir?,What the hell am I looking at?,Was zum Teufel schaue ich mir an?,0.9469380974769592
79,Seht ihr?,"- The museum's only interested in the collection... if you're in it, Woody.","- Das Museum interessiert sich nur für die Sammlung... wenn du dabei bist, Woody.",0.7675368189811707
80,Geh nach Hause!,Home!,Zu Hause!,0.8545932769775391
81,"Wie sehend und hörend werden sie sein, wenn sie zu Uns kommen! Doch die Unrecht- Begehenden sind heute im offenkundigen Irrtum.","How keenly would they hear and see when they come before Us then, even though today the evil-doers are lost in palpable error.","Wie scharf würden sie hören und sehen, wenn sie damals vor Uns kämen, obwohl heute die Übeltäter in einem greifbaren Irrtum verloren sind.",0.8999564051628113
82,Hören Sie auf.,Stop it!,Hört auf!,0.8729208707809448
83,Das versprech ich dir.,I promise you that.,Das verspreche ich dir.,0.988206684589386
84,Wie lautet er?,What is it?,Was ist das?,0.8153089284896851
85,Gothisch,Gothic,Gotisch (Gothic),0.8129032254219055
86,"Hier geht es nicht um eine Zombie- Mahlzeit, das ist Organdiebstahl.",This isn't zombie lunch. This is organ theft.,Das ist kein Zombie-Mittagessen. Das ist Organraub.,0.8669516444206238
87,"Wenn das Gebet beendet ist, dann breitet euch im Land aus und strebt nach etwas von der Huld Gottes. Und gedenkt Gottes viel, auf daß es euch wohl ergehe.","But when the prayer is ended, then disperse abroad in the land and seek of Allah's grace, and remember Allah much, that you may be successful.","Wenn aber das Gebet beendet ist, dann zerstreut euch im Land und sucht Allahs Gnade und gedenkt Allahs viel, auf daß ihr Erfolg haben möget.",0.908742368221283
88,Haltet den Dieb!,Thief! Thief!,Dieb! Dieb!,0.8359805345535278
89,"ABl. L 257 vom 27.10.1995, S. 1.","OJ L 257, 27.10.1995, p. 1.","L 257 vom 27.10.1995, S. 1.",0.9761777520179749
90,- Merkur. - GroßerZeus?,- Mercury...,- Merkur...,0.8052420616149902
91,- Ich komme gleich.,- Lucy? - I'm coming.,- Lucy? - Ich komme.,0.8666097521781921
92,Nicht umdrehen!,Don't look back.,Schau nicht zurück.,0.8684649467468262
93,"Was machst du hier, meine süße Blutorange?","What are you doing, my sweet little blood orange?","Was machst du, meine süße kleine Blutorange?",0.9815685153007507
94,Entschuldigen Sie bitte.,Pardon me.,Verzeih mir.,0.7783058881759644
95,"Aber dann machte ich einen falschen Pinselstrich, und es ist mir wieder entglitten.",But then one wrong brushstroke and it got away once again.,Aber dann ein falscher Pinselstrich und es ging wieder weg.,0.9359595775604248
96,Beschluss des Europäischen Parlaments,Decision of the European Parliament,Beschluss des Europäischen Parlaments,1.0
97,Und Kalzium.,Of course. Cool.,Natürlich. Cool.,0.7533738613128662
98,Bleib bei mir.,Stay with..,Bleiben Sie mit..,0.8500188589096069
99,Das war gemein.,It was mean.,Es war gemeint.,0.8858796954154968
100,"Ja, das ist in Ordnung.",That's fair enough.,Das ist fair.,0.8186993598937988
101,- Bestimmt.,- I think so.,- Ich denke schon.,0.6953072547912598
102,- Es war ein tolles Spiel.,That was a great game.,Das war ein tolles Spiel.,0.9437300562858582
103,"Also etwas Respekt, sonst setzt es was.",So show me some respect or I'll give you a personal tour.,Also zeig mir etwas Respekt oder ich gebe dir eine persönliche Tour.,0.8501701354980469
104,"Komm, du freches Früchtchen.",Come on now.,Komm schon jetzt.,0.8550366163253784
105,Dass du zurückkommst.,For you to come back.,Für Sie zurück zu kommen.,0.8613476753234863
106,- Furchtbar.,- The worst.,- Das Schlimmste.,0.8446919322013855
107,Es sollte eigentlich eine englische Kopie im Ordner sein. Es ist in Ordnung.,There was supposed to be an English copy in the folder.,Es sollte eine englische Kopie in dem Ordner sein.,0.9414499998092651
108,"Aber wir werden uns unsere Leben nicht von diesen kleinen Kristallen diktieren lassen, oder?",We're not gonna let our lives be dictated by these little crystals?,Wir werden unser Leben nicht von diesen kleinen Kristallen diktieren lassen?,0.9807283282279968
109,Pass nur auf.,Just watch.,Schau einfach.,0.7722384929656982
110,- Da runter?,This way?,Auf diese Weise?,0.7200137376785278
111,Ich hab noch einen.,I have another.,Ich habe einen.,0.9584625959396362
112,Quatsch!,That's no good!,Das ist gut!,0.6595950126647949
113,Folge dem Geld.,Follow the money.,Folge dem Geld.,1.0
114,Da ist bereits jemand drin.,Somebody's already in there.,Jemand ist schon drin.,0.9022843241691589
115,Die Ätiologie ist nicht definiert worden.,The aetiology has not been defined.,Die tiologie ist nicht definiert.,0.9218911528587341
116,Griechenland,Greece,Griechenland -,0.9620249271392822
117,Steh auf!,Get up.,Steh auf.,1.000000238418579
118,Bringen Sie sich in Ordnung.,Get cleaned up.,Lass dich reinigen.,0.8169832825660706
119,Ich verstehe nicht.,I don't understand.,Ich verstehe nicht.,1.0000001192092896
120,Was ist mit Max?,What about Max?,Was ist mit Max?,1.0000001192092896
121,- Guten Abend.,"- Good evening,","- Guten Abend,",1.0
122,Er braucht Dich.,He needs you.,Er braucht dich.,1.0
123,Ist hier irgend jemand?,Anybody here?,Jemand hier?,0.8335197567939758
124,Ich werde es selbst herausfinden.,I'll figure it out myself.,Ich werde es selbst herausfinden.,0.9999999403953552
125,Im Kühlschrank lagern.,Store in a refrigerator.,In einem Kühlschrank aufbewahren.,0.8915867209434509
126,"Genau das, was du gesagt hast!",Exactly what you said!,"Genau das, was Sie gesagt haben!",0.9311169981956482
127,- Warten Sie. - Carrie...,- Carrie...,Das war 's...,0.6952810287475586
128,Ich war ein Arschloch.,I was a pig.,Ich war ein Schwein.,0.8771029710769653
129,Er ist nicht hier.,He's not here.,Er ist hier.,0.9690077900886536
130,Da ist mehr... darüber hinaus.,There is more beyond.,Es gibt mehr darüber hinaus.,0.9488383531570435
131,"du kannst sie eine Zeit ausschließen, aber sie wird nie verschwinden"".","you can shut it out for a time but it ain't going away"".","Sie können es für eine Zeit aussperren, aber es geht nicht weg "".",0.8995486497879028
132,Das ist Blut.,That's blood.,Das ist Blut.,0.9999998807907104
133,"Nein, hör zu.","No, listen.","Nein, höre zu.",0.975859522819519
134,Über uns,Contact us,Kontaktieren Sie uns,0.8171647787094116
135,"Ich sehe nur noch eine Lösung, mein Colonel. Sie liegt an Ihnen, birgt aber große Risiken.","I see only one possible solution, colonel, it depends on you, and it's very risky.","Ich sehe nur eine mögliche Lösung, Oberst, es hängt von Ihnen ab, und es ist sehr riskant.",0.8978586792945862
136,Das ist nicht witzig.,That ain't funny.,Das ist lustig.,0.8841722011566162
137,Mein Name ist Barry Allen. Ich bin der schnellste Mensch der Welt.,"My name is Barry Allen, and I am the fastest man alive.",Mein Name ist Barry Allen und ich bin der schnellste Mann der Welt.,0.9749544262886047
138,- Es fängt an und hört wieder auf.,"On and off, off and on.","Auf und ab, auf und ab.",0.8114311099052429
139,Deshalb habe ich dir etwas von meinem Vater mitgebracht. Wo ist Jake?,Where's Jake?,Wo ist Jake?,0.788888692855835
140,"- Ich habe ihm gesagt, er soll zur Hölle fahren.",- I told him to go to hell.,"Ich sagte ihm, er solle zur Hölle fahren.",0.9582167267799377
141,Ich bin unglücklich.,- I'm not happy.,- Ich bin nicht glücklich.,0.8865689039230347
142,Wir haben es verbraucht.,We burned through it.,Wir brannten durch sie hindurch.,0.8290858268737793
143,Willkommen. Das trifft sich gut.,"Hello, Colonel.","Hallo, lieber Oberst.",0.7742437720298767
144,"Komm doch am Nachmittag zu uns, dann würden wir was Besonderes für dich kochen. - Ja?",Mm-Hmm.,Mm-hmm ist.,0.619972825050354
145,Fahr hier ran.,Pull over here.,Ziehen Sie hier.,0.8513907790184021
146,- Spiele.,"Play the game, Harding.","Spielen Sie das Spiel, Harding.",0.8245524764060974
147,"Nein, es stehen nur ein paar Dinge an.","Oh, no, just got a few things on.","Oh nein, habe gerade ein paar Dinge auf.",0.9375147223472595
148,6.3 Dauer der Haltbarkeit,6.3 Shelf-life,6.3 Haltbarkeit,0.9168393611907959
149,Bubbs...,Bubs...,Bubs... mehr erfahren,0.7019194960594177
150,Bei einem Schätzwert von 300 000 Dollar.,"At a $300,000 valuation.",Bei einer Bewertung von 300.000.,0.8735686540603638
151,- Warte auf uns!,- Wait for us!,- Warte auf uns!,1.0
152,Das verrate ich Ihnen.,I tell you.,Ich sage euch.,0.7962138652801514
153,Wie fühlen Sie sich?,- Just fine.,- Einfach gut.,0.7814098000526428
154,Bei Ratten ging ein minimaler bis leichter Abfall der Erythrozytenwerte mit Knochenmarkveränderungen einher; ähnliche Veränderungen wurden mit geringerer Häufigkeit bei Affen beobachtet.,"In rats, minimal to mild decreases in erythrocyte parameters were accompanied by bone marrow changes; similar changes occurred in monkeys at a lower incidence.",Bei Ratten wurden minimale bis leichte Abnahmen der Erythrozytenparameter von Knochenmarkveränderungen begleitet; ähnliche Veränderungen traten bei Affen mit geringerer Inzidenz auf.,0.9336838126182556
155,Ich habe gar nichts. Wirklich.,I have nothing.,Ich habe nichts.,0.9462977051734924
156,Garden (116),Garden,Garten mit Garten,0.5978887677192688
157,Wir hatten Kontakt.,We made contact.,Wir nahmen Kontakt.,0.9466373920440674
158,DER PRÄSIDENT DER BUNDESREPUBLIK DEUTSCHLAND:,THE PRESIDENT OF THE FEDERAL REPUBLIC OF GERMANY:,Der Präsident der Bundesrepublik Deutschland:,1.0
159,- Logisch!,Word.,Das Wort.,0.667350709438324
160,"He, du bist der aufgetaute Typ aus dem 20. Jahrhundert, nicht?","Hey, you're the unfrozen guy from the 20th century, right?","Hey, du bist der unfrorene typ aus dem 20 jahrhundert, richtig.",0.937007486820221
161,"Mann, du bist krank.","You're insane, man.","Du bist verrückt, Mann.",0.8970226645469666
162,Es scheint Euch gut zu gehen.,You seem well.,Du scheinst gut.,0.8769169449806213
163,Gruppe als & ungelesen markieren,Show folder quick search line edit,Ordner anzeigen Schnellsuche Zeile bearbeiten,0.7896847128868103
164,"Wann immer er sich öffentlich zeigte, wurde er von Autogramm- und Souvenirjägern umlagert.",'Everytime he appeared in public 'the crowds clamoured for his autograph and souvenirs.',"Jedes Mal, wenn er in der ffentlichkeit erschien, forderte die Menge sein Autogramm und Souvenirs.",0.8771402835845947
165,Das wollen Sie vor den Kindern nicht hören.,"Ma'am, you're not gonna wanna hear this in front of your kids.","Ma 'am, du wirst das nicht vor deinen kindern hören wollen.",0.9257145524024963
166,DER RAT DER EUROPÄISCHEN UNION —,"THE COUNCIL OF THE EUROPEAN UNION,","Der Rat der Europäischen Union,",0.9643380641937256
167,Behalte den Rest.,Keep it.,Behalte es.,0.8894933462142944
168,- Nehmen Sie doch Platz.,"Uh, won't you sit down, please?","Würdest du dich nicht setzen, bitte?",0.8316781520843506
169,"Ich bring euch um, verdammt.",I'm gonna fucking kill you.,Ich werde dich verdammt nochmal töten.,0.9235935211181641
170,Ich brauche Hilfe!,I need help!,Ich brauche Hilfe!,1.0
171,Ich schwimme.,- Swimming.,- Schwimmen.,0.8733125329017639
172,Jetzt im TEMPLE THEATER DANTE,Now Playing TEMPLE THEATRE DANTE,Gerade gespieltes Temple Theatre Dante,0.864403247833252
173,Ein Lehrer.,A teacher.,Ein Lehrer.,0.9999999403953552
174,Was macht der hier?,What 's he doing here?,Was macht er hier?,0.9635354280471802
175,4.5 Wechselwirkungen mit anderen Arzneimitteln und sonstige Wechselwirkungen,4.5 Interaction with other medicinal products and other forms of interaction,4.5 Wechselwirkungen mit anderen Arzneimitteln und andere Formen der Wechselwirkung,0.9668975472450256
176,Entschuldigen Sie!,- Excuse me.,- Entschuldigen Sie.,0.972223699092865
177,"Gut, ich werde gehen.",I'm leaving.,Ich gehe weg.,0.9228480458259583
178,Seekartenunterlagen für schiffseigenen Radar,Chart facilities for shipborne radar,Karteneinrichtungen für das Schiffsradar,0.8520520329475403
179,Hübsches Mädchen.,Clever girl.,Kluges Mädchen.,0.8627983331680298
180,Mir macht das alles nichts aus.,I'm totally cool with the situation.,Ich bin total cool mit der Situation.,0.8135499954223633
181,Hier ist das Geld.,Here's some money.,Hier etwas Geld.,0.907333254814148
182,Das ist jetzt alles vorbei.,That's all over.,Das ist vorbei.,0.9287995100021362
183,"Sind Sie sicher, dass wir das tun sollten?",Are you sure we should be doing this?,"Sind Sie sicher, dass wir das tun sollten?",0.9999998807907104
184,Der Präsident,The President,Der Präsident,1.0000001192092896
185,"Die Mitgliedstaaten, in denen gemäß Nummer 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612/68 für rumänische Staatsangehörige gelten, können bis zum Ende eines Zeitraums von sieben Jahren nach dem Beitritt die in den folgenden Absätzen beschriebenen Verfahren anwenden.","Those Member States in which, by virtue of paragraph 3, 4 or 5, Articles 1 to 6 of Regulation (EEC) No 1612/68 apply as regards Romanian nationals, may resort to the procedures set out in the subparagraphs below until the end of the seven year period following the date of accession.","Die Mitgliedstaaten, in denen gemäß den Absätzen 3, 4 oder 5 die Artikel 1 bis 6 der Verordnung (EWG) Nr. 1612 / 68 auf rumänische Staatsangehörige Anwendung finden, können bis zum Ende des Siebenjahreszeitraums nach dem Tag des Beitritts auf die Verfahren der nachstehenden Unterabsätze zurückgreifen.",0.9374552369117737
186,Sind Sie noch da?,Are you still there?,Bist du noch da?,0.9353641867637634
187,- Warum nicht?,Why not?,Warum nicht?,0.9649240374565125
188,Würden Sie mich kurz entschuldigen?,- Would you excuse me for just a moment? - Sure.,Würdest du mich für einen Moment entschuldigen? - Klar.,0.9143846035003662
189,Wofür?,For what?,Für was?,0.7991988658905029
190,"- Sag den Männern, sie sollen zurück.","- Order the men to move back, Joshua.","- Befiehl den Männern, sich zurückzuziehen, Joshua.",0.890915036201477
191,Ein Mann soll ein Bollwerk der Stärke sein.,You expect a man to be a tower of strength.,"Du erwartest, dass ein Mann ein Turm der Stärke ist.",0.8899933695793152
192,"- Er ist es! - Sir, wie geht's Ihnen?",_,und,0.6574801802635193
193,"Der militärische Orden ist streng mit jenen, die ihre Grenzen überschreiten.",The Faith Militant are very stern with those who overstep their bounds.,"Die Militanten des Glaubens sind sehr streng mit denen, die ihre Grenzen überschreiten.",0.919756293296814
194,Warenbezeichnung,CCT heading,CCT Überschrift,0.7555292844772339
195,Der Arsch hat mir das hier angetan.,"Yeah, I'm gonna beat his fucking ass.","Ja, ich werde seinen verdammten arsch schlagen.",0.8550611138343811
196,Ich könnte etwas essen.,I could eat.,Ich konnte essen.,0.9668880701065063
197,- Es geht ihr gut.,- She's fine.,- Sie ist gut.,0.9023306369781494
198,"- Mir gefällt es hier, Sir.","This place okay, for you? Oh, it's just fine, sir.","Dieser Ort ist okay, für Sie? Oh, es ist gut, Sir.",0.8322595357894897
199,Diese Verordnung tritt am Tag ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities.,Diese Verordnung tritt am zwanzigsten Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,0.9715416431427002
200,"Nicht, dass Sie sich da verrechnen.",I don't want you getting any ideas.,"Ich möchte nicht, dass du irgendwelche Ideen bekommst.",0.8782430291175842
201,"Danke, Gilbert.","Thank you, Gilbert.","Vielen Dank, Gilbert.",0.8488607406616211
202,Hol dir einen Stuhl.,Pull up a chair.,Ziehen Sie einen Stuhl hoch.,0.9002832770347595
203,Es funktioniert!,It works!,Es funktioniert!,0.9999999403953552
204,Aber an Weisheit fehlt es ihr nicht.,But not without wisdom.,Aber nicht ohne Weisheit.,0.9302659630775452
205,"Sieh es als ersten Schritt der Renovierung an, ok?","Just consider this the official start of our remodel, okay?","Betrachten Sie dies als den offiziellen Beginn unseres Umbaus, okay?",0.869062602519989
206,Ich bin noch nicht fertig.,-But I'm not done.,Aber ich bin nicht fertig.,0.965664267539978
207,Ich hätte es wissen müssen...,I should've known you...,Ich hätte dich kennen sollen...,0.892626941204071
208,Ich bin so weit.,- OK. I'm ready.,- OK. Ich bin bereit.,0.8504239916801453
209,- Ich will mein Geld zurück.,I want my money back.,Ich will mein Geld zurück.,0.9715167284011841
210,Danke sehr.,Thank you.,Vielen Dank dafür.,0.8257819414138794
211,Schau.,Look.,Schau mal.,0.9280195236206055
212,Nicht unbedingt.,Maybe not.,Vielleicht nicht.,0.8674039244651794
213,Die Guillotines sind ein Schandfleck.,The Guillotines are a stain,Die Guillotinen sind ein Fleck,0.9335182309150696
214,Das betrifft Sie nicht.,"Not you, sir.","Sie nicht, Sir.",0.8554739952087402
215,Welche Bedingungen?,At what terms?,Zu welchen Bedingungen?,0.9566240906715393
216,Zieh doch einfach Chaturs Anzug an.,Take Chatur's suit instead,Nehmen Sie stattdessen Chaturs Anzug,0.872432291507721
217,Es brennt!,We're on fire!,Wir sind Feuer!,0.735649585723877
218,. – Herr Präsident!,.,..,0.0
219,Holen Sie das Ding aus meinem Kopf.,Help me!,Hilf mir!,0.6388593912124634
220,"Wissen diejenigen, die Frauen zum Autofahren aufrufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption stürzen, wenn eigentlich Sicherheit, Glaube und Stabilität am dringendsten benötigt werden?!","Do those who call for women driving understand that they are serving the enemies of this country by getting it into chaos and corruption when it badly needs security, faith and stability?!","Verstehen diejenigen, die Frauen zum Autofahren aufrufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption stürzen, wenn es dringend Sicherheit, Glauben und Stabilität braucht?!",0.9665771722793579
221,Ich bin der Boss.,I'm the boss.,Ich bin Chef.,0.8845380544662476
222,Meine Mutter war Italienerin.,My mother was Italian.,Meine Mutter war Italienerin.,1.0
223,Bilder auf der Vorderseite der Karteikarten anzeigen.,Show images on the front of the flashcard.,Zeigen Sie Bilder auf der Vorderseite der Karteikarte.,0.9432086944580078
224,Natürlich nicht.,Of course not.,Aber natürlich nicht.,0.9616981744766235
225,Ich flehe dich an.,I'm really begging you right now.,Ich flehe dich jetzt wirklich an.,0.9556122422218323
226,Verlass mich nicht.,Don't leave me.,Verlass mich nicht.,0.9999999403953552
227,Das wird nicht helfen.,It won't help.,Es hilft nichts.,0.9101701378822327
228,Lass mich mal sehen.,Let me see.,Lass mich sehen.,0.976868212223053
229,Ihr Mistkerle!,Screw you all!,Schraube euch alle!,0.7895803451538086
230,Aber...,But...,Aber... mehr erfahren,0.786294162273407
231,Jetzt komm!,Let's get out of here.,Lass uns hier rauskommen.,0.7626510262489319
232,Einen Moment mal.,Wait a minute.,Warte eine Minute.,0.8326265811920166
