EN,UK
"A few years after World War II, The world plunged into Cold War.",КІЛЬКА РОКІВ ПО ЗАКІНЧЕННЮ ІІ СВІТОВОЇ ВІЙНИ СВІТ ПОРИНУВ У ХОЛОДНУ ВІЙНУ.
You very nearly were.,Так воно майже і було.
"Default is Number but you can set the WBS code to be Roman Numbers or Letters, either upper case or lower case.","Типовим значенням є Число, але ви можете вказати, що коди СРР слід визначати як римські цифри або літери (верхнього або нижнього регістрів)."
Don't put off the work till tomorrow.,Не відкладайте роботу на завтра.
But this is my house.,Але це мій будинок.
Even though you don't want to.,Навіть якщо не хочеш.
"Ben, check the outhouse.","Бене, перевір сортир."
"To create a new email alarm to send a copy of an existing email message, drag the email from & kmail; onto & kalarm; 's main window or system tray icon. Then select the Email option. The Alarm Edit dialog is preset with the entire email message except sender.","Щоб створити нагадування електронною поштою, за якого буде надіслано копію існуючого повідомлення електронної пошти, перетягніть позначку повідомлення електронної пошти з & kmail; до вікна або піктограми системного лотка & kalarm;. Після цього оберіть пункт Нагадування ел. поштою. У діалоговому вікні редагування нагадування буде використано дані повідомлення електронної пошти, окрім відправника."
- I think I'll have οne.,А я б випив.
Save logins in a wallet,Зберігати реєстраційні дані у торбинці
Flake device definition,Визначення інструмента елементаComment
Use own default charset when replying,Використовувати власне кодування у відповідях
Want a doughnut?,- Хочеш пампуха? - Ні.
"Kuopio, Finland","Куопіо, ФінляндіяName"
Structures tool,Інструмент структур@ title: menu
"Brutes, do you think that I wouldn't do it if I wanted to ? !","Скоти, думаєте якби я хотіла, то не зробила б цього?"
"Neck, I'm gonna need you to stay here and get this motor runnin'.","Неку, ти повинен тут залишитися і завести двигун."
"I used to think rich people were cursed, and that only garrets, sour soup and potatoes can bring people joy.","Раніше я думав, що багаті - прокляті люди. І що тільки халупи і коморки, і кисла капуста з картоплею, дають людям щастя і благість."
She'd have told you She was like you,"Якби хотіла, то передала. Вона була така ж як і ти."
"When you are done setting up your screen saver, click OK.",Після завершення налаштування вашого зберігача екрана вам слід натиснути кнопку Гаразд.
Full CD,Повний КД
I wonder what they're serving at the domestic dealerships.,я вражений вони обслуговують як в уповноважених сервісах.
Alice?,Алісо!
What's the matter with you?,Що з тобою?
- Rub water all over yourself.,- Намочіть шкіру.
Enable window dragging,Дозволити перетягнення вікон
And I'm Jody.,А я - Джоді.
You know Dr. Melnick?,ти знаєш дохтора Мельника?
- Do you understand?,- ﻿Ти розумієш?
Nicholas Flamel.,Ніколас Фламел.
And they know about your brother.,І вони знають про твого брата.
That's right.,Верно.
Why do you keep calling me Charlie?,чому ви продовжуєте звати мене Чарлі?
"I'm so glad you get to meet my friends, Johnny.","Я такий радий що ти зустрінеш моїх друзів, Джонні."
You can find a quick introduction to the Identities page in the Getting Started section.,Короткий вступ до параметрів сторінки Профілі можна знайти у розділі Початок роботи.
- In Japan?,– В Японії?
I'll tell them.,Пepeкaжу.
You think we might be stuck in here a while.,"Гадаєш, ми застрягнемо тут ненадовго?"
Exchange Card 3,Замінити третю карту
Merry Christmas.,- Веселого Різдва ...
Fuck this. Fuck this.,До біса.
I am no one's servant.,Я не служу нікому.
"I remember how ""different"" became dangerous.","Я ще пам'ятаю, як 'інший' перетворилося на 'небезпечний'."
Number (Integer),Число (Ціле)
I know you're busy.,"Знаю, що Ви зайняті."
"Yes, and it's a pretty small list.","Так, і список досить малий."
- Good morning.,- ﻿Доброго ранку.
Slug him.,вмаж йому.
"Uh, it's just a temporary house guest.",Це тимчасовий гість.
There must be a reason.,Є якась причина?
"I'm the fastest gun north, south, east and west of the Pecos!","я найкращий стрілок на північ, південь, на схід і на захід від Пекосу!"
Vertical (Y-)Shift (in dots),Вертикальний (Y -) зсув (в точках)
Just wanted to say good luck.,"Гей, хлопче. Просто хотів сказати удачі."
Entirely disables the use of LDAP for S/ MIME.,Повністю вимикає використання LDAP для S/ MIME.
Reverse SeaWorld where dolphins are allowed to pet people.,де дельфіни за хатніх тваринок мають людей.
"Between the breakup, and then her acting career isn't going that well...","Мабуть поміж розлученнями, і до того ж, її акторська кар'єра не дуже складається..."
& Center Environments,& Центровані середовища
You expect me to joust with this beast night after night until I die?,"Чому ти думаєш, що я стану щоночі Битися з демоном до самої смерті?"
But how did you know?,Але як ти дiзнався?
♪ Wind blowing free ♪,♪ Вільний дме вітер ♪
What did you steal?,І що ти вкрав?
Of course you are.,Та звісно що.
"If you say yes, we'll send you back down to Boston, your home turf.","Якщо погодитеся, ми відправимо вас назад у Бостон, додому."
"Uh, I'll get back to you.",Я перезвоню.
Nothing happened.,Нічого не трапилось.
file to open,"файл, що відкривається"
"Details (visiblility, secrecy, etc.)","Подробиці (видимість, секретність, і т. п.)"
I heard Snape telling Dumbledore.,"Я чула, як Снейп казав Дамбльдорові."
That was the agreement.,Була умова.
I have poor eyesight.,У мене поганий зір.
New host,Новий вузол
You can't throw them out on their first day.,Ви не можете їх відчислити у перший же день.
Let's find a place to stop.,Де б тут зупинитись.
Enable direct rendering,Увімкнути відображення напряму
"""We are Groot""?","Ми є Ґрут""?"
"What I do, I do for my family.","Все, що я робив, я робив для моєї сім`ї."
I had a really good time last night.,Я відмінно провела час минулої ночі
Skip the build process.,Пропустити процес збирання.
compile without NDEBUG and NO_DEBUG being defined (makes kDebug calls work),компілювати без визначення NDEBUG і NO_ DEBUG (робить можливими виклики kDebug)
I shouldn't be doing this.,"Сам не знаю, чому я на це погодився."
My sun and stars is wounded.,Моє сонце і зірки поранений.
Some place dark and dusty.,Там страшна темрява і пилюка.
"People thought we lost the first game, we're going to lose the second game.","Усі думали, якщо ми програли першу гру, то програємо й наступну."
And I know I saw a flash of her yesterday.,"І я знаю, що я бачив відблиск цієї лихості учора"
What happened?,Що тут було?
- You're 15 years old.,"- Емілько, тобі п'ятнадцять років!"
The file you are about to add to the project is an ISO9660 image. As such it can be burned to a medium directly since it already contains a file system. Are you sure you want to add this file to the project?,"Файл, який ви хочете додати до проекту, є штампом ISO9660. Його можна безпосередньо записати на носій, бо він вже містить файлову систему. Ви справді хочете додати цей файл до проекту?"
standardDeviation,Стандартне відхилення
The MySQL server log file '%1 'does not contain any errors or warnings.,У файлі журналу помилок сервера MySQL «% 1 » немає записів про помилки або попередження.
Each control center module can be executed individually,Кожен з модулів центру керування можна виконувати окремо
I can't go back there.,Я не могу вернуться.
Like a frozen blanket.,Як і замороженому ковдру.
"Download of ""%1"" from %2 failed. Reason: %3.","Спроба звантаження «% 1 » від% 2 зазнала невдачі. Причина:% 3.% 1 = file name,% 2 = nickname of recipient"
"Jesus, Mary and Joseph...","Ісус, Марія та Йосип..."
Right click on the system tray icon and choose New Alarm from the context menu.,"Наведіть вказівник миші на піктограму у системному лотку, клацніть правою кнопкою миші і оберіть з контекстного меню пункт Нове нагадування."
west & central Borneo,захід і центральна частина Борнео
Opens a dialog where you can enter a variable and a new value for it.,"Відкрити діалогове вікно, у якому ви зможете ввести змінну, а також її нове значення."
- About the size of a bird's egg?,- А розмір такий як яйце? - Так.
Serial controller,Послідовний контролер
He's an incredibly difficult person to travel with.,"Він людина, з якою неймовірно важко подорожувати."
Are you all right?,Ви в нормі?
"To be included on a toolbar, an action needs an icon that will be shown on the toolbar if the action is shown as a button. Some actions already have icons, but for others you need to choose one. The Change Icon... button opens a dialog box that allows you to choose an icon for the selected action.","Щоб кнопку дії можна було додати на панель інструментів, з нею має бути пов’ язано піктограму дії, яку буде показано на панелі. З деякими з дій вже пов’ язано певні піктограми, піктограми для інших дій вам доведеться обрати самостійно. Натискання кнопки Змінити піктограму... відкриє діалогове вікно, за допомогою якого ви зможете обрати піктограму для позначеної дії."
"& kicker; is the application launcher panel of the K Desktop Environment. By default, it appears along the bottom of the screen, and takes up the whole of the width of the screen, but this is configurable. & kicker; is something of a one-stop shop for (almost!) everything that you might want quick access to. Besides the & kicon; Menu, where you can start applications, & kicker; is also capable of running docked applets like the pager, the taskbar or the clock, and extensions, such as child panels. With all these options, you will probably want to configure & kicker; so that it works best for you. The next section describes some common ways to customize the panel.","& kicker; — це панель запуску програму стільничного середовища KDE. Типово, її розташовано вздовж нижньої частини екрана, вона займає всю ширину екрана, але розташування і розміри панелі, звичайно ж, можна змінити. За допомогою & kicker; ви можете отримати швидкий доступ до (майже!) будь- чого, до чого ви забажаєте мати швидкий доступ. Окрім піктограми K- меню, за допомогою якої ви можете запускати програми, на & kicker; може бути розташовано аплети на зразок пейджера, панелі задач або годинника, додатки, зокрема дочірні панелі. Ймовірно, що у вас виникне бажання налаштувати & kicker; так, щоб він найкраще відповідав вашим потребам. У наступному розділі описано декілька типових способів налаштування панелі."
Tectonic.,Тектонічний
"What, after all you've invested, after almost 17 years of training, of learning?","Ти ж стільки у це вклала часу і сили, після майже 17-ти років тренування, навчання?"
"This menu also allows you to open this help document, report bugs, learn more about & kscd; and & kde; and to quit & kscd;.","За допомогою цього меню можна також відкрити цей документ довідки, повідомити про вади, дізнатися більше про & kscd; і & kde; або завершити роботу & kscd;."
"You gave me all that time off, and I really should've-","Ти дав мені стільки відгулів, і я дійсно .."
Did I?,Хіба?
- Top window right!,- Верхнє вікно праворуч!
"Well, I wrangled for a while, and then they saw I could say a line or two, and I was Bad Clem or Deputy Number Two or a guy's buddy for a couple of years, and then someone heard me sing and they made me the guy.","Я возився з кіньми, а потім мене поставили у кадр. Пару років я грав бандитів, помічників шерифа і друзів героя, а потім почули, як я співаю, і дали мені головну роль."
EXPONDIST(number; lambda; cumulative),EXPONDIST( число; лямбда; функція)
"No, Dougal!","Ні, Дуґале!"
-Yes!,-Да!
"It just means that when I listen to it, I don't like it.",Просто мені не подобається його слухати.
View Large Icons,Перегляд Великі піктограми
I heard he's gay.,Я чула він гей.
This place is airtight!,Це приміщення повітрянепроникне!
Raise,Підняти
Got a minute?,оу... в тебе є хвилинка?
All right.,Давай.
The MINUTES() function returns the value of the minutes in a time expression.,Функція MINUTES () повертає значення хвилин у виразі часу.
Tell me what you think.,"Скажи, що ти думаєш."
- I get it.,- Я зрозумів.
"If they haven't contributed the right amount of grain to the stores, then I'm afraid they'll have to make due with what they've brought.","Якщо вони не привезуть достатньо зерна у сховища, боюся, їм доведеться животіти з того, що буде."
My son is taller than I am.,Мій син вищий за мене.
I feel guilty every time I see her.,як бачу її.
I need all four!,Потрібні всі четверо!
The hell I do.,З-під хвоста в кобили.
"Oh, fοr heaven's sake.",Калібан! Та бога ради...
I do now.,Теперь знаю.
"Creates a new key pair (public and private) and allows to send the public part to a certification authority (ca;) for signing. The resulting certificate is then sent back to you, or stored in an LDAP server for you to download into your local keybox, where you can use it to sign and decrypt mails.","Створює нову пару ключів (відкритого і закритого) і надає змогу надіслати відкриту частину до служби сертифікації (ca;) для підписування. Отриманий сертифікат буде повернуто вам або збережено на сервері LDAP для наступного звантаження до локального сховища сертифікатів, звідки ви зможете скористатися ним для підписування і розшифрування повідомлень електронної пошти."
- Am I cοnsidered the enemy?,- А мене... теж вважають за ворога?
Ready?,Готові?
Pan and Zoom.,Панорамування і зміна масштабу.
Open camera dialog at< p ath >,Відкрити вікно фотоапарата у < path >
Prison?,Тюрьма. Да.
Let's get going then.,Тоді давай збиратися.
What do you mean there is more than one application per & MIME; type? Why is this necessary?,"Що означає те, що до одного типу & MIME; прив’ язано декілька програм? Чому у цьому виникла потреба?"
"If you relax, it will enable me to do anything I please","У дивний світ зі мною ти майни - Туди, де панують сни."
He knows!,Він знає.
It's David.,Це Девід.
"Go, find the cure!",Знайди зілля! Врятуй себе.
"Bergin and water.""",барбону з водою.'
Okay?,Розумієш?
"Most of the time, & knode; determines the correct MIME type for the attachment; if & knode; detects it incorrectly, you can correct the MIME type manually.","У більшості випадків & knode; правильно визначатиме тип MIME долучення. Якщо & knode; визначить цей тип неправильно, ви зможете вказати тип MIME вручну."
"Yeah, I'm sure.","Так, насправді."
- Neither.,"- Ні те, ні інше."
"Many are noting a similarity to the Westchester incident over a year ago... that left over 600 injured... and took the lives of seven mutants, including several of the X-Men.","Ця ситуація схожа на ту, що сталася понад рік тому у Вестчестері, залишивши по собі 600 поранених і забравши життя 7 мутантів, зокрема кількох людей Ікс."
I will carry him if I must.,"- ... у нього! - Філі. Я понесу його, якщо треба буде!"
This is a fight they cannot win.,"Це битва, в якій їм не перемогти."
Graphics,Графіка
I can't.,Не можу.
In the woods.,У лісі.
- That's it.,"Давай, тужься."
"Look,um,after I drop him off at his dad's, why don't I come back and show my appreciation for those earrings?","подумай, після того як я покину його, в його тата чому б мені не повернутися і не виказати мою подяку за ті сережки?"
IP Messenger for the GNOME2,IP Месенджер для GNOME2
Then we're dead.,Якщо ви помиляєтесь? Тоді ми всі мертві.
Family comes first?,Сім'я на першому місці?
"Yeah,so?",ну та й що?
Sweet dreams.,Солодких снів.
Damn it.,Черт.
"Uh, Jared Dunn's.",Джареда Данна.
I'll lend you my notebook.,Я позичу тобі свою записну книжку.
Let's do it!,Успіхів!
Welcome to the Print Assistant. This assistant will help you with the printing of your photos. Click the'Next 'button to begin.,"Ласкаво просимо до Помічника друку. Цей помічник допоможе вам у процесі друку ваших фотографій. Натисніть кнопку « Далі », щоб розпочати цей процес."
Not really.,не зовсім.
Thank you.,Дякую вам.
- [Gail] Hey.,- [Гейл] Привіт!
You begged the Deer God for him.,що Богоолень лише ваш!
Delimiter,Роздільник
"Specify the characteristics of alarm message windows: If checked, the window is a normal window with a title bar, which grabs keyboard input when it is displayed. If unchecked, the window does not interfere with your typing when it is displayed, but it has no title bar and cannot be moved or resized.","Вкажіть параметри вікна нагадування: Якщо позначено, вікно буде звичайним вікном із смужкою заголовка і після появи буде приймати дані, що вводяться з клавіатури. Якщо знято позначку, вікно не перешкоджатиме вашому друку на клавіатурі, але воно не матиме смужки заголовка і його буде неможливо пересувати та міняти його розмір. @ action: button"
Of course not.,звісно ні.
You should come.,Приїжджай.
I'm with him.,- Так. Я з тобою.
Usage of FCNTL locking might cause system lockups when the mail spool file is on an NFS mounted device.,"Використання блокування FCNTL може призвести до зависання системи, якщо файл сховища пошти знаходиться на пристрої, змонтованому за допомогою NFS."
I invested it.,Інвестував.
- Why did she leave?,- Але чому вона поїхала?
"""Two households, both alike in dignity,","""Два доми, родовитістю рівні"
There are few who can.,Це мало хто зміг би.
I have never been more alone.,Я ще ніколи не був такий самотній.
"This dialog will allow you to specify a PostgreSQL account that has the necessary permissions to access the Krecipes PostgreSQL database. This account may either be a PostgreSQL superuser or have the ability to both create new PostgreSQL users and databases. If no superuser or privileged account is given, the account'postgres' will be attempted, with no password. If this is insufficient for your PostgreSQL setup, you must select the appropriate option below to enter the information of a privileged PostgreSQL account.","За допомогою цього діалогового вікна ви можете вказати обліковий запис PostgreSQL, який має потрібні права доступу до бази даних PostgreSQL Krecipes. Цим обліковим записом може бути або обліковий запис суперкористувача PostgreSQL, або обліковий запис, користувач якого може створювати нових користувачів і бази даних PostgreSQL. Якщо не буде надано облікового запису суперкористувача або привілейованого облікового запису, буде зроблено спробу використати обліковий запис « postgres » без пароля. Якщо цього недостатньо для налаштування вашого PostgreSQL, вам слід вибрати нижче відповідний параметр, щоб ввести інформацію про привілейований обліковий запис PostgreSQL."
And Dr. Yedlin is a world-class surgeon who's received numerous awards and fellowships.,Та Dr. Едлін. світового класу хірург який отримав численні нагороди і стипендії.
A lot of Chester's Millers made that happen.,Багато жителів Честер Міллу доклали до цього зусиль.
"Oh, charlie. Don't you think you need to slow down a bit?","оу Чарлі. ти не думаєш, що тобі треба трохи пригальмувати?"
Let the Krauts cook their own goddamn food.,Нехай фріци готують свою чортову їжу.
- This is no ordinary arrest.,- Це незвичайний арешт.
Create directory in current panel.,Створити каталог в поточній панелі.
What are you talking about?,Про що ти говориш?
Size:,Розмір:
"This configuration dialog allows altering settings only for the selected window or application. Find the setting you want to affect, enable the setting using the checkbox, select in what way the setting should be affected and to which value.","За допомогою цього діалогового вікна налаштування можна змінити властивості тільки для вибраного вікна чи програми. Знайдіть властивість, яку потрібно змінити, активуйте її за допомогою прапорця, оберіть властивість вікна та її бажане значення."
"Dillon, better get on the radio.",Діллан. Виходь на зв'язок.
Choose Chair as the role.,Оберіть у спадному списку ролі Головуючий.
Damn.,Дідько.
This is a dummy setting for player setup.,Це тестовий параметр налаштування гравця.
But if he's the fourth hand...,Але що як він четверта рука...
You just can't see it.,Ти просто не можеш її бачити.
I'm free.,Я вільна.
"First off, Monica, you're not fooling any of us for even a second with your dress-shitty- to-ease-the-pain routine.","По-перше, Моніко, цей твій лайновий прикид, який має полегшити нам біль, не працює."
"They're coming, Cage.","Вони вже близько, Кейдж."
"Come on, let's get a couple more of these.","Пішли, йдемо ще дістанемо парочку."
"Well, whatever it is your business does, I don't think it's going to interfere with my irrigation company here.","Неважливо, чим ти займаєшся, не думаю, що це нашкодить моїй зрошувальній компанії"
"Mosche Frenkiel, the Jewish orphanage in Warsaw.",Я Моше Френкель. Представник жидівського сиротинця з Варшави.
"Yeah, I remember.","Да, я помню."
"Decreases the game speed by one unit, down to a minimum of 2 units (a fifth of normal speed). You can use the - key as a shortcut.","Зменшує швидкість гри на один пункт, аж до мінімального значення у 2 пункти (одна п’ ята звичайної швидкості). Клавіатурним скороченням цієї дії є клавіша -."
You ready?,В тебе гарне тіло Енестейжа.
& Write Into All,Записати всі
- Like my ride? - Um...,Як тобі мої колеса?
I don't wanna live in this world no more.,Я більше не хочу жити в цьому світі.
Take care of lil ass-kicker.,Позаботься о маленькой забияке.
"I mean, I guess, technically, I could have...","У принципі можна. Формально я міг би, але..."
Smartass.,Хитрий який.
"Hey, no.",Ніхера...
All my years no one's ever done anything like this for me.,Мені ніколи ніхто в житті не робив таких сюрпризів.
"He's been working in the mining camps, trying to get his family back.",Він працював у гірському таборі. Він намагається повернути сім'ю.
"Ding, ding, ding!",Динь-динь-динь!
I can drink a beer underwater.,Я можу пити пиво під водою.
"Frodo Baggins is my name, and this is Samwise Gamgee.",Мене звати Фродо Торбин. А це Семуайз Гамджі.
- How am I doing me first day?,- То як тобі мій перший день?
The White Wizard?,Білий Чарівник?
Cut: Edit Cut equivalent; cut the selection to the clipboard.,Вирізати: еквівалент пункту меню Правка Вирізати; вирізає виділений фрагмент до буфера обміну інформацією.
"- Hey, hey.","- Тихіше, тихіше."
Reminder for first recurrence only,Завчасне нагадування тільки для першого повторення@ option: check
"Just mineral water, please.",Мінеральну воду. Лише мінеральну воду.
- Yes. We have her cornered.,Ми загнали її в кут.
Just a dog,Такий собі...
My DVD's broke.,Мій ДВД зломався.
"I'll pay you the money you lost, okay?","Ну ж бо... Я поверну тобі гроші, щоб компенсувати втрати."
"Just so you don't think I'm a complete swine... if there's anything in Dark Windows you can use, it's all yours.","Щоб Ви не вважали мене повною свинею, ""Темні вікна"" можете використати, як вважаєте за потрібне. Вони Ваші."
Makes the dialog transient for an X app specified by winid,Робить вікно пов’ язаним з програмою X з вказаним winid
Be careful.,"Нехай йдуть, він поранений."
gFTP Import plugin,Додаток імпорту з gFTPComment
The raids are in the Haga basin.,Напади відбуваються в районі Наґи.
"Look, Curtis.","Поглянь, Кьортісе."
And you must lay so very nice and still.,Мусиш лежати чемно і тихо.
Encryption,Шифрування
This man page was prepared by Jan Schaumann jschauma@netmeister. org for the Missing Man Pages Project (http: / /www. netmeister. org/ misc/ m2p2/ index. html.,"Автором цієї сторінки довідника є Jan Schaumann jschauma@ netmeister. org, її було створено для Проекту відсутніх сторінок довідника (http: // www. netmeister. org/ misc/ m2p2/ index. html."
"You're giving me what I want to know, whether you realize it or not.","Ти вже мені кажеш те, що я хочу дізнатись, розумієш ти це чи ні."
I'll fucking kill ya.,"Я вас, сука, вб'ю."
"- No, it's not.",﻿Ні. не буде.
"Yeah, but you don't want stock in our company.","Так, але ти не хочеш акції нашої компанії."
I know you're miserable.,"Я знаю, що ти нужденний."
Demultiplexer used for the file or stream,"Селектор, що використовуватиметься для файла або потоку"
"Mm, right.","Ну, ясно."
Select the first of the two points of which you want to construct the midpoint...,"Виберіть першу з двох точок, для якої ви бажаєте побудувати середню точку..."
