EN,UK
Das betrifft Sie nicht.,"Not you, sir."
Welche Bedingungen?,At what terms?
Zieh doch einfach Chaturs Anzug an.,Take Chatur's suit instead
Es brennt!,We're on fire!
. – Herr Präsident!,.
Holen Sie das Ding aus meinem Kopf.,Help me!
"Wissen diejenigen, die Frauen zum Autofahren aufrufen, dass sie den Feinden dieses Landes dienen, indem sie es in Chaos und Korruption stürzen, wenn eigentlich Sicherheit, Glaube und Stabilität am dringendsten benötigt werden?!","Do those who call for women driving understand that they are serving the enemies of this country by getting it into chaos and corruption when it badly needs security, faith and stability?!"
Ich bin der Boss.,I'm the boss.
Meine Mutter war Italienerin.,My mother was Italian.
Bilder auf der Vorderseite der Karteikarten anzeigen.,Show images on the front of the flashcard.
Natürlich nicht.,Of course not.
Ich flehe dich an.,I'm really begging you right now.
Verlass mich nicht.,Don't leave me.
Das wird nicht helfen.,It won't help.
Lass mich mal sehen.,Let me see.
Ihr Mistkerle!,Screw you all!
Aber...,But...
Jetzt komm!,Let's get out of here.
Einen Moment mal.,Wait a minute.
So was kann man schlecht einplanen.,It's not exactly something you can plan.
"So jemandem mache ich klar, daß ich für ihn zu schade bin.","Anybody who thinks that, I'll knock over sometime."
"Ja, das tue ich und Mama auch.","Yes, I am, and Mother is too."
"Und deine Geister, Rossella?","And your spirits, Rossella?"
- Passt auf!,- Look out!
Ich bin ja nicht weit weg.,I'm just down the beach.
Tschüs.,Bye.
"auf Vorschlag der Kommission (1),","Having regard to the proposal from the Commission (1),"
SubCentral.de und TV4User.de präsentieren:,"♪ Our whole universe was in a hot, dense state ♪ ♪ Then nearly 14 billion years ago expansion started... Wait!"
Worte fallen aus Eurem Mund wie Scheiße aus dem Arsch.,"Words fall from your mouth, as shit from ass."
Und weißt du wie?,And do you know why?
Halt deine verdammte Klappe!,Shut the fuck up!
"Ich seh' nur noch Blonde, Brünette, Rothaarige--","All I see is blonde, brunette, redhead."
Bestimmung,Destination
Ah. Meinst du?,He's very funny.
Lieben Sie mich noch?,Do you love me?
"Ich und Kuby haben für den Typen einen Van gemietet, haben das Geld bei einem Lagerplatz aufgeladen, haben ihm die Schlüssel bei Goodman gegeben.","Me and Kuby rented a van for the dude, loaded his cash up in a self-storage unit, handed over the keys to him at Goodman's."
Hier...,Here.
Whistler?,Whistler?
Das ist jetzt auch mein Haus.,"This is now my house, too."
"Was zum Teufel, man?","What the hell, man?"
Vertraue niemandem.,Don't trust anyone.
"Okay, Kreis, Kreis, Pünktchen, Pünktchen, jetzt bekommst du ein kleines Spritzchen!","Okay,circle, circle,dot,dot, now you have a cootie shot!"
"Ich habe nicht gedacht, dass ich das tun müsste. Das hat dich sonst auch nicht davon abgehalten, es zu sagen.",I didn't think I had to.
Die Welt ist schön.,I like to walk.
Es ist ein Wunder.,_
"- Bitte, hör mir zu.","Please, listen."
- Sie haben schon alle aufgebraucht.,- Your favours are all used up.
Du bist verhaftet.,You're under arrest.
Die in dieser Entscheidung vorgesehenen Maßnahmen entsprechen der Stellungnahme des Ständigen Veterinärausschusses -,"Whereas the measures provided for in this Decision are in accordance with the opinion of the Standing Veterinary Committee,"
Guten Morgen.,"Good morning, Cecilie."
"I.G. Farben produzierte 84% von Deutschlands Sprengstoffen und sogar das Zyklon B, das in den Konzentrationslagern zur Tötung von Millionen von Menschen verwendet wurde.",I.G. Farben produced 84% of Germany's explosives and even the Zyklon B used in the concentration camps to kill millions.
Es war ein langer Tag.,It's been a long day.
"Aber Sie kamen nach L.A., um ein Schauspieler zu sein.",But you came to L.A. to be an actor.
Neun.,Nine.
- Ihr Zimmer ist schon bereit.,Everything's in order with the apartment.
Ich nicht.,- Yeah. - Legally.
Keine Sorge.,Nothing will happen.
Es ist genug!,It's enough!
"Ja, die Hindus waren da was auf der Spur, Billy.","Yeah, the Hindus were onto something, Billy."
- Was Neues von Tara?,Aw.
"Ich weiß nicht, was ich tun soll.",I don't know what I'm supposed to do.
"Oh, Scheiße, Mann!","- Oh, shit, man!"
"Lethargie, Koma, Atemdepression mit Cheyne-Stokes-Atmung und/oder Cyanose.","Symptoms The symptoms of fentanyl overdose are an extension of its pharmacological actions, e. g. lethargy, coma, respiratory depression with Cheyne-Stokes respiration and/ or cyanosis."
Ich hab es vor nicht mal sieben Jahren mit meinen eigenen Augen gesehen.,I saw it with my own eyes not seven years ago.
Wo liegt der Unterschied?,"She didn't do it with rope, so what difference does it make?"
Aber was ist es?,But what is it?
Gib mir 'nen Status.,Give me a status.
"- Nein, ich hab's abgestellt.","No, I turned it off."
"Nein, nein, bitte.","No, no, please."
Was meinen Sie?,Meaning what?
Auf jeden Fall.,-Slim.
Die Aussprache ist geschlossen.,The debate is closed.
Du kannst das schaffen.,You can make it.
Das sind fünf Dinge.,That's five things.
Ich muss sie sehen.,I need to see it.
"Stimmt was nicht, Fairchild?","Anything wrong, Fairchild?"
"Oh, sieht so aus, als hätte sich sein Gesicht seit dem Bild auf dem Führerschein leicht verändert.","Oh, looks like his face has changed a little since his driver's license picture was taken."
Ich bin Italiener.,I'm Italian.
"Genau das wäre ich auch, wenn ich gerade mein Baby verloren hätte.",Which is exactly what I'd be if I just lost my baby.
"Wenn ihr (Kafir) um den Sieg (als Zeichen der Rechtschaffenheit) bittet, so traf der Sieg euch bereits. Wenn ihr aber (vom Kufr) ablasst, so ist dies besser für euch. Wenn ihr jedoch wiederholtermaßen (zum Krieg) zurückkehrt, kehren WIR zurück, und dann wird eure Gruppe von euch nichts abwenden, selbst dann sollte sie noch so groß sein. Und ALLAH ist gewiß mit den Mumin.","If you sought a verdict, the verdict has certainly come to you; and if you cease [your belligerence against the Prophet and his followers], it is better for you, but if you resume, We [too] shall return and your troops will never avail you though they should be ever so many, and [know] that Allah is with the faithful."
"Nein, habe ich nicht.","No. I don't have that, either."
Aber klar kann ich das.,"Sure, you can."
Ich habe keine Feuerzeuge gefunden.,I didn't find any matches.
Haben Sie einen Moment?,Can you spare a moment?
"Es gibt viele Dinge, die uns noch Sorgen bereiten.",There are many things which still trouble us.
Ich habe eine Frage.,Let me ask you something.
Ihn umbringen.,Kill him
Ich meine nicht mich damit.,My lips are sealed.
Er erhängte sich.,He hung himself.
"Okay, jetzt weißt du es ja.","Okay, now you know."
Was soll denn der Thomas da?,Thomas!
Lass uns gehen.,Let's go
"Oh, danken Sie nicht mir.",Don't thank me.
Ich kann sie vor dem Ende beschützen.,I can protect her from the end.
Wer war das?,Who took them?
Kann ich helfen?,Hello.
"Egal, was ich dafür tun muss.",You're not gonna argue with me?
Lange Geschichte.,long story.
Disketten- und & CD-ROM;-Laufwerke,Floppy and & CD-ROM; Drives
"Du siehst aus, als ob du einen Geist gesehen hast.",You look like you saw a ghost.
Unionsverbrauch,Union Consumption
Ich warte.,I'm waiting.
Dritter Grad.,Level three.
Ich bin rumgelaufen.,I walked.
Brigitte übernimmt deine Rolle.,You're out.
- Sicher.,- Sure.
"Stimmt das, was du gesagt hast?",Is it true that Reidun ...
"Du weißt schon, weil Melodie Musik ist und du...","You know, because Melody is music and you're..."
Zwei.,Two.
"Ich hoffe, du verstehsl es.",I know you'll understand.
Etwa zehn Stunden.,About 10 hours.
"Ja, das muss es sein.","Yes, this is it!"
-Schon gut.,- All right.
Diese Verordnung ist in allen ihren Teilen verbindlich und gilt unmittelbar in jedem Mitgliedstaat.,This Regulation shall be binding in its entirety and directly applicable in all Member States.
"Können Sie mir sagen, wo ich ihn finden kann?",Can you tell me where I can find him?
"Ja, schnell, hol den Arzt!",Hurry up!
Lassen Sie uns durch.,Let us through.
Ich bin kein Fan von dir.,George.
zur Festlegung pauschaler Einfuhrwerte für die Bestimmung der im Sektor Obst und Gemüse geltenden Einfuhrpreise,establishing the standard import values for determining the entry price of certain fruit and vegetables
Worum ging es da eben?,What was that about back there?
- Sehr gern.,- Right sir.
- Ich möchte nicht gehen.,- I do not wish to go.
Ich habe gebadet.,- I was taking a bath.
Das finde ich gut.,I like that.
"Ja, vielleicht.","Yeah, maybe."
Führen Sie vor jeder Injektion einen Sicherheitstest durch.,A safety test must be performed before each injection.
Ich habe diesen Witz geschrieben.,I wrote that joke.
Zurück,Prev
Diese Verordnung ist in allen ihren Teilen verbindlich und gilt unmittelbar in jedem Mitgliedstaat.,This Regulation shall be binding in its entirety and directly applicable in all Member States.
Was machen Sie hier drin?,What're you doing in here?
"Ja, ich glaube...","Actually, yes."
4.9 Überdosierung,4.9 Overdose
Macht Laune!,Love it!
- Jetzt soll ich mich also besser fühlen?,That's supposed to make me feel better?
Guten Morgen liebe Pan-Gemeinde!,"Good morning, bread lovers!"
"Sind Sie nicht hier, um zu kellnern?",Aren't you here to waitress?
Was soll ich machen?,What can I do?
Ich liebe Hunde.,I love dogs.
Ich kann nicht!,I can't do it.
Es ist nicht von dir.,It's not yours.
Mein Leben?,You want my life?
Die Aussprache ist geschlossen.,The debate is closed.
"Nomenklatur der Länder gemäß der Verordnung (EG) Nr. 1833/2006 der Kommission (ABl. L 354 vom 14.12.2006, S. 19).","Country nomenclature as fixed by Commission Regulation (EC) No 1833/2006 (OJ L 354, 14.12.2006, p. 19)."
BEZEICHNUNG DES ARZNEIMITTELS UND ART(EN) DER ANWENDUNG,NAME OF THE MEDICINAL PRODUCT AND ROUTE(S) OF ADMINISTRATION
"Ja, genau. - Das sollten wir feiern und ""Freundinnen"" gucken.",We should celebrate by watching Beaches.
Mochtest du etwas?,Would you like anything?
Sehr viel sogar.,A lot of art.
Ich war an einem Samstagabend mal so deprimiert...,I was really depressed one Saturday night about 9:00--
Wie geht es Ihnen?,How you doing?
- Selbstverständlich.,- Certainly.
Ich hab was Neues entdeckt.,I found something new.
"Ja, natürlich.","Yeah, I do."
"Zuletzt geändert durch die Verordnung (EG) Nr. 806/2003 (ABl. L 122 vom 16.5.2003, S. 1).","Directive as last amended by Regulation (EC) No 806/2003 (OJ L 122, 16.5.2003, p. 1)."
"- Tut mir leid, das hätte ich nicht sagen sollen.",I'm sorry I shouldn't have said that.
- Michelle.,"It's all right, baby."
Was genau?,Which part?
Mittel 2005 _BAR_ Mittel 2004 _BAR_ Ausgaben 2003 _BAR_,Appropriations 2005 _BAR_ Appropriations 2004 _BAR_ Outturn 2003 _BAR_
"Bin oft hier gewesen, als wir Partner waren.","Came here often, when we were partners."
Das ist abstoßend.,That's appalling.
"Seine engsten Vertrauten meinen, er hat den ersten Jedi-Tempel gesucht.",People that knew him best... think he went looking for the first Jedi temple.
Wir wollen nur mit dem Kerl reden.,All we wanna do is talk to the guy.
Warten Sie.,Wait.
"Ich habe doch gesagt, sie ist hübsch!",I told you she was pretty
"Um euch zu sagen, dass der Schöpfer eine neue Prophezeiung über den Sucher gesandt hat.",To tell you that the Creator has sent a new Prophecy about the Seeker.
Schafft ihn weg!,Get him out of here.
"Ich bin geneigt zu glauben, dass er unschuldig ist.",I'm inclined to think he's innocent.
Und Sie.,And you.
Vergiss es!,Forget it.
- Du bist ein Genie.,- You're a genius.
ERTEILUNG DER GENEHMIGUNG,APPROVAL GRANTED
Aber ich will nichts mehr mit dir zu tun haben.,But I don't want to know you either.
"Wir dachten, wir hätten ihn getötet.","I thought Ray and I killed him, but we didn't."
Wir können rein.,Good to go.
Du hast mir das Leben gerettet.,For saving my life.
"Gab mir gute Rückmeldungen, einige Funktionswünsche, Bereinigungen und Designverbesserungen und war jemand, mit dem ich mich über IRC unterhalten konnte:)","Gave me some good feedback on Kig, some feature requests, cleanups and style fixes, and someone to chat with on irc:)"
Hast du das verstanden?,Do you understand?
- Bleib weg!,Stay away!
Ich sage gar nichts.,I'm not saying anything.
Ich weiß nicht so ganz.,I don't know that I can.
Sie war auch in meinen Sitzungen ein Thema.,She has come up in a number of my sessions as well.
"Gestern hat Kommissar Rehn dem Parlament erläutert, wie die Verhandlungen mit der Türkei ausgestaltet werden.","Yesterday, Commissioner Rehn explained to this House the shape that negotiations with Turkey will take."
4 und Nr.,'4.
Schlug ihr den Schädel mit dem Boden eines Waring-Mixer ein.,Caved her head in with the base of a Waring blender.
Das ist verrückt.,This is crazy.
"Ich weiß, welche Frau!",- I know who this other woman is.
Pfirsiche (Nektarinen und ähnliche Hybriden),Peaches (Nectarines and similar hybrids)
Möchten Sie denn was von mir?,Would you like something from me?
"Ich denke langsam, dass er immer gehen konnte.",I'm beginning to think that he could walk.
-Geh bitte nach Hause.,It'll be better if you go.
"Die Nebenwirkungen, die in Verbindung mit Viagra beschrieben werden, sind zumeist leicht bis mäßig und von kurzer Dauer.",The side effects reported in association with the use of Viagra are usually mild to moderate and of a short duration.
Unserer letzter Arzt zeigte mir eine Methode.,Ah! Our last medic showed me a technique that might help.
- Die Waffe.,The gun.
Gib mir ein Bier.,Get me a beer.
Dein Nachbar.,I'm your neighbor.
- Das tun die auch nicht.,They don't.
Ich bin nicht wie dein Vater.,I'm not your dad.
Marktanteil,Market share
Eine Sukhoi?,A Sukhoi?
Versprochen.,I promise.
- Ist Daniel da?,Is Daniel home?
"Ich habe eigentlich die Mandoline spielen gelernt, als ich in Rom war.",I actually learned how to play the mandolin when I was in Rome.
"auf Vorschlag der Europäischen Kommission,","Having regard to the proposal from the European Commission,"
- Komm schon!,-Come on.
Guten Morgen.,Good morning.
"Ich wünschte Ich wünschte, er würde weggehen",I wish I wish he'd go away
Entschuldigung!,Excuse me.
- Fertig?,-Ready?
Bewegung.,Move.
Sie würden kein Baby stehlen.,You wouldn't steal a baby.
Wo seid ihr?,Wo seid ihr?
Weil ich dich Liebe.,Because I love you.
- Meine Kleine.,- My baby.
Gute Frage.,Good question.
"Tja, das wäre es dann wohl.","That's it, then."
Er ist verrückt.,He's crazy!
Oh mein Gott!,"Oh, my God! Oh, my God!"
Die können dich umbringen!,They can kill you.
Nichts.,Nothing!
"Europa, das den Wohlfahrtsstaat erfunden hat, braucht schließlich sozialen Zusammenhalt.","The fundamental principle of subsidiarity has to be interpreted as a principle of political cohesion, allowing bottom-up participation in Community decision-making, starting from the thousands and thousands of town councils in our Union."
Ich hab mit ihm geschlafen.,I slept with him.
Sie und Ihren Bruder.,You and your brother.
Führen Sie eine Untersuchung durch.,Conduct a real investigation.
Erstattungsbetrag,Amount of refunds
- Und was erwartest du von mir?,- What do you expect me to do about it?
Ich weiß...,I know...
"- Das kann ich bestätigen, Sir.","- Confirmed, sir."
Ja. Mir geht's gut.,"yeah, I'm fine."
- Das ist meins.,- It's mine.
Nach unten.,Downstairs.
- Warum nicht?,Why not?
"Ich kam her, um Euch zu danken.",I came to thank you.
"Ich denke, du hast Angst.",I think you're afraid.
Ich reagiere nicht gut auf Drohungen und Cyrus Rose auch nicht.,"I do not respond well to threats, and neither does Cyrus Rose."
